CAS	Chemical	Tc	Pc	Vc	omega
75-07-0	Acetaldehyde	461	5572875	0.000154	0.303
60-35-5	Acetamide	761	6600310	0.000215	0.451
75-05-8	Acetonitrile	548	4833203	0.000173	0.321
67-64-1	Acetone	508.1	4701480	0.000209	0.309
107-15-3	Ethylenediamine	593	6282150	0.000206	0.51
106-93-4	1,2-Dibromoethane	646	5335774	0.000252	0.225
74-96-4	Ethyl bromide	503.8	6231488	0.000215	0.254
107-21-1	1,2-Ethanediol	720	8200232	0.000186	0.5254
75-03-6	Ethyl iodide	565	5542478	0.00024	0.161
64-17-5	Ethanol	516.2	6383475	0.000167	0.635
60-29-7	Diethyl ether	466.7	3637568	0.00028	0.281
75-21-8	Ethylene oxide	469	7194075	0.00014	0.2
107-18-6	2-Propen-1-ol	545	5714730	0.000203	0.5717
64-18-6	Formic acid	588	5810000	0.000118	0.3222
109-94-4	Formic acid ethyl ester	508.4	4742010	0.000229	0.283
62-53-3	Aniline	699	5309430	0.00027	0.382
100-66-3	Methyl phenyl ether	647.4	4174590	0.000341	0.3288
109-06-8	2-Methylpyridine	621	4600155	0.000335	0.3
80-56-8	alpha-Pinene	630	2887763	0.0004845	0.3228
141-78-6	Ethyl acetate	523.2	3830085	0.000286	0.363
78-92-2	2-Butanol	536	4194855	0.000268	0.576
100-51-6	Benzyl alcohol	715	4300000	0.000334	0.3872
100-41-4	Ethylbenzene	617.1	3607170	0.000374	0.301
108-86-1	Bromobenzene	670	4519095	0.000324	0.249
108-90-7	Chlorobenzene	632.4	4519095	0.000308	0.249
106-46-7	p-Dichlorobenzene	685	3951675	0.000372	0.27
100-47-0	Benzonitrile	699.4	4215120	0.000323	0.36
98-95-3	Nitrobenzene	712	3495713	0.00034	0.394
71-43-2	Benzene	562.1	4893997	0.000259	0.212
74-90-8	Hydrogen cyanide	456.8	5390490	0.000139	0.407
109-65-9	Butyl bromide	571.1	4629539	0.000327	0.3471
7726-95-6	Bromine	584	10335150	0.000127	0.132
111-76-2	2-Butoxyethanol	633.9	3269758	0.0004236	0.5114
71-36-3	1-Butanol	562.9	4417770	0.000274	0.59
78-93-3	2-Butanone	535.6	4154325	0.000267	0.329
106-97-8	n-Butane	425.2	3799688	0.000255	0.193
156-59-2	cis-1,2-Dichloroethylene	537	5603272	0.0002	0.21
107-07-3	2-Chloroethanol	582	5799843	0.000212	0.6776
109-69-3	Butyl chloride	542	3688230	0.000312	0.218
67-66-3	Chloroform	536.4	5471550	0.000239	0.216
108-39-4	3-Methylphenol	705.8	4559625	0.00031	0.464
110-82-7	Cyclohexane	553.8	4080358	0.000308	0.213
287-92-3	Cyclopentane	511.7	4509976	0.000259	0.1921
110-83-8	Cyclohexene	560.4	4905600	0.000292	0.2741
108-87-2	Methylcyclohexane	572.1	3479501	0.000369	0.2477
96-37-7	Methylcyclopentane	532.7	3789555	0.000318	0.239
142-96-1	Dibutyl ether	580	2533125	0.0005	0.5
110-45-2	Formic acid isopentyl ester	577	3130942	0.0003875	0.4024
124-18-5	Decane	617.9	2099454	0.000603	0.49
109-89-7	N,N-Diethylamine	496.6	3708495	0.000301	0.3031
121-69-7	N,N-Dimethylaniline	687	3627435	0.0004	0.4049
78-75-1	1,2-Dibromopropane	640.8	5095634	0.000331	0.3024
75-34-3	1,1-Dichloroethane [R 150a]	523	5066250	0.00024	0.248
107-06-2	1,2-Dichlorethane	561	5370225	0.00022	0.286
156-60-5	trans-1,2-Dichloroethene	517	5520000	0.00022	0.2131
75-09-2	Dichloromethane	510	6355000	0.000193	0.2027
78-87-5	1,2-Dichloropropane	577	4458300	0.0002938	0.241
68-12-2	N,N-Dimethylformamide (DMF)	650	5499921	0.000262	0.389
109-87-5	Dimethoxymethane	490.9	3957755	0.0002132	0.2222
108-08-7	2,4-Dimethylpentane	519.8	2739828	0.000418	0.306
123-91-1	1,4-Dioxane	587	5208105	0.000238	0.288
108-48-5	2,6-Dimethylpyridine	623.8	3901013	0.0003827	0.3559
112-40-3	Dodecane	658.8	1809665	0.000713	0.562
100-52-7	Benzaldehyde	695	4660950	0.000318	0.32
123-86-4	Acetic acid butyl ester	575.7	3141075	0.0004	0.4345
79-20-9	Methyl acetate	506.8	4691347	0.000228	0.32
64-19-7	Acetic acid	594.4	5785657	0.000171	0.4218
98-01-1	Furfural	657	5512080	0.000252	0.4522
142-84-7	Dipropylamine	555.8	3630000	0.000407	0.4335
10035-10-6	Hydrogen bromide	363.2	8551830	0.0001	0.063
629-73-2	1-Hexadecene	717	1337490	0.0009	0.721
110-54-3	Hexane	507.4	3014419	0.00037	0.2975
7664-39-3	Hydrogen fluoride	461	6484800	0.000069	0.372
142-82-5	Heptane	540.3	2733748	0.000432	0.3457
110-43-0	2-Heptanone	611.5	2989088	0.000434	0.425
302-01-2	Hydrazine	653	14692130	0.0000961	0.328
78-78-4	2-Methylbutane	460.4	3380202	0.000306	0.227
67-63-0	2-Propanol	508.3	4762275	0.00022	0.665
108-20-3	Diisopropyl ether	500	2877630	0.000386	0.34
540-84-1	2,2,4-Trimethylpentane	543.8	2569602	0.000468	0.303
78-79-5	Isoprene	483.3	3739997	0.000266	0.164
74-88-4	Methyl iodide	528	6586125	0.00019	0.1421
592-41-6	1-Hexene	504	3206000	0.00035	0.2839
108-18-9	Diisopropylamine	525	3029617	0.000385	0.3333
90-12-0	1-Methyl naphthalene	772	3566640	0.000445	0.334
91-57-6	2-Methyl naphthalene	764.3	3505845	0.000455	0.3464
67-56-1	Methanol	512.6	8095868	0.000118	0.559
107-83-5	2-Methylpentane	497.7	3039750	0.000368	0.279
96-14-0	3-Methylpentane	504.6	3119797	0.000368	0.275
109-86-4	2-Methoxyethanol	597.6	5285000	0.000263	0.4411
110-91-8	Morpholine	618	5471550	0.000253	0.37
123-42-2	Diacetone alcohol	606	3600077	0.000374	0.7565
104-51-8	Butylbenzene	660.5	2887763	0.000497	0.392
108-10-1	4-Methyl-2-pentanone	571	3272797	0.000371	0.4
108-99-6	3-Methylpyridine	645	4650818	0.000288	0.296
108-89-4	4-Methylpyridine	646	4458300	0.000325	0.27
78-83-1	2-Methyl-1-propanol	547.7	4296180	0.000273	0.588
98-83-9	alpha-Methyl styrene	654	3555000	0.0004136	0.342
91-20-3	Naphthalene	748.4	4053000	0.00041	0.302
75-52-5	Nitromethane	588	6312547	0.000173	0.346
108-03-2	1-Nitropropane	606	3999997	0.000283	0.3533
143-08-8	1-Nonanol	671	2546000	0.000544	0.6177
111-65-9	Octane	568.8	2494622	0.000492	0.394
111-66-0	1-Octene	566.6	2624317	0.000464	0.386
95-48-7	2-Methylphenol	697.6	5005455	0.000282	0.443
112-88-9	1-Octadecene	739	1134840	0.001012	0.837
106-44-5	4-Methylphenol	704.6	5147310	0.000332	0.515
109-66-0	Pentane	469.7	3369056	0.000304	0.251
71-41-0	1-Pentanol	586	3850350	0.000326	0.58
107-87-9	2-Pentanone	561.19	3672000	0.000301	0.3396
108-95-2	Phenol	694.2	6130163	0.000229	0.44
75-44-5	Phosgene	455	5674200	0.00019	0.204
71-23-8	1-Propanol	536.7	5167575	0.0002185	0.624
79-09-4	Propionic acid	604	4333000	0.0002218	0.5184
107-03-9	1-Propanethiol	536.6	4529228	0.0002863	0.225
75-56-9	1,2-Propylene oxide	482.2	4924395	0.000186	0.269
110-86-1	Pyridine	620	5633670	0.000254	0.24
7697-37-2	Nitric acid	520	6890100	0.000133	0.7144
7647-01-0	Hydrogen chloride	324.6	8308650	0.000081	0.12
119-36-8	Salicylic acid methyl ester	709	4090000	0.000412	0.5789
75-15-0	Carbon disulfide	552	7903350	0.000202	0.115
100-42-5	Styrene	635.2	3870000	0.0003472	0.3007
67-68-5	Dimethyl sulfoxide	720	5704597		0.3319
631-36-7	Tetraethylsilane	603.7	2602026	0.000492	0.473
75-65-0	tert-Butanol	506.2	3971940	0.000275	0.618
629-59-4	Tetradecane	691.8	1572564	0.0008937	0.679
493-02-7	trans-Decahydronaphthalene	690	3141075	0.000485	0.2756
119-64-2	1,2,3,4-Tetrahydronaphthalene	719.2	3515978	0.0004081	0.3207
56-23-5	Tetrachloromethane	556.4	4559625	0.000276	0.194
109-99-9	Tetrahydrofuran	540.2	5187840	0.000224	0.217
