CAS	Chemical	MW	Tc	Pc	Vc	Zc	Reference
74-82-8	methane	16.043	190.564	4599000	0.0000986	0.286	2
74-84-0	ethane	30.07	305.32	4872000	0.0001455	0.279	2
74-98-6	propane	44.097	369.83	4248000	0.0002000	0.277	2
106-97-8	butane	58.123	425.12	3796000	0.0002550	0.274	2
109-66-0	pentane	72.15	469.7	3370000	0.0003110	0.268	2
110-54-3	hexane	86.171	507.6	3025000	0.0003680	0.264	2
142-82-5	heptane	100.204	540.2	2740000	0.0004280	0.261	2
111-65-9	octane	114.231	568.7	2490000	0.0004920	0.259	2
111-84-2	nonane	128.258	594.6	2290000	0.0005550	0.257	2
124-18-5	decane	142.285	611.7	2110000	0.0006240	0.256	2
1120-21-4	undecane	156.312	639	1980000	0.0006890	0.257	2
112-40-3	dodecane	170.338	658	1820000	0.0007540	0.251	2
629-50-5	tridecane	184.365	675	1680000	0.0008230	0.246	2
629-59-4	tetradecane	198.392	693	1570000	0.0008940	0.244	2
629-62-9	pentadecane	212.419	708	1480000	0.0009660	0.243	2
544-76-3	hexadecane	226.446	723	1400000	0.0010340	0.241	2
629-78-7	heptadecane	240.473	736	1340000	0.0011030	0.242	2
593-45-3	octadecane	254.5	747	1290000	0.0011890	0.247	2
629-92-5	nonadecane	268.527	755	1160000			2
112-95-8	eicosane	282.553	768	1070000			2
629-94-7	heneicosane	296.58	778	1030000			2
629-97-0	docosane	310.607	786	980000			2
638-67-5	tricosane	324.634	790	920000			2
646-31-1	tetracosane	338.661	800	870000			2
71-43-2	benzene	78.114	562.05	4895000	0.0002560	0.268	3
108-88-3	toluene	92.141	591.75	4108000	0.0003160	0.264	3
100-41-4	ethylbenzene	106.167	617.15	3609000	0.0003740	0.263	3
103-65-1	propylbenzene	120.194	638.35	3200000	0.0004400	0.265	3
104-51-8	butylbenzene	134.221	660.5	2890000	0.0004970	0.262	3
95-47-6	o-xylene	106.167	630.3	3732000	0.0003700	0.263	3
108-38-3	m-xylene	106.167	617	3541000	0.0003750	0.259	3
106-42-3	p-xylene	106.167	616.2	3511000	0.0003780	0.259	3
98-82-8	isopropylbenzene	120.194	631	3209000			3
526-73-8	1,2,34rimethylbenzene	120.194	664.5	3454000			3
95-63-6	1,2,4-trimethylbenzene	120.194	649.1	3232000			3
108-67-8	1,3,5-trimethylbenzene	120.194	637.3	3127000			3
622-96-8	1-methyl-4-ethylbenzene	120.194	640.2	3230000			3
538-93-2	isobutylbenzene	134.221	650	3050000			3
99-87-6	p-cymene	134.221	652	2800000			3
105-05-5	l,.l-diethylbenzene	134.221	657.9	2803000			3
95-93-2	1,2,4,5-tetramethylbenzene	134.221	676	2900000			3
87-85-4	hexamethylbenzene	162.275	758				3
101-81-5	diphenylmethane	168.238	760	2710000	0.0005630	0.241	3
92-52-4	biphenyl	154.211	773	3380000	0.0004970	0.262	3
84-15-1	o-terphenyl	230.309	857	2990000	0.0007310	0.307	3
92-06-8	m-terphenyl	230.309	883	2480000	0.0007240	0.245	3
92-94-4	p-terphenyl	230.309	908	2990000	0.0007290	0.289	3
496-11-7	indan	118.178	684.9	3950000			3
91-20-3	naphthalene	128.174	748.4	4050000	0.0004070	0.265	3
90-12-0	1-methylnaphthalene	142.2	772	3600000			3
91-57-6	2-methylnaphthalene	142.2	761				3
582-16-1	2,7-dimethylnaphthalene	156.227	775	3230000	0.0006010	0.3	3
85-01-8	phenanthrene	178.233	0.869				3
119-64-2	tetralin	132.205	720	3650000	0.0004080	0.249	3
67-56-1	methanol	32.042	512.5	8084000	0.0001170	0.223	4
64-17-5	ethanol	46.069	514	6137000	0.0001680	0.241	4
71-23-8	1-propanol	60.096	536.8	5169000	0.0002180	0.252	4
67-63-0	2-propanol	60.096	508.3	4764000	0.0002220	0.25	4
107-18-6	2-propen-1-01	58.08	545.1				4
71-36-3	1-butanol	74.123	563	4414000	0.0002740	0.258	4
78-92-2	2-butanol	74.123	536.2	4202000	0.0002690	0.253	4
78-83-1	2-methyl-1-propanol	74.123	547.8	4295000	0.0002740	0.258	4
75-65-0	2-methyl-2-propanol	74.123	506.2	3972000	0.0002750	0.259	4
71-41-0	1-pentanol	88.15	588.1	3897000	0.0003260	0.26	4
6032-29-7	2-pentanol	88.15	560.3	3675000	0.0003290	0.259	4
584-02-1	3-pentanol	88.15	559.6		0.0003250		4
