CAS	Chemical	MW	Tc	Pc	Vc	Zc
7440-59-7	Helium-4	4.0026	5.1889	226968	0.0000573	0.301
14762-55-1	Helium-3	3.0009	3.309	114497.25	0.0000725	0.302
7440-01-9	Neon	20.183	44.4	2756040	0.0000417	0.311
7440-37-1	Argon	39.948	150.8	4873732.5	0.0000749	0.291
7439-90-9	Krypton	83.8	209.4	5501947.5	0.0000912	0.287
7440-63-3	Xenon	131.3	289.733	5840373	0.000118	0.286
10043-92-2	Radon	222	377	6282150		
1333-74-0	Hydrogen (normal)	2.0159	33.2	1296960	0.000065	0.305
13983-20-5	Hydrogen deuteride	3.024	36	1479345	0.0000628	0.31
7782-39-0	Deuterium (normal	4.032	38.4	1661730		
7440-17-7	Rubidium	85.47	2105		0.00025	
7440-46-2	Cesium	132.905	2079		0.0003	
7727-37-9	Nitrogen	28.013	126.2	3394387.5	0.0000895	0.29
7723-14-0	Phosphorus	30.974	994			
7782-44-7	Oxygen	31.999	154.58	5042945.25	0.0000734	0.288
10028-15-6	Ozone	47.998	261	5572875	0.000089	0.23
7704-34-9	Sulfur	32.064	1314	11753700		
7782-41-4	Fluorine	37.997	144.3	5215197.75	0.0000662	0.288
7782-50-5	Chlorine	70.906	417	7700700	0.000124	0.275
7726-95-6	Bromine	159.818	584	10335150	0.000127	0.27
7681-11-0	Iodine	253.809	819		0.000155	
7439-97-6	Mercury	200.59	1735	160802775		
13550-49-7	Nitrogen trideuteride	20.052	405.6			
13537-03-6	Phosphorus trideuteride	37.022	323.6			
7664-41-7	Ammonia	17.03	405.6	11277472.5	0.0000725	0.242
302-01-2	Hydrazine	32.05	653	14692125		
74-90-8	Hydrogen cyanide	27.03	456.8	5390490	0.000139	0.197
460-19-5	Cyanogen	52.04	400	5978175		
13847-65-9	Trifluoramine oxide	87	302.6		0.000169	
7732-18-5	Water	18.015	647.14	22048320	0.000056	0.23
7789-20-0	Heavywater	20.031	644	21663285	0.000056	0.23
630-08-0	Carbon monoxide	28.011	132.91	3498752.25	0.0000931	0.295
124-38-9	Carbon dioxide	44.01	304.2	7376460	0.000094	0.274
10024-97-2	Nitrousoxide	44.013	309.56	7244737.5	0.0000974	0.274
10102-43-9	Nitric oxide	30.006	180	6484800	0.000058	0.25
10544-72-6	Dinitrogen tetroxide	92.011	431	10132500	0.00017	0.47
7446-09-5	Sulfur dioxide	64.06	430.8	7884098.25	0.000122	0.268
7446-11-9	Sulfur trioxide	80.06	491	8207325	0.00013	0.26
1314-68-7	Rheniumoxide	484.4	942		0.000334	
7783-06-4	Hydrogensulfide	34.08	373.2	8936865	0.0000985	0.284
13536-94-2	Deuterium sulfide	36.09	372.2			
75-15-0	Carbon disulfide	71.64	552	7903350	0.00016	0.28
7783-07-5	Hydrogenselenide	81.01	411	8916600		
13536-95-3	Deuterium selenide	83.02	412.4			
463-58-1	Carbonylsulfide	60.07	375	5876850	0.00014	0.26
7664-39-3	Hydrogen fluoride	20.01	461	6484800	0.000069	0.12
7637-07-2	Boron trifluoride	67.81	260.8	4985190		
7783-61-1	Silicon tetrafluoride	104.08	259	3718627.5		
10036-47-2	Tetrafluorohydrazine	104.01	309.4	3749025		
13812-43-6	cis-Difluorodiazine	66.01	272			
13776-62-0	tram-Difluorodiazine	66.01	260			
7783-54-2	Nitrogen trifluoride	71	234	4529227.5		
10405-27-3	Difluoramine	53.01	403			
7783-55-3	Phosphorus trifluoride	87.97	271.2	4326577.5		
7783-41-7	Oxygen fluoride	54	215.2			
7783-60-0	Sulfur tetrafluoride	108.06	364			
2551-62-4	Sulfur hexafluoride	146.05	318.69	3759157.5	0.000198	0.267
7783-68-8	Niobium pentafluoride	187.9	737	6282150	0.000155	0.16
7783-81-5	Uranium hexafluoride	352.02	505.8	4660950	0.00025	0.28
7647-01-0	Hydrogen chloride	36.46	324.6	8308650	0.000081	0.25
7698-05-07	Deuterium chloride	37.47	323.4			
10294-34-5	Boron trichloride	117.17	452	3870615		
7446-70-0	Aluminum trichloride	133.34	629	2634450	0.000261	0.13
10025-78-2	Trichlorosilane	135.45	479			
10026-04-7	Silicon tetrachloride	169.9	507	3749025	0.000326	0.29
10038-98-9	Germanium tetrachloride	214.41	552	3850350	0.00033	0.28
7646-78-8	Stannic chloride	260.5	592	3749025	0.000351	0.267
7719-12-2	Phosphorus trichloride	137.33	563		0.00026	
7784-34-1	Arsenic trichloride	181.28	591		0.000252	
10025-91-9	Antimony trichloride	228.11	794		0.00027	
13494-88-7	Bismuth chloride	315.34	1179	11956350	0.000261	0.32
7550-45-0	Titanium tetrachloride	189.71	638	4660950	0.00034	0.3
10026-11-6	Zirconium tetrachloride	233.03	778	5765392.5	0.000319	0.284
13499-05-3	Hafnium tetrachloride	320.3	723	5775525	0.000304	0.292
10026-12-7	Niobiumpentachloride	270.17	807		0.0004	
7721-01-9	Tantalum pentachloride	358.21	767		0.0004	
10241-05-1	Molybdenum pentachloride	273.21	850		0.00037	
13283-01-7	Tungsten hexachloride	396.57	923		0.00042	
7487-94-7	Mercuric chloride	271.5	973		0.000174	
10035-10-6	Hydrogen bromide	80.92	363.2	8551830		
13536-59-9	Deuterium bromide	81.93	362			
10294-33-4	Boron tribromide	250.54	573		0.00028	
7727-15-3	Aluminum tribromide	266.71	763	2887762.5	0.00031	0.141
7789-57-3	Tribromosilane	268.82	609			
7789-66-4	Silicon tetrabromide	347.72	663			
7789-61-9	Antimony tribromide	361.48	904			
7787-58-8	Bismuth bromide	448.71	1219		0.000301	
13777-25-8	Zirconium tetrabromide	410.86	805		0.00042	
13777-22-5	Hafnium tetrabromide	498.13	746		0.000415	
13478-45-0	Niobium pentabromide	492.46	1010		0.000469	
13451-11-1	Tantalum pentabromide	580.49	974		0.000461	
7789-47-1	Mercuric bromide	360.41	1012			
10034-85-2	Hydrogen iodide	127.91	424	8308650		
14104-45-1	Deuterium iodide	128.92	421.8			
7784-23-8	Aluminum triiodide	407.69	955			
7790-44-5	Antimony triiodide	502.46	1102			
13986-26-0	Zirconium tetraiodide	598.84	960		0.00053	
13777-23-6	Hafnium tetraiodide	686.11	916		0.000528	
7774-29-0	Mercuric iodide	454.9	1072			
13637-63-3	Chlorine pentafluoride	130.44	416	5268900	0.00023	0.35
14049-36-6	Chlorotrifluorosilane	120.53	307.6	3465315		
18356-71-3	Dichlorodifluorosilane	136.99	369	3495712.5		
14965-52-7	Trichlorofluorosilane	153.44	438.6	3576772.5		
13637-87-1	Nitrogen chloride difluoride	87.46	337.4	5147310		
14335-40-1	PhosphoruS(III) chloride di- fluoride	104.42	362.4	4519095		
15597-63-4	Phosphorus(III) fluoride dichloride	120.88	463	4964925		
10022-50-1	Nitryl fluoride	65	349.4			
75-44-5	Phosgene	98.92	455	5674200	0.00019	0.28
2696-92-6	Nitrosyl chloride	65.46	440			
7727-18-6	Vanadium oxychloride	173.3	636		0.00029	
13520-78-0	Tungsten oxidetetrachloride	341.66	782		0.000338	
0-0-0	Rhenium oxide tetrachloride	344	781		0.00036	
7616-94-6	Perchloryl fluoride	102.45	368.4	5370225	0.000161	0.282
19287-45-7	Diborane	26.67	289.8	4053000		
7803-51-2	Phosphine	34	324.8	6535462.5		
12265-14-4	Phosphonium chloride	70.46	322.2	7366327.5		
15599-91-4	Phosphonitrilic fluoride trimer	248.93	461			
14700-00-6	Phosphonitrilic fluoride tetramer	331.91	496.4			
19258-92-5	Phosphonitrilic fluoride pentamer	414.88	524			
7440-38-2	Arsine	77.95	373			
