CASRN	Chemical	Tc	Pc	omega
74-82-8	Methane	190.577777777778	4604318.92037759	0.0072
74-84-0	Ethane	305.422222222222	4880109.21210431	0.0908
74-98-6	Propane	369.822222222222	4249238.91977944	0.1454
106-97-8	n-Butane	425.177777777778	3796942.84134762	0.1928
75-28-5	2-Methylpropane	408.138888888889	3648016.08381519	0.1756
109-66-0	Pentane	469.65	3368778.41344188	0.251
78-78-4	2-Methylbutane	460.427777777778	3381188.97656959	0.2273
3744-21-6	2,2-Dimethylpropane	433.777777777778	3199167.38402995	0.197
110-54-3	n-Hexane	507.427777777778	3012319.4613851	0.2957
107-83-5	2-Methylpentane	497.5	3010251.03419715	0.2791
96-14-0	3-Methylpentane	504.427777777778	3124014.52953442	0.275
75-83-2	2,2-Dimethylbutane	488.777777777778	3080577.55858746	0.231
79-29-8	2,3-Dimethylbutane	499.977777777778	3126772.43245169	0.2473
142-82-5	n-Heptane	540.261111111111	2735839.69392906	0.3506
40626-78-6	2-Methylhexane	530.372222222222	2733771.26674111	0.3298
589-34-4	3-Methylhexane	535.25	2813750.45134186	0.324
617-78-7	3-Ethylpentane	540.638888888889	2890971.73302534	0.3101
590-35-2	2,2-Dimethylpentane	520.5	2773071.38331217	0.2886
565-59-3	2,3-Dimethylpentane	537.35	2908208.62625826	0.2986
108-08-7	2,4-Dimethylpentane	519.788888888889	2736529.16965838	0.3059
562-49-2	3,3-Dimethylpentane	536.4	2945440.31564137	0.2697
464-06-2	2,2,3-Trimethylbutane	531.172222222222	2953714.02439317	0.251
111-65-9	n-Octane	568.827777777778	2486249.47991638	0.3942
592-27-8	2-Methylheptane	559.638888888889	2484181.05272843	0.3776
589-81-1	3-Methylheptane	563.672222222222	2546233.86836694	0.3694
589-53-7	4-Methylheptane	561.738888888889	2542097.01399104	0.3687
619-99-8	3-Ethylhexane	565.488888888889	2608286.68400545	0.3605
590-73-8	2,2-Dimethylhexane	549.872222222222	2528996.97513402	0.3376
584-94-1	2,3-Dimethylhexane	563.488888888889	2628281.48015564	0.3463
589-43-5	2,4-Dimethylhexane	553.522222222222	2556576.00430669	0.343
