CASRN	Chemical	Tc	Pc	Vc	omega
100-00-5	p-chloronitrobenzene	751	3980000	0.000432	0.491
100-01-6	p-nitroaniline	851	4420000	0.000406	0.782
100-10-7	p-dimethylaminobenzaldehyde	832	3070000	0.000471	0.527
100-18-5	p-diisopropylbenzene	689	2450000	0.000598	0.39
100-21-0	terephthalic acid	1113	3950000	0.000424	1.059
100-25-4	p-dinitrobenzene	803	3850000	0.000434	0.662
100-36-7	N,N-diethyl-1,2-ethanediamine	663	3810000	0.0004084	0.65
100-37-8	2-diethylaminoethanol	592	3180000	0.000401	0.782
100-39-0	(bromomethyl)benzene	699	4370000	0.000379	0.318
100-40-3	vinylcyclohexene	599	3430000	0.000379	0.329
100-41-4	ethylbenzene	617.15	3609000	0.000374	0.304
100-42-5	styrene	636	3840000	0.000352	0.297
100-44-7	benzyl chloride	686	3910000	0.00036	0.314
100-46-9	benzylamine	684	4320000	0.000373	0.401
100-47-0	benzonitrile	699.35	4215000	0.0003132	0.366
100-50-5	3-cyclohexene-1-carboxaldehyde	655	4030000	0.000345	0.364
100-51-6	benzyl alcohol	720.15	4550000	0.000335	0.367
100-52-7	benzaldehyde	695	4650000	0.000324	0.313
100-53-8	benzenemethanethiol	712	4060000	0.000367	0.299
100-54-9	3-pyridinecarbonitrile	703	4120000	0.000344	0.422
100-60-7	N-methylcyclohexylamine	622	3490000	0.000393	0.386
100-61-8	N-methylaniline	701.55	5200000	0.000373	0.475
100-63-0	phenylhydrazine	761	4910000	0.000418	0.535
100-64-1	cyclohexanone oxime	715	4690000	0.000369	0.462
100-66-3	anisole	645.6	4250000	0.000337	0.35
100-68-5	methyl phenyl sulfide	710.76	4206000	0.0003735	0.327
100-71-0	2-ethylpyridine	636.2	3980000	0.000367	0.357
100-80-1	m-methylstyrene	657	3290000	0.000407	0.349
100-97-0	methenamine	837	3680000	0.000402	0.299
1000-86-8	2,4-dimethyl-1,3-pentadiene	556	3450000	0.0003478	
1000-87-9	2,4-dimethyl-2,3-pentadiene	556	3450000	0.0003478	
1001-89-4	2-chloroheptane	621.08	2693000	0.0004765	0.418
1002-17-1	2,9-dimethyldecane	646.14	1805000	0.0006955	0.519
1002-43-3	3-methylundecane	655	1870000	0.000693	0.552
1002-69-3	1-chlorodecane	679.88	2038000	0.0006445	0.547
1002-84-2	pentadecanoic acid	775	1600000	0.000864	0.959
10020-43-6	2-(octyloxy)ethanol	672	2340000	0.0006245	
10022-50-1	nitryl fluoride	349.5	6116000	0.00010982	
10024-78-9	4-ethyl-1-methyloctylamine	664.56	1966000	0.0006779	0.606
10024-97-2	nitrous oxide	309.57	7245000	0.0000974	0.1408
10025-67-9	sulfur monochloride	659.37	6275000	0.00023938	0.272
10025-71-5	tellurium dichloride	1021.54	17703000	0.00012569	
10025-78-2	silane, trichloro	479	4170000	0.000268	0.203
10025-85-1	nitrogen trichloride	564	10400000	0.0002069	0.199
10025-87-3	phosphorus oxychloride	602.15	3440000	0.000201	0.0832
10025-91-9	antimony trichloride	794	4820000	0.000272	0.171
10026-01-4	osmium (IV) chloride	1357.65			
10026-03-6	selenium tetrachloride	743.95	6105000	0.00027761	0.269
10026-04-7	silicon tetrachloride	507	3590000	0.000326	0.2318
10026-07-0	tellurium tetrachloride	1002	8560000	0.00031	0.326
10026-10-5	uranium (IV) chloride	1661.19	10365000	0.00034911	
10026-11-6	zirconium chloride	778	5770000	0.000319	0.298
10026-12-7	niobium (V) chloride	803.5	4880000	0.000397	
10026-13-8	phosphorus pentachloride	646.15	5815000	0.00027716	0.531
10028-15-6	ozone	261	5570000	0.000089	0.2119
10028-17-8	tritium	44.91	2380000	0.00004111	
10028-18-9	nickel fluoride	3278.75	27037000	0.0003025	0.654
100295-82-7	2-methyl-3-hexanol, (±)	587.2	3151000	0.0004341	0.709
100295-83-8	5-methyl-3-hexanol, (±)	587.2	3151000	0.0004341	0.709
100295-85-0	6-methyl-3-heptanol, (±)	600.92	2849000	0.000488	0.733
100296-26-2	2-methyl-3-heptanol, (±)	600.92	2849000	0.000488	0.733
1003-03-8	cyclopentylamine	584	4640000	0.000308	0.329
1003-17-4	2,2-dimethyltetrahydrofuran	563.41	4016000	0.0003315	0.269
1003-19-6	1,1-diethylcyclopropane	530	3300000	0.0003759	
1003-30-1	2-ethyltetrahydrofuran	580.07	3796000	0.0003335	0.308
1003-38-9	2,5-dimethyltetrahydrofuran	556.78	3647000	0.0003325	0.282
1003-90-3	2,3,4,5-tetramethyl-1H-pyrrole	670	3750000	0.00039	
10031-22-8	lead bromide	1933.47	15943000	0.0003025	0.498
10031-24-0	tin (II) bromide	1466.09	13911000	0.00022958	
10031-87-5	2-ethylbutyl acetate	618	2540000	0.000494	0.54
10032-13-0	hexyl isopentanoate	652	2047000	0.0006587	0.639
10032-15-2	hexyl sec-pentanoate	652	2047000	0.0006587	0.639
10034-85-2	hydrogen iodide	423.85	8310000	0.0001219	0.0381
10035-10-6	hydrogen bromide	363.15	8552000	0.00010026	0.0693
10036-47-2	tetrafluorohydrazine	309.35	3710000	0.000213	0.2233
10038-98-9	germanium chloride	553.2	3861000	0.00033	0.123
1004-77-9	2-isopropylcyclohexanone	690	2950000	0.0004746	
10042-59-8	2-propyl-1-heptanol	643.4	2316000	0.0006085	0.883
10043-35-3	boric acid	289.8	4053000	0.00017311	0.1254
10043-52-4	calcium chloride	3620			
10043-92-2	radon	377	6280000	0.00014	
