CAS	Chemical	Tc	Tc_error	Pc	Pc_error	Vc	Vc_error
75-07-0	Acetaldehyde	462	8	7500000	1000000	0.000154	0.000005
64-19-7	Acetic acid	593	2	5790000	30000	0.000171	0.000002
108-24-7	Acetic anhydride	606	1	4000000	80000	0.000294	0.000012
67-64-1	Acetone	508.1	0.2	4700000	100000	0.000221	0.00002
75-05-8	Acetonitrile	545.47	0.07	4880000	50000	0.000173	0.000059
98-86-2	Acetophenone	709.5	0.7	4010000	50000	0.000373	0.00004
74-86-2	Acetylene	308.4	0.4	6240000	40000	0.000119	0.000011
107-13-1	Acrylonitrile	540	2	4600000	100000	0.000211	0.00001
463-49-0	Allene	394	4	6500000	700000	0.000167	0.000008
107-18-6	Allyl alcohol	539.8	0.6	5760000	40000	0.000222	0.000009
107-11-9	Allylamine	540	0.7	4830000	30000	0.000217	0.000011
557-31-3	Allyl ethyl ether	518	10			0.00032	0.00001
90-41-5	2-Aminobiphenyl	838	2	3520000	30000	0.000548	0.000099
929-06-6	2-(2-Aminoethoxy)ethanol	721	4	4880000	100000	0.000333	0.000019
111-41-1	N-(2-Aminoethyl)ethanolamine	739	2	4530000	90000	0.00034	0.000017
62-53-3	Aniline	704	7	5300000	100000	0.000291	0.000003
100-66-3	Anisole	646.1	0.2	4200000	100000	0.000355	0.000012
71-43-2	Benzene	562	0.1	4900000	20000	0.000257	0.000011
103-82-2	Benzeneacetic acid	766	8	3900000	300000	0.000372	0.000016
1821-12-1	Benzenebutanoic acid	783	8	3200000	200000	0.000493	0.000018
3360-41-6	Benzenebutanol	746	14	3100000	200000	0.000493	0.000019
60-12-8	Benzeneethanol	724	4	4000000	200000	0.00039	0.000015
40228-90-8	Benzeneheptanoic acid	798	8	2500000	300000	0.000662	0.000021
5581-75-9	Benzenehexanoic acid	794	8	2600000	300000	0.000611	0.00002
2270-20-4	Benzenepentanoic acid	790	8	3100000	200000	0.000526	0.000019
501-52-0	Benzenepropanoic acid	776	8	3500000	200000	0.00044	0.000017
122-97-4	Benzenepropanol	732	14	3400000	500000	0.00045	0.000014
100-47-0	Benzonitrile	691	9	4220000	40000	0.000348	0.000007
119-61-9	Benzophenone	830	2	3000000	100000	0.000568	0.000044
95-15-8	Benzo[b]thiophene	764	2	4680000	40000	0.000359	0.000059
100-51-6	Benzyl alcohol	715	3	4300000	200000	0.000333	0.000013
90-42-6	[1,1'-Bicyclohexyl]-2-one	787	70			0.000584	0.00002
1636-39-1	1,1'-Bicyclopentyl	690	2	3270000	30000	0.000497	0.000041
92-52-4	Biphenyl	773	5	3430000	60000	0.000481	0.000069
111-40-0	Bis(2-aminoethyl)amine	710	2	4430000	70000	0.00035	0.000021
267901-02-0	1,1-Bis(difluoromethoxy)-1,2,2,2-tetrafluoroethane	450	1	2400000	80000	0.00041	0.000004
1691-17-4	Bis(difluoromethyl) ether	420.2	0.1	4160000	60000	0.000223	0.000013
117-81-7	Bis(2-ethylhexyl) phthalate	835	9	1100000	200000	0.001495	0.000027
105-59-9	Bis(2-hydroxyethyl)methylamine	742	4	4200000	400000	0.000404	0.000017
333-36-8	Bis(2,2,2-trifluoroethyl) ether	476.31	0.09	2780000	50000	0.000365	0.000005
2117-28-4	Bis(trimethylsilyl)methane	573.9	0.3				
353-59-3	Bromochlorodifluoromethane	428	12	4310000	50000	0.000229	0.000016
1511-62-2	Bromodifluoromethane	412	0.3	5200000	100000	0.000173	0.000018
74-96-4	Bromoethane	503.9	0.4	6200000	100000	0.000214	0.00001
1072-85-1	1-Bromo-2-fluorobenzene	669.6	0.6	4300000	600000	0.000342	0.000018
1073-06-9	1-Bromo-3-fluorobenzene	652	0.4	4200000	600000	0.000337	0.000018
460-00-4	1-Bromo-4-fluorobenzene	654.8	0.4	4200000	200000	0.000338	0.000018
106-94-5	1-Bromopropane	536.9	0.1	4330000	60000	0.000271	0.000006
75-63-8	Bromotrifluoromethane	340.06	0.05	3960000	10000	0.000199	0.000006
392-83-6	1-Bromo-2-(trifluoromethyl)benzene	656.5	0.4	3300000	800000	0.000415	0.000024
401-78-5	1-Bromo-3-(trifluoromethyl)benzene	627.1	0.4	3200000	700000	0.000413	0.000024
402-43-7	1-Bromo-4-(trifluoromethyl)benzene	629.8	0.4	3200000	800000	0.000413	0.000024
106-99-0	1,3-Butadiene	425	1	4350000	70000	0.000221	0.000023
123-72-8	Butanal	537	2			0.000258	0.000009
