CASRN	Chemical	omega_SRK	Vchar	Z_RA
74-82-8	Methane	0.0074	0.00009939	0.2892
74-84-0	Ethane	0.0983	0.0001458	0.2808
74-98-6	Propane	0.1532	0.0002001	0.2766
106-97-8	N-butane	0.2008	0.0002544	0.273
75-28-5	isobutane	0.1825	0.0002568	0.2754
109-66-0	N-pentane	0.2522	0.0003113	0.2684
78-78-4	isopentane	0.24	0.0003096	0.2717
463-82-1	neopentane	0.1975	0.0003126	0.2756
110-54-3	N-hexane	0.3007	0.0003682	0.2635
107-83-5	2-methylpentane	0.2791	0.0003677	0.2672
96-14-0	3-methylpentane	0.2741	0.0003633	0.269
75-83-2	2,2-dimethylbutane	0.233	0.0003634	0.2733
79-29-8	2,3-dimethylbutane	0.2477	0.000361	0.2705
142-82-5	N-heptane	0.3507	0.0004304	0.2604
590-35-2	2,2-dimethylpentane	0.2882	0.0004225	0.2684
108-08-7	2,4-dimethylpentane	0.304	0.0004251	0.2671
562-49-2	3,3-dimethylpentane	0.2681	0.0004137	0.2707
565-59-3	2,3-dimethylpentane	0.2973	0.0004127	0.2703
591-76-4	2-methylhexane	0.331	0.0004274	0.2638
589-34-4	3-methylhexane	0.3243	0.0004231	0.2654
617-78-7	3-ethylpentane	0.3118	0.0004163	0.2658
464-06-2	2,2,3-trimethylbutane	0.2511	0.0004125	0.2727
111-65-9	N-octane	0.3998	0.0004904	0.2571
540-84-1	isooctane	0.3045	0.000479	0.2684
594-82-1	2,2,3,3-tetramethylbutane	0.2513	0.0004461	0.2738
111-84-2	nonane	0.4478	0.0005529	0.2543
124-18-5	decane	0.4916	0.0006192	0.2501
1120-21-4	undecane	0.5422	0.0006865	0.2499
112-40-3	dodecane	0.5807	0.0007558	0.2466
629-50-5	tridecane	0.634	0.0008317	0.2473
629-59-4	tetradecane	0.6821	0.0009022	0.243
629-62-9	pentadecane	0.7254	0.0009772	0.2418
544-76-3	hexadecane	0.7667	0.0010539	0.2388
629-78-7	heptadecane	0.7946	0.0011208	0.2343
593-45-3	octadecane	0.8124	0.0011989	0.2275
629-92-5	nonadecane	0.8328	0.0012715	0.2236
112-95-8	eicosane	0.9239	0.0013754	0.2281
629-94-7	heneicosane	1.0505	0.0015081	0.2363
629-97-0	docosane	1.0561	0.0015839	0.235
638-67-5	tricosane	1.0477	0.0016501	0.2341
646-31-1	tetracosane	1.0316	0.0017104	
629-99-2	pentacosane	1.0014	0.0017887	
630-01-3	hexacosane	0.9498	0.0018133	0.2302
593-49-7	heptacosane	0.9001	0.001942	
630-02-4	octacosane	0.8455	0.0018972	0.2277
74-85-1	ethylene	0.8282	0.000131	0.2815
115-07-1	propylene	0.1455	0.0001829	0.2779
106-98-9	1-butene	0.1921	0.0002377	0.2736
590-18-1	Cis-2-butene	0.2039	0.0002311	0.2701
624-64-6	Trans-2-butene	0.2153	0.0002367	0.272
115-11-7	isobutene	0.1959	0.0002369	0.2728
109-67-1	1-pentene	0.2824	0.0002951	0.2889
627-20-3	Cis-2-pentene	0.2426	0.0002875	0.2671
646-04-8	Trans-2-pentene	0.2399	0.0002429	0.2704
563-46-2	2-methyl-1-butene	0.2355	0.0000833333333333333	0.2627
563-45-1	3-methyl-1-butene	0.2266	0.000294	0.2739
513-35-9	2-methyl-2-butene	0.2852	0.0002883	0.2592
592-41-6	1-hexene	0.285	0.0003509	0.2658
592-76-7	1-heptene	0.3639	0.0004113	0.2611
111-66-0	1-octene	0.3876	0.000471	0.26
124-11-8	1-nonene	0.4327	0.0005333	0.2539
872-05-9	1-decene	0.4975	0.0006013	0.2546
463-49-0	propadiene	0.143	0.0001655	0.2584
590-19-2	1,2-butadiene	0.2492	0.0002199	0.2675
106-99-0	1,3-butadiene	0.1934	0.0002202	0.2712
591-95-7	1,2-pentadiene	0.176	0.0002692	0.2677
78-79-5	isoprene	0.17	0.000287	0.2652
74-86-2	acetylene	0.2049	0.0001128	0.2709
74-99-7	methylacetylene	0.2184	0.0001609	0.2706
503-17-3	dimethylacetylene	0.1581	0.0002214	0.2693
107-00-6	1-butyne	0.0986	0.0002315	0.2711
75-19-4	cyclopropane	0.1305	0.000161	0.2716
287-92-3	cyclopentane	0.1969	0.00026	0.2745
96-37-7	methylcyclopentane	0.2322	0.0003181	0.2711
110-82-7	cyclohexane	0.2128	0.000309	0.2729
108-87-2	methylcyclohexane	0.2371	0.0003709	0.2704
1638-26-2	1,1-dimethylcyclopentane	0.2691	0.0003754	0.2768
1759-58-6	1-trans-3-dimethylcyclopentane	0.2676	0.0003796	0.2768
822-50-4	1-trans-2-dimethylcyclopentane	0.2689	0.0003784	0.2763
2532-58-3	1-cis-3-dimethylcyclopentane	0.2825	0.0003825	0.2823
1192-18-3	1-cis-2-dimethylcyclopentane	0.2685	0.0003706	0.2699
71-43-2	Benzene	0.2137	0.0002564	0.2698
108-88-3	toluene	0.2651	0.0003137	0.2644
100-41-4	ethylbenzene	0.3048	0.0003702	0.262
95-47-6	O-xylene	0.3118	0.0003673	0.2625
108-38-3	M-xylene	0.3216	0.000374	0.2592
106-42-3	P-xylene	0.3216	0.000374	0.2592
100-42-5	styrene	0.242	0.0003482	0.2634
98-82-8	cumene	0.3277	0.0004271	0.2617
538-68-1	pentylbenzene	0.4406	0.0005561	0.2547
1078-71-3	heptylbenzene	0.5441	0.0006906	0.2508
1081-77-2	nonylbenzene	0.6583	0.0008369	0.2471
6742-54-7	undecylbenzene	0.7659	0.0009919	0.2444
123-02-4	tridecylbenzene	0.9001	0.0011693	0.2434
14752-75-1	heptadecylbenzene	0.9404	0.0011456	
61828-04-4	tricosylbenzene	1.1399	0.0019952	
7440-59-7	helium	-0.4766	0.00005457	0.2981
1333-74-0	hydrogen	-0.2324	0.00006423	0.306
7727-37-9	nitrogen	0.0358	0.00009012	0.29
7782-44-7	oxygen	0.0298	0.00007382	0.2905
107-21-1	ethylene glycol	0.228	0.000212	0.2488
111-46-6	diethylene glycol	1.0713	0.0003522	0.2489
112-27-6	triethylene glycol	1.254	0.0005347	0.2462
111-42-2	diethanolamine	1.5299	0.0003143	0.2527
67-56-1	methyl alcohol	0.5536	0.0001198	0.2334
64-17-5	ethyl alcohol	0.6378	0.0001752	0.2502
71-23-8	N-propyl alcohol	0.6249	0.0002305	0.2541
67-63-0	isopropyl alcohol	0.6637	0.0002313	0.2493
75-07-0	acetaldehyde	0.2647	0.0001519	0.2269
67-64-1	acetone	0.3149	0.000208	0.2477
7782-50-5	chlorine	0.0822	0.0001223	0.2767
7647-01-0	hydrogen chloride	0.1254	0.00008383	0.2653
60-29-7	ethyl ether	0.28	0.0002812	0.2632
75-69-4	trichlorofluoromethane	0.1871	0.000246	0.2745
75-71-8	dichlorodifluoromethane	0.1699	0.0002147	0.2757
75-72-9	chlorotrifluoromethane	0.1747	0.0001807	0.2771
75-43-4	dichloromonofluoromethane	0.2102	0.0001958	0.2705
75-45-6	monochlorodifluoromethane	0.2215	0.0001637	0.2663
354-58-5	trichlorotrifluoroethane	0.256	0.0003263	0.2721
306-83-2	dichlorotrifluoroethane	0.2582	0.0002954	0.2737
7664-41-7	ammonia	0.262	0.00007013	0.2465
302-01-2	hydrazine	0.341	0.00009844	0.264
7732-18-5	water	0.3852	0.00004357	0.2338
630-08-0	carbon monoxide	0.0295	0.00009214	0.2896
124-38-9	carbon dioxide	0.2373	0.00009384	0.2722
10102-43-9	nitric oxide	0.5896	0.00005795	0.2668
10544-72-6	nitrogen peroxide	0.8634	0.00009117	0.2413
10024-97-2	nitrous oxide	0.1691	0.00009802	0.2758
75-21-8	ethylene oxide	0.2114	0.0001345	0.2569
8004-13-5	dowtherm A	0.4084	0.0005185	0.2542
126-33-0	sulfolane	0.3591	0.0003136	0.2384
7446-09-5	sulfur dioxide	0.2645	0.0001204	0.2661
7446-11-9	sulfur trioxide	0.5025	0.0001222	0.2515
7704-34-9	hydrogen sulfide	0.1039	0.00009941	0.2855
75-15-0	carbon disulfide	0.1035	0.000169	0.2808
