CASRN	Chemical	MW	rho	k	Tm	Tmax
7429-90-5	Aluminum	26.982	2377	0.311	933.47	1190.15
7727-15-3	Aluminum bromide	266.694	2647	2.435	370.65	540.15
7446-70-0	Aluminum chloride	133.341	1302	2.711	465.75	569.15
7784-23-8	Aluminum iodide	407.695	3223	2.5	461.43	513.15
7440-36-0	Antimony	121.76	6530	0.67	903.778	1018.15
10025-91-9	Antimony(III) chloride	228.119	2681	2.293	346.55	350.15
7647-18-9	Antimony(V) chloride	299.025	2370	1.869	277.15	350.15
7790-44-5	Antimony(III) iodide	502.473	4171	2.483	444.15	595.15
7440-38-2	Arsenic	74.922	5220	0.544	1090.15	1110.15
7440-39-3	Barium	137.327	3338	0.299	1000.15	1823.15
10553-31-8	Barium bromide	297.135	3991	0.924	1130.15	1173.15
10361-37-2	Barium chloride	208.233	3174	0.681	1234.15	1354.15
7787-32-8	Barium fluoride	175.324	4140	0.999	1641.15	2000.15
13718-50-8	Barium iodide	391.136	4260	0.977	984.15	1248.15
7440-41-7	Beryllium	9.012	1690	0.11	1560.15	1580.15
7787-47-5	Beryllium chloride	79.918	1540	1.1	688.15	746.15
7787-49-7	Beryllium fluoride	47.009	1960	0.015	825.15	1123.15
7440-69-9	Bismuth	208.98	10050	1.35	544.556	1073.15
7787-58-8	Bismuth tribromide	448.692	4760	2.637	492.15	1200.15
7787-60-2	Bismuth trichloride	315.339	3916	2.3	507.15	623.15
7440-42-8	Boron	10.811	2080	0	2348.15	2368.15
7440-43-9	Cadmium	112.411	7996	1.218	594.219	773.15
7789-42-6	Cadmium bromide	272.219	4075	1.08	841.15	993.15
10108-64-2	Cadmium chloride	183.317	3392	0.82	841.15	1080.15
7790-80-9	Cadmium iodide	366.22	4396	1.117	661.15	973.15
7440-70-2	Calcium	40.078	1378	0.23	1115.15	1757.15
7789-41-5	Calcium bromide	199.886	3111	0.5	1015.15	1064.15
10043-52-4	Calcium chloride	110.984	2085	0.422	1048.15	1223.15
7789-75-5	Calcium fluoride	78.075	2520	0.391	1691.15	2300.15
10102-68-8	Calcium iodide	293.887	3443	0.751	1056.15	1301.15
7440-45-1	Cerium	140.116	6550	0.71	1072.15	1733.15
7790-86-5	Cerium(III) chloride	246.475	3250	0.92	1080.15	1223.15
7758-88-5	Cerium(III) fluoride	197.111	4659	0.936	1703.15	2200.15
7440-46-2	Cesium	132.905	1843	0.556	301.65	783.15
7787-69-1	Cesium bromide	212.809	3133	1.223	909.15	1133.15
7647-17-8	Cesium chloride	168.358	2790	1.065	919.15	1179.15
13400-13-0	Cesium fluoride	151.903	3649	1.282	976.15	1185.15
7789-17-5	Cesium iodide	259.809	3197	1.183	905.15	1180.15
7789-18-6	Cesium nitrate	194.91	2820	1.166	682.15	764.15
10294-54-9	Cesium sulfate	361.874	3100	0.95	1278.15	1803.15
7440-47-3	Chromium	51.996	6300	1.1	2180.15	2373.15
7440-48-4	Cobalt	58.933	7750	1.65	1768.15	1853.15
7440-50-8	Copper	63.546	7997	0.819	1357.77	2500.15
7758-89-6	Copper(I) chloride	98.999	3692	0.76	696.15	858.15
7429-91-6	Dysprosium	162.5	8370	1.43	1685.15	1813.15
10025-74-8	Dysprosium(III) chloride	268.859	3620	0.68	991.15	1260.15
7440-52-0	Erbium	167.259	8860	1.57	1802.15	1973.15
7440-53-1	Europium	151.964	5130	2.8	1095.15	1253.15
7440-54-2	Gadolinium	157.25	7400	0	1586.15	1606.15
10138-52-0	Gadolinium(III) chloride	263.61	3560	0.671	875.15	1280.15
13572-98-0	Gadolinium(III) iodide	537.96	4120	0.908	1203.15	1305.15
7440-55-3	Gallium	69.723	6080	0.62	302.916	673.15
13450-88-9	Gallium(III) bromide	309.435	3116	2.46	396.15	408.15
13450-90-3	Gallium(III) chloride	176.082	2053	2.083	351.05	414.15
13450-91-4	Gallium(III) iodide	450.436	3630	2.377	485.15	525.15
7440-56-4	Germanium	72.64	5600	0.55	1211.4	1873.15
7440-57-5	Gold	196.967	17310	1.343	1337.33	1473.15
7440-58-6	Hafnium	178.49	12000	0	2506.15	2526.15
7440-60-0	Holmium	164.93	8340	0	1745.15	1765.15
7440-74-6	Indium	114.818	7020	0.836	429.75	773.15
13465-09-3	Indium(III) bromide	354.53	3121	1.5	693.15	801.15
