CASRN	Chemical	a1	a2	a3	a4	a5
108-89-4	4-Methylpyridine	-6553	-32873	-49874	0	0
108-99-6	3-Methylpyridine	-6304	-30415	-44549	0	0
75-05-8	Acetonitrile	-5840	-29175	-47611	0	0
108-38-3	m-Xylene	-5808	-23244	-27607	0	0
95-47-6	o-Xylene	-5632	-22873	-28900	0	0
107-87-9	2-Pentanone	-4962	-26372	-46537	0	0
106-42-3	p-Xylene	-4921	-16843	-16159	0	0
64-17-5	Ethanol	-4475	-29719	-56716	0	0
111-65-9	Octane	-4123	-13120	-16408	-8580	0
111-66-0	1-Octene	-3273	-6557	0	0	0
67-63-0	2-Propanol	-3165	-16092	-24197	0	0
7783-66-6	Iodine pentafluoride	-3077	-8474	-9116	0	0
109-06-8	2-Methylpyridine	-2940	-8813	-7809	0	0
142-82-5	Heptane	-2834	-8523	-10068	-5051	0
71-23-8	1-Propanol	-2690	-12040	-16738	0	0
71-36-3	1-Butanol	-2629	-6315	0	0	0
108-88-3	Toluene	-2620	-7548	-6349	0	0
592-76-7	1-Heptene	-2491	-6230	-3780	0	0
78-93-3	2-Butanone	-2282	-5907	0	0	0
141-78-6	Ethyl acetate	-2272	-8818	-13130	0	0
78-83-1	2-Methyl-1-propanol	-2269	-5065	0	0	0
78-92-2	2-Butanol	-2232	-5209	0	0	0
554-12-1	Methyl propanoate	-2216	-7339	-8658	0	0
110-74-7	Propyl formate	-2118	-7299	-8851	0	0
121-44-8	Triethylamine	-2061	-5735	-5899	0	0
67-64-1	Acetone	-2051	-8903	-18056	-16448	0
110-54-3	Hexane	-1961	-6691	-13167	-15273	0
75-65-0	2-Methyl-2-propanol	-1952	-4775	0	0	0
110-86-1	Pyridine	-1765	-3431	0	0	0
67-56-1	Methanol	-1752	-4694	0	0	0
110-82-7	Cyclohexane	-1733	-5618	-9486	-7936	0
79-20-9	Methyl acetate	-1709	-6348	-9650	0	0
109-69-3	1-Chlorobutane	-1643	-4897	-6178	-3718	0
56-23-5	Tetrachloromethane	-1600	-4059	-4653	0	0
