CASRN	Chemical	Vm
7787-71-5	Bromine trifluoride	0.0000488401712450945
7601-90-3	Perchloric acid	0.0000567564971751412
14486-19-2	Cadmium tetrafluoroborate	0.0001787625
3236-82-6	Niobium(V) ethoxide	0.000252948330683625
7791-09-5	Rhenium(VII) trioxychloride	0.0000696790697674419
13774-85-1	Xenon oxytetrafluoride	0.0000704372239747634
13769-36-3	Dibromogermane	0.0000837357142857143
7789-60-8	Phosphorus(III) bromide	0.0000966735714285714
7783-43-9	Selenium oxyfluoride	0.0000474857142857143
13465-66-2	Selenium tetrafluoride	0.0000563454545454545
7784-35-2	Arsenic(III) fluoride	0.0000488581481481481
593-95-3	Carbonyl bromide	0.0000751272
7783-72-4	Vanadium(V) fluoride	0.0000583736
13465-76-4	Tribromochlorosilane	0.000121446135362435
7789-30-2	Bromine pentafluoride	0.0000710959349593496
13569-43-2	Bromogermane	0.000066482905982906
14691-44-2	Trigermane	0.000102718181818182
13465-75-3	Dibromodichlorosilane	0.000119152854511971
7784-34-1	Arsenic(III) chloride	0.0000843167441860465
13455-03-3	Phosphoryl bromide dichloride	0.0000940033269961977
15230-48-5	Dichlorogermane	0.0000766105263157895
10038-98-9	Germanium(IV) chloride	0.00011406914893617
13465-74-2	Bromotrichlorosilane	0.000117387185104053
16872-11-0	Tetrafluoroboric acid	0.000048785
13637-65-5	Chlorogermane	0.0000634971428571429
7789-21-1	Fluorosulfonic acid	0.0000579774044032445
7791-25-5	Sulfuryl chloride	0.0000803392857142857
10025-87-3	Phosphoryl chloride	0.0000932109422492401
13779-41-4	Difluorophosphoric acid	0.0000644207201516108
7719-12-2	Phosphorus(III) chloride	0.0000872509529860229
13465-05-9	Hydrogen chloride dihydrate	0.0000496520547945205
7722-84-1	Hydrogen peroxide	0.0000236215277777778
13465-07-1	Hydrogen disulfide	0.0000495847076461769
13463-39-3	Nickel carbonyl [Ni(CO)4]	0.000130331297709924
14940-65-9	Water-t2	0.0000181512605042017
557-20-0	Zinc diethyl	0.000102387898881061
7789-20-0	Water-d2	0.0000181338283230714
7732-18-5	Water	0.0000180692076228686
289-22-5	Cyclopentasilane	0.000156289719626168
96-10-6	Chlorodiethylaluminum	0.000125580208333333
