CASRN	Chemical	Vm
1002-88-6	Cobalt(II) stearate	0.000553869026548673
1002-89-7	Ammonium stearate	0.000338774157303371
10022-31-8	Barium nitrate	0.0000806592592592592
10022-47-6	Ammonium chromic sulfate dodecahydrate	0.000278106395348837
10022-48-7	Lithium dichromate dihydrate	0.000113632905982906
10022-68-1	Cadmium nitrate tetrahydrate	0.000125911020408163
10022-70-5	Sodium hypochlorite pentahydrate	0.00010282375
10024-93-8	Neodymium(III) chloride	0.0000606782082324455
10025-64-6	Zinc perchlorate hexahydrate	0.000169273636363636
10025-65-7	Platinum(II) chloride	0.0000443316666666667
10025-66-8	Radium chloride	0.0000606122448979592
10025-69-1	Tin(II) chloride dihydrate	0.0000832645756457565
10025-70-4	Strontium chloride hexahydrate	0.000136030612244898
10025-71-5	Tellurium dichloride	0.0000287695652173913
10025-73-7	Chromium(III) chloride	0.000057375
10025-74-8	Dysprosium(III) chloride	0.000073258583106267
10025-76-0	Europium(III) chloride	0.0000528267893660532
10025-77-1	Iron(III) chloride hexahydrate	0.000148513736263736
10025-82-8	Indium(III) chloride	0.00005529425
10025-83-9	Iridium(III) chloride	0.0000563350943396226
10025-91-9	Antimony(III) chloride	0.0000726493630573248
10025-93-1	Uranium(III) chloride	0.0000625023593466425
10025-99-7	Potassium tetrachloroplatinate	0.000122808579881657
10026-01-4	Osmium(IV) chloride	0.0000758082191780822
10026-03-6	Selenium tetrachloride	0.0000849115384615384
10026-06-9	Tin(IV) chloride pentahydrate	0.000171861764705882
10026-07-0	Tellurium tetrachloride	0.0000898033333333333
10026-08-1	Thorium(IV) chloride	0.0000814488017429194
10026-10-5	Uranium(IV) chloride	0.0000804747881355932
10026-11-6	Zirconium(IV) chloride	0.0000832271428571429
10026-12-7	Niobium(V) chloride	0.0000971838129496403
10026-13-8	Phosphorus(V) chloride	0.0000991614285714286
10026-17-2	Cobalt(II) fluoride	0.0000217331838565022
10026-18-3	Cobalt(III) fluoride	0.0000298783505154639
10026-20-7	Cobalt(II) potassium sulfate hexahydrate	0.000197003153153153
10026-22-9	Cobalt(II) nitrate hexahydrate	0.000154805319148936
10026-24-1	Cobalt(II) sulfate heptahydrate	0.000138473891625616
10028-18-9	Nickel(II) fluoride	0.0000205723404255319
10028-22-5	Iron(III) sulfate	0.000128992903225806
10031-13-7	Lead(II) arsenite	0.000071965811965812
10031-21-7	Lead(II) bromate monohydrate	0.0000869801084990958
10031-22-8	Lead(II) bromide	0.0000548579970104634
10031-23-9	Radium bromide	0.0000666666666666667
10031-24-0	Tin(II) bromide	0.000054398046875
10031-25-1	Chromium(III) bromide	0.0000623307692307692
10031-26-2	Iron(III) bromide	0.0000656793333333333
10031-27-3	Tellurium tetrabromide	0.000104004651162791
10031-30-8	Calcium dihydrogen phosphate monohydrate	0.000113544144144144
10031-43-3	Copper(II) nitrate trihydrate	0.000104138793103448
10031-45-5	Copper(II) selenate pentahydrate	0.0001158515625
10031-52-4	Erbium sulfate octahydrate	0.00023963375
10031-54-6	Europium(II) sulfate	0.0000497048096192385
10034-81-8	Magnesium perchlorate	0.000101457272727273
10034-88-5	Sodium hydrogen sulfate monohydrate	0.0000657504761904762
10034-93-2	Hydrazine sulfate	0.0000944296081277213
10034-96-5	Manganese(II) sulfate monohydrate	0.0000572935593220339
10034-98-7	Ytterbium(III) sulfate octahydrate	0.000235875757575758
10034-99-8	Magnesium sulfate heptahydrate	0.000147589221556886
10035-04-8	Calcium chloride dihydrate	0.0000794675675675676
10035-05-9	Calcium chlorate dihydrate	0.0000896388786425673
10035-06-0	Bismuth nitrate pentahydrate	0.000171403180212014
10039-31-3	Beryllium selenate tetrahydrate	0.00011035960591133
10039-32-4	Sodium hydrogen phosphate dodecahydrate	0.000238762
10042-76-9	Strontium nitrate	0.0000707792642140468
10042-88-3	Terbium(III) chloride	0.0000609848275862069
10043-11-5	Boron nitride	0.0000113844036697248
10043-35-3	Boric acid	0.000041222
10043-52-4	Calcium chloride	0.0000516204651162791
10045-86-0	Iron(III) phosphate dihydrate	0.0000651034843205575
10045-87-1	Iron(III) sodium pyrophosphate	0.000168518666666667
10045-94-0	Mercury(II) nitrate	0.0000754883720930232
10048-95-0	Sodium hydrogen arsenate heptahydrate	0.000166852406417112
10048-98-3	Barium hydrogen phosphate	0.0000560831730769231
10049-01-1	Bismuth phosphate	0.0000480935126582279
10049-05-5	Chromium(II) chloride	0.0000426743055555556
10049-06-6	Titanium(II) chloride	0.0000379466453674121
10049-07-7	Rhodium(III) chloride	0.0000388968401486989
10049-08-8	Ruthenium(III) chloride	0.0000669129032258065
10049-10-2	Chromium(II) fluoride	0.0000237448548812665
10049-11-3	Chromium(IV) fluoride	0.0000442871972318339
10049-12-4	Vanadium(III) fluoride	0.0000320954504906334
10049-14-6	Uranium(IV) fluoride	0.0000468691044776119
10049-16-8	Vanadium(IV) fluoride	0.0000402971428571429
10049-17-9	Rhenium(VI) fluoride	0.0000739401477832512
10049-23-7	Tellurous acid	0.0000592033333333333
10049-24-8	Iridium(III) bromide	0.0000633326979472141
10049-25-9	Chromium(II) bromide	0.0000500009442870633
10060-08-9	Calcium chromate dihydrate	0.0000768408
10060-09-0	Cadmium selenate dihydrate	0.0000804972375690608
10060-10-3	Cerium(IV) fluoride	0.0000453060796645702
10060-13-6	Ammonium copper(II) chloride dihydrate	0.000139219769192173
10097-28-6	Silicon monoxide	0.0000202224770642202
10099-58-8	Lanthanum chloride	0.0000638708333333333
10099-66-8	Lutetium chloride	0.0000706849246231156
10099-74-8	Lead(II) nitrate	0.0000731125827814569
10099-76-0	Lead(II) metasilicate	0.0000436517719568567
10101-41-4	Calcium sulfate dihydrate	0.0000742116379310345
10101-50-5	Sodium permanganate trihydrate	0.0000793408906882591
10101-52-7	Zirconium(IV) orthosilicate	0.0000398495652173913
10101-53-8	Chromium(III) sulfate	0.000126509677419355
10101-63-0	Lead(II) iodide	0.0000748376623376623
10101-68-5	Manganese(II) sulfate tetrahydrate	0.0000987
10101-89-0	Sodium phosphate dodecahydrate	0.000234644444444444
10101-91-4	Sodium thioantimonate nonahydrate	0.000267292777777778
10101-97-0	Nickel(II) sulfate hexahydrate	0.00012697922705314
10101-98-1	Nickel(II) sulfate heptahydrate	0.000141849494949495
10102-03-1	Nitrogen pentoxide	0.000054005
10102-15-5	Sodium sulfite heptahydrate	0.000161634615384615
10102-17-7	Sodium thiosulfate pentahydrate	0.000146854437869822
10102-23-5	Sodium selenate decahydrate	0.000229248447204969
10102-24-6	Lithium metasilicate	0.0000357007936507936
10102-25-7	Lithium sulfate monohydrate	0.0000621165048543689
10102-34-8	Magnesium pyrophosphate trihydrate	0.000108046875
10102-40-6	Sodium molybdate dihydrate	0.0000691285714285714
10102-45-1	Thallium(I) nitrate	0.0000479978378378378
10102-49-5	Iron(III) arsenate dihydrate	0.0000725770440251572
10102-68-8	Calcium iodide	0.0000742138888888889
10102-71-3	Sodium aluminum sulfate dodecahydrate	0.000284646583850932
10102-75-7	Calcium bromate monohydrate	0.0000942636636636637
10108-64-2	Cadmium chloride	0.000044930637254902
10112-91-1	Mercury(I) chloride	0.0000659343575418994
10118-76-0	Calcium permanganate	0.000115812083333333
10124-36-4	Cadmium sulfate	0.0000444507462686567
10124-37-5	Calcium nitrate	0.0000656348
10124-41-1	Calcium thiosulfate hexahydrate	0.00013919679144385
10124-43-3	Cobalt(II) sulfate	0.000041777897574124
10124-48-8	Mercury(II) amide chloride	0.0000468531598513011
10125-13-0	Copper(II) chloride dihydrate	0.0000679215139442231
10138-41-7	Erbium chloride	0.0000667360975609756
10138-52-0	Gadolinium(III) chloride	0.000058320796460177
10138-62-2	Holmium chloride	0.0000733213513513514
10139-47-6	Zinc iodide	0.0000673455696202532
10141-05-6	Cobalt(II) nitrate	0.0000734706827309237
10170-69-1	Manganese carbonyl	0.000222844
10179-73-4	Iron(II) orthosilicate	0.0000473893023255814
10190-55-3	Lead(II) molybdate	0.0000547910447761194
10192-29-7	Ammonium chlorate	0.0000563833333333333
10192-30-0	Ammonium hydrogen sulfite	0.0000488226600985222
10196-18-6	Zinc nitrate hexahydrate	0.000143933236574746
10210-64-7	Beryllium 2,4-pentanedioate	0.000177421232876712
10210-68-1	Cobalt carbonyl	0.000192105056179775
10213-09-9	Vanadyl dichloride	0.0000478635416666667
10213-10-2	Sodium tungstate dihydrate	0.000101492307692308
10214-39-8	Lead(II) borate monohydrate	0.0000555
10233-88-2	Sodium gold thiosulfate dihydrate	0.000170291262135922
10241-03-9	Zirconium(III) chloride	0.0000647813114754098
10241-05-1	Molybdenum(V) chloride	0.0000932457337883959
10294-26-5	Silver(I) sulfate	0.0000572108256880734
10294-27-6	Gold(I) bromide	0.000033764756097561
10294-29-8	Gold(I) chloride	0.0000305815789473684
10294-31-2	Gold(I) iodide	0.0000392570909090909
10294-38-9	Barium chlorate monohydrate	0.00010136678200692
10294-39-0	Barium perchlorate trihydrate	0.000142435766423358
10294-40-3	Barium chromate(VI)	0.0000562935555555556
10294-42-5	Cerium(IV) sulfate tetrahydrate	0.000103402301790281
10294-44-7	Mercury(I) chlorate	0.0000886378530191918
10294-46-9	Copper(II) perchlorate hexahydrate	0.000166909459459459
10294-47-0	Lead(II) chlorate	0.0000959230769230769
10294-50-5	Cobalt(II) phosphate octahydrate	0.000184427797833935
10294-54-9	Cesium sulfate	0.000085347641509434
10294-60-7	Ammonium hydrogen selenate	0.0000749352451433857
10294-62-9	Lanthanum sulfate nonahydrate	0.000258204255319149
10294-70-9	Tin(II) iodide	0.0000705528409090909
10325-94-7	Cadmium nitrate	0.0000656722222222222
10326-26-8	Barium bromate monohydrate	0.000103044360902256
10326-27-9	Barium chloride dihydrate	0.0000788711656441718
10326-28-0	Cadmium perchlorate hexahydrate	0.000176963713080169
10361-37-2	Barium chloride	0.0000533930769230769
10361-43-0	Bismuth hydroxide	0.0000523986295848448
10361-46-3	Bismuth oxynitrate	0.0000582119675456389
10361-79-2	Praseodymium(III) chloride	0.00006181675
10361-82-7	Samarium(III) chloride	0.0000575605381165919
10361-84-9	Scandium chloride	0.0000630479166666667
10361-92-9	Yttrium chloride	0.0000748141762452107
10361-95-2	Zinc chlorate	0.000108051627906977
10377-48-7	Lithium sulfate	0.0000497488687782805
10377-51-2	Lithium iodide	0.0000329667487684729
10377-52-3	Lithium phosphate	0.0000470707317073171
10377-58-9	Magnesium iodide	0.000062779683972912
10377-60-3	Magnesium nitrate	0.000064484347826087
10377-62-5	Magnesium permanganate hexahydrate	0.000169847706422018
10377-66-9	Manganese(II) nitrate hexahydrate	0.000159466111111111
10377-93-2	Manganese(II) nitrate	0.0000813395454545455
10381-37-0	Thorium(IV) sulfate nonahydrate	0.000209393214285714
10476-81-0	Strontium bromide	0.000058688330170778
10476-85-4	Strontium chloride	0.0000519429882044561
10476-86-5	Strontium iodide	0.0000750395604395604
10534-89-1	Cobalt(III) hexammine chloride	0.000156418128654971
10553-31-8	Barium bromide	0.0000621491319807572
10567-69-8	Barium iodate	0.0000931418738049713
10580-52-6	Vanadium(II) chloride	0.0000377238390092879
1066-33-7	Ammonium hydrogen carbonate	0.0000498461538461538
1070-75-3	Lithium carbide	0.0000229715151515151
1072-35-1	Lead(II) stearate	0.000552928571428571
1111-67-7	Copper(I) thiocyanate	0.0000426768421052632
11120-25-5	Ammonium tungstate(VI)	0.0013228
12002-61-8	Actinium oxide	0.0000546245919477693
12002-99-2	Silver(I) telluride	0.0000408738095238095
12003-63-3	Potassium aluminate trihydrate	0.000117466666666667
12004-06-7	Beryllium aluminate	0.0000347871232876712
12004-29-4	Aluminum phosphate trihydroxide	0.0000740581481481482
12004-76-1	Tantalum aluminide	0.0000373066951566951
12005-21-9	Yttrium aluminum oxide	0.000131915333333333
12005-67-3	Americium(IV) oxide	0.0000235445205479452
12005-69-5	Boron arsenide	0.0000164239463601533
12006-15-4	Cadmium arsenide	0.00007793216
12006-40-5	Zinc arsenide	0.0000626031114327062
12006-77-8	Cobalt boride (CoB)	0.00000961986206896552
12006-79-0	Chromium boride (CrB)	0.0000102962295081967
12006-84-7	Iron boride (FeB)	0.00000952228571428572
12006-86-9	Iron boride (Fe2B)	0.0000167809589041096
12006-99-4	Molybdenum boride (Mo2B)	0.0000220315217391304
12007-00-0	Nickel boride (NiB)	0.00000974810659186536
12007-01-1	Nickel boride (Ni2B)	0.0000162275949367089
12007-02-2	Nickel boride (Ni3B)	0.0000228752753977968
12007-07-7	Tantalum boride	0.0000135041549295775
12007-09-9	Tungsten boride	0.0000128059210526316
12007-10-2	Tungsten boride (W2B)	0.000023655625
12007-16-8	Chromium boride [CrB2]	0.0000141030651340996
12007-23-7	Hafnium boride	0.0000190580952380952
12007-25-9	Magnesium diboride	0.0000178704280155642
12007-29-3	Niobium boride [NbB2]	0.0000164315638450502
12007-33-9	Boron sulfide	0.0000693041176470588
12007-34-0	Scandium boride	0.000021002523659306
12007-35-1	Tantalum boride [TaB2]	0.0000180866071428571
12007-36-2	Uranium boride [UB2]	0.0000204449606299213
12007-38-4	Chromium boride [Cr5B3]	0.0000479367213114754
12007-81-7	Silicon tetraboride	0.0000297208333333333
12007-84-0	Uranium boride [UB4]	0.0000301795064377682
12007-97-5	Molybdenum boride [Mo2B5]	0.0000341583333333333
12007-98-6	Tungsten boride [W2B5]	0.00003834
12007-99-7	Calcium boride	0.0000421461847389558
12008-02-5	Cerium boride	0.0000420907597535934
12008-05-8	Europium boride	0.0000441608961303462
12008-06-9	Gadolinium boride	0.0000418305084745763
12008-21-8	Lanthanum boride	0.0000428090336134454
12008-23-0	Neodymium boride	0.000042415415821501
12008-27-4	Praseodymium boride	0.0000425152892561983
12008-30-9	Samarium boride	0.0000424516765285996
12008-32-1	Yttrium boride	0.000041336559139785
12009-14-2	Barium niobate	0.0000770470588235294
12009-18-6	Barium stannate	0.0000419937845303867
12009-21-1	Barium zirconate	0.0000500994565217391
12011-67-5	Iron carbide	0.0000233358461138549
12011-99-3	Niobium carbide (Nb2C)	0.0000253620512820513
12012-16-7	Thorium carbide	0.0000230234905660377
12012-32-7	Cerium carbide	0.0000300067641681901
12012-35-0	Chromium carbide	0.0000269474550898204
12013-10-4	Cobalt disulfide	0.0000286193023255814
12013-21-7	Magnesium molybdate	0.0000837454545454545
12013-55-7	Calcium silicide (CaSi)	0.0000285205020920502
12013-56-8	Calcium silicide [CaSi2]	0.0000384996
12013-57-9	Calcium telluride	0.0000344312114989733
12013-69-3	Calcium plumbate	0.0000615411558669002
12013-82-0	Calcium nitride	0.0000555232209737828
12014-14-1	Cadmium titanate	0.0000320424615384615
12014-28-7	Cadmium phosphide	0.000066976677852349
12014-29-8	Cadmium antimonide	0.0000338397398843931
12014-82-3	Cerium(II) sulfide	0.000029183220338983
12014-85-6	Cerium silicide	0.0000369655367231638
12014-93-6	Cerium(III) sulfide	0.0000749854581673307
12015-73-5	Calcium fluorophosphate	0.00015754514214308
12017-01-5	Cobalt(II) titanate	0.0000309596
12017-08-2	Cobalt(II) orthosilicate	0.0000453455723542117
12017-12-8	Cobalt silicide	0.000023490612244898
12017-13-9	Cobalt(II) telluride	0.0000211965909090909
12017-38-8	Cobalt(III) titanate	0.0000450452941176471
12018-01-8	Chromium(IV) oxide	0.0000171768916155419
12018-09-6	Chromium silicide [CrSi2]	0.0000220299389002037
12018-10-9	Copper(II) chromite	0.000042877037037037
12018-19-8	Zinc chromite	0.0000441207939508507
12018-22-3	Chromium(III) sulfide	0.0000526807894736842
12018-34-7	Chromium(II,III) oxide	0.0000360632786885246
12018-36-9	Chromium silicide (Cr3Si)	0.0000287615625
12018-61-0	Cesium superoxide	0.0000437411140583554
12019-11-3	Copper phosphide	0.0000298795238095238
12019-23-7	Copper(II) telluride	0.0000269605077574048
12019-52-2	Copper(I) telluride	0.0000553673913043478
12019-88-4	Dysprosium nitride	0.0000177751258811682
12020-14-3	Zirconium carbide	0.0000153395245170877
12020-21-2	Erbium nitride	0.0000171005660377358
12020-28-9	Erbium silicide	0.0000307754820936639
12020-39-2	Erbium telluride	0.000100888888888889
12020-58-5	Europium nitride	0.0000190771264367816
12020-65-4	Europium(II) sulfide	0.0000322857894736842
12020-66-5	Europium(II) selenide	0.0000358015503875969
12020-69-8	Europium(II) telluride	0.000043141975308642
12021-68-0	Cobalt(II) hexafluorosilicate hexahydrate	0.000148107331097269
