CASRN	Chemical	delta_SRK
106-99-0	1,3-Butadiene 	0.005751
106-98-9	1-Butene 	0.0209626
592-41-6	1-Hexene 	0.0242033
111-66-0	1-Octene 	0.0137209
71-23-8	1-Propanol 	-0.0013014
64-19-7	Acetic acid 	-0.0103473
67-64-1	Acetone 	0.0175281
74-86-2	Acetylene 	0.0007747
7664-41-7	Ammonia 	0.0679976
7440-37-1	Argon 	-0.0325962
71-43-2	Benzene 	0.0144502
65-85-0	Benzoic acid 	0.0268664
92-52-4	Biphenyl 	0.0433458
106-97-8	Butane 	0.0013196
124-38-9	Carbon dioxide 	0.0154186
630-08-0	Carbon monoxide 	0.00802
7782-50-5	Chlorine 	0.01301
108-90-7	Chlorobenzene 	0.0446227
75-00-3	Chloroethane, R-160 	0.0609099
590-18-1	cis-2-Butene 	0.0112156
627-20-3	cis-2-Pentene 	0.0568825
98-82-8	Cumene 	0.0393381
110-82-7	Cyclohexane 	-0.00453
110-83-8	Cyclohexene 	0.0270939
287-92-3	Cyclopentane 	-0.0028797
142-29-0	Cyclopentene 	0.0179061
124-18-5	Decane 	0.0512504
74-84-0	Ethane 	-0.0146429
74-85-1	Ethene 	-0.0046558
100-41-4	Ethylbenzene 	0.0294376
1640-89-7	Ethylcyclopentane 	0.0094253
60-29-7	Ethylether 	0.0010621
7782-41-4	Flourine 	-0.0303979
7704-34-9	H2 S 	0.005986
1333-74-0	Hydrogen 	-0.197517
75-28-5	Isobutane 	0.0310327
115-11-7	Isobutylene 	0.0098728
78-78-4	Isopentane 	0.0009888
78-79-5	Isoprene 	0.0421712
67-63-0	Isopropanol 	-0.0110422
7439-90-9	Krypton 	0.0450251
74-82-8	Methane 	-0.0320525
67-56-1	Methanol 	0.0071947
108-87-2	Methylcyclohexane 	-0.0057591
96-37-7	Methylcyclopentane 	0.0059017
71-36-3	n-Butanol 	0.0023343
7440-01-9	Neon 	-0.0563803
142-82-5	n-Heptane 	0.0187922
110-54-3	n-Hexane 	0.01193
7727-37-9	Nitrogen 	-0.0079463
629-92-5	Nonadecane 	-0.0371806
111-84-2	Nonane 	0.0360629
7782-39-0	Deuterium 	-0.0533454
109-66-0	n-Pentane 	0.0062738
593-45-3	Octadecane 	0.0908709
111-65-9	Octane 	0.0364147
7782-44-7	Oxygen 	-0.0270491
629-62-9	Pentadecane 	0.0693421
76-15-3	Pentaflourochloroethane 	-0.0262285
101-84-8	Phenylether 	-0.0176731
463-49-0	Propadiene 	0.109036
74-98-6	Propane 	-0.0025595
115-07-1	Propene 	0.0147939
811-97-2	R-134 	-0.0866475
460-73-1	R-245 	0.0116965
75-10-5	R-32 	0.0666817
74-87-3	R-40 	0.0786026
115-25-3	R-C318 	0.0104585
7446-09-5	Sulfur dioxide 	0.0329577
56-23-5	Tetrachlouromethane, R-10 	-0.0131517
108-88-3	Toluene 	0.0139931
624-64-6	trans-2-Butene 	0.0019733
7440-63-3	Xenon 	-0.0127292
