CASRN	Chemical	C1	C2	C3	C4	Tmin	Tmax
75-07-0	Acetaldehyde 	1699.4	0.26167	466	0.2913	150.15	466
60-35-5	Acetamide 	1016	0.21845	761	0.26116	353.33	761
64-19-7	Acetic acid 	1448.6	0.25892	591.95	0.2529	289.81	591.95
108-24-7	Acetic anhydride 	868.52	0.25187	606	0.31172	200.15	606
67-64-1	Acetone 	1233.2	0.25886	508.2	0.2913	178.45	508.2
75-05-8	Acetonitrile 	1306.4	0.22597	545.5	0.28678	229.32	545.5
74-86-2	Acetylene 	2450.7	0.27448	308.3	0.28752	192.4	308.3
107-02-8	Acrolein 	1326.1	0.26124	506	0.2489	185.45	506
79-10-7	Acrylic acid 	1241.4	0.25822	615	0.30701	286.15	615
107-13-1	Acrylonitrile 	1081.6	0.2293	535	0.28939	189.63	535
132259-10-0	Air 	2896.3	0.26733	132.45	0.27341	59.15	132.45
7664-41-7	Ammonia 	3538.3	0.25443	405.65	0.2888	195.41	405.65
100-66-3	Anisole 	774.88	0.26114	645.6	0.28234	235.65	645.6
7440-37-1	Argon 	3846.9	0.2881	150.86	0.29783	83.78	150.86
55-21-0	Benzamide 	737.1	0.25487	824	0.28571	403	824
71-43-2	Benzene 	1025.9	0.26666	562.05	0.28394	278.68	562.05
108-98-5	Benzenethiol 	835.73	0.26326	689	0.30798	258.27	689
65-85-0	Benzoic acid 	715.87	0.24812	751	0.2857	395.45	751
100-47-0	Benzonitrile 	855.2	0.26785	699.35	0.30523	260.4	699.35
119-61-9	Benzophenone 	437.43	0.24833	830	0.27555	321.35	830
100-51-6	Benzyl alcohol 	598.67	0.22849	720.15	0.23567	257.85	720.15
539-30-0	Benzyl ethyl ether 	609.17	0.26925	662	0.2632	275.65	662
100-53-8	Benzyl mercaptan 	707.97	0.25982	718	0.32144	243.95	718
92-52-4	Biphenyl 	522.57	0.25833	773	0.27026	342.2	773
7726-95-6	Bromine 	2187.2	0.29527	584.15	0.3295	265.85	584.15
108-86-1	Bromobenzene 	822.6	0.26632	670.15	0.2821	242.43	670.15
74-96-4	Bromoethane 	1190.8	0.25595	503.8	0.29152	154.55	503.8
