CAS	Chemical	MW	Tc	rhoc	A	B	C	D
7440-63-3	Xenon	131.29	289.73	1103	2097.8096	-117.2877	962.2241	-217.6634
7439-90-9	Krypton	83.8	209.48	910	1612.009	342.437	130.7723	178.6945
7440-37-1	Argon	39.95	150.69	536	895.4345	297.7907	-15.9601	119.8686
132259-10-0	Air	28.96	132.53	343	410.6099	777.461	-841.3265	495.5129
7727-37-9	Nitrogen	28.01	126.19	313	470.9224	493.2507	-560.4689	389.6108
7782-44-7	Oxygen	32	154.6	427	748.3728	396.2376	-416.2389	372.6904
7704-34-9	Sulfur	32.06	1312.95	203	3728.2432	-5258.9909	5203.2088	-1927.9722
7782-41-4	Fluorine	38	144.41	593	677.5368	1399.1215	-1526.3565	870.3285
7782-50-5	Chlorine	70.91	416.96	577	908.9019	948.0463	-1353.2681	1093.5278
10097-32-2	Bromine	159.82	584.15	1183	1672.7965	449.5091	676.7593	15.3973
7553-56-2	Iodine	253.8	819.15	1637	1995.2359	589.1905	627.3536	65.6236
7664-39-3	Hydrogen fluoride	20.01	461.15	290	232.8396	1347.9901	-1296.9204	1091.0626
7647-01-0	Hydrogen chloride	36.46	324.65	450	640.0181	462.1796	-180.0873	273.3275
10035-10-6	Hydrogen bromide	80.92	363.15	809	1716.6784	-697.6208	1545.2372	-534.0575
10034-85-2	Hydrogen iodide	127.91	423.85	1049	2159.6727	-837.4455	1907.8899	-675.9615
74-90-8	Hydrogen cyanide	27.02	456.65	194	576.9982	-153.5039	576.1976	-153.0246
7732-18-5	Water	18.02	647.1	322	1094.0233	-1813.2295	3863.9557	-2479.813
7783-06-4	Hydrogen sulfide	34.08	373.1	349	454.159	757.2956	-698.1045	404.4247
7664-41-7	Ammonia	17.03	405.5	225	531.7253	-31.5027	257.0928	-63.9457
10102-43-9	Nitric oxide	30.01	180.15	517	1496.5803	-1584.2431	2252.1437	-1031.321
10102-44-0	Nitrogen dioxide	46.01	431.15	558	1690.6809	-1592.7803	2233.6217	-968.0655
10024-97-2	Nitrous oxide	44.01	309.52	454	954.7062	-399.587	1000.6634	-350.0132
10544-72-6	Dinitrogentetroxide	92.01	431.1	1115	276.2115	-44.5981	604.172	-135.9384
460-19-5	Cyanogen	52.04	400.15	267	1378.7351	-1668.4751	2299.1821	-1052.1005
7719-12-2	Phosphorus trichloride	137.33	563.15	528	1077.6858	-98.8936	665.5992	-117.8757
506-77-4	Cyanogen chloride	61.47	449.05	377	1387.633	-1242.596	1899.5222	-814.8977
7440-21-3	Silane	32.12	269.75	242	202.1021	310.6035	-45.2615	142.0821
