CAS	Formula	Name	MW	Hf(aq)	Gf(aq)	S(aq)	Cp(aq)
14701-21-4	Ag+	Silver ion	107.868	105600	77100	72.7	21.8
22537-23-1	Al+3	Aluminum ion	26.982	-531000	-485000	-321.7	
16458-09-6	AlOH+2	Aluminum hydroxide ion	43.989		-694100		
68193-67-9	BaOH+	Barium hydroxide ion	154.334		-730500		
22541-12-4	Ba+2	Barium ion	137.327	-537600	-560800	9.6	
22537-20-8	Be+2	Beryllium ion	9.012	-382800	-379700	-129.7	
23713-46-4	Bi+3	Bismuth ion	208.98		82800		
41618-72-8	BiOH+2	Bismuth hydroxide ion	225.987		-146400		
14127-61-8	Ca+2	Calcium ion	40.078	-542800	-553600	-53.1	
36812-31-4	CaOH+	Calcium hydroxide ion	57.085		-718400		
22537-48-0	Cd+2	Cadmium ion	112.411	-75900	-77600	-73.2	
59792-78-8	CdOH+	Cadmium hydroxide ion	129.418		-261100		
18923-26-7	Ce+3	Cerium ion	140.116	-696200	-672000	-205	
16065-90-0	Ce+4	Cerium ion	140.116	-537200	-503800	-301	
22541-53-3	Co+2	Cobalt (cobaltous) ion	58.933	-58200	-54400	-113	
22541-63-5	Co+3	Cobalt (cobaltic) ion	58.933	92000	134000	-305	
22541-79-3	Cr+2	Chromium ion	51.996	-143500			
18459-37-5	Cs+	Cesium ion	132.905	-258300	-292000	133.1	-10.5
17493-86-6	Cu+	Copper (cuprous) ion	63.546	71700	50000	40.6	
15158-11-9	Cu+2	Copper (cupric) ion	63.546	64800	65500	-99.6	
22541-21-5	Dy+3	Dysprosium ion	162.5	-699000	-665000	-231	21
18472-30-5	Er+3	Erbium ion	167.259	-705400	-669100	-244.3	21
16910-54-6	Eu+2	Europium ion	151.964	-527000	-540200	-8	
22541-18-0	Eu+3	Europium ion	151.964	-605000	-574100	-222	8
15438-31-0	Fe+2	Iron (ferrous) ion	55.845	-89100	-78900	-137.7	
20074-52-6	Fe+3	Iron (ferric) ion	55.845	-48500	-4700	-315.9	
15092-05-4	FeOH+	Iron(II) hydroxide ion	72.852	-324700	-277400	-29	
12299-69-3	FeOH+2	Iron(III) hydroxide ion	72.852	-290800	-229400	-142	
16408-24-5	Fe(OH)2+	Iron(III) dihydroxide ion	89.86		-438000		
14877-29-3	Ga+2	Gallium ion	69.723		-88000		
22537-33-3	Ga+3	Gallium ion	69.723	-211700	-159000	-331	
70198-64-0	GaOH+2	Gallium hydroxide ion	86.73		-380300		
52140-06-4	Ga(OH)2+	Gallium dihydroxide ion	103.738		-597400		
22541-19-1	Gd+3	Gadolinium ion	157.25	-686000	-661000	-205.9	
12408-02-5	H+	Hydrogen ion	1.008	0	0	0	0
14302-87-5	Hg+2	Mercury(II) (mercuric) ion	200.59	171100	164400	-32.2	
12325-02-9	HgOH+	Mercury(II) hydroxide ion	217.6	-84500	-52300	71	
12596-26-8	Hg2+2	Mercury(I) (mercurous) ion	401.18	172400	153500	84.5	
22541-22-6	Ho+3	Holmium ion	164.93	-705000	-673700	-226.8	17
14864-11-0	In+	Indium ion	114.818		-12100		
186449-38-7	InOH+2	Indium hydroxide ion	131.825	-370300	-313000	-88	
55896-88-3	In(OH)2+	Indium dihydroxide ion	148.833	-619000	-525000	25	
14877-30-6	In+2	Indium ion	114.818		-50700		
22537-49-1	In+3	Indium ion	114.818	-105000	-98000	-151	
