Electrolyte name	Electrolyte CAS	Electrolyte Formula	Anion formula	Anion CAS	Anion charge	Anion count	Cation formula	Cation CAS	Cation charge	Cation count
Diammonium Hydrogen phosphate	7783-28-0	(NH4)2HPO4	HPO4-2	14066-19-4	-2	1	NH4+	14798-03-9	1	2
Ammonium Sulfate	7783-20-2	(NH4)2SO4	SO4-2	14808-79-8	-2	1	NH4+	14798-03-9	1	2
ammonium sulfite	10196-04-0	(NH4)2SO3	SO3-2	14265-45-3	-2	1	NH4+	14798-03-9	1	2
Ammonium phosphate	10361-65-6	(NH4)3PO4	PO4-3	14265-44-2	-3	1	NH4+	14798-03-9	1	3
Ammonium siliconhexafluoride	16919-19-0	(NH4)2SiF6	SiF6-2	17084-08-1	-2	1	NH4+	14798-03-9	1	2
Silver sulfite	10294-26-5	Ag2SO4	SO4-2	14808-79-8	-2	1	Ag+	14701-21-4	1	2
silver bromide	7785-23-1	AgBr	Br-	24959-67-9	-1	1	Ag+	14701-21-4	1	1
Silver chlorate	7783-92-8	AgClO3	ClO3-	14866-68-3	-1	1	Ag+	14701-21-4	1	1
Silver cyanide	506-64-9	AgCN	CN-	57-12-5	-1	1	Ag+	14701-21-4	1	1
Silver fluoride	7775-41-9	AgF	F-	16984-48-8	-1	1	Ag+	14701-21-4	1	1
Silver Chloride	7783-90-6	AgCl	Cl-	16887-00-6	-1	1	Ag+	14701-21-4	1	1
Silver iodide	7783-96-2	AgI	I-	20461-54-5	-1	1	Ag+	14701-21-4	1	1
Silver nitrate	7761-88-8	AgNO3	NO3-	14797-55-8	-1	1	Ag+	14701-21-4	1	1
Aluminum Sulfate	10043-01-3	Al2(SO4)3	SO4-2	14808-79-8	-2	3	Al+3	22537-23-1	3	2
Aluminum bromide	7727-15-3	AlBr3	Br-	24959-67-9	-1	3	Al+3	22537-23-1	3	1
Aluminum Chloride	7446-70-0	AlCl3	Cl-	16887-00-6	-1	3	Al+3	22537-23-1	3	1
