	CASRN	Formula	MW	c_0	c_1	c_2	c_3	c_4	Min T	Max T	Max w	No of points in corr	v_1	v_2	v_3	v_4	v_5	v_6	Min T	Max T	Max w	No of points in corr	a1	a2	a3	a4	a5	a6	Min T	Max T	Max w	No of points in corr
Ammonium Sulfate	7783-20-2	(NH4)2SO4	132.14	618.24075073611	966.128116121243	0.602706202526747	0.0016279026793269	667.573420648081	15	55	0.429188916694159	142	11.9684222123058	2.60592145291167	1.90830128213142	0.00731291601229317	141.459340621835	6.77837848574609	15	60	0.462943071965628	148										
Aluminum Sulfate	10043-01-3	Al2(SO4)3	342.12	-0.0054335130421113	0.00615454451922733	-0.0281614954186176	0.00391344328446045	3645.62065396415	15	95	0.398	55	1.92954671033773	0.250848758825016	7.83644142309455	0.0166472424202068	0.71188145923483	1.11170801581781	25	35	0.033082128070206	14										
Aluminum Chloride	7784-13-6	AlCl3	133.34	-63.5506457736032	338.780498541295	0.162759786321933	0.0153181315946676	1539.83480739683	18	25	0.193556191391696	26	-8335.51710767231	4823.66130125047	18.2903961585597	0.00837125445019256	19265.1149459679	0.370581443374904	25	25	0.0361	5										
Barium Nitrate	10022-31-8	Ba(NO3)2	261.35	-0.00061901190058146	0.00210174347158361	0.421060992819162	0.00868484486995189	3761.83935169507	5	95	0.0838065090966561	50	19.3896191954612	1.55988541331322	1.99036621067722	0.0639877898997282	1.11116141147893	0.56974477907867	25	60	0.1716	15	-0.022465186450376	-0.0883957012138755	4.15892638977356	-20.6795844511141	-0.00150414133964355	-1.02017540208236	5	120	0.0472741708498325	96
Barium Chloride	10361-37-2	BaCl2	208.27	1.01598120285957	-1.4355654749112	-2123.85892558302	-34.1256525847995	4048.83006178205	15	140	0.252554520497042	207	2.97008260816371	1.0974757858487	4.03743774375156	0.0029789825572512	20.0688725216287	0.0972297850040888	10	70	0.330631440530406	172	-0.692187282230665	-0.0396454669039344	1.26353280021981	-0.00764758799883295	2.54815679895786	0.96079244056685	25	25	0.248236834216814	16
Calcium Acetate	62-54-4	Ca(CH3CO2)2	158.17	1544.12282073826	430.989302481924	0.20913858860637	0.000350015686001497	245.772513875381	15	45	0.0876594568114063	33	6.10285229275805	9.60000911318461	6.10284913185212	0.0104676592073593	1.51966098191095	0.366307338808215	15	45	0.0402975082397461	22	-9449.26290532067	0.0885200489569664	-8.88383930245691	-2.65726424161348	1.9265856723219	0.0645391322671107	36	36	0.15	3
Calcium Nitrate	10124-37-5	Ca(NO3)2	164.09	57.3363374529272	538.054269301373	1.00008670445074	0.00720231361346264	1438.41364559148	25	60	0.76815	130	101.794866062156	6.29908230542022	4.10191571923687	0.0114952275041964	3761.34449417404	16.0844077421866	-10	100	0.67728517834399	167										
Calcium Chloride	10043-52-4	CaCl2	110.99	-9.72893747074295	14.7005352975276	4.19033341468332	0.0397403624277021	2708.12778894614	15	126.7	0.5132	369	32.0143699446531	0.788104085857794	-1.14120453890547	0.00270010693201763	776516.746907194	5.83888130672249	0	100	0.5132	532	-1.3892271378464	-0.0142491341618564	0.578247429749066	-0.785339471977917	4.39895341629224	1.12685593623411	25	100	0.417752862868998	91
Calcium Sulfate	7778-18-9	CaSO4	136.14	-1.38417190570761	1074.7049263687	0.219888642311938	0.00351994723894431	1590.05921703206	25	25	0.00100301184316658	9											-50.9977719389815	-3.74835982490953	13.1959839180305	21.3930234549551	-0.0393946743998229	-0.684417687186387	25	25	0.000996367900876338	6
Cadmium Nitrate	10325-94-7	Cd(NO3)2	236.42	1.40493946422806	-2.78047881936076	-5.24442380577459	0.0192949004526846	-3041.2574988841	15	85	0.7	143	7.74839860973353	2.1518008881278	2.50492227091052	0.00961633374271088	0.86015287594315	-0.0682985742837552	15	55	0.541725860409697	84										
Cadmium Chloride	10108-64-2	CdCl2	183.32	-0.0908794708870627	0.291158627806589	7.38264547590445	-0.0318551117399901	-3477.51514637976	25	75	0.538332667079661	88	6.74229251640125	4.10787379231434	0.0434255754544385	-0.0388213646588509	-0.778084518144402	4.06621065258696	25	25	0.159312248229981	16	-1.61502749418709	-0.016462184605156	0.281888730677156	-2.84359276920495	0.710202296863761	0.284091164237935	5	120	0.154736727911085	216
Cadmium Sulfate	10124-36-4	CdSO4	208.4736	-0.000000104395288864156	0.0000000610698206597911	-0.0037605054671436	0.00410750244639144	5007.6914924463	25	75	0.29671	44	34.2681948150093	2.91924942374266	4.37503815639107	0.0123181370227207	-27.9663544974305	35.2846610531135	18	75	0.357412637716303	59										
Ethanol	64-17-5	CH3CH2OH	46.07	-1.24260570302948	4843.06732405122	7.08048956592199	0.020151921233815	551.64710131505	-5	50	1	200	-28.7553100541088	0.197233263179628	32.1657867808424	0.00716303530795519	16.4172050849441	-1.89088607889184	-5	50	1	120	-1352.26113895732	-0.0000297588891561443	0.00178473082314784	-0.000115266582266765	1356.66947312206	-0.00115423848218845	3	41	1	39
Carbon Dioxide	124-38-9	CO2	44.01	1252.24771139151	19.5448051568076	0.0148628039695428	0.0000676758135928262	274.541592403867	4.85	150	0.0720563805343731	28											0.277278994506359	-0.0777479198574673	3.83662975772113	3.08384463521161	-73.5992412595391	17.4168230273446	25	100.43	0.00850892681551558	12
Cobalt(II) Chloride	7646-79-9	CoCl2	129.85	-0.0000778318511745183	0.000188898371916264	0.46999504458942	0.0102958144895318	4151.2600912572	15	75	0.303219280772016	214	16.0802208520019	2.30424676918965	7.96244607216609	0.00416247294719464	48.8637772777003	-0.144340007004399	20	50	0.344516889020521	61	-50.9977719389815	-3.74835982490953	13.1959839180305	21.3930234549551	-1.26479121036572	-0.0840942718566367	25	25	0.0295967329301233	8
Cobalt(II) Sulfate	10124-43-3	CoSO4	154.9968	-41.4014977386996	1325.76452728304	0.0101213644748241	-0.000149150255753216	-301.893146975741	25	75	0.3305	37	26.3429173996073	2.69951565364143	5.1900552489495	0.0129263869242415	-0.0995938704215951	1	25	75	0.3305	29										
Chromium(III) Sulfate	10101-53-8	Cr2(SO4)3	392.183	1465.4152901254	31.508313999318	-0.311712557953786	0.000386605550019996	1403.2788641825	25	25	0.00149384708270799	16	12.8806384714015	1.95421596013061	13.7084846533159	0.00383100279884497	5986.16584128815	0.904224314285356	25	25	0.00149384708270799	16										
Chromium(III) Chloride	10025-73-7	CrCl3	158.35	-1.38546263825455	641.071128180743	0.237439390705321	0.00420349527799401	1191.73071571581	18	18	0.12	7	-120.195181163363	4.81389348524967	5.65504120049962	0.0129995929288238	-11.341350578505	1.91997723497154	20	50	0.253462791442871	62										
Copper(II) Nitrate	3251-23-8	Cu(NO3)2	187.56	0.0000308013555567264	0.00044903027418397	0.823764603319821	0.0180968468344806	4042.38454669767	5	95	0.349740277423271	110	10.7279759268001	1.77841459065032	2.11161975340989	0.00837125445019256	-3.49754447000507	2.06966863585972	25	25	0.45770653246711	10	-0.153076771113858	-0.0566940451809726	2.40924636482342	-4.64664219015038	2.151294107672	1.05218276898551	5	120	0.085060017005155	144
Copper(II) Chloride	7447-39-4	CuCl2	134.48	1917.97652624503	1586.41138951085	0.158851434053574	0.00163872645947993	-527.007314154372	15	55	0.444754343660384	149	6.93139300795774	1.86976796931653	7.57655697184967	0.00590912446121254	71.728176381435	0.154764726866068	20	50	0.375100135803223	73	-7.6298936719954	0.00400225311244692	-1.48644463176159	-1.80931144781134	1.30507618933775	0.274748304352994	35	35	0.425	10
Copper(II) Sulfate	7758-98-7	CuSO4	159.63	-0.00000112078294150285	0.000000606850590612117	-0.118863232463814	0.00378050075860551	4763.96073964247	10	60	0.284400086473094	304	-129.887304522306	4.03019620382679	10.0198805903145	0.0610164993094959	-2125.99296251778	9.16965653838287	15	60	0.412904362120589	180	-0.677771251441471	-0.102570137744033	1.25843505314125	0.073563372089132	2.54609751794916	1.65841769553727	18	18	0.15	4
Iron(III) Sulfate	10028-22-5	Fe2(SO4)3	399.88	2894.55958936395	2061.78820588747	0.16296156973818	0.00148597368188428	-81.4062224608394	15	25	0.3009	31	15.7732574756928	1.37839621361269	4.92404085428636	0.0178316923202013	-16.9801664223107	3.36711121635485	20	50	0.300881385803223	35										
Iron(II) Chloride	7758-94-3	FeCl2	126.75	98.6540260106585	199.504625373479	0.336389412824619	0.00384437505475556	1650.1293370808	15	45	0.209681777577423	93	-0.29591889832781	18.5325816899752	8.81647813836314	0.00219661831382728	385.520143472642	0.239640302220773	18	40	0.0365667343139648	43	-7.57744387540968	-0.21859629568261	0.386410528670848	-2.04818990733014	-1.44537386525984	1.62905490542686	16.18	35.73	0.359383162859854	3
Iron(III) Chloride	7705-08-0	FeCl3	162.21	-14.9299417767922	63.3168799033122	1.15885132665007	0.0104820838890175	2163.05805284003	0	35	0.5	111	30.7678610527733	2.52602258923568	5.10319073938405	0.0110125014904606	511.020484261649	6.07916687150556	0	35	0.432581681852861	38										
Iron(II) Sulfate	7720-78-7	FeSO4	151.9106	-0.224719650197381	0.121140350304029	0.735724466696064	-0.021864836634371	3325.11261125387	15	25	0.233225186902511	66	27.0735880739776	0.884739002872684	0.861429703924889	0.00511650080029829	7322.94031684963	3.92481856832449	25	75	0.21091	30	-6.6999784085074	0.0569291845763253	-1.48401707776098	-14.2720338073775	3.04394122503933	1.40648008185235	35	35	0.35	9
Hydrogen Peroxide	7722-84-1	H2O2	34.0148	1245.67858462509	1565.31293687729	0.986168814056093	0.00271435211005942	200.77493156052	0	96	0.99605	122	227.723983965067	0.000940202213107428	-226.885592675141	0.044739853803655	0.267823801338419	3.32240510024084	0	20	1	46	-1.39322183971307	-10.1034959059852	-0.190102835107285	-3.9631289796889	2.58134041893611	-0.153211882252478	25	25	0.7154	4
Sulfuric Acid	7664-93-9	H2SO4	98.08	70.8395152347122	142.352693909248	0.68779459618793	0.00649299683206703	1667.23864629522	-11.15	75	0.782	232	7.77699477516578	1.23443056779035	1.91643392633129	0.00563631536944214	46.0065393457232	2.83071965329322	-10	75	0.782	141	18891038.7238843	0.228318384101275	-17.3865700455266	-2.46930192859515	1.54426652828424	1.57364239776992	-20	55	0.9389	187
Arsenious Acid	13464-58-9	H3AsO3	125.944	0.64324528666425	0.0653109113375811	0.0742553623859035	0.00129775172786949	2868.1010948586	25.05	100.05	0.0363959100365562	15											1.32129928905495	0.0256843140778197	-1.03774067782386	5.54898296753724	-68.7253245314433	5.71264333899055	55.65	75.95	0.0365011473683489	16
Arsenic Acid	7778-39-4	H3AsO4	141.9432	2464.04472334916	-2937.80177675525	-1.22134773036873	0.00057220610366136	339.289963692794	15	49.95	0.7	42	6.06873628179663	1.85573099066808	1.97826653232884	0.00884799192900432	-4.63299468514534	3.79074476703034	25	25	0.124299702472067	4	0.266427391643297	-38.5319394705438	0.0800319494050926	-0.182314853119231	0.694799721456657	-0.0988057415203139	50.65	74.85	0.0685645848830348	7
Phosphoric Acid	7664-38-2	H3PO4	98	1288.25499332174	-4126.67487464815	-4.64682626086799	0.00466168016728373	-944.459685828192	15.85	81.4	0.849999999999999	215	5.40936381181384	2.85113005922925	4.18309800502585	0.0160667795897231	3.4709124824548	4.24236571675822	20	25	0.8	25	-295.001660901465	-0.0000248598250364104	0.000815232853845397	-0.00368569996846081	295.592796362147	-0.000861839865888545	24.704	101.09	0.9863	134
Hydrobromic Acid	10035-10-6	HBr	80.92	0.49307337954406	6.90876181337873	5.90645258328427	0.0594215614972194	2828.85700908691	-10	75	0.4073	211	2.27190292215055	3.25401564932545	6.69045767176349	0.000626604462215416	552.472321086589	0.00849357517744988	0	25	0.195339405838617	11	-7.63012432760468	0.0191714208225698	-1.48402795222269	-0.0234145848746398	1.00966692096501	0.239008471724445	24.85	24.85	0.0277944203169593	21
Acetic Acid	64-19-7	HCH3CO2	60.05	647.289243971958	-1054.58226029586	-1.74610768626879	0.000365566432763641	-822.999507010544	5	85	1	328	-1.43228103448736	9.98783313652191	3.55995040464663	0.0151912282861034	3.18833074084855	0.430294038773937	15	55	1	238	-1.52110367260312	-0.00399791830898747	0.013285294686596	0.915636481598119	4.28631441397042	0.00582312360431909	0	120	0.152563846051698	214
Formic Acid	64-18-6	HCHO2	46.03	426.931704797137	2908.85685233222	3.76933549136237	0.0138126107918432	763.323068803259	15	55	1	182	10.9911365818742	0.0395427895067632	-6.92524795815633	0.00641437174498846	19.1134957240585	0.371672471850703	15	55	1	153	-1.62982619298965	-0.0111295391897048	-0.033075675951792	-1.50364819058535	2.81556389672357	-0.00770590802522416	0	120	0.115611821510655	52
Hydrochloric Acid	7647-01-0	HCl	36.47	0.000283872260482906	0.00394946957169882	2.85020047681807	-0.0157747012568046	-3766.20868665006	5	98.8200000000001	0.375698567711746	287	10.3259686042518	1.71378270014506	1.48613181961032	0.00127907449231391	23.7644188926256	2.1827423115052	10	42.5	0.36	163	-1.44373411119912	-0.0162261453471477	0.760145624626369	-0.251793704529807	-0.0853885966315174	-0.37397241015546	5	130	0.065074593785499	348
Hydrogen Cyanide	74-90-8	HCN	27.03	329.702219818562	1899.47430427132	2.31958987997322	0.00750553965442456	255.783919621772	0	20	1	56	1.15086538355284	3.82682320826343	-0.38751267349587	0.00837125445019256	7.38504679431372	2.06966863585972	0	0	1	12										
Nitric Acid	7697-37-2	HNO3	63.02	0.272070788161643	-0.399605969016834	-2.33691977745914	0.00662112384275969	-3089.01794099058	-10	95	0.7011	295	0.0000822640393251524	-1.39718811419252	0.11961884204502	-0.0199197916008091	-1.44481163970687	0.906940098315068	4	25	0.308600425720215	16	-0.337794277610799	-0.0435222748497721	1.76713518805669	-2.09327974333762	3.34739334397655	0.739891954672814	5	120	0.0654544824354225	159
Potassium Carbonate	584-08-7	K2CO3	138.2	2290.10867876218	1038.77363895405	0.109769327294915	0.000497783340935823	-74.0786862142127	5	95	0.360581132643253	75	41.3874564880263	3.67791349310373	3.26807400039543	0.00876702412403997	8684.04398141182	12.7276295460364	19	89	0.518084526062012	61	-2.21452943823242	-0.0307733244945572	0.337197867325901	-6.97645705984794	-0.238470454796678	0.461227249060236	5	120	0.0652704571149143	96
Potassium Dichromate	7778-50-9	K2Cr2O7	294.19	0.00000697630249797053	0.0000303926813557908	0.809446891798018	0.0196820118806563	4307.93119639994	0	90	0.4	38	3.24194607510088	1.10353393210389	14.6015525142261	0.000246688486453491	5404952.67172042	0.264524638471312	0.2	89.3	0.4	43										
