CASRN	Chemical	T	Conductivity
75-07-0	Acetaldehyde 	288.15	0.00017
60-35-5	Acetamide 	373.15	0.0043
64-19-7	Acetic acid 	298.15	0.00000112
108-24-7	Acetic anhydride 	298.15	0.000048
67-64-1	Acetone 	298.15	0.000006
75-05-8	Acetonitrile 	293.15	0.0007
98-86-2	Acetophenone 	298.15	0.0000006
506-96-7	Acetyl bromide 	298.15	0.00024
75-36-5	Acetyl chloride 	298.15	0.00004
72-48-0	Alizarin 	506.15	0.000145
107-18-6	Allyl alcohol 	298.15	0.0007
7664-41-7	Ammonia 	194.15	0.000013
62-53-3	Aniline 	298.15	0.0000024
120-12-7	Anthracene 	503.15	0.00000003
7784-33-0	Arsenic tribromide 	308.15	0.00015
7784-34-1	Arsenic trichloride 	298.15	0.00012
100-52-7	Benzaldehyde 	298.15	0.000015
71-43-2	Benzene 		0.0000076
65-85-0	Benzoic acid 	398.15	0.0000003
100-47-0	Benzonitrile 	298.15	0.000005
100-51-6	Benzyl alcohol 	298.15	0.00018
100-46-9	Benzylamine 	298.15	0.0000017
120-51-4	Benzyl benzoate 	298.15	0.0000001
10097-32-2	Bromine 	290.35	1.3E-011
108-86-1	Bromobenzene 	298.15	0.000000002
75-25-2	Bromoform 	298.15	0.000002
78-83-1	iso-Butyl alcohol 	298.15	0.000008
628-73-9	Capronitrile 	298.15	0.00037
75-15-0	Carbon disulfide 	274.15	7.8E-016
56-23-5	Carbon tetrachloride 	291.15	4E-016
7782-50-5	Chlorine 	203.15	1E-014
79-11-8	Chloroacetic acid 	333.15	0.00014
108-42-9	m-Chloroaniline 	298.15	0.000005
67-66-3	Chloroform 	298.15	0.000002
96-24-2	Chlorohydrin 	298.15	0.00005
108-39-4	m-Cresol 	298.15	0.0000017
460-19-5	Cyanogen 		0.0000007
99-87-6	Cymene 	298.15	0.000002
79-43-6	Dichloroacetic acid 	298.15	0.000007
96-23-1	Dichlorohydrin 	298.15	0.0012
109-89-7	Diethylamine 	239.65	0.00000022
105-58-8	Diethyl carbonate 	298.15	0.0000017
95-92-1	Diethyl oxalate 	298.15	0.000076
64-67-5	Diethyl sulfate 	298.15	0.000026
77-78-1	Dimethyl sulfate 	273.15	0.000016
106-89-8	Epichlorohydrin 	298.15	0.0000034
141-78-6	Ethyl acetate 	298.15	0.0000001
141-97-9	Ethyl acetoacetate 	298.15	0.000004
64-17-5	Ethyl alcohol 	298.15	0.000000135
75-04-7	Ethylamine 	273.15	0.00004
93-89-0	Ethyl benzoate 	298.15	0.0000001
74-96-4	Ethyl bromide 	298.15	0.000002
106-93-4	Ethylene bromide 	292.15	0.00000002
107-06-2	Ethylene chloride 	298.15	0.000003
60-29-7	Ethyl ether 	298.15	4E-011
75-34-3	Ethylidene chloride 	298.15	0.0000017
75-03-6	Ethyl iodide 	298.15	0.000002
542-85-8	Ethyl isothiocyanate 	298.15	0.0000126
625-58-1	Ethyl nitrate 	298.15	0.000053
542-90-5	Ethyl thiocyanate 	298.15	0.00012
97-53-0	Eugenol 	298.15	0.0000017
75-12-7	Formamide 	298.15	0.0004
64-18-6	Formic acid 	298.15	0.0064
98-01-1	Furfural 	298.15	0.00015
7440-55-3	Gallium 	303.15	3680000
56-81-5	Glycerol 	298.15	0.0000064
107-21-1	Glycol 	298.15	0.00003
90-05-1	Guaiacol 	298.15	0.000028
142-82-5	Heptane 		1E-011
110-54-3	Hexane 	291.15	1E-016
10035-10-6	Hydrogen bromide 	193.15	0.0000008
7647-01-0	Hydrogen chloride 	177.15	0.000001
74-90-8	Hydrogen cyanide 	273.15	0.00033
10034-85-2	Hydrogen iodide 	237.6	0.00002
7783-06-4	Hydrogen sulfide 	213.6	0.000000001
7553-56-2	Iodine 	383.15	0.000000013
8008-20-6	Kerosene 	298.15	0.0000017
7439-97-6	Mercury 	273.15	1062960
79-20-9	Methyl acetate 	298.15	0.00034
67-56-1	Methyl alcohol 	291.15	0.000044
78-93-3	Methyl ethyl ketone 	298.15	0.00001
74-88-4	Methyl iodide 	298.15	0.000002
598-58-3	Methyl nitrate 	298.15	0.00045
556-64-9	Methyl thiocyanate 	298.15	0.00015
91-20-3	Naphthalene 	355.15	0.00000004
98-95-3	Nitrobenzene 	273.15	0.0000005
75-52-5	Nitromethane 	291.15	0.00006
99-08-1	m-Nitrotoluene 	298.15	0.00002
88-72-2	O-Nitrotoluene 	298.15	0.00002
111-84-2	Nonane 	298.15	0.0000017
112-80-1	Oleic acid 	288.15	0.00000002
109-66-0	Pentane 	292.65	0.00000002
64742-31-0	Petroleum 		3E-011
103-73-1	Phenetole 	298.15	0.0000017
108-95-2	Phenol 	298.15	0.0000017
103-72-0	Phenyl isothiocyanate 	298.15	0.00014
75-44-5	Phosgene 	298.15	0.0000007
7723-14-0	Phosphorus 	298.15	0.00004
10025-87-3	Phosphorus oxychloride 	298.15	0.00022
80-56-8	Pinene 	296.15	0.00000002
110-89-4	Piperidine 	298.15	0.00002
123-38-6	Propionaldehyde 	298.15	0.000085
79-09-4	Propionic acid 	298.15	0.0000001
107-12-0	Propionitrile 	298.15	0.00001
71-23-8	n-Propyl alcohol 	298.15	0.000002
67-63-0	iso-Propyl alcohol 	298.15	0.00035
106-94-5	n-Propyl bromide 	298.15	0.000002
110-86-1	Pyridine 	291.15	0.0000053
91-22-5	Quinoline 	298.15	0.0000022
90-02-8	Salicylaldehyde 	298.15	0.000016
57-11-4	Stearic acid 	353.15	4E-011
7704-34-9	Sulfur 	388.15	1E-010
7446-09-5	Sulfur dioxide 	308.15	0.0000015
7664-93-9	Sulfuric acid 	298.15	1
7791-25-5	Sulfuryl chloride	298.15	0.000003
108-88-3	Toluene 		1E-012
95-53-4	o-Toluidine 	298.15	0.0002
106-49-0	p-Toluidine 	373.15	0.0000062
76-03-9	Trichloroacetic acid 	298.15	0.0000003
75-50-3	Trimethylamine 	239.65	0.000000022
8006-64-2	Turpentine 		2E-011
503-74-2	Iso-Valeric acid 	353.15	4E-011
7732-18-5	Water 	291.15	0.000004
95-47-6	Xylene 		1E-013
