CASRN	Formula	Chemical	Ai
7646-79-9	CoCl2	Cobaltous chloride 	0.0032
7447-39-4	CuCl2	Cuprous chloride 	0.0036
7758-94-3	FeCl2	Ferrous chloride 	0.00294
7775-09-9	NaClO3	Sodium chlorate 	0.0024
7601-89-0	NaClO4	Sodium perchlorate 	0.0025
7718-54-9	NiCl2	Nickelous chloride 	0.0033
7791-11-9	RbCl	Rubidium chloride 	0.00238
10476-85-4	SrCl2	Strontium chloride 	0.0017
7789-42-6	CdBr2	Cadmium bromide 	0.00274
7789-46-0	FeBr2	Ferrous bromide 	0.00375
7789-38-0	NaBrO3	Sodium bromate 	0.0017
13462-88-9	NiBr2	Nickelous bromide 	0.00396
7789-39-1	RbBr	Rubidium bromide 	0.00305
10476-81-0	SrBr2	Strontium bromide 	0.0029
7699-45-8	ZnBr2	Zinc bromide 	0.0041
10102-68-8	CaI2	Calcium iodide 	0.0034
7790-80-9	CdI2	Cadmium iodide 	0.00302
15238-00-3	CoI2	Cobaltous iodide 	0.00384
10377-51-2	LiI	Lithium iodide 	0.00435
10377-58-9	MgI2	Magnesium iodide 	0.00417
13462-90-3	NiI2	Nickelous iodide 	0.00393
12027-06-4	NH4I	Ammonium iodide 	0.0048
7790-29-6	RbI	Rubidium iodide 	0.00322
10476-86-5	SrI2	Strontium iodide 	0.00311
10139-47-6	ZnI2	Zinc iodide 	0.0041
7761-88-8	AgNO3	Silver nitrate 	0.0019
10325-94-7	Cd(NO3)2	Cadmium nitrate 	0.00155
10099-74-8	Pb(NO3)2	Lead nitrate 	0.00138
13126-12-0	RbNO3	Rubidium nitrate 	0.00214
10042-76-9	Sr(NO3)2	Strontium nitrate 	0.00153
10043-01-3	Al2(SO4)3	Aluminum sulfate 	0.00335
7664-93-9	H2SO4	Acid sulfate 	0.00305
7786-81-4	NiSO4	Nickelous sulfate 	0.0014
7488-54-2	Rb2SO4	Rubidium sulfate 	0.00134
7789-23-3	KF	Potassium fluoride 	0.0018
584-08-7	K2CO3	Potassium carbonate 	0.0016
7789-00-6	K2CrO4	Potassium chromate 	0.0013
7778-50-9	K2Cr2O7	Potassium dichromate 	0.00188
497-19-8	Na2CO3	Sodium carbonate 	-0.0005
