CASRN	Formula	Charge	Conductivity, cm^2 S^-1 mol^-1
10549-76-5	Bu4N+	1	19.5
11062-77-4	O2-	-1	60
12408-02-5	H+	1	349.8
12596-26-8	Hg2+2	2	137.2
13010-31-6	Pr4N+	1	23.4
13408-62-3	Fe(CN)6-3	-3	325.5
13408-63-4	Fe(CN)6-4	-4	406
13907-45-4	CrO4-2	-2	166
13907-47-6	Cr2O7-2	-2	120.7
13968-08-6	H3O+	1	349.8
14000-31-8	P2O7-4	-4	384
14066-19-4	HPO4-2	-2	66
14066-20-7	H2PO4-	-1	33
14124-67-5	SeO3-2	-2	133.4
14124-68-6	SeO4-2	-2	151.4
14127-61-8	Ca+2	2	119
14259-85-9	MoO4-2	-2	149
14265-44-2	PO4-3	-3	207
14265-45-3	SO3-2	-2	159.8
14280-30-9	OH-	-1	198.3
14280-50-3	Pb+2	2	139
14302-87-5	Hg+2	2	127.2
14311-52-5	WO4-2	-2	138
14333-13-2	MnO4-	-1	61
14333-24-5	ReO4-	-1	54.9
14343-69-2	N3-	-1	69
14349-67-8	PdCl4-2	-2	97.8
14380-61-1	ClO-	-1	42
14383-50-7	S2O3-2	-2	169.8
14464-47-2	D+	1	249.9
14522-80-6	Br3-	-1	43
14695-95-5	Co(NH3)6+3	3	297.6
14701-21-4	Ag+	1	61.9
14701-22-5	Ni+2	2	98
14781-81-8	S2O6-2	-2	186
14797-55-8	NO3-	-1	71.5
14797-65-0	NO2-	-1	71.8
14797-73-0	ClO4-	-1	67.4
14798-03-9	NH4+	1	73.6
14798-26-6	C6H2(NO2)3O-	-1	30.4
14808-79-8	SO4-2	-2	160
14844-07-6	S2O4-2	-2	133
14866-68-3	ClO3-	-1	64.6
14897-04-2	Co(CN)6-3	-3	304.5
14900-04-0	I3-	-1	42.5
14913-52-1	Nd+3	3	208.2
14950-87-9	Au(CN)2-	-1	52
14996-02-2	HSO4-	-1	50
14998-27-7	ClO2-	-1	52
15035-72-0	SH-	-1	65
15046-91-0	Ag+2	2	117.8
15056-35-6	IO4-	-1	54.6
15092-81-6	S2O8-2	-2	172
15158-11-9	Cu+2	2	107.2
15181-46-1	HSO3-	-1	50
15391-88-5	Ag(CN)2-	-1	66.5
15438-31-0	Fe+2	2	107
15454-31-6	IO3-	-1	40.5
15536-54-6	S4O6-2	-2	158
15541-45-4	BrO3-	-1	55.7
15853-39-1	H2NSO3-	-1	48.3
15912-80-8	Ph4As+	1	19.7
15959-61-2	Pe4N+	1	17.5
15974-14-8	Pd(NH3)4+2	2	128.5
16053-58-0	CH3SO3-	-1	45.9
16065-83-1	Cr+3	3	201
16065-88-6	Pd+2	2	139.8
16065-92-2	Th+4	4	276
16089-60-4	U+4	4	272
16096-89-2	La+3	3	209.1
16397-91-4	Mn+2	2	100
16474-32-1	BrO4-	-1	57
16518-47-1	H2AsO4-	-1	34
16637-16-4	UO2+2	2	114
16661-43-1	SeH-	-1	70.4
16871-54-8	PtCl6-2	-2	165.4
16871-55-9	PtBr6-2	-2	115
16887-00-6	Cl-	-1	76.4
16919-18-9	PF6-	-1	56.9
16972-61-5	Ag(NH3)2+	1	55.5
16984-48-8	F-	-1	55.4
17000-00-9	CH3NH3+	1	58.7
17341-24-1	Li+	1	38.7
17341-25-2	Na+	1	50.1
17493-86-6	Cu+	1	44
17923-49-8	Mo(CN)8-4	-4	446
18130-74-0	HF2-	-1	75
18198-39-5	Ph4P+	1	20.2
18459-37-5	Cs+	1	77.3
18472-30-5	Er+3	3	197.7
18496-25-8	S-2	-2	191
18500-32-8	H5N2+	1	59
18923-26-7	Ce+3	3	209.4
18923-27-8	Yb+3	3	196.8
20074-52-6	Fe+3	3	204
20461-54-5	I-	-1	76.4
20561-39-1	At-	-1	58
20681-14-5	Au+	1	67.4
21057-99-8	NpO2+	1	51
21570-53-6	BuiPe3N+	1	18.5
22537-20-8	Be+2	2	90
22537-22-0	Mg+2	2	106.1
22537-23-1	Al+3	3	183
22537-29-7	Sc+3	3	194.1
22537-38-8	Rb+	1	77.8
22537-39-9	Sr+2	2	118.9
22537-40-2	Y+3	3	184
22537-48-0	Cd+2	2	108
22537-49-1	In+3	3	186.3
22537-56-0	Tl+	1	74.7
22541-12-4	Ba+2	2	127.3
22541-14-6	Pr+3	3	208.8
22541-17-9	Sm+3	3	205.5
22541-18-0	Eu+3	3	203.4
22541-19-1	Gd+3	3	201.9
22541-20-4	Tb+3	3	197.3
22541-21-5	Dy+3	3	196.8
22541-22-6	Ho+3	3	198.9
22541-23-7	Tm+3	3	196.2
22541-24-8	Lu+3	3	196.4
22541-36-2	Ra+2	2	133.6
22541-42-0	Cm+3	3	206
22541-43-1	Cf+3	3	199
22541-46-4	Am+3	3	211
22541-48-6	Se-2	-2	159
22541-53-3	Co+2	2	110
22541-79-3	Cr+2	2	123.3
22541-90-8	Sn+2	2	150.9
22853-00-5	PuO2+2	2	118
23713-49-7	Zn+2	2	105.6
24203-36-9	K+	1	73.5
24959-67-9	Br-	-1	78.1
302-04-5	SCN-	-1	66
3198-32-1	PhSO3-	-1	35
338-70-5	C2O4-2	-2	148.3
37841-17-1	iPe4N+	1	17.9
3812-32-6	CO3-2	-2	138.6
4358-26-3	BPh4-	-1	19.9
48042-08-6	Ni(CN)4-2	-2	198
51-92-3	Me4N+	1	44.9
57-12-5	CN-	-1	82
