formula	CASRN	c1	c2	c3	d1	d2	d3	B	multiplier
KCl	7447-40-7	0.009385	2.533	81.17	0.0139	1.886	44.11	1.7	1
NaCl	7647-14-5	0.008967	2.196	67.03	0.00726	1.762	44.55	1.3	1
HCl	7647-01-0	-0.006766	6.614	262.4	0.00009	1.776	48.53	0.01	1
LiCl	7447-41-8	0.008784	1.996	59.9	0.01656	1.198	42.79	1	1
CsCl	7647-17-8	0.01008	2.479	83.79	0.01733	1.176	41.29	1.4	1
NH4Cl	12125-02-9	0.006575	2.684	78.03	0.006133	1.423	30	0.7	1
CaCl2	10043-52-4	0.01124	2.224	72.36	0.03918	3.905	137.7	3.8	2
MgCl2	7786-30-3	0.009534	2.247	68.19	0.02469	4.374	129.8	3.1	2
BaCl2	10361-37-2	0.01038	2.346	75.51	0.04427	2.237	111.8	2.4	2
SrCl2	10476-85-4	0.009597	2.279	70.76	0.01668	1.833	60.18	0.8	2
H2SO4	7664-93-9	-0.01985	7.421	283.3	0.09194	63.37	1869	11.5	2
Na2SO4	7757-82-6	0.009501	2.317	66.58	0.02388	4.509	135.5	2.2	2
K2SO4	7778-80-5	0.008819	2.872	83.72	0.03799	9.784	247.1	5.3	2
Cs2SO4	10294-54-9	0.01273	2.457	85.97	0.05456	4.561	187.4	3.3	2
CaSO4	7778-18-9	0.01192	2.564	73.3	0.2402	19.78	644.4	9.6	2
KHSO4	7646-93-7	-0.003092	9.759	360.2	0.3102	63.75	1776	8.2	1
KHCO3	298-14-6	0.007807	2.04	63.03	0.00661	1.577	38.58	0.9	1
K2CO3	584-08-7	0.01145	2.726	68.62	0.02438	5.18	81.12	2.1	2
NaHCO3	144-55-8	0.0126	1.543	52.09	0.02793	0.4556	52.94	1.1	1
Na2CO3	497-19-8	0.02296	5.211	147	0.05707	22.22	455.8	4.8	2
NaOH	1310-73-2	0.006936	3.872	148.3	0.01018	0.67421	56.76	0.2	1
NaF	7681-49-4	0.007346	2.032	56.36	0.004903	3.101	69.99	2.3	1
KF	7789-23-3	0.007451	2.294	66.42	0.005788	1.501	39.4	0.9	1
KBr	7758-02-3	0.007076	2.612	80.86	0.009019	1.2	29.49	0.6	1
KNO3	7757-79-1	0.009117	2.309	80.33	0.00909	1.099	49.12	0.7	1
Zn(NO3)2	7779-88-6	0.01526	4.519	134.5	0.05938	10.15	302.9	4	2
