CASRN	Chemical	T	Permittivity	A	B	C	D	Tmin	Tmax
100-00-5	1-Chloro-4-nitrobenzene	393.2	8.09						
100-01-6	4-Nitroaniline	428	78.5	486.73	-1.504	0.0012857		428	468
100-02-7	4-Nitrophenol	393.2	42.2	229.01	-0.74264	0.00068006		393	463
100-06-1	4-Acetylanisole	313.2	17.3						
100-17-4	4-Nitroanisole	338.2	26.95	59.811	-0.10955	0.000036042		338	443
100-39-0	(Bromomethyl)benzene	293.2	6.658	18.482	-0.057207	0.000057321		273	323
100-41-4	Ethylbenzene	293.2	2.4463	3.5969	-0.0053169	0.00000475		293	323
100-42-5	Styrene	293.2	2.4737	4.4473	-0.011422	0.000016		293	313
100-43-6	4-Vinylpyridine	293.2	10.5						
100-44-7	(Chloromethyl)benzene	293.2	6.854	17.108	-0.045285	0.000035		273	323
100-46-9	Benzylamine	293.2	5.18						
100-47-0	Benzonitrile	293.2	25.9	57.605	-0.13354	0.000087767		273	453
100-48-1	4-Pyridinecarbonitrile	353.2	5.23	12.533	-0.030115	0.000026674		353	398
100-49-2	Cyclohexanemethanol	333.2	9.7	101.64	-0.45839	0.00054762		333	368
100-51-6	Benzyl alcohol	303.2	11.916	136.61	-0.72127	0.0010225		303	333
100-52-7	Benzaldehyde	293.2	17.85	35.046	-0.061271	0.000016222		301	346
100-53-8	Benzenemethanethiol	298.2	4.705	16.628	-0.068276	0.000094636		298	358
100-54-9	3-Pyridinecarbonitrile	323.2	20.54	60.484	-0.1728	0.00015218		323	398
100-61-8	N-Methylaniline	293.2	5.96						
100-63-0	Phenylhydrazine	293.2	7.15						
100-64-1	Cyclohexanone oxime	362.2	3.04						
100-66-3	Anisole	294.2	4.3	10.887	-0.032372	0.000033629		294	413
100-68-5	(Methylthio)benzene	303.2	4.88	21.841	-0.09763	0.0001375		303	343
100-69-6	2-Vinylpyridine	293.2	9.126						
100-70-9	2-Pyridinecarbonitrile	303.2	93.77	455.96	-1.7746	0.0019105		303	398
100-71-0	2-Ethylpyridine	293.2	8.33	36.397	-0.1507	0.0001875		293	333
100-84-5	3-Methylanisole	293.2	3.967	12.83	-0.049701	0.000066429		293	333
100-86-7	1-Phenyl-2-methyl-2-propanol	298.2	5.71	21.922	-0.084231	0.000099475		298	423
1001-89-4	2-Chloroheptane	295.2	6.52						
1002-69-3	1-Chlorodecane	293.2	4.581	6.8741	-0.001221	-0.0000225		293	323
10025-67-9	Sulfur chloride [SSCl2]	288.2	4.79						
10025-87-3	Phosphoryl chloride	293.2	14.1						
10026-04-7	Tetrachlorosilane	273.2	2.248	5.8041	-0.027129	0.000051678		207	273
10026-13-8	Phosphorus(V) chloride	433.2	2.85						
10028-15-6	Ozone	90.2	4.75	8.6344	-0.054807	0.00012596		90	185
100295-85-0	6-Methyl-3-heptanol, ()-	293.2	4.992	23.037	-0.098029	0.00012479		283	383
100296-26-2	2-Methyl-3-heptanol, ()-	293.2	3.26	-5.9739	0.0567	-0.000083125		343	403
1003-73-2	3-Methylpyridine-1-oxide	318.2	28.26	59.851	-0.12682	0.000086622		318	398
10034-85-2	Hydrogen iodide	220.2	3.87	515.57	-4.4552	0.0096795		220	236
10035-10-6	Hydrogen bromide	186.8	8.23						
10038-98-9	Germanium(IV) chloride	273.2	2.463	-5.5078	0.064881	-0.00013091		246	273
1004-66-6	2,6-Dimethylanisole	293.2	3.78	7.67	-0.018298	0.000017143		293	333
101-81-5	Diphenylmethane	303.2	2.54	3.0638	-0.0017286			303	333
101-84-8	Diphenyl ether	283.2	3.726						
101-97-3	Ethyl phenylacetate	293.2	5.32						
10102-43-9	Nitric oxide	124	2						
102-25-0	1,3,5-Triethylbenzene	293.2	2.256						
102-69-2	Tripropylamine	293.2	2.38	3.338	-0.0086332	0.000018322		243	293
102-76-1	Glycerol triacetate	293.6	7.11	17.819	-0.053656	0.000057759		219	304
102-82-9	Tributylamine	293.2	2.34	1.9846	0.0028108	-0.0000054545		233	293
10294-33-4	Boron tribromide	273.2	2.58						
103-29-7	1,2-Diphenylethane	331.2	2.47	3.1178	-0.0021572	0.000000598		331	451
103-37-7	Benzyl butanoate	301.2	4.55						
103-45-7	2-Phenylethyl acetate	297.2	4.93						
103-49-1	Dibenzylamine	293.2	3.446						
103-50-4	Dibenzyl ether	293.2	3.821	8.0154	-0.020536	0.00002125		293	333
