CASRN	Name 	logP
83-32-9	Acenaphthene	3.96
75-07-0	Acetaldehyde	0.45
60-35-5	Acetamide	-1.26
64-19-7	Acetic acid	-0.17
67-64-1	Acetone	-0.24
75-05-8	Acetonitrile	-0.34
98-86-2	Acetophenone	1.63
260-94-6	Acridine	3.4
107-02-8	Acrolein	-0.01
79-06-1	Acrylamide	-0.78
107-13-1	Acrylonitrile	0.25
107-18-6	Allyl alcohol	0.17
107-11-9	Allylamine	0.03
62-53-3	Aniline	0.9
100-66-3	Anisole	2.11
120-12-7	Anthracene	4.56
17082-12-1	trans-Azobenzene	3.82
275-51-4	Azulene	3.22
100-52-7	Benzaldehyde	1.48
56-55-3	Benz[a]anthracene	5.91
71-43-2	Benzene	2.13
122-78-1	Benzeneacetaldehyde	1.78
103-82-2	Benzeneacetic acid	1.41
140-29-4	Benzeneacetonitrile	1.56
64-04-0	Benzeneethanamine	1.41
60-12-8	Benzeneethanol	1.36
645-59-0	Benzenepropanenitrile	1.72
122-97-4	Benzenepropanol	1.88
108-98-5	Benzenethiol	2.52
238-84-6	11H-Benzo[a]fluorene	5.4
243-17-4	11H-Benzo[b]fluorene	5.75
271-89-6	Benzofuran	2.67
65-85-0	Benzoic acid	1.88
100-47-0	Benzonitrile	1.56
191-24-2	Benzo[ghi]perylene	6.9
119-61-9	Benzophenone	3.18
50-32-8	Benzo[a]pyrene	6.2
95-15-8	Benzo[b]thiophene	3.12
140-11-4	Benzyl acetate	1.96
100-51-6	Benzyl alcohol	1.05
100-46-9	Benzylamine	1.09
120-51-4	Benzyl benzoate	3.97
538-86-3	Benzyl methyl ether	1.35
946-80-5	Benzyl phenyl ether	3.79
92-52-4	Biphenyl	3.76
111-44-4	Bis(2-chloroethyl) ether	1.12
108-86-1	Bromobenzene	2.99
88-65-3	2-Bromobenzoic acid	2.2
585-76-2	3-Bromobenzoic acid	2.87
586-76-5	4-Bromobenzoic acid	2.86
109-65-9	1-Bromobutane	2.75
74-97-5	Bromochloromethane	1.41
108-85-0	Bromocyclohexane	3.2
74-96-4	Bromoethane	1.6
629-04-9	1-Bromoheptane	4.36
111-25-1	1-Bromohexane	3.8
74-83-9	Bromomethane	1.19
100-39-0	(Bromomethyl)benzene	2.92
111-83-1	1-Bromooctane	4.89
110-53-2	1-Bromopentane	3.37
106-94-5	1-Bromopropane	2.1
75-26-3	2-Bromopropane	1.9
106-95-6	3-Bromopropene	1.79
106-99-0	1,3-Butadiene	1.99
123-72-8	Butanal	0.88
541-35-5	Butanamide	-0.21
109-74-0	Butanenitrile	0.6
109-79-5	1-Butanethiol	2.28
107-92-6	Butanoic acid	0.79
71-36-3	1-Butanol	0.84
78-92-2	2-Butanol	0.65
78-93-3	2-Butanone	0.29
590-18-1	cis-2-Butene	2.33
624-64-6	trans-2-Butene	2.31
123-86-4	Butyl acetate	1.82
109-73-9	Butylamine	0.86
75-64-9	tert-Butylamine	0.4
104-51-8	Butylbenzene	4.26
98-06-6	tert-Butylbenzene	4.11
97-88-1	Butyl methacrylate	2.88
1638-22-8	4-Butylphenol	3.65
503-17-3	2-Butyne	1.46
86-74-8	Carbazole	3.72
108-90-7	Chlorobenzene	2.84
2051-60-7	2-Chlorobiphenyl	4.52
2051-61-8	3-Chlorobiphenyl	4.58
2051-62-9	4-Chlorobiphenyl	4.61
109-69-3	1-Chlorobutane	2.64
75-00-3	Chloroethane	1.43
75-01-4	Chloroethene	1.38
629-06-1	1-Chloroheptane	4.15
74-87-3	Chloromethane	0.91
100-44-7	(Chloromethyl)benzene	2.3
90-13-1	1-Chloronaphthalene	3.9
91-58-7	2-Chloronaphthalene	3.98
540-54-5	1-Chloropropane	2.04
75-29-6	2-Chloropropane	1.9
95-49-8	2-Chlorotoluene	3.42
108-41-8	3-Chlorotoluene	3.28
106-43-4	4-Chlorotoluene	3.33
218-01-9	Chrysene	5.73
140-10-3	trans-Cinnamic acid	2.13
191-07-1	Coronene	6.05
