CASRN	ODP2 Max	ODP1 Max	ODP1	Name	ODP2	Lifetime	ODP2 Min	ODP1 Min	ODP2 Design	ODP1 Design
124-72-1	1.2	1.2	0.7-1.2	C2HF4Br	0.7 - 1.2		0.7	0.7	0.916515138991	0.916515138991
124-73-2	13.0	6.0	6.0	Halon 2402 (C2F4Br2) Dibromotetrafluoroethane	13.0	20.0	13.0	6.0	13.0	6.0
134190-50-4		0.14	0.009 - 0.14	HCFC-244 (C3H3F4Cl) Monochlorotetrafluoropropane				0.009		0.0354964786986
148875-95-0	1.9	1.9	0.08-1.9	C3H3FBr4	0.08-1.9		0.08	0.08	0.389871773792	0.389871773792
148875-98-3	2.1	2.1	0.2 - 2.1	C3H2F2Br4	0.2-2.1		0.2	0.2	0.648074069841	0.648074069841
1511-62-2		0.74	0.74	HBFC-12B1(CHF2Br)				0.74		0.74
1649-08-7		0.05	0.008- 0.05	HCFC-132b (C2H2F2Cl2) Dichlorodifluoroethane				0.008		0.02
1717-00-6	0.12	0.11	0.11	HCFC-141b (C2H3FCl2) Dichlorofluoroethane	0.12	9.2	0.12	0.11	0.12	0.11
1868-53-7	1.0	1.0	1.0	CHFBr2	1.0		1.0	1.0	1.0	1.0
2354-06-5	1.0	1.0	1.0	CFC-213 (C3F3Cl5) Pentachlorotrifluoropropane	1.0		1.0	1.0	1.0	1.0
2837-89-0	0.022	0.022	0.022	HCFC-124 (C2HF4Cl) Monochlorotetrafluoroethane	0.022	5.9	0.022	0.022	0.022	0.022
29255-31-0	1.0	1.0	1.0	CFC-214 (C3F4Cl4) Tetrachlorotetrafluoropropane	1.0		1.0	1.0	1.0	1.0
306-83-2	0.01	0.02	0.02	HCFC-123 (C2HF3Cl2) Dichlorotrifluoroethane	0.01	1.3	0.01	0.02	0.01	0.02
3182-26-1	1.0	1.0	1.0	CFC-212 (C3F2Cl6) Hexachlorodifluoropropane	1.0		1.0	1.0	1.0	1.0
353-59-3	7.9	3.0	3.0	Halon 1211 (CF2ClBr) Bromochlorodifluoromethane	7.9	16.0	7.9	3.0	7.9	3.0
354-04-1	1.6	1.6	0.4-1.6	C2HF3Br2	0.4 - 1.6		0.4	0.4	0.8	0.8
354-14-3		0.04	0.01-0.04	HCFC-121 (C2HFCl4) Tetrachlorofluoroethane				0.01		0.02
354-21-2		0.08	0.02-0.08	HCFC-122 (C2HF2Cl3) Trichlorodifluoroethane				0.02		0.04
354-56-3	1.0	1.0	1.0	CFC-111 (C2FCl5) Pentachlorofluoroethane	1.0		1.0	1.0	1.0	1.0
358-97-4	1.7	1.7	0.1 - 1.7	C2H3FBr2	0.1-1.7		0.1	0.1	0.412310562562	0.412310562562
359-07-9	1.1	1.1	0.2 - 1.1	C2H3F2Br	0.2-1.1		0.2	0.2	0.469041575982	0.469041575982
359-28-4		0.05	0.007-0.05	HCFC-131 (C2H2FCl3) Trichlorofluoroethane				0.007		0.0187082869339
373-52-4	0.73	0.73	0.73	CH2FBr	0.73		0.73	0.73	0.73	0.73
420-97-3		0.02	0.002 - 0.02	HCFC-261 (C3H5FCl2) Dichlorofluoropropane				0.002		0.00632455532034
421-02-03		0.02	0.002 - 0.02	HCFC-262 (C3H5F2Cl) Monochlorodifluoropropane				0.002		0.00632455532034
421-06-7	1.6	1.6	0.7 - 1.6	C2H2F3Br	0.7-1.6		0.7	0.7	1.05830052443	1.05830052443
421-41-0		0.01	0.001 - 0.01	HCFC-251 (C3H4FCl3) Monochlorotetrafluoropropane				0.001		0.00316227766017
421-94-3		0.09	0.05 - 0.09	HCFC-231 (C3H2FCl5) Pentachlorofluoropropane				0.05		0.067082039325
422-26-4		0.07	0.015-0.07	HCFC-221 (C3HFCl6) Hexachlorofluoropropane				0.015		0.032403703492
422-49-1		0.09	0.01-0.09	HCFC-222 (C3HF2Cl5) Pentachlorodifluoropropane				0.01		0.03
422-52-6		0.08	0.01-0.08	HCFC-223 (C3HF3Cl4) Tetrachlorotrifluoropropane				0.01		0.0282842712475
422-54-8		0.09	0.01-0.09	HCFC-224 (C3HF4Cl3) Trichlorotetrafluoropropane				0.01		0.03
422-56-0	0.02	0.025	0.025	HCFC-225ca (C3HF5Cl2) Dichloropentafluoropropane	0.02	1.9	0.02	0.025	0.02	0.025
422-78-6	1.0	1.0	1.0	CFC-211 (C3FCl7) Heptachlorofluoropropane	1.0		1.0	1.0	1.0	1.0
422-86-6	1.0	1.0	1.0	CFC-217 (C3F7Cl) Chloroheptafluoropropane	1.0		1.0	1.0	1.0	1.0
425-94-5		0.28	0.01 - 0.28	HCFC-234 (C3H2F4Cl2) Dichlorotetrafluoropropane				0.01		0.0529150262213
