CAS	Chemical	Hfc	Gfc	Sc	Cpc	Hfl	Gfl	Sfl	Cpl	Hfg	Gfg	Sfg	Cpg
100-00-5	1-Chloro-4-nitrobenzene	-48700			250.2								
100-01-6	4-Nitroaniline	-42000			167	-20700				58800			
100-21-0	Terephthalic acid	-816100								-717900			
100-25-4	1,4-Dinitrobenzene	-38000			200								
100-37-8	2-Diethylaminoethanol					-305900							
100-41-4	Ethylbenzene					-12300			183.2	29900			
100-42-5	Styrene					103800			182	147900			
100-44-7	(Chloromethyl)benzene					-32500				18900			
100-46-9	Benzylamine					34200			207.2	94400			0
100-47-0	Benzonitrile					163200		209.1	165.2	215700			
100-51-6	Benzyl alcohol					-160700		216.7	217.9	-100400			
100-52-7	Benzaldehyde					-87000		221.2	172	-36700			
100-61-8	N-Methylaniline								207.1				
100-63-0	Phenylhydrazine					141000			217	202900			
100-66-3	Anisole					-114800				-67900			
100-75-4	N-Nitrosopiperidine					-31100				16600			
1002-84-2	Pentadecanoic acid	-861700			443.3	-811700				-699000			
10022-31-8	Barium nitrate	-988000	-792600	214	151.4								
10022-50-1	Nitryl fluoride											260.4	49.8
10024-93-8	Neodymium(III) chloride	-1041000			113								
10024-97-2	Nitrous oxide									81600	103700	220	38.6
10025-65-7	Platinum(II) chloride	-123400											
10025-67-9	Sulfur chloride [SSCl2]					-59400							
10025-73-7	Chromium(III) chloride	-556500	-486100	123	91.8								
10025-74-8	Dysprosium(III) chloride	-1000000											
10025-76-0	Europium(III) chloride	-936000											
10025-78-2	Trichlorosilane					-539300	-482500	227.6		-513000	-482000	313.9	75.8
10025-82-8	Indium(III) chloride	-537200								-374000			
10025-83-9	Iridium(III) chloride	-245600											
10025-85-1	Nitrogen trichloride					230000							
10025-87-3	Phosphoryl chloride					-597100	-520800	222.5	138.8	-558500	-512900	325.5	84.9
10025-91-9	Antimony(III) chloride	-382200	-323700	184.1	107.9								
10025-93-1	Uranium(III) chloride	-866500	-799100	159	102.5								
10026-04-7	Tetrachlorosilane					-687000	-619800	239.7	145.3	-657000	-617000	330.7	90.3
10026-07-0	Tellurium tetrachloride	-326400			138.5								
10026-08-1	Thorium(IV) chloride	-1186200	-1094100	190.4	120.3					-964400	-932000	390.7	107.5
10026-10-5	Uranium(IV) chloride	-1019200	-930000	197.1	122					-809600	-786600	419	
10026-11-6	Zirconium(IV) chloride	-980500	-889900	181.6	119.8								
10026-12-7	Niobium(V) chloride	-797500	-683200	210.5	148.1					-703700	-646000	400.6	120.8
10026-13-8	Phosphorus(V) chloride	-443500								-374900	-305000	364.6	112.8
10026-17-2	Cobalt(II) fluoride	-692000	-647200	82	68.8								
10028-14-5	Nobelium	0											
10028-15-6	Ozone									142700	163200	238.9	39.2
10028-16-7	Ditellurium									168200	118000	268.1	36.7
10028-18-9	Nickel(II) fluoride	-651400	-604100	73.6	64.1								
1003-03-8	Cyclopentylamine					-95100		241	181.2	-54900			
1003-29-8	1H-Pyrrole-2-carboxaldehyde	-106400											
1003-64-1	Ethylidenecyclohexane					-103500				-59500			
10031-22-8	Lead(II) bromide	-278700	-261900	161.5	80.1								
10031-24-0	Tin(II) bromide	-243500											
10031-26-2	Iron(III) bromide	-268200											
10031-27-3	Tellurium tetrabromide	-190400											
10034-85-2	Hydrogen iodide									26500	1700	206.6	29.2
10035-10-6	Hydrogen bromide									-36300	-53400	198.7	29.1
10036-47-2	Tetrafluorohydrazine									-8400	79900	301.2	79.2
10038-98-9	Germanium(IV) chloride					-531800	-462700	245.6		-495800	-457300	347.7	96.1
10042-76-9	Strontium nitrate	-978200	-780000	194.6	149.9								
10042-88-3	Terbium(III) chloride	-997000											
10043-11-5	Boron nitride	-254400	-228400	14.8	19.7					647500	614500	212.3	29.5
10043-35-3	Boric acid	-1094300	-968900	90	86.1					-994100			
10043-52-4	Calcium chloride	-795400	-748800	108.4	72.9								
10043-92-2	Radon									0		176.2	20.8
10049-04-4	Chlorine dioxide									102500	120500	256.8	42
10049-05-5	Chromium(II) chloride	-395400	-356000	115.3	71.2								
10049-06-6	Titanium(II) chloride	-513800	-464400	87.4	69.8								
10049-07-7	Rhodium(III) chloride	-299200											
10049-08-8	Ruthenium(III) chloride	-205000											
10049-10-2	Chromium(II) fluoride	-778000											
10049-14-6	Uranium(IV) fluoride	-1914200	-1823300	151.7	116					-1598700	-1572700	368	91.2
10049-16-8	Vanadium(IV) fluoride	-1403300											
10049-25-9	Chromium(II) bromide	-302100											
10097-28-6	Silicon monoxide									-99600	-126400	211.6	29.9
10097-32-2	Bromine (atomic)									111900	82400	175	20.8
10099-58-8	Lanthanum chloride	-1072200			108.8								
10099-66-8	Lutetium chloride	-945600								-649000			
10099-74-8	Lead(II) nitrate	-451900											
10099-76-0	Lead(II) metasilicate	-1145700	-1062100	109.6	90								
101-77-9	4,4'-Diaminodiphenylmethane				270.9								
101-81-5	Diphenylmethane	71500		239.3		89700				139000			
101-84-8	Diphenyl ether	-32100		233.9	216.6	-14900				52000			
10101-52-7	Zirconium(IV) orthosilicate	-2033400	-1919100	84.1	98.7								
10101-63-0	Lead(II) iodide	-175500	-173600	174.9	77.4								
10102-03-1	Nitrogen pentoxide	-43100	113900	178.2	143.1					13300	117100	355.7	95.3
10102-24-6	Lithium metasilicate	-1648100	-1557200	79.8	99.1								
10102-43-9	Nitric oxide									91300	87600	210.8	29.9
10102-44-0	Nitrogen dioxide									33200	51300	240.1	37.2
10102-45-1	Thallium(I) nitrate	-243900	-152400	160.7	99.5								
10102-68-8	Calcium iodide	-533500	-528900	142									
