CAS	Chemical	Tmin	Tmax	a0	a1	a2	a3	a4	Cpg	Cpl
7440-37-1	argon 			2.5	0	0	0	0	20.79	
7726-95-6	bromine 	50	1000	3.212	0.00716	-0.00001528	1.445E-008	-4.99E-012	36.05	75.67
13536-59-9	deuteriumbromide 	50	1000	3.716	-0.002318	0.00000738	-7.17E-009	2.5E-012	29.23	
10035-10-6	hydrogen bromide 	50	1000	3.842	-0.003098	0.00000917	-1.032E-008	4.26E-012	29.14	
353-59-3	bromochlorodifluoromethane 	100	1000	1.968	0.036592	-0.00005489	4.036E-008	-1.17E-011	74.65	
75-63-8	bromotrifluoromethane 	100	1000	1.959	0.030789	-0.00003782	2.236E-008	-5.15E-012	69.24	
75-61-6	dibromodifluoromethane 	100	1000	2.476	0.036115	-0.00005666	4.368E-008	-1.324E-011	77.02	
75-72-9	chlorotrifluoromethane 	50	1000	2.369	0.023861	-0.00001579	-3.66E-009	5.28E-012	66.87	
75-71-8	dichlorodifluoromethane (R-12) 	50	1000	2.185	0.031251	-0.00003724	1.93E-008	-3.23E-012	72.28	119
75-69-4	trichlorofluoromethane (R-11) 	50	1000	2.09	0.03889	-0.00006079	4.542E-008	-1.316E-011	78.09	121.8
56-23-5	tetrachloromethane 	200	1000	2.518	0.041882	-0.0000716	5.739E-008	-1.756E-011	83.43	131.6
75-73-0	tetrafluoromethane 	50	1000	2.643	0.015383	0.0000085	-2.94E-008	1.469E-011	61.05	
1511-62-2	bromodifluoromethane 	100	1000	3.254	0.013871	-0.0000007	-1.13E-008	6.06E-012	58.76	
75-45-6	chlorodifluoromethane (R-22) 	50	1000	3.164	0.010422	0.00001179	-2.65E-008	1.222E-011	55.85	110
75-43-4	dichlorofluoromethane 	50	1000	2.949	0.01713	-0.00000629	-8.21E-009	5.73E-012	60.94	108
67-66-3	trichloromethane 	200	1000	2.389	0.026218	-0.00003145	1.857E-008	-4.23E-012	65.4	113.8
75-46-7	trifluoromethane (R-23) 	50	1000	3.45	0.00348	0.00003012	-4.452E-008	1.834E-011	50.98	
75-09-2	dichloromethane 	200	1000	2.71	0.011561	0.00000324	-1.37E-008	6.62E-012	50.88	100
75-10-5	difluoromethane 	50	1000	4.15	-0.005584	0.00004384	-5.16E-008	1.92E-011	42.88	
64-18-6	methanoic acid (formic acid) 	50	1000	3.809	0.001568	0.00003587	-4.41E-008	1.672E-011	53.45	99.17
74-87-3	chloromethane 	200	1000	3.578	-0.00175	0.00003071	-3.714E-008	1.408E-011	40.74	81.84
593-53-3	fluoromethane 	50	1000	4.561	-0.010437	0.00004813	-5.069E-008	1.769E-011	37.51	
75-52-5	nitromethane 	50	1000	4.196	-0.001102	0.00005158	-6.721E-008	2.66E-011	57.22	106.8
74-82-8	methane 	50	1000	4.568	-0.008975	0.00003631	-3.407E-008	1.091E-011	35.69	
67-56-1	methanol 	50	1000	4.714	-0.006986	0.00004211	-4.443E-008	1.535E-011	44.06	81.08
74-93-1	methanethiol (methyl mercaptan) 	50	1000	4.119	0.001313	0.00002591	-3.212E-008	1.208E-011	50.26	90.5
74-89-5	methanamine (methyl amine) 	50	1000	4.193	-0.002122	0.00004039	-4.738E-008	1.751E-011	50.05	102.09
630-08-0	carbon monoxide 	50	1000	3.912	-0.003913	0.00001182	-0.000000013	5.15E-012	29.14	
124-38-9	carbon dioxide 	50	1000	3.259	0.001356	0.00001502	-2.374E-008	1.056E-011	37.13	
76-15-3	1-chloro-1,1,2,2,2- pentafluoroethane 	50	1000	2.355	0.050469	-0.00005156	2.041E-008	-1.39E-012	111.1	
374-07-2	1,1-dichloro-1,2,2,2- tetrafluoroethane 	50	1000	2.268	0.056415	-0.00006908	3.953E-008	-8.61E-012	115.8	
76-14-2	1,2-dichloro-1,1,2,2- tetrafluoroethane 	50	1000	2.525	0.053644	-0.00005771	2.417E-008	-1.99E-012	116.6	
76-13-1	1,1,2-trichloro-1,2,2- trifluoroethane 	50	1000	2.133	0.063238	-0.00008916	6.14E-008	-1.683E-011	121	
116-14-3	tetrafluoroethene 	200	1000	2.223	0.036551	-0.00004776	3.283E-008	-9.31E-012	80.41	
76-16-4	hexafluoroethane 	50	1000	2.525	0.043543	-0.00002948	-6.3E-009	9.67E-012	106.54	
354-25-6	1-chloro-1,1,2,2-tetrafluoroethane 	50	1000	2.888	0.03836	-0.00002468	-0.000000004	6.77E-012	100.4	
2837-89-0	1-chloro-1,2,2,2-tetrafluoroethane 	50	1000	3.022	0.035834	-0.00001744	-1.211E-008	9.94E-012	99.06	
306-83-2	1,1-dichloro-2,2,2-trifluoroethane (R-123) 	50	1000	2.996	0.03949	-0.00002743	-1.22E-009	5.72E-012	102.6	
354-23-4	1,2-dichloro-1,2,2-trifluoroethane (R-123a) 	50	1000	2.699	0.043299	-0.00003663	0.000000007	3.22E-012	104.45	
354-33-6	pentafluoroethane 	50	1000	3.146	0.029937	-0.00000056	-3.019E-008	1.669E-011	94.4	
74-86-2	ethyne (acetylene) 	50	1000	2.41	0.010926	-0.00000255	-7.9E-009	5.24E-012	59.03	
75-38-7	1,1-difluoroethene 	200	1000	0.749	0.026756	-0.00001905	2.45E-009	2.04E-012	59.08	
811-97-2	1,1,1,2-tetrafluoroethane (R-134a) 	50	1000	3.064	0.02542	0.00000586	-3.339E-008	1.716E-011	86.64	
359-35-3	1,1,2,2-tetrafluoroethane (R-134) 	50	1000	3.084	0.032841	-0.00002425	4.88E-009	1.62E-012	90.32	
75-68-3	1-chloro-1,1-difluoroethane 	50	1000	2.338	0.029791	-0.00001048	-1.336E-008	9.27E-012	83.26	130
1717-00-6	1,1-dichloro-1-fluoroethane (R-141b) 	50	1000	2.14	0.036934	-0.00003121	9.27E-009	6.8E-013	88.37	
420-46-2	1,1,1-trifluoroethane (R-143a) 	50	1000	2.577	0.023727	0.0000048	-2.824E-008	1.439E-011	78.61	
430-66-0	1,1,2-trifluoroethane (R-143) 	50	1000	3.531	0.01645	0.00002074	-4.217E-008	1.869E-011	77.34	
74-85-1	ethene (ethylene) 	50	1000	4.221	-0.008782	0.00005795	-6.729E-008	2.511E-011	42.9	
106-93-4	1,2-dibromoethane 	298	1000	3.784	0.024587	-0.0000075	-8.86E-009	6.01E-012	85.31	135.6
75-34-3	1,1-dichloroethane 	200	1000	2.61	0.024853	-0.00000675	-1.035E-008	6.43E-012	76.32	126.4
107-06-2	1,2-dichloroethane 	298	1000	2.99	0.023197	-0.00000404	-1.133E-008	6.17E-012	77.32	126.3
75-37-6	1,1-difluoroethane (R-152a) 	50	1000	3.292	0.011749	0.00002835	-4.645E-008	1.941E-011	68.49	118
64-19-7	ethanoic acid (acetic acid) 	50	1000	4.375	-0.002397	0.00006757	-8.764E-008	3.478E-011	63.44	123.1
107-31-3	methyl methanoate (methyl formate) 	298	1000	2.277	0.018013	0.0000116	-2.921E-008	1.342E-011	66.5	119.7
74-96-4	bromoethane 	100	1000	3.636	0.006861	0.00003749	-5.446E-008	2.231E-011	64.23	99.8
75-00-3	chloroethane 	200	1000	3.029	0.009885	0.00002967	-4.55E-008	1.871E-011	62.64	106
353-36-6	fluoroethane 	50	1000	3.881	0.001616	0.00004799	-6.161E-008	2.364E-011	59.61	
74-84-0	ethane 	50	1000	4.178	-0.004427	0.0000566	-6.651E-008	2.487E-011	52.47	231.5
64-17-5	ethanol 	50	1000	4.396	0.000628	0.00005546	-7.024E-008	2.685E-011	65.21	112.25
115-10-6	dimethyl ether 	100	1000	4.361	0.00607	0.00002899	-3.581E-008	1.282E-011	65.57	
75-08-1	ethanethiol (ethyl mercaptan) 	50	1000	3.894	0.012951	0.00002052	-3.287E-008	1.312E-011	73.01	117.8
75-18-3	2-thiapropane (dimethylsulfide) 	273	1000	3.535	0.01753	0.00000596	-1.632E-008	6.96E-012	74.06	118.1
75-04-7	ethanamine (ethyl amine) 	50	1000	4.64	0.002069	0.00005797	-7.659E-008	3.043E-011	71.54	129.7
124-40-3	N-methylmethanamine (dimethyl amine) 	273	1000	2.469	0.015462	0.00002642	-4.025E-008	1.564E-011	70.5	
76-19-7	octafluoropropane (R-218) 	200	1000	1.605	0.076488	-0.00008707	4.54E-008	-8.56E-012	147.95	
431-89-0	1,1,1,2,3,3,3-heptafluoropropane (R-227ea) 									137
288-14-2	1,2-oxazole (isoxazole) 	50	1000	3.911	-0.009705	0.0001038	-1.3472E-007	5.359E-011	59.01	96.48
74-99-7	1-propyne (methyl acetylene) 	50	1000	3.158	0.01221	0.00001167	-2.316E-008	1.002E-011	60.73	
