CASRN	Chemical	Tmin	Tmax	a0	a1	a2	a3	a4	a5	a6	a7	I	J	Hf
10097-32-2	Bromine monatomic	50	5000	2.5	3979000	1021	1.913	-1.928	7480000	140	28	-7.3	6.72	117900
7726-95-6	Bromine	50	5000	3.5	220000	481	4.667	-4.176	41110000	623	41	-0.4	8.91	45700
7440-44-0	Carbon monatomic	50	5000	2.5	1000	10	2.441	-176.087	792250000	5180	1345	-56.5	-5.22	711200
12070-15-4	Carbon diatomic	100	4000	3.5	281426000	1505	1.326	0.92	287550000	116	102	9.1	3.05	829300
12075-35-3	Carbon triatomic	100	4000	3.5	50483000	658	2.81	0.634	52820000	52	44	55.7	6.47	811500
12184-80-4	Carbon tetraatomic	50	4000	3.5	1759000	802	8.416	-1.1	-11800000	309	77	-0.4	6.37	964100
12595-82-3	Carbon pentaatomic	50	4500	3.5	2459000	750	12.91	-2.806	-9060000	251	107	0.8	7.4	972400
22537-15-1	Chlorine monatomic	50	5000	2.5	1066000	986	-0.248	0.274	290000	28	84	0	5.59	119600
7782-50-5	Chlorine diatomic	50	5000	3.5	574000	784	4.064	-3.157	50780000	723	123	-0.2	6.61	0
14762-94-8	Fluorine monatomic	50	5000	2.5	315000	592	0.021	-0.024	270000	80	26	0.4	4.65	77300
7782-41-4	Fluorine	50	5000	3.5	1807000	1401	2.337	-10.423	-56500000	1253	17	-2.2	4.36	0
12385-13-6	Hydrogen monatomic	50	5000	2.5	0	0	0	0	0	0	0	0	-0.49	216000
16873-17-9	Deuterium monatomic	50	5000	2.5	0	0	0	0	0	0	0	0	0.51	219800
1333-74-0	Hydrogen diatomic (equilibrium)	50	5000	4.7	2311000	1150	-10.157	11.235	-1640000	39	41	-70.3	-9.03	0
13983-20-5	Deuterium hydride	50	5000	3.5	56000	1199	4.844	-0.575	334380000	1613	493	-21.3	-2.64	300
7782-39-0	Deuterium diatomic (equilibrium)	50	5000	3.5	66000	1232	4.544	-2.327	195010000	1219	433	-14.1	-2.51	0
14362-44-8	Iodine monatomic	50	5000	2.5	4690000	1292	-1.446	2.092	2610000	61	117	0.4	7.5	107200
7553-56-2	Iodine	50	1100	3.5	115000	316	1.27	0	0	3	111	1.1	10.38	65500
17778-88-0	Nitrogen monatomic	50	5000	2.5	1000	1098	0.087	12.537	-87680000	273	1923	0.1	4.19	470800
7727-37-9	Nitrogen diatomic	50	5000	3.5	7615000	3136	2.986	-2.963	165120000	1784	484	-1.3	3.1	0
12596-60-0	Nitrogen triatomic	50	5000	4	1095000	2778	5.771	-2.76	3120000	88	204	-53.6	3.99	442800
17778-80-2	Oxygen monatomic	50	5000	2.5	23000	188	-0.06	3.615	-19550000	2661	1	109	4.57	246800
7782-44-7	Oxygen	50	5000	3.5	312000	1442	3.594	-1.895	38180000	559	267	-0.6	4.73	0
10028-15-6	Ozone	50	5000	4	3613000	1356	12.875	-10.92	328350000	1266	46	132.6	5.72	145300
