CASRN	Name	Data Type	Uncertainty	Tmin	Tmax	A1-spline	A2-spline	A3-spline	A4-spline	A1-quasi	A2-quasi	A3-quasi	A4-quasi	A5-quasi	A6-quasi	Tc
112-92-5	1-octadecanol	sat	V	353	500	-380.345	304.49	-65.1281	467027	0	0	0	0	0	0	
112-92-5	1-octadecanol	sat	V	500	623	388.825	-157.013	27.1724	-1.48312	0	0	0	0	0	0	
112-92-5	1-octadecanol	sat	V	353	623	0	0	0	0	935.743	9.43574E1	-233.365	2036.67	-1815.34	1777.55	790
7732-18-5	water	p	II	273.6	380	20.9634	-10.1344	2.8253	-0.256738	0	0	0	0	0	0	
7732-18-5	water	p	IV	380	590	-22.0666	23.8366	-6.11445	0.52745	0	0	0	0	0	0	
7732-18-5	water	p	V	590	635	-40151.8	20428.8	-3464.58	195.921	0	0	0	0	0	0	
7732-18-5	water	p	V	635	644.6	-23803400	11247200	-1771450	93003.7	0	0	0	0	0	0	
64-17-5	ethanol	p	II	91	220	27.039	-23.5244	10.668	-1.48531	0	0	0	0	0	0	
64-17-5	ethanol	p	I	220	290	2.07658	10.5152	-4.80453	0.859018	0	0	0	0	0	0	
64-17-5	ethanol	p	II	290	378.2	35.434	-23.9925	7.09467	-0.508705	0	0	0	0	0	0	
64-17-5	ethanol	sat	II	91	220	27.0321	-23.5102	10.6591	-1.48353	0	0	0	0	0	0	
64-17-5	ethanol	sat	I	220	290	2.13753	10.437	-4.77149	0.854434	0	0	0	0	0	0	
64-17-5	ethanol	sat	II	290	378.2	36.6241	-25.2388	7.5305	-0.559586	0	0	0	0	0	0	
64-17-5	ethanol	p	III	159	378.1	0	0	0	0	16.153	0.392268	9.34274	26.1521	-40.238	80.0067	513.92
108-88-3	toluene	p	II	162	350	21.6638	-7.51813	2.97181	-0.255049	0	0	0	0	0	0	
108-88-3	toluene	p	III	350	500	2.78361	8.6649	-1.65192	0.185306	0	0	0	0	0	0	
108-88-3	toluene	p	IV	500	570	-1699.32	1029.92	-205.904	13.8021	0	0	0	0	0	0	
108-88-3	toluene	sat	II	162	350	21.7474	-7.62609	3.01725	-0.26129	0	0	0	0	0	0	
108-88-3	toluene	sat	III	350	500	6.4405	5.49414	-0.731388	0.0957235	0	0	0	0	0	0	
108-88-3	toluene	sat	IV	500	570	-878.996	536.756	-106.984	7.17922	0	0	0	0	0	0	
110-54-3	hexane	p	II	180.4	250	37.8235	-22.9497	9.4115	-1.12003	0	0	0	0	0	0	
110-54-3	hexane	p	III	250	330	18.3886	0.372208	0.0827402	0.123801	0	0	0	0	0	0	
110-54-3	hexane	p	IV	330	463.1	36.6559	-16.2345	5.11507	-0.384515	0	0	0	0	0	0	
110-54-3	hexane	sat	II	180.4	250	37.9287	-23.0887	9.47185	-1.12863	0	0	0	0	0	0	
110-54-3	hexane	sat	III	250	330	18.7543	-0.0793775	0.268119	0.0985329	0	0	0	0	0	0	
110-54-3	hexane	sat	IV	330	463.1	48.62	-27.23	8.49557	-0.732523	0	0	0	0	0	0	
71-43-2	benzene	p	II	279	380	21.8305	-8.42889	2.92873	-0.241104	0	0	0	0	0	0	
71-43-2	benzene	p	IV	380	490	-43.3672	43.0429	-10.6165	0.947073	0	0	0	0	0	0	
71-43-2	benzene	p	IV	490	540	-2782.51	1720.07	-352.866	24.2294	0	0	0	0	0	0	
71-43-2	benzene	sat	II	279	380	20.5209	-7.34142	2.64185	-0.2178	0	0	0	0	0	0	
71-43-2	benzene	sat	IV	380	490	-25.0391	28.6271	-6.82355	0.612497	0	0	0	0	0	0	
71-43-2	benzene	sat	IV	490	540	-1304.2	811.788	-166.652	11.4852	0	0	0	0	0	0	
67-56-1	methanol	p	II	180	300	10.2627	-1.46311	0.0247615	0.137299	0	0	0	0	0	0	
67-56-1	methanol	p	III	300	400	4.60447	4.19511	-1.86132	0.346863	0	0	0	0	0	0	
67-56-1	methanol	p	IV	400	503.1	-406.188	312.289	-78.8849	6.7655	0	0	0	0	0	0	
67-56-1	methanol	sat	II	180	300	10.56	-1.84945	0.189543	0.114226	0	0	0	0	0	0	
67-56-1	methanol	sat	III	300	400	-1.68634	10.3968	-3.89256	0.567793	0	0	0	0	0	0	
67-56-1	methanol	sat	IV	400	503.1	58.1187	-34.4569	7.32089	-0.366661	0	0	0	0	0	0	
7761-88-8	Silver共1 E 兲 salt nitric acid	p	IV	491.1	541.2	16.6055	0	0	0	0	0	0	0	0	0	
7789-20-0	D2O	p	IV	278.5	473.1	8.28294	2.83306	-1.16021	0.13982	0	0	0	0	0	0	
7789-20-0	D2O	sat	IV	278.5	473.1	8.79744	2.34984	-1.0092	0.124113	0	0	0	0	0	0	
124-18-5	Decane	p	II	247	314	86.9177	-54.711	18.2488	-1.81898	0	0	0	0	0	0	
124-18-5	Decane	p	III	314	462.4	32.8132	-3.01891	1.78633	-0.0713739	0	0	0	0	0	0	
124-18-5	Decane	sat	II	247	314	86.4827	-54.2534	18.0891	-1.80049	0	0	0	0	0	0	
124-18-5	Decane	sat	III	314	462.4	34.0159	-4.12588	2.12488	-0.105773	0	0	0	0	0	0	
112-40-3	dodecane	p	II	266.7	310	177.21	-136.308	44.8939	-4.70443	0	0	0	0	0	0	
112-40-3	dodecane	p	IV	310	483.2	30.7315	5.4457	-0.833098	0.212448	0	0	0	0	0	0	
112-40-3	dodecane	sat	II	266.7	310	176.541	-135.625	44.6618	-4.67822	0	0	0	0	0	0	
112-40-3	dodecane	sat	IV	310	483.2	31.3573	4.8758	-0.660896	0.19519	0	0	0	0	0	0	
629-50-5	tridecane	p	III	271.7	373.1	55.6085	-9.93489	2.58183	0	0	0	0	0	0	0	
629-59-4	tetradecane	p	II	282.7	310	-28.3427	78.6707	-27.2348	3.34284	0	0	0	0	0	0	
629-59-4	tetradecane	p	IV	310	433.3	128.838	-73.4398	21.8331	-1.93328	0	0	0	0	0	0	
629-62-9	Pentadecane	p	III	285.5	373.1	221.52	-157.919	48.3676	-4.6828	0	0	0	0	0	0	
629-62-9	Pentadecane	p	III	285.5	373.1	0	0	0	0	81.2413	49.0799	2.02745	33.6194	0	0	708
544-76-3	Hexadecane	p	II	293.1	350	169.484	-106.995	32.9166	-3.12299	0	0	0	0	0	0	
544-76-3	Hexadecane	p	V	350	453.6	98.8261	-46.4313	15.6126	-1.47499	0	0	0	0	0	0	
544-76-3	Hexadecane	p	IV	293.1	453.6	0	0	0	0	2.49709	0.0251386	35.8902	62.0107	0	0	722
6004-38-2	Octahydro-4,7-methano-1H-indene	p	IV	351	390	-24.2546	15.1108	0	0	0	0	0	0	0	0	
1636-39-1	1 , 1⬘-Bicyclopentyl	p	III	235.7	600	26.6852	-7.73945	3.70069	-0.294212	0	0	0	0	0	0	
1636-39-1	1 , 1⬘-Bicyclopentyl	sat	III	235.7	600	27.274	-8.3235	3.89107	-0.314612	0	0	0	0	0	0	
1636-39-1	1 , 1⬘-Bicyclopentyl	p	IV	235.7	600	0	0	0	0	39.4314	1.78805	15.1805	49.0211	47.2627	33.5602	690
702-79-4 	1,3-Dimethyltricyclo关3.3.1.13,7兴decane 	p	III	251.3	650	7.18537	7.50663	0.19597	-0.0111761	0	0	0	0	0	0	
702-79-4 	1,3-Dimethyltricyclo关3.3.1.13,7兴decane 	p	IV	650	700	-66913.2	30893.8	-4751.55	243.668	0	0	0	0	0	0	
702-79-4 	1,3-Dimethyltricyclo关3.3.1.13,7兴decane 	sat	III	251.3	650	8.68138	6.14908	0.598655	-0.0501524	0	0	0	0	0	0	
702-79-4 	1,3-Dimethyltricyclo关3.3.1.13,7兴decane 	sat	IV	650	700	-40813.3	18847.1	-2898	148.596	0	0	0	0	0	0	
707-35-7 	1,3,5-Trimethyltricyclo关3.3.1.13,7兴decane 	p	III	258	356.8	13.9565	4.46566	0.833593	0	0	0	0	0	0	0	
2825-82-3	共3a␣ , 4␤ , 7␤ , 7a␣兲-Octahydro-4,7-methano-1H-indene	p	IV	193.1	465.2	7.41554	4.50748	0.487604	0	0	0	0	0	0	0	
293-96-9 	Cyclodecane	p	V	288	318.9	56.4362	-20.7691	4.32114	0	0	0	0	0	0	0	
770-69-4 	1-Ethyltricyclo关3.3.1.13,7兴decane 	p	II	228.2	373.9	13.773	3.38919	0.808097	0	0	0	0	0	0	0	
294-62-2	Cyclododecane 	p	V	335	368	11.0507	9.42195	0.00890418	0	0	0	0	0	0	0	
3452-09-3	1-Nonyne 	p	III	290	450.5	14.0741	6.03858	0	0	0	0	0	0	0	0	
3452-09-3	1-Nonyne 	p	III	290	450.5	0	0	0	0	-2.25541	0.0464528	13.8267	36.353	-4.61843	0.197382	611
121-46-0 	Bicyclo关2.2.1兴hepta-2,5-diene 	p	IV	259.1	351.8	-56.0036	67.0922	-21.4898	2.45353	0	0	0	0	0	0	
536-74-3 	Ethynylbenzene	p	III	228	393.4	45.0851	-28.5846	9.89803	-0.990777	0	0	0	0	0	0	
