Primary Name	Source	N components	CASRNs*N	Names*N	mass fracs*N	mole fracs*N	Synonyms																																				
Air 	REFPROP manual	3	7727-37-9	7440-37-1	7782-44-7	Nitrogen	Argon	Oxygen	0.7557	0.0127	0.2316	0.7812	0.0092	0.2096	atmosphere																												
Amarillo Gas 	REFPROP manual	10	74-82-8	7727-37-9	124-38-9	74-84-0	74-98-6	75-28-5	106-97-8	78-78-4	109-66-0	110-54-3	methane	nitrogen	CO2	ethane	propane	isobutane	butane	isopentane	pentane	hexane	0.82672	0.049807	0.011696	0.077379	0.020751	0.0034255	0.005163	0.0013162	0.0018165	0.0019248	0.90672	0.031284	0.004676	0.045279	0.00828	0.001037	0.001563	0.000321	0.000443	0.000393	
Ekofisk Gas 	REFPROP manual	9	74-82-8	7727-37-9	124-38-9	74-84-0	74-98-6	75-28-5	106-97-8	78-78-4	109-66-0	methane	nitrogen	CO2	ethane	propane	isobutane	butane	isopentane	pentane	0.73432	0.015028	0.035066	0.13605	0.054074	0.010796	0.010858	0.0019567	0.0018452	0.85906	0.010068	0.014954	0.084919	0.023015	0.003486	0.003506	0.000509	0.00048					
Gulf Coast Gas 	REFPROP manual	10	74-82-8	7727-37-9	124-38-9	74-84-0	74-98-6	75-28-5	106-97-8	78-78-4	109-66-0	110-54-3	methane	nitrogen	CO2	ethane	propane	isobutane	butane	isopentane	pentane	hexane	0.92176	0.0043273	0.015603	0.032551	0.012064	0.0033802	0.003484	0.0020314	0.0013915	0.0034061	0.96522	0.002595	0.005956	0.018186	0.004596	0.000977	0.001007	0.000473	0.000324	0.000664	natural gas
High CO2 and Nitrogen Gas 	REFPROP manual	7	74-82-8	7727-37-9	124-38-9	74-84-0	74-98-6	75-28-5	106-97-8	methane	nitrogen	CO2	ethane	propane	isobutane	butane	0.65706	0.080556	0.16835	0.065252	0.019903	0.0044261	0.0044554	0.81212	0.05702	0.07585	0.04303	0.00895	0.00151	0.00152													
High Nitrogen Gas 	REFPROP manual	7	74-82-8	7727-37-9	124-38-9	74-84-0	74-98-6	75-28-5	106-97-8	methane	nitrogen	CO2	ethane	propane	isobutane	butane	0.70061	0.20227	0.023246	0.053209	0.014306	0.0031167	0.0032414	0.81441	0.13465	0.00985	0.033	0.00605	0.001	0.00104													
R401A	REFPROP manual	3	75-45-6	75-37-6	2837-89-0	R22	R152a	R124	0.53	0.13	0.34	0.57885	0.18587	0.23527	R 401A	R-401A	R401A	Refrigerant 401A	Refrigerant-401A	Refrigerant401A																							
R401B	REFPROP manual	3	75-45-6	75-37-6	2837-89-0	R22	R152a	R124	0.61	0.11	0.28	0.65492	0.15461	0.19047	R 401B	R-401B	R401B	Refrigerant 401B	Refrigerant-401B	Refrigerant401B																							
R401C	REFPROP manual	3	75-45-6	75-37-6	2837-89-0	R22	R152a	R124	0.33	0.15	0.52	0.38559	0.22945	0.38496	R 401C	R-401C	R401C	Refrigerant 401C	Refrigerant-401C	Refrigerant401C																							
R402A	REFPROP manual	3	354-33-6	74-98-6	75-45-6	R125	Propane	R22	0.6	0.02	0.38	0.50766	0.04606	0.44628	R 402A	R-402A	R402A	Refrigerant 402A	Refrigerant-402A	Refrigerant402A																							
R402B	REFPROP manual	3	354-33-6	74-98-6	75-45-6	R125	Propane	R22	0.38	0.02	0.6	0.29986	0.04296	0.65719	R 402B	R-402B	R402B	Refrigerant 402B	Refrigerant-402B	Refrigerant402B																							
R403A	REFPROP manual	3	74-98-6	75-45-6	76-19-7	Propane	R22	R218	0.05	0.75	0.2	0.1043	0.79785	0.09785	R 403A	R-403A	R403A	Refrigerant 403A	Refrigerant-403A	Refrigerant403A																							
R403B	REFPROP manual	3	74-98-6	75-45-6	76-19-7	Propane	R22	R218	0.05	0.56	0.39	0.11708	0.66873	0.21418	R 403B	R-403B	R403B	Refrigerant 403B	Refrigerant-403B	Refrigerant403B																							
