CASRN	Fluid	sigma0	n0	sigma1	n1	sigma2	n2	Tc	Tmin	Tmax
67-64-1	Acetone 	0.0633	1.16	0	0	0	0	508.1	182.06	353.15
7664-41-7	Ammonia 	0.1028	1.211	-0.09453	5.585	0	0	405.4	197.85	403.15
7440-37-1	Argon 	0.037	1.25	0	0	0	0	150.687	83.82	148.15
71-43-2	Benzene 	0.07298	1.232	-0.0007802	0.8635	-0.0001756	0.3065	562.02	272.95	553.15
106-97-8	Butane 	0.05138	1.209	0	0	0	0	425.125	134.84	420
590-18-1	Butene 	0.05644	1.248	0	0	0	0	419.29	203.15	293.15
124-38-9	Carbon dioxide 	0.07863	1.254	0	0	0	0	304.128	216.55	304.11
630-08-0	Carbon monoxide 	0.02843	1.148	0	0	0	0	132.86	70	91.89
463-58-1	Carbonyl Sulfide 	0.07246	1.407	0	0	0	0	378.77	175.65	313.25
110-82-7	Cyclohexane 	0.06485	1.263	0	0	0	0	553.64	279.33	363.15
7789-20-0	D2O	-0.1423	2.645	0.2094	1.214	0	0	643.847	273.15	642.02
124-18-5	Decane 	0.05473	1.29	0	0	0	0	617.7	243	443.15
7782-39-0	Deuterium 	0.009376	1.258	0	0	0	0	38.34	18.72	36.7
115-10-6	Dimethyl ether 	0.063157	1.2595	0	0	0	0	400.378	131.7	398.15
112-40-3	Dodecane 	0.0154	4.18	0.048	1.17	0	0	658.1	273.15	473.15
74-84-0	Ethane 	0.07602	1.32	-0.02912	1.676	0	0	305.322	89.87	304.93
64-17-5	Ethanol 	0.05	0.952	0	0	0	0	513.9	180.12	513.15
74-85-1	Ethylene 	0.0477	1.17	0	0	0	0	282.35	113.15	193.1
7782-41-4	Fluorine 	0.03978	1.218	0	0	0	0	144.414	66.21	90.15
7440-59-7	Helium 	0.0004656	1.04	0.001889	2.468	-0.002006	2.661	5.1953	0	5.11
142-82-5	Heptane 	0.07765	1.319	-0.02599	1.6	0	0	540.13	183	540.08
110-54-3	Hexane 	0.210952	1.0962	-0.158485	1.05893	0	0	507.82	173.15	507.39
1333-74-0	Hydrogen 	-1.4165	0.63882	0.746383	0.659804	0.675625	0.619149	33.145	14.86	32.82
7783-06-4	Hydrogen sulfide 	0.078557	1.2074	0	0	0	0	373.1	189	313.15
75-28-5	Isobutane 	-0.01639	2.102	0.06121	1.304	0	0	407.81	203.15	403.96
115-11-7	Isobutene 	0.0545	1.23	0	0	0	0	418.09	218.15	293.15
107-83-5	Isohexane 	0.05024	1.194	0	0	0	0	497.7	273.15	333.15
78-78-4	Isopentane 	0.051	1.209	0	0	0	0	460.35	253.15	298.15
7439-90-9	Krypton 	0.0447	1.245	0	0	0	0	209.48	115.79	201.11
74-82-8	Methane 	0.03825	1.191	-0.006024	5.422	-0.0007065	0.6161	190.564	90.67	188.84
67-56-1	Methanol 	0.22421	1.3355	-0.21408	1.677	0.083233	4.4402	513.38	175.61	508.15
7440-01-9	Neon 	0.012254	1.4136	0.02728	1.4517	-0.025715	1.6567	44.4918	24.81	41.93
7727-37-9	Nitrogen 	0.02898	1.246	0	0	0	0	126.192	64.8	120.24
10024-97-2	Nitrous oxide 	0.07087	1.204	0	0	0	0	309.52	182.5	293.15
111-84-2	Nonane 	0.05388	1.262	0	0	0	0	594.55	223	393.15
111-65-9	Octane 	0.34338	1.6607	-0.50634	1.9632	0.2238	2.3547	569.32	218	568.56
7782-44-7	Oxygen 	0.03843	1.225	0	0	0	0	154.581	55.7	152.08
109-66-0	Pentane 	0.08015	1.408	0.004384	1.031	-0.03437	1.818	469.7	144.18	469.67
355-25-9	Perfluorobutane	0.04429	1.242	0	0	0	0	386.326	233.5	265.4
678-26-2	Perfluoropentane 	0.04394	1.254	0	0	0	0	420.555	273.55	413.15
74-98-6	Propane 	0.05334	1.235	-0.01748	4.404	0	0	369.89	193.15	366.48
115-07-1	Propylene 	0.05268	1.186	0	0	0	0	364.211	193.15	363.65
74-99-7	Propyne 	0.05801	1.205	0	0	0	0	402.38	183.15	257.35
75-69-4	R11 	0.06212	1.247	0	0	0	0	471.11	160	460
76-13-1	R113 	0.0556	1.24	0	0	0	0	487.21	240	468.06
76-14-2	R114 	0.05239	1.258	0	0	0	0	418.83	180	413.14
76-15-3	R115 	0.04771	1.246	0	0	0	0	353.1	170	343.15
76-16-4	R116 	0.047593	1.2666	-0.0073402	1.9892	0	0	293.03	96.7	290.1
75-71-8	R12 	-0.000124	0.4318	0.05662	1.263	0	0	385.12	130.01	383.94
306-83-2	R123 	0.056151	1.2367	0	0	0	0	456.831	253.15	423.15
754-12-1	R1234yf 	0.06274	1.394	0	0	0	0	367.85	273.21	338.38
2837-89-0	R124 	0.05175	1.197	0	0	0	0	395.425	275.84	343.97
354-33-6	R125 	0.05252	1.237	0	0	0	0	339.173	233.15	333.15
75-72-9	R13 	0.05045	1.269	0	0	0	0	302	90	301.15
811-97-2	R134a 	0.05801	1.241	0	0	0	0	374.21	243.15	373.15
75-73-0	R14 	0.0423	1.24	0	0	0	0	227.51	89.56	204.76
1717-00-6	R141b 	0.000073958	0.066331	0.059941	1.2214	0	0	477.5	275.66	476.35
75-68-3	R142b 	0.05685	1.237	0	0	0	0	410.26	150	409.25
75-37-6	R152a 	0.05808	1.2115	0	0	0	0	386.411	150	373.45
353-36-6	R161 	0.05385	1.111	0	0	0	0	375.3	129.95	373.1
75-43-4	R21 	0.06924	1.259	0	0	0	0	451.48	138.15	398.15
