CAS	Chemical	Tm	Tc	A	B	C	D	E
7440-63-3	Xenon	161.25	289.73	0.05435	1.28359	0	0	0
7439-90-9	Krypton	115.75	209.48	0.04405	1.22807	0	0	0
7440-37-1	Argon	83.75	150.69	0.03813	1.29069	0	0	0
132259-10-0	Air	63.05	132.53	0.02919	1.15656	0.06889	0.17918	-0.14564
7727-37-9	Nitrogen	63.05	126.19	0.02921	1.25537	0	0	0
7782-44-7	Oxygen	54.35	154.6	0.03797	1.21036	0	0	0
7704-34-9	Sulfur	388.45	1312.95	0.08603	1.00082	0	0	0
7782-41-4	Fluorine	53.45	144.41	0.04004	1.22411	0	0	0
7782-50-5	Chlorine	172.15	416.96	0.0676	1.08562	0	0	0
10097-32-2	Bromine	265.85	584.15	0.09404	1.16321	0	0	0
7553-56-2	Iodine	386.85	819.15	0.23475	2.29332	0	0	0
7664-39-3	Hydrogen fluoride	189.75	461.15	0.03648	1.4122	0	0	0
7647-01-0	Hydrogen chloride	158.85	324.65	0.08517	1.2967	0	0	0
10035-10-6	Hydrogen bromide	186.25	363.15	0.07541	1.22318	0	0	0
10034-85-2	Hydrogen iodide	222.25	423.85	0.06376	1.07475	0	0	0
74-90-8	Hydrogen cyanide	259.85	456.65	0.05231	1.02047	0	0	0
7732-18-5	Water	273.15	647.1	0.15488	1.64129	-0.75986	-0.85291	1.14113
7783-06-4	Hydrogen sulfide	187.65	373.1	0.07436	1.3009	0	0	0
7664-41-7	Ammonia	195.35	405.5	0.10175	1.21703	0	0	0
10102-43-9	Nitric oxide	112.15	180.15	0.12062	1.54592	0	0	0
10102-44-0	Nitrogen dioxide	261.85	431.15	0.08109	0.95509	0	0	0
10024-97-2	Nitrous oxide	182.25	309.52	0.07134	1.20607	0	0	0
10544-72-6	Dinitrogentetroxide	261.85	431.1	0.16856	1.22183	0	0	0
460-19-5	Cyanogen	245.25	400.15	0.07339	1.20282	0	0	0
7719-12-2	Phosphorus trichloride	181.15	563.15	0.07098	1.22441	0	0	0
506-77-4	Cyanogen chloride	266.65	449.05	0.07941	1.18902	0	0	0
7440-21-3	Silane	88.45	269.75	0.04274	1.21421	0	0	0
10026-04-7	Tetrachlorosilane	204.35	507.05	0.05154	1.14006	0	0	0
630-08-0	Carbon monoxide	68.15	132.86	0.02792	1.13266	0	0	0
124-38-9	Carbon dioxide	216.55	304.13	0.08167	1.27339	0	0	0
504-64-3	Carbon suboxide	160.95	427.58	0.10041	1.21621	0	0	0
463-58-1	Carbonyl sulfide	134.25	378.77	0.07598	1.46595	0	0	0
75-44-5	Phosgene	145.25	455.05	0.0652	1.16027	0	0	0
75-15-0	Carbon disulfide	161.55	552.05	0.08219	1.22945	0	0	0
7446-09-5	Sulfur dioxide	199.95	430.64	0.0873	1.18191	0	0	0
7446-11-9	Sulfur trioxide	289.95	490.85	0.10346	1.21917	0	0	0
7791-25-5	Sulfuryl chloride	219.05	545.05	0.09002	1.27637	0	0	0
2551-62-4	Sulfur hexafluoride	222.35	318.88	0.03785	0.98021	0	0	0
74-93-1	Methyl mercaptan	150.15	469.95	0.08186	1.22601	0	0	0
75-08-1	Ethyl mercaptan	125.25	499.15	0.06002	1.06332	0	0	0
75-18-3	Dimethyl sulfide	175.15	503	0.0679	1.15009	0	0	0
352-93-2	Diethyl sulfide	169.25	557.15	0.06254	1.21632	0	0	0
110-02-1	Thiophene	234.85	579.35	0.08229	1.33643	0	0	0
593-53-3	Fluoromethane (R41)	131.25	317.28	0.06598	1.26598	0	0	0
75-10-5	Difluoromethane (R32)	137.05	351.26	0.07647	1.28512	0	0	0
75-46-7	Trifluoromethane (R23)	117.95	299.75	0.05858	1.23456	0	0	0
75-73-0	Tetrafluoromethane (R14)	89.45	227.55	0.05626	1.23364	0	0	0
74-87-3	Methyl chloride	175.35	416.25	0.07623	1.28255	0	0	0
75-09-2	Methylene chloride	178.05	510.05	0.08432	1.28714	0	0	0
67-66-3	Chloroform	209.65	536.45	0.06931	1.17639	0	0	0
56-23-5	Carbon tetrachloride	250.25	556.35	0.06666	1.21285	0	0	0
74-83-9	Bromomethane	179.55	467.05	0.08027	1.30463	0	0	0
74-95-3	Dibromomethane	220.65	611.05	0.09615	1.30603	0	0	0
75-25-2	Tribromomethane	281.35	696.05	0.08674	1.17862	0	0	0
558-13-4	Tetrabromomethane	365.15	724.8	0.15153	1.2227	0	0	0
75-45-6	Chlorodifluoromethane (R22)	115.75	369.28	0.06238	1.23996	0	0	0
75-43-4	Dichlorofluoromethane (R21)	138.15	451.55	0.06925	1.25278	0	0	0
75-72-9	Chlorotrifluoromethane (R13)	92.15	302.05	0.05415	1.25006	0	0	0
75-71-8	Dichlorodifluoromethane (R12)	115.15	385.12	0.05898	1.28862	0	0	0
75-69-4	Trichlorofluoromethane (R11)	162.05	471.06	0.06409	1.27077	0	0	0
353-36-6	Ethyl fluoride (R161)	129.85	375.3	0.05419	1.1184	0	0	0
75-00-3	Ethyl chloride	136.75	460.35	0.06597	1.23494	0	0	0
74-96-4	Ethyl bromide	154.55	503.75	0.07599	1.31627	0	0	0
75-34-3	1,1-Dichloroethane	176.15	523.05	0.0711	1.24746	0	0	0
107-06-2	1,2-Dichloroethane	237.45	561.6	0.08099	1.24885	0.00096	-0.01186	0.00695
106-93-4	1,2-Dibromoethane	282.95	650.2	0.08093	1.22574	0	0	0
420-46-2	1,1,1-Trifluoroethane (R143a)	161.75	345.86	0.05023	1.11401	0	0	0
71-55-6	1,1,1-Trichloroethane	243.15	545.05	0.06587	1.22121	0	0	0
79-34-5	1,1,2,2-Tetrachloroethane	229.25	645.05	0.07626	1.23498	0	0	0
76-01-7	Pentachloroethane	244.15	646	0.07017	1.15768	0	0	0
67-72-1	Hexachloroethane	459.95	695.05	0.14133	1.3043	0	0	0
76-12-0	1,1,2,2-Tetrachlorodifluoroethane	298.05	551.05	0.06418	1.29363	0	0	0
76-13-1	1,1,2-trichlorotrifluoroethane	236.85	487.21	0.05521	1.23559	0	0	0
76-14-2	1,2-Dichlorotetrafluoroethane	180.65	418.85	0.05178	1.24664	0	0	0
540-54-5	1-Chloropropane	150.25	503.15	0.06684	1.27458	0	0	0
109-69-3	1-Chlorobutane	150.05	542	0.06373	1.36371	0.1779	-1.11469	0.86417
543-59-9	1-Chloropentane	174.15	568.05	0.06031	1.18716	0	0	0
79-38-9	Chlorotrifluoroethene	115.05	379.15	0.08373	1.31939	0	0	0
75-01-4	Vinyl chloride	119.25	432.05	0.07032	1.2727	0	0	0
75-35-4	1,1-Dichloroethene	150.55	482.05	0.07702	1.20663	0	0	0
79-01-6	Trichloroethene	188.25	571.05	0.07498	1.28458	0	0	0
127-18-4	Tetrachloroethene	250.75	620.05	0.07067	1.22671	0	0	0
462-06-6	Fluorobenzene	230.85	560.05	0.07216	1.30234	0	0	0
108-90-7	Chlorobenzene	227.85	632.35	0.07269	1.24185	0	0	0
108-86-1	Bromobenzene	242.35	670.2	0.07406	1.2302	0	0	0
591-50-4	Iodobenzene	241.75	721.2	0.07595	1.25538	0	0	0
108-41-8	m-Chlorotoluene	225.15	660.75	0.07978	1.77729	-0.55705	-0.51952	0.63993
100-44-7	Benzyl chloride	234.15	686.05	0.07908	1.33849	0	0	0
74-82-8	Methane	90.65	190.56	0.0364	1.14306	0	0	0
74-84-0	Ethane	90.25	305.32	0.04863	1.19828	0	0	0
74-98-6	Propane	85.45	369.82	0.05094	1.22051	0	0	0
106-97-8	n-Butane	134.75	425.13	0.05203	1.21961	0	0	0
109-66-0	n-Pentane	143.35	469.66	0.05202	1.20435	0	0	0
110-54-3	n-Hexane	177.75	507.79	0.055	1.26769	0	0	0
142-82-5	n-Heptane	182.55	541.23	0.05422	1.25287	0	0	0
111-65-9	n-Octane	216.25	569.57	0.05277	1.2321	0	0	0
111-84-2	n-Nonane	219.65	594.55	0.05496	1.28917	0	0	0
124-18-5	n-Decane	243.55	617.7	0.0554	1.309	0	0	0
1120-21-4	n-Undecane	247.55	639.05	0.05555	1.32037	0	0	0
112-40-3	n-Dodecane	263.65	658.1	0.05549	1.32644	0	0	0
629-50-5	n-Tridecane	267.85	675.05	0.05539	1.32719	0	0	0
629-59-4	n-Tetradecane	279.15	693.05	0.05634	1.36445	0	0	0
629-62-9	n-Pentadecane	283.15	708.05	0.05644	1.36901	0	0	0
544-76-3	n-Hexadecane	291.45	723.05	0.05742	1.40834	0	0	0
629-78-7	n-Heptadecane	295.15	736.05	0.05701	1.40336	0	0	0
593-45-3	n-Octadecane	301.45	747.05	0.05782	1.42315	0	0	0
629-92-5	n-Nonadecane	305.15	758.05	0.05806	1.4401	0	0	0
112-95-8	n-Eicosane	309.65	769.63	0.05887	1.46686	0	0	0
75-28-5	Isobutane	113.55	407.81	0.05132	1.25196	0	0	0
78-78-4	2-Methyl butane	113.25	460.35	0.05095	1.20843	0	0	0
463-82-1	2,2-Dimethyl propane	256.55	433.74	0.0466	1.25255	0	0	0
107-83-5	2-Methyl pentane	119.55	497.7	0.05005	1.1892	0	0	0
96-14-0	3-Methyl pentane	110.25	504.65	0.05324	1.2402	0	0	0
75-83-2	2,2-Dimethyl butane	174.25	489	0.04744	1.16905	0	0	0
79-29-8	2,3-Dimethyl butane	145.15	500	0.05015	1.20133	0	0	0
74-85-1	Ethylene	104.05	282.35	0.05296	1.27846	0	0	0
115-07-1	Propylene	187.75	365.57	0.05312	1.19763	0	0	0
106-98-9	1-Butene	87.75	419.29	0.05607	1.23722	0	0	0
109-67-1	1-Pentene	108.05	464.75	0.05072	1.15769	0	0	0
592-41-6	1-Hexene	133.25	504.05	0.05216	1.19509	0	0	0
592-76-7	1-Heptene	154.25	537.4	0.05697	1.33692	-0.12198	0.13265	-0.05353
111-66-0	1-Octene	171.35	567.05	0.05394	1.24599	0	0	0
463-49-0	Propadiene	136.75	393.15	0.05813	1.2826	0	0	0
590-19-2	1,2-Butadiene	136.85	452	0.06322	1.33841	0	0	0
106-99-0	1,3-Butadiene	164.25	425.15	0.05629	1.24878	0	0	0
591-95-7	1,2-Pentadiene	135.75	500.05	0.05944	1.28818	0	0	0
504-60-9	trans-1,3-Pentadiene	185.75	500.05	0.05506	1.31227	0	0	0
591-93-5	1,4-Pentadiene	124.85	479	0.07299	1.58928	0	0	0
591-96-8	2,3-Pentadiene	147.45	497	0.0587	1.27433	0	0	0
74-86-2	Acetylene	192.25	308.35	0.05698	1.13545	0	0	0
74-99-7	Propyne	170.35	402.4	0.06252	1.13872	0	0	0
503-17-3	2-Butyne	240.85	473.2	0.07283	1.2469	0	0	0
107-00-6	1-Butyne	147.35	440	0.05729	1.11793	0	0	0
75-19-4	Cyclopropane	145.55	397.95	0.06588	1.25086	0	0	0
287-23-0	Cyclobutane	182.45	459.9	0.07176	1.25065	0	0	0
287-92-3	Cyclopentane	179.25	511.7	0.07418	1.40256	0	0	0
96-37-7	Methyl cyclopentane	130.75	532.75	0.06138	1.27048	0	0	0
1640-89-7	Ethyl cyclopentane	134.65	569.5	0.05675	1.19902	0	0	0
2040-96-2	Propyl cyclopentane	155.75	596	0.05638	1.20639	0	0	0
2040-95-1	Butyl cyclopentane	165.15	621	0.0569	1.23479	0	0	0
3741-00-2	Pentyl cyclopentane	190.15	656.2	0.08233	1.88316	0	0	0
4457-00-5	hexyl cyclopentane	200.15	660.1	0.08116	1.83729	0	0	0
110-82-7	Cyclohexane	279.65	553.6	0.0656	1.26601	0	0	0
