CASRN	DOM_MFG_LB	IMPORTED_LB	VOLUME_EXPORTED
68477-81-6	35750684	0	0
26398-95-8	64230	0	0
675-62-7	0	0	0
68002-90-4	39281	0	0
68186-64-1	0	0	0
104-38-1	426544	77918	394774
110-56-5	0	0	0
71820-35-4	0	0	0
11059-65-7	0	0	0
540-10-3	0	0	0
13828-37-0	0	0	0
68585-34-2	11641077	894686	255016
764-99-8	0	0	0
7664-41-7	10691133809	5627891724	207435615
362520-89-6	1966105	0	0
68412-02-2	0	0	0
39393-37-8	27437	0	4115
10048-98-3	0	0	0
504-02-9	0	0	0
9000-07-1	0	0	0
71786-49-7	0	0	0
178603-65-1	0	4989516	0
3087-36-3	0	0	0
64742-81-0	15708274004	36186	1198681011
68915-38-8	0	0	0
71868-10-5	0	39277	0
141-78-6	54996	10939999	16362
7779-90-0	506467	1342237	0
5862-38-4	0	0	0
375-03-1	0	0	0
26471-62-5	0	0	0
59129-79-2	0	0	0
13718-26-8	4813000	0	0
148812-65-1	435856	0	83271
106-63-8	0	0	0
102-82-9	0	0	0
26741-53-7	0	33124	0
68648-89-5	0	772	0
27178-16-1	414236	90162	3039
3779-63-3	0	0	0
85736-97-6	0	0	0
68378-13-2	0	19	0
64742-42-3	18623227	0	0
5436-21-5	0	55000	0
7659-86-1	5010760	0	20399
848940-35-2	0	0	0
71902-23-3	0	0	0
7647-14-5	271948368	62628049	13295479
78-67-1	0	0	0
68952-94-3	254955	0	0
61790-44-1	1419632	15724	3895
22113-87-7	245579	0	0
99-75-2	0	0	0
7425-14-1	35386	0	0
107-05-1	0	0	0
108-18-9	0	0	0
12607-70-4	272155	140074	0
68648-28-2	4290984	0	0
77-98-5	0	49714	0
111163-36-1	0	0	0
68037-05-8	668435	0	0
68987-81-5	0	19828	218
28777-98-2	0	0	0
68513-04-2	0	0	0
165445-21-6	0	0	0
1317-43-7	0	128530	1051
17832-28-9	0	0	0
169314-88-9	0	301673	0
10141-05-6	0	0	74531
63148-62-9	0	249294	1152
12007-92-0	0	0	0
65036-46-6	0	0	0
6711-48-4	0	0	0
68475-94-5	0	0	0
68814-02-8	0	0	0
68476-45-9	47800925	0	0
1809-14-9	0	0	0
1314-34-7	612982	185973	29075
68917-18-0	0	83699	34136
16251-77-7	0	0	0
15375-84-5	0	0	0
6486-23-3	0	0	0
63449-95-6	0	0	0
7773-03-7	276906	0	0
2016-56-0	0	0	0
68131-75-9	1381700517	0	42472157
1761-71-3	0	0	0
68512-62-9	1229235323	0	0
61847-48-1	115694	0	35205
1333-88-6	19958	0	12247
4433-79-8	0	45359	0
68188-18-1	0	0	0
686-31-7	0	0	0
2156-97-0	0	0	0
89-25-8	0	0	0
547-67-1	0	0	0
67874-37-7	0	83980	0
7778-53-2	73603	22000	5897
99-30-9	0	53999	0
1283128-58-4	0	0	0
12055-23-1	126450	62727	1485
67167-17-3	0	0	0
61789-19-3	144721	0	6332
68425-39-8	0	0	0
251554-90-2	0	0	0
6873-77-4	0	0	0
112-96-9	0	32543	0
71195-64-7	0	0	0
29870-32-4	0	0	0
112-53-8	23240470	1412969	1055922
67774-71-4	206888	0	0
1344-81-6	1278133	0	751
78-87-5	0	0	0
61791-44-4	1580048	1270	88541
106008-94-0	0	152055	0
124-26-5	0	676700	21745
67634-01-9	0	0	0
36487-02-2	0	28007	0
142-59-6	194713	0	54432
26266-58-0	2288487	0	17699
5280-78-4	0	57575	0
12033-07-7	0	1279987	0
960-71-4	0	0	0
95823-36-2	0	0	0
68526-56-7	0	0	0
68955-83-9	32885	0	1270
4620-70-6	0	0	0
96-80-0	0	0	0
36388-36-0	0	0	0
544-63-8	137892	647463	0
3452-07-1	4292319	0	691809
126990-35-0	0	0	0
677-67-8	0	0	0
13429-24-8	0	0	0
116-17-6	33233	0	0
68919-10-8	754557922	0	0
3648-18-8	0	0	0
515152-40-6	0	0	0
13827-38-8	49442	0	22439
732-11-6	0	179998	0
122-19-0	0	0	4082
68391-11-7	0	0	0
68131-30-6	163525680827	0	2630110
705-86-2	0	0	0
88-44-8	0	0	642461
156-54-7	0	0	0
95-96-5	0	0	0
3896-11-5	0	79837	0
68955-64-6	0	0	0
26264-06-2	2324280	186148	1451
89-04-3	0	346132	0
128973-77-3	0	309120	0
57683-71-3	0	0	0
109-55-7	92758	0	0
123-38-6	89779946	0	0
68201-64-9	0	0	0
1873-88-7	844000	0	10472
16424-35-4	0	0	0
162030-42-4	1224699	0	0
68122-86-1	0	0	11793
89-79-2	0	50514	0
67989-61-1	0	0	0
1515-72-6	1189584	0	5868
253873-83-5	0	0	0
61790-28-1	0	0	0
198784-92-8	0	0	0
4721-36-2	0	17257	0
59312-61-7	0	0	0
319926-68-6	341517	0	9437
97173-34-7	0	0	0
75198-98-0	0	0	0
148520-81-4	2237636	0	106621
10058-23-8	0	0	0
7631-99-4	1542369	333999	206905
115001-58-6	0	127913	0
274-09-9	0	0	0
83016-70-0	0	0	0
513-77-9	12978412	788593	1173379
64741-75-9	2528401026	1057613624	0
64742-57-0	1814732354	21861862	0
68608-64-0	0	0	0
94-13-3	0	0	0
122-03-2	0	0	0
84501-72-4	74389	0	0
6535-46-2	0	0	0
68015-77-0	0	0	0
22673-19-4	0	0	0
682-01-9	0	0	0
80410-33-9	0	0	0
4645-07-2	36033	71849	5913
25225-09-6	0	0	0
3149-68-6	0	0	0
7440-31-5	2529935	5580106	30
68527-05-9	0	0	0
140-66-9	0	0	0
25564-22-1	0	0	0
68604-71-7	0	0	0
12135-76-1	11329970	0	312364
68201-29-6	68039	0	0
52408-84-1	0	14337	0
63449-41-2	0	0	0
68413-48-9	0	0	0
52166-72-0	0	0	0
68783-65-3	0	0	0
65996-76-1	28767315	0	0
25496-72-4	3487640	24458	92986
334-48-5	36646	263997	277
900169-60-0	0	0	0
125643-61-0	0	98567	0
12136-45-7	1836688	101495	144424
2720-73-2	0	962229	0
75535-31-8	0	0	0
2461-15-6	189099	0	0
68477-96-3	179077238	0	0
763-69-9	28971	436571	0
147977-79-5	0	0	0
25618-55-7	0	0	5313
63393-89-5	0	54004	0
24307-26-4	0	0	0
69011-52-5	312979	0	54431
100-85-6	0	0	0
115733-10-3	0	0	0
106-30-9	0	137	0
8001-79-4	0	14979222	1167964
68783-41-5	0	765856	190
624-64-6	178112094	0	0
97-00-7	0	17237	0
21245-02-3	0	0	0
103-65-1	0	0	0
164462-16-2	0	55749	0
68440-34-6	0	0	0
57583-35-4	2678019	0	681748
79-46-9	0	0	0
57219-64-4	0	765992	0
68610-62-8	235296	0	105614
32953-65-4	0	0	0
73772-39-1	18913	0	0
68512-34-5	0	123510	0
871544-06-8	0	0	0
12023-91-5	0	0	0
68603-02-1	0	0	0
142-22-3	0	0	0
3982-91-0	0	0	0
68911-06-8	0	3883815	0
36452-21-8	0	0	0
80146-13-0	35807	0	1378
147732-58-9	415670	0	0
95-71-6	0	0	0
77-47-4	4185262	0	4185262
335-05-7	0	0	0
4748-78-1	0	0	0
53808-41-6	106843	0	0
89-98-5	0	52602	0
78-92-2	0	152348	0
3624-77-9	0	0	0
128-51-8	0	0	0
76-83-5	0	0	0
24851-98-7	0	33624	0
31565-37-4	0	0	0
3069-40-7	0	0	0
687-47-8	2993512	0	0
106-51-4	0	12000	0
298-06-6	2479300	0	0
68955-26-0	30712032	0	13820414
122-99-6	0	143594	0
15667-10-4	0	0	0
68910-05-4	0	1241400	12188
150099-94-8	123716	0	0
2997-85-5	43545	0	0
68072-22-0	0	0	0
103-29-7	0	0	0
68512-53-8	0	0	0
65510-55-6	0	0	0
7440-01-9	0	35907	127
74-90-8	41662608	0	0
68938-03-4	0	0	0
110675-26-8	0	0	0
10361-44-1	20441	0	0
555-32-8	59398	0	25129
15571-58-1	0	72089	0
288-88-0	0	0	0
36315-01-2	0	0	0
17252-51-6	0	0	0
108-39-4	14160792	8444220	6503562
75-79-6	0	0	0
8007-45-2	0	29075	0
1117-86-8	20529	0	6158
10458-14-7	0	31320	2753
7783-90-6	0	0	0
68513-63-3	14968548	0	0
64742-23-0	566488986	0	60157435
27314-13-2	161987	0	0
10192-30-0	50850755	0	2733759
624-92-0	0	0	0
75-12-7	0	0	0
104-75-6	0	0	0
1072-71-5	0	0	0
110-30-5	22171191	958234	2683209
68140-01-2	2955698	0	28792
3851-87-4	0	0	0
55934-93-5	0	0	0
11130-29-3	3556	40007	0
100-37-8	0	0	454
1241-94-7	0	0	29427
11099-06-2	0	0	0
123-73-9	0	0	0
42530-36-9	0	0	0
105-59-9	0	59874	0
2479-46-1	0	0	0
68512-78-7	0	197052775	0
11115-97-2	0	30622	0
90268-24-9	0	0	0
64741-50-0	0	0	0
7440-44-0	120997598	55280094	163911557
301-02-0	1666045	1659709	324454
26761-40-0	0	171004	0
629-73-2	0	0	7676241
81457-65-0	0	0	0
12019-23-7	22455	0	0
112-00-5	0	0	4941
68153-70-8	2347219	0	856085
7779-88-6	894296	0	0
3806-34-6	0	0	72214
12068-08-5	137892	0	68492
1095-66-5	11342	0	0
93820-33-8	18573	0	0
12202-17-4	94237113	0	0
68951-72-4	256307	0	50666
68460-10-6	74183	0	11128
90367-25-2	16718	0	16718
7790-76-3	0	0	2417880
69012-27-7	0	10753112	0
39189-74-7	0	0	0
870-72-4	0	45099	0
146237-62-9	278685	0	0
10017-59-1	0	65930	0
68155-09-9	263275	0	0
142-87-0	659421	0	322051
141-98-0	0	85463	0
69012-20-0	3306189	0	0
1332-07-6	0	643289	0
102-20-5	0	0	0
111-03-5	118598	0	0
8002-13-9	0	16042337	9147
59272-84-3	0	0	0
96152-48-6	111461	0	25866
61361-18-0	0	0	0
78-32-0	0	0	0
1066-33-7	95332	231380	115332
343978-15-4	0	0	0
142-91-6	0	0	0
4394-85-8	0	0	0
68155-67-9	0	0	0
125476-71-3	0	0	0
1318-16-7	0	0	0
431-89-0	0	0	0
29761-21-5	490568	0	73585
2235-43-0	151263	377564	1676
10028-15-6	149685	0	0
598-50-5	106767	0	0
1294446-56-2	0	0	0
6471-78-9	0	210758	0
12007-60-2	0	0	0
