CASRN	RI	RIT
100-00-5	1.5376	373.15
100-06-1	1.547	314.15
100-07-2	1.58	293.15
100-12-9	1.5455	293.15
100-14-1	1.5647	335.15
100-17-4	1.507	333.15
100-18-5	1.4898	293.15
100-36-7	1.434	293.15
100-37-8	1.4412	293.15
100-39-0	1.5752	293.15
100-40-3	1.4639	293.15
100-41-4	1.493	298.15
100-42-5	1.544	298.15
100-43-6	1.5449	293.15
100-44-7	1.5391	293.15
100-46-9	1.5401	293.15
100-47-0	1.5289	293.15
100-49-2	1.4644	293.15
100-50-5	1.4745	293.15
100-51-6	1.5396	293.15
100-52-7	1.5463	293.15
100-53-8	1.5151	293.15
100-55-0	1.5455	293.15
100-60-7	1.456	293.15
100-61-8	1.5684	293.15
100-63-0	1.6084	283.15
100-66-3	1.5174	293.15
100-68-5	1.5868	293.15
100-69-6	1.5495	293.15
100-70-9	1.5242	298.15
100-71-0	1.4964	293.15
100-72-1	1.458	293.15
100-74-3	1.44	293.15
100-75-4	1.4933	291.15
100-79-8	1.4383	293.15
100-80-1	1.5411	293.15
100-81-2	1.536	293.15
100-84-5	1.513	293.15
100-86-7	1.5173	289.15
1000-50-6	1.5145	293.15
1000-86-8	1.439	296.15
1001-89-4	1.4221	293.15
1002-28-4	1.453	293.15
1002-43-3	1.4208	298.15
1002-69-3	1.438	293.15
1002-84-2	1.4254	353.15
10024-74-5	1.573	
100295-85-0	1.4254	293.15
100296-26-2	1.4265	293.15
1003-03-8	1.4728	298.15
1003-09-4	1.5868	293.15
1003-10-7	1.523	293.15
1003-29-8	1.5939	289.15
1003-30-1	1.4147	292.15
1003-31-2	1.5629	293.15
1003-64-1	1.4618	293.15
1003-78-7	1.4732	293.15
10031-87-5	1.4109	293.15
1004-66-6	1.5053	287.15
10048-32-5	1.4736	293.15
1005-64-7	1.542	293.15
1005-67-0	1.4451	293.15
10061-01-5	1.4682	293.15
10061-02-6	1.473	293.15
1007-26-7	1.4884	291.15
10075-38-4	1.4735	293.15
1008-88-4	1.6123	298.15
1008-89-5	1.621	293.15
1009-14-9	1.5158	293.15
1009-93-4	1.448	293.15
101-02-0	1.59	293.15
101-21-3	1.5388	293.15
101-39-3	1.6057	290.15
101-40-6	1.46	293.15
101-41-7	1.5075	293.15
101-43-9	1.4578	293.15
101-55-3	1.6084	293.15
101-68-8	1.5906	323.15
101-81-5	1.5753	293.15
101-82-6	1.5785	293.15
101-83-7	1.4842	293.15
101-84-8	1.5787	298.15
101-90-6	1.5408	293.15
101-97-3	1.498	293.15
101-99-5	1.5376	303.15
101257-71-0	1.4458	293.15
1013-88-3	1.6191	292.15
10143-60-9	1.4325	293.15
10147-36-1	1.452	293.15
10152-76-8	1.4714	293.15
10160-87-9	1.414	293.15
10193-99-4	1.547	293.15
102-24-9	1.4	298.15
102-25-0	1.4969	293.15
102-27-2	1.5451	293.15
102-45-4	1.45	293.15
102-50-1	1.5647	293.15
102-52-3	1.4081	293.15
102-53-4	1.442	298.15
102-60-3	1.478	298.15
102-69-2	1.4181	293.15
102-70-5	1.4502	293.15
102-71-6	1.4852	293.15
102-76-1	1.4301	293.15
102-79-4	1.4625	293.15
102-82-9	1.4299	293.15
102-85-2	1.4321	292.15
102-97-6	1.5025	293.15
10203-28-8	1.44	293.15
10203-58-4	1.4236	293.15
10229-10-4	1.4454	293.15
10233-13-3	1.428	298.15
10297-05-9	1.54	293.15
103-05-9	1.5077	294.15
103-09-3	1.4204	293.15
103-11-7	1.4332	298.15
103-23-1	1.4474	293.15
103-24-2	1.446	298.15
103-28-6	1.4883	293.15
103-29-7	1.5476	333.15
103-30-0	1.6264	290.15
103-32-2	1.6118	298.15
103-37-7	1.492	293.15
103-38-8	1.4884	293.15
103-45-7	1.5171	293.15
103-48-0	1.4871	293.15
103-49-1	1.5781	293.15
103-50-4	1.5618	293.15
103-55-9	1.5089	293.15
103-63-9	1.5372	293.15
103-65-1	1.4895	298.15
103-69-5	1.5559	293.15
103-71-9	1.5368	293.15
103-72-0	1.6492	296.15
103-73-1	1.5076	293.15
103-74-2	1.5366	293.15
103-75-3	1.4394	293.15
103-76-4	1.5065	293.15
103-79-7	1.5168	293.15
103-80-0	1.5325	293.15
103-83-3	1.5011	293.15
103-95-7	1.5068	293.15
10312-83-1	1.395	293.15
10321-71-8	1.4489	294.15
10327-08-9	1.4753	293.15
10340-91-7	1.5193	293.15
10395-45-6	1.4805	293.15
104-09-6	1.5255	293.15
104-28-9	1.567	293.15
104-40-5	1.513	293.15
104-45-0	1.5045	293.15
104-47-2	1.5309	293.15
104-50-7	1.4451	292.15
104-51-8	1.4898	293.15
104-52-9	1.516	298.15
104-57-4	1.5154	293.15
104-63-2	1.543	293.15
104-67-6	1.4512	293.15
104-72-3	1.4832	293.15
104-76-7	1.43	293.15
104-78-9	1.443	293.15
104-82-5	1.538	
104-84-7	1.534	293.15
104-86-9	1.5566	298.15
104-87-0	1.5454	293.15
104-88-1	1.555	334.15
104-90-5	1.4971	293.15
104-92-7	1.5642	293.15
104-93-8	1.5112	293.15
104-94-9	1.5559	333.15
104-96-1	1.6395	293.15
10424-38-1	1.446	293.15
10473-14-0	1.4288	290.15
10476-95-6	1.4241	293.15
10486-19-8	1.4384	291.15
10487-71-5	1.46	291.15
10498-35-8	1.4967	293.15
105-05-5	1.4967	293.15
105-06-6	1.5835	298.15
105-13-5	1.542	298.15
105-21-5	1.4385	298.15
105-30-6	1.4182	293.15
105-31-7	1.434	298.15
105-34-0	1.4176	293.15
105-36-2	1.4489	293.15
105-37-3	1.3839	293.15
105-39-5	1.4215	293.15
105-40-8	1.4183	293.15
105-41-9	1.415	298.15
105-45-3	1.4184	293.15
105-46-4	1.3888	293.15
105-48-6	1.4382	293.15
105-53-3	1.4139	293.15
105-54-4	1.3898	298.15
105-56-6	1.4175	293.15
105-57-7	1.3834	293.15
105-58-8	1.3845	293.15
105-59-9	1.4685	293.15
105-66-8	1.4001	293.15
105-67-9	1.542	287.15
105-68-0	1.4069	293.15
105-70-4	1.4395	293.15
105-75-9	1.4469	293.15
105-83-9	1.4705	298.15
105-86-2	1.4659	293.15
105-99-7	1.4369	293.15
10500-57-9	1.5435	293.15
10508-09-5	1.4095	293.15
10519-06-9	1.497	293.15
10519-33-2	1.448	293.15
10521-91-2	1.5156	293.15
10522-26-6	1.4382	293.15
10574-36-4	1.4126	293.15
10574-37-5	1.4208	293.15
10588-10-0	1.4046	293.15
106-02-5	1.4708	293.15
106-07-0	1.4593	293.15
106-19-4	1.4314	293.15
106-21-8	1.438	298.15
106-23-0	1.4473	293.15
106-24-1	1.4766	293.15
106-25-2	1.4746	293.15
106-26-3	1.4869	293.15
106-27-4	1.411	293.15
106-28-5	1.4877	293.15
106-30-9	1.41	293.15
106-31-0	1.407	293.15
106-32-1	1.4178	293.15
106-33-2	1.4311	293.15
106-35-4	1.4057	293.15
106-36-5	1.3909	298.15
106-37-6	1.5742	
106-38-7	1.5477	293.15
106-39-8	1.5531	343.15
106-42-3	1.4929	298.15
106-43-4	1.515	293.15
106-44-5	1.5312	293.15
106-46-7	1.5285	293.15
106-47-8	1.5546	360.15
106-48-9	1.5579	313.15
106-49-0	1.5534	318.15
106-52-5	1.4775	293.15
106-54-7	1.548	293.15
106-58-1	1.4474	293.15
106-61-6	1.4157	293.15
106-63-8	1.415	293.15
106-65-0	1.4197	293.15
106-68-3	1.415	293.15
106-69-4	1.58	293.15
106-70-7	1.4049	293.15
106-73-0	1.4152	293.15
106-74-1	1.4274	293.15
106-75-2	1.4542	293.15
106-79-6	1.4355	301.15
106-86-5	1.47	293.15
106-87-6	1.4787	293.15
106-88-7	1.3851	293.15
106-90-1	1.449	293.15
106-91-2	1.448	298.15
106-92-3	1.4332	293.15
106-93-4	1.5356	298.15
106-94-5	1.4343	293.15
106-95-6	1.4697	293.15
106-96-7	1.4922	293.15
106-97-8	1.3326	293.15
106-98-9	1.3962	293.15
106-99-0	1.4292	248.15
1066-35-9	1.383	293.15
1067-08-9	1.4078	293.15
1067-20-5	1.4206	293.15
1068-19-5	1.4076	293.15
1068-87-7	1.4131	293.15
1069-53-0	1.4051	293.15
107-00-6	1.3962	293.15
107-02-8	1.4017	293.15
107-03-9	1.438	293.15
107-04-0	1.4908	293.15
107-05-1	1.4157	293.15
107-06-2	1.4422	298.15
107-07-3	1.4419	293.15
107-08-4	1.5058	293.15
107-10-8	1.387	293.15
107-11-9	1.4205	293.15
107-12-0	1.3655	293.15
107-13-1	1.3911	293.15
107-14-2	1.4202	298.15
107-15-3	1.4565	293.15
107-16-4	1.4117	292.15
107-18-6	1.4135	293.15
107-19-7	1.4322	293.15
107-21-1	1.4318	293.15
107-22-2	1.3826	293.15
107-25-5	1.373	273.15
107-29-9	1.4264	293.15
107-30-2	1.397	293.15
107-31-3	1.3419	293.15
107-37-9	1.446	293.15
107-39-1	1.4086	293.15
107-40-4	1.416	293.15
107-41-5	1.4276	293.15
107-46-0	1.3774	293.15
107-47-1	1.4506	293.15
107-49-3	1.418	293.15
107-51-7	1.384	293.15
107-52-8	1.3948	293.15
107-53-9	1.3994	293.15
107-59-5	1.426	293.15
107-70-0	1.418	293.15
107-72-2	1.4503	293.15
107-74-4	1.4599	293.15
107-75-5	1.4494	293.15
107-80-2	1.507	293.15
107-81-3	1.4413	293.15
107-82-4	1.442	293.15
107-83-5	1.3715	293.15
107-84-6	1.4084	293.15
107-85-7	1.4083	293.15
107-86-8	1.4528	293.15
107-87-9	1.3895	293.15
107-88-0	1.4401	293.15
107-89-1	1.4238	293.15
107-92-6	1.398	293.15
107-93-7	1.4249	350.15
107-96-0	1.494	293.15
107-98-2	1.4034	293.15
1070-32-2	1.4295	298.15
1070-34-4	1.4327	293.15
1070-71-9	1.3868	298.15
1070-78-6	1.4825	293.15
1070-83-3	1.4096	293.15
1070-87-7	1.4069	293.15
1071-26-7	1.4016	293.15
1071-73-4	1.439	293.15
1071-81-4	1.4055	293.15
1071-98-3	1.4647	298.15
1072-05-5	1.4011	293.15
1072-16-8	1.4086	293.15
1072-21-5	1.435	293.15
1072-43-1	1.472	293.15
1072-47-5	1.398	293.15
1072-52-2	1.456	293.15
1072-85-1	1.5337	293.15
1072-91-9	1.4589	330.15
1073-06-9	1.5257	293.15
1073-23-0	1.5706	293.15
1073-67-2	1.566	293.15
1074-17-5	1.4996	293.15
1074-43-7	1.4935	293.15
1074-55-1	1.4922	293.15
1074-92-6	1.5076	293.15
1075-38-3	1.4944	293.15
1077-16-3	1.4864	293.15
1078-71-3	1.4865	293.15
1079-66-9	1.636	293.15
1079-71-6	1.5372	353.15
108-00-9	1.426	293.15
108-01-0	1.43	293.15
108-03-2	1.4018	293.15
108-05-4	1.3926	298.15
108-08-7	1.3815	293.15
108-10-1	1.3962	293.15
108-11-2	1.41	293.15
108-12-3	1.4149	293.15
108-16-7	1.4193	293.15
108-18-9	1.3924	293.15
108-20-3	1.3658	298.15
108-21-4	1.3746	298.15
108-22-5	1.4033	293.15
108-23-6	1.4013	293.15
108-24-7	1.3901	293.15
108-32-7	1.4189	293.15
108-36-1	1.6083	290.15
108-37-2	1.5771	293.15
108-38-3	1.4944	298.15
108-39-4	1.5401	293.15
108-40-7	1.572	293.15
108-41-8	1.5214	292.15
108-42-9	1.5941	293.15
108-43-0	1.5565	313.15
108-44-1	1.5681	293.15
108-45-2	1.6339	331.15
108-46-3	1.578	298.15
108-47-4	1.501	293.15
108-48-5	1.4953	293.15
108-56-5	1.4561	290.15
108-57-6	1.576	293.15
108-59-8	1.4135	293.15
108-60-1	1.4505	293.15
108-64-5	1.3962	293.15
108-67-8	1.4994	293.15
108-69-0	1.5581	293.15
108-75-8	1.4959	298.15
108-78-1	1.872	293.15
108-82-7	1.4242	293.15
108-83-8	1.412	294.15
108-84-9	1.398	293.15
108-85-0	1.4957	293.15
108-86-1	1.5597	293.15
108-87-2	1.4231	293.15
108-88-3	1.4941	298.15
108-89-4	1.5037	293.15
108-90-7	1.5241	293.15
108-91-8	1.4625	288.15
108-93-0	1.4641	293.15
108-94-1	1.4507	293.15
108-95-2	1.5408	314.15
108-97-4	1.5238	
108-98-5	1.5893	293.15
108-99-6	1.504	293.15
1080-32-6	1.493	293.15
1081-75-0	1.576	293.15
1081-77-2	1.4816	293.15
109-01-3	1.4378	293.15
109-02-4	1.4332	293.15
109-04-6	1.5734	293.15
109-06-8	1.4957	293.15
109-08-0	1.5042	293.15
109-09-1	1.532	293.15
109-16-0	1.4595	298.15
109-17-1	1.461	298.15
109-19-3	1.4058	298.15
109-21-7	1.4075	293.15
109-43-3	1.4433	288.15
109-49-9	1.4178	300.15
109-52-4	1.4085	293.15
109-53-5	1.3966	293.15
109-56-8	1.4395	293.15
109-57-9	1.5936	351.15
109-59-1	1.4095	293.15
109-60-4	1.3828	298.15
109-61-5	1.4035	293.15
109-63-7	1.348	293.15
109-64-8	1.5204	298.15
109-65-9	1.4401	293.15
109-66-0	1.3575	293.15
109-67-1	1.3715	293.15
109-69-3	1.4023	293.15
109-70-6	1.4864	293.15
109-73-9	1.4031	293.15
109-74-0	1.3842	293.15
109-75-1	1.406	293.15
109-76-2	1.46	293.15
109-77-3	1.4146	307.15
109-78-4	1.4248	293.15
109-79-5	1.444	293.15
109-80-8	1.5392	293.15
109-81-9	1.4395	293.15
109-83-1	1.4385	293.15
109-86-4	1.4024	293.15
109-87-5	1.3513	293.15
109-89-7	1.3864	293.15
109-90-0	1.3808	293.15
109-92-2	1.3767	293.15
109-93-3	1.3989	293.15
109-94-4	1.3609	293.15
109-95-5	1.3418	283.15
109-96-6	1.4664	293.15
109-97-7	1.5085	293.15
109-98-8	1.4796	290.15
109-99-9	1.405	298.15
110-00-9	1.4214	293.15
110-01-0	1.4871	291.15
110-02-1	1.5289	293.15
110-05-4	1.389	293.15
110-06-5	1.4899	293.15
110-12-3	1.4062	293.15
