name	CAS	atomic number	element symbol	covalent radius	rB0	Van derWaal radius	atomic mass	number of outshell electrons	most common isotope	most common isotopic mass	valences		
Hydrogen	1333-74-0	1	H	0.23	0.33	1.2	1.008	1	1	1.007825032	1		
Helium	7440-59-7	2	He	0.93	0.7	1.4	4.003	2	4	4.002603254	0		
Lithium	7439-93-2	3	Li	0.68	1.23	1.82	6.941	1	7	7.01600455	1		
Beryllium	7440-41-7	4	Be	0.35	0.9	1.7	9.012	2	9	9.0121822	2		
Boron	7440-42-8	5	B	0.83	0.82	2.08	10.812	3	11	11.0093054	3		
Carbon	7440-44-0	6	C	0.68	0.77	1.95	12.011	4	12	12	4		
Nitrogen	7727-37-9	7	N	0.68	0.7	1.85	14.007	5	14	14.003074	3		
Oxygen	7782-44-7	8	O	0.68	0.66	1.7	15.999	6	16	15.99491462	2		
Fluorine	7782-41-4	9	F	0.64	0.611	1.73	18.998	7	19	18.99840322	1		
Neon	7440-01-9	10	Ne	1.12	0.7	1.54	20.18	8	20	19.99244018	0		
Sodium	7440-23-5	11	Na	0.97	1.54	2.27	22.99	1	23	22.98976928	1		
Magnesium	7439-95-4	12	Mg	1.1	1.36	1.73	24.305	2	24	23.9850417	2		
Aluminum	7429-90-5	13	Al	1.35	1.18	2.05	26.982	3	27	26.98153863	6		
Silicon	7440-21-3	14	Si	1.2	0.937	2.1	28.086	4	28	27.97692653	4	6	
Phosphorus	7723-14-0	15	P	0.75	0.89	2.08	30.974	5	31	30.97376163	3	5	
Sulfur	7704-34-9	16	S	1.02	1.04	2	32.067	6	32	31.972071	2	4	6
Chlorine	7782-50-5	17	Cl	0.99	0.997	1.97	35.453	7	35	34.96885268	1		
Argon	7440-37-1	18	Ar	1.57	1.74	1.88	39.948	8	40	39.96238312	0		
Potassium	7440-09-7	19	K	1.33	2.03	2.75	39.098	1	39	38.96370668	1		
Calcium	7440-70-2	20	Ca	0.99	1.74	1.973	40.078	2	40	39.96259098	2		
Scandium	7440-20-2	21	Sc	1.44	1.44	1.7	44.956	3	45	44.9559119	-1		
Titanium	7440-32-6	22	Ti	1.47	1.32	1.7	47.867	4	48	47.9479463	-1		
Vanadium	7440-62-2	23	V	1.33	1.22	1.7	50.942	5	50	49.9471585	-1		
Chromium	7440-47-3	24	Cr	1.35	1.18	1.7	51.996	6	52	51.9405075	-1		
Manganese	7439-96-5	25	Mn	1.35	1.17	1.7	54.938	7	55	54.9380451	-1		
Iron	7439-89-6	26	Fe	1.34	1.17	1.7	55.845	8	56	55.9349375	-1		
Cobalt	7440-48-4	27	Co	1.33	1.16	1.7	58.933	9	59	58.933195	-1		
Nickel	7440-02-0	28	Ni	1.5	1.15	1.63	58.693	10	58	57.9353429	-1		
Copper	7440-50-8	29	Cu	1.52	1.17	1.4	63.546	11	63	62.9295975	-1		
Zinc	7440-66-6	30	Zn	1.45	1.25	1.39	65.39	2	64	63.9291422	-1		
Gallium	7440-55-3	31	Ga	1.22	1.26	1.87	69.723	3	69	68.9255736	3		
Germanium	7440-56-4	32	Ge	1.17	1.188	1.7	72.61	4	74	73.9211778	4		
Arsenic	7440-38-2	33	As	1.21	1.2	1.85	74.922	5	75	74.9215965	3	5	
Selenium	7782-49-2	34	Se	1.22	1.17	1.9	78.96	6	80	79.9165213	2	4	6
Bromine	7726-95-6	35	Br	1.21	1.167	2.1	79.904	7	79	78.9183371	1		
Krypton	7439-90-9	36	Kr	1.91	1.91	2.02	83.8	8	84	83.911507	0		
Rubidium	7440-17-7	37	Rb	1.47	2.16	1.7	85.468	1	85	84.91178974	1		
Strontium	7440-24-6	38	Sr	1.12	1.91	1.7	87.62	2	88	87.9056121	2		
Yttrium	7440-65-5	39	Y	1.78	1.62	1.7	88.906	3	89	88.9058483	-1		
Zirconium	7440-67-7	40	Zr	1.56	1.45	1.7	91.224	4	90	89.9047044	-1		
Niobium	7440-03-1	41	Nb	1.48	1.34	1.7	92.906	5	93	92.9063781	-1		
Molybdenum	7439-98-7	42	Mo	1.47	1.3	1.7	95.94	6	98	97.9054082	-1		
Technetium	7440-26-8	43	Tc	1.35	1.27	1.7	98	7	97	96.906365	-1		
Ruthenium	7440-18-8	44	Ru	1.4	1.25	1.7	101.07	8	102	101.9043493	-1		
Rhodium	7440-16-6	45	Rh	1.45	1.25	1.7	102.906	9	103	102.905504	-1		
Palladium	7440-05-3	46	Pd	1.5	1.28	1.63	106.42	10	106	105.903486	-1		
Silver	7440-22-4	47	Ag	1.59	1.34	1.72	107.868	11	107	106.905097	-1		
Cadmium	7440-43-9	48	Cd	1.69	1.48	1.58	112.412	2	114	113.9033585	-1		
