CAS	Chemical	Dipole
127-18-4	tetrachloroethene	0
67-72-1	hexachloroethane	0
76-16-4	hexafluoroethane	0
156-60-5	trans-1,2-dichloroethene	0
74-85-1	ethene	0
74-84-0	ethane	0
75-19-4	cyclopropane	0
74-98-6	propane	0
106-97-8	butane	0
106-99-0	1,3-butadiene	0
624-64-6	trans-2-butene	0
646-04-8	trans-2-pentene	0
287-92-3	cyclopentane	0
109-66-0	pentane	0
463-82-1	neopentane	0
96-37-7	methylcyclopentane	0
13269-52-8	trans-3-hexene	0
110-54-3	hexane	0
75-83-2	2,2-dimethylbutane	0
107-83-5	2-methylpentane	0
100-25-4	p-dinitrobenzene	0
71-43-2	benzene	0
108-87-2	methylcyclohexane	0
1640-89-7	ethylcyclopentane	0
142-82-5	heptane	0
106-42-3	p-xylene	0
622-96-8	p-ethyltoluene	0
105-05-5	p-diethylbenzene	0
124-18-5	decane	0
91-20-3	naphthalene	0
120-12-7	anthracene	0
111-65-9	octane	0
78-78-4	isopentane	0.130109963904978
75-28-5	isobutane	0.13200165485484
83-32-9	acenaphthene	0.254823662025878
691-37-2	4-methyl-1-pentene	0.265616193594033
590-18-1	cis-2-butene	0.299792543559857
108-38-3	m-xylene	0.299792543559857
112-66-0	1-octene	0.3
627-20-3	cis-2-pentene	0.302190883908335
5194-50-3	cis-2,trans-4-hexadiene	0.309
563-45-1	3-methyl-1-butene	0.320778021609046
513-35-9	2-methyl-2-butene	0.338765574222638
 7642-09-3	cis-3-hexene	0.339
106-98-9	1-butene	0.339994723651233
592-41-6	1-hexene	0.339994723651233
108-88-3	toluene	0.359751052271828
141-93-5	m-diethylbenzene	0.36
115-07-1	propene	0.365986737177873
115-11-7	isobutene	0.499994004149129
90-12-0	1-methylnaphthalene	0.5
109-67-1	1-pentene	0.509647324051756
563-46-2	2-methyl-1-butene	0.509647324051756
1630-78-0	trans-1,2-difluoroethene	0.55
110-83-8	cyclohexene	0.55
76-14-2	1,2-dichloro-1,1,2,2-tetrafluoroethane	0.56
611-14-3	o-ethyltoluene	0.56
100-41-4	ethylbenzene	0.599585087119713
110-82-7	cyclohexane	0.61
95-47-6	o-xylene	0.629564341475699
503-74-2	3-methylbutanoic acid	0.629984051036683
1634-09-9	1-butylnaphthalene	0.69
79-01-6	trichloroethene	0.77
141-43-5	monoethanolamine	0.777
111-42-2	diethanolamine	0.851
76-01-7	pentachloroethane	0.92
109-89-7	diethylamine	0.92
65-85-0	benzoic acid	1
106-93-4	1,2-dibromoethane	1.01
124-40-3	dimethylamine	1.03
142-84-7	di-propylamine	1.07
79-31-2	isobutyric acid	1.09
105-58-8	diethyl carbonate	1.09999880082983
111-92-2	dibutylamine	1.1
108-20-3	diisopropyl ether	1.13000803444017
60-29-7	diethyl ether	1.15000419709561
628-32-0	ethyl propyl ether	1.15998728879615
78-87-5	2-chlorobutane	1.17
107-10-8	propylamine	1.17
75-04-7	ethylamine	1.22
628-81-9	ethyl butyl ether	1.22000575601684
540-67-0	methyl ethyl ether	1.22998884771738
107-92-6	butyric acid	1.23
78-75-1	1,2-dibromopropane	1.24
111-34-2	butyl vinyl ether	1.25001498962718
78-81-9	isobutylamine	1.27
109-92-2	ethyl vinyl ether	1.27
13952-84-6	sec-butylamine	1.28
79-34-5	1,1,2,2-tetrachloroethane	1.29
115-10-6	dimethyl ether	1.29999040663861
79-27-6	1,1,2,2-tetrabromoethane	1.3
74-89-5	methylamine	1.31
108-91-8	cyclohexylamine	1.31
106-49-0	p-toluidine	1.31
75-35-4	1,1-dichloroethene	1.34
75-38-7	1,1-difluoroethene	1.38
100-46-9	benzylamine	1.38
109-73-9	butylamine	1.39
593-60-2	vinyl bromide	1.42
112-80-1	oleic acid	1.44
75-01-4	vinyl chloride	1.45
108-95-2	phenol	1.45099591082971
95-48-7	o-cresol	1.45099591082971
79-10-7	acrylic acid	1.4599896871365
110-85-0	piperazine	1.47
108-44-1	m-toluidine	1.49
75-31-0	isopropylamine	1.5
62-53-3	aniline	1.53
354-33-6	pentafluoroethane	1.541
106-44-5	p-cresol	1.55892122651125
108-39-4	m-cresol	1.58890048086724
123-96-6	2-octanol	1.6
109-99-9	tetrahydrofuran	1.63
79-41-4	methacrylic acid	1.64999820124474
111-27-3	1-hexanol	1.64999820124474
111-87-5	1-octanol	1.64999820124474
60-12-8	2-phenylethanol	1.65
557-98-2	2-chloro-1-propene	1.66
67-63-0	isopropyl alcohol	1.66001127219964
71-36-3	butanol	1.66001127219964
79-20-9	methyl acetate	1.6788382439352
71-23-8	propyl alcohol	1.68000743485508
64-17-5	ethanol	1.68999052655562
75-65-0	tert-butanol	1.7
554-12-1	methyl propanoate	1.7
118-90-1	o-toluic acid	1.7
143-08-8	1-nonanol	1.7
78-83-1	isobutanol	1.7
111-70-6	1-heptanol	1.7
67-56-1	Methanol	1.70000359751052
71-41-0	1-pentanol	1.70000359751052
75-85-4	tert-pentyl-alcohol	1.70000359751052
110-71-4	1,2-dimethoxyethane	1.71
623-42-7	methyl butanoate	1.71999976016597
64-19-7	acetic acid	1.73999592282141
108-21-4	isopropyl acetate	1.75000899377631
79-09-4	propanoic acid	1.751
105-37-3	ethyl propanoate	1.7519876245638
92-67-1	p-aminodiphenyl	1.76
71-55-6	1,1,1-trichloroethane	1.78
107-07-3	2-chloroethanol	1.78
141-78-6	ethyl acetate	1.78076770874555
109-60-4	propyl acetate	1.79000131908719
106-36-5	propyl propanoate	1.79000131908719
123-51-3	3-methyl-1-butanol	1.79998441078774
106-89-8	alpha-epichlorohydrin	1.8
105-54-4	ethyl butanoate	1.8
105-66-8	propyl butanoate	1.8
590-01-2	butyl propanoate	1.8
123-86-4	butyl acetate	1.8401266323704
108-93-0	cyclohexanol	1.86000287800842
110-19-0	isobutyl acetate	1.871
75-21-8	ethylene oxide	1.89001211161876
542-55-2	isobutyl formate	1.89001211161876
156-59-2	cis-1,2-dichloroethene	1.9
151-56-4	ethyleneimine	1.9
107-15-3	ethylenediamine	1.9
110-74-7	propyl formate	1.9
638-49-3	pentyl formate	1.9
540-88-5	tert-butyl acetate	1.91
592-84-7	butyl formate	1.91867227878308
353-36-6	ethyl fluoride	1.94
80-62-6	methyl methacrylate	1.96999676224053
108-64-5	ethyl isovalerate	1.96999676224053
107-20-0	chloroacetaldehyde	1.991
105-67-9	2,4-xylenol	2
75-56-9	1,2-propylene oxide	2.00998908755141
74-96-4	bromoethane	2.03
109-86-4	2-methoxyethanol	2.04
75-00-3	ethyl chloride	2.05
540-54-5	1-chloropropane	2.05
75-34-3	1,1-dichloroethane	2.06
111-76-2	2-butoxyethanol	2.07999064647264
78-99-9	1,1-dichloropropane	2.081
142-28-9	1,3-dichloropropane	2.081
108-46-3	resorcinol	2.09
97-62-1	ethyl isobutanoate	2.1
78-86-4	2-chlorobutane	2.1
97-99-4	tetrahydrofurfuryl alcohol	2.12001295103788
107-93-7	trans-2-butenoic acid	2.13
75-68-3	1-chloro-1,1-difluoroethane	2.14
557-91-5	1,1-dibromoethane	2.141
97-63-2	ethyl methacrylate	2.14999220539387
109-83-1	methylethanolamine	2.159
543-59-9	1-chloropentane	2.16000527634877
106-94-5	1-bromopropane	2.18
110-15-6	succinic acid	2.2
75-26-3	2-bromopropane	2.21
110-56-5	1,4-dichlorobutane	2.22
78-76-2	2-bromobutane	2.23
111-15-9	2-ethoxyethyl acetate	2.25000299792544
75-37-6	1,1-difluoroethane	2.27
121-91-5	isophthalic acid	2.27
107-21-1	ethylene glycol	2.3084025854109
