CASRN	Chemical	Tm	Tb	rho
1002-88-6	Cobalt(II) stearate	347.15		1130
1002-89-7	Ammonium stearate	295.15		890
10022-31-8	Barium nitrate	863.15		3240
10022-47-6	Ammonium chromic sulfate dodecahydrate			1720
10022-48-7	Lithium dichromate dihydrate			2340
10022-50-1	Nitryl fluoride	107.15	200.75	2.657
10022-68-1	Cadmium nitrate tetrahydrate	332.65		2450
10022-70-5	Sodium hypochlorite pentahydrate	291.15		1600
10024-93-8	Neodymium(III) chloride	1032.15	1873.15	4130
10024-97-2	Nitrous oxide	182.35	184.67	1.799
10025-64-6	Zinc perchlorate hexahydrate			2200
10025-65-7	Platinum(II) chloride			6000
10025-66-8	Radium chloride	1273.15		4900
10025-67-9	Sulfur chloride [SSCl2]	196.15	410.15	1690
10025-68-0	Selenium chloride	188.15		2774
10025-69-1	Tin(II) chloride dihydrate			2710
10025-70-4	Strontium chloride hexahydrate			1960
10025-71-5	Tellurium dichloride	481.15	601.15	6900
10025-73-7	Chromium(III) chloride	1100.15		2760
10025-74-8	Dysprosium(III) chloride	991.15	1803.15	3670
10025-76-0	Europium(III) chloride	896.15		4890
10025-77-1	Iron(III) chloride hexahydrate			1820
10025-78-2	Trichlorosilane	144.95	306.15	1331
10025-82-8	Indium(III) chloride	856.15		4000
10025-83-9	Iridium(III) chloride			5300
10025-85-1	Nitrogen trichloride	233.15	344.15	1653
10025-87-3	Phosphoryl chloride	274.33	378.65	1645
10025-91-9	Antimony(III) chloride	346.55	493.45	3140
10025-93-1	Uranium(III) chloride	1110.15		5510
10025-99-7	Potassium tetrachloroplatinate			3380
10026-00-3	Sodium tetrachloroplatinate(II) tetrahydrate	373.15		
10026-01-4	Osmium(IV) chloride			4380
10026-02-5	Polonium(IV) chloride	573.15	663.15	
10026-03-6	Selenium tetrachloride			2600
10026-04-7	Tetrachlorosilane	204.41	330.8	1500
10026-06-9	Tin(IV) chloride pentahydrate			2040
10026-07-0	Tellurium tetrachloride	497.15	660.15	3000
10026-08-1	Thorium(IV) chloride	1043.15	1194.15	4590
10026-10-5	Uranium(IV) chloride	863.15	1064.15	4720
10026-11-6	Zirconium(IV) chloride			2800
10026-12-7	Niobium(V) chloride	478.95	520.55	2780
10026-13-8	Phosphorus(V) chloride			2100
10026-17-2	Cobalt(II) fluoride	1400.15	1673.15	4460
10026-18-3	Cobalt(III) fluoride	1200.15		3880
10026-20-7	Cobalt(II) potassium sulfate hexahydrate			2220
10026-22-9	Cobalt(II) nitrate hexahydrate	328.15		1880
10026-24-1	Cobalt(II) sulfate heptahydrate			2030
10028-14-5	Nobelium	1100.15		
10028-15-6	Ozone	80.15	161.8	1.962
10028-17-8	Hydrogen-t2	20.62	25.04	0.246
10028-18-9	Nickel(II) fluoride	1653.15		4700
10028-22-5	Iron(III) sulfate			3100
10031-13-7	Lead(II) arsenite			5850
10031-21-7	Lead(II) bromate monohydrate			5530
10031-22-8	Lead(II) bromide	644.15	1165.15	6690
10031-23-9	Radium bromide	1001.15		5790
10031-24-0	Tin(II) bromide	505.15	912.15	5120
10031-25-1	Chromium(III) bromide	1085.15		4680
10031-26-2	Iron(III) bromide			4500
10031-27-3	Tellurium tetrabromide	653.15		4300
10031-30-8	Calcium dihydrogen phosphate monohydrate			2220
10031-43-3	Copper(II) nitrate trihydrate	387.15		2320
10031-45-5	Copper(II) selenate pentahydrate			2560
10031-50-2	Dysprosium(III) sulfate octahydrate	383.15		
10031-52-4	Erbium sulfate octahydrate			3200
10031-54-6	Europium(II) sulfate			4990
10034-81-8	Magnesium perchlorate			2200
10034-85-2	Hydrogen iodide	222.39	237.6	5.228
10034-88-5	Sodium hydrogen sulfate monohydrate			2100
10034-93-2	Hydrazine sulfate	527.15		1378
10034-96-5	Manganese(II) sulfate monohydrate			2950
10034-98-7	Ytterbium(III) sulfate octahydrate			3300
10034-99-8	Magnesium sulfate heptahydrate			1670
10035-04-8	Calcium chloride dihydrate			1850
10035-05-9	Calcium chlorate dihydrate			2711
10035-06-0	Bismuth nitrate pentahydrate			2830
10035-10-6	Hydrogen bromide	186.35	206.77	3.307
10036-47-2	Tetrafluorohydrazine	108.65	199.15	4.251
10038-98-9	Germanium(IV) chloride	221.65	359.7	1880
10039-31-3	Beryllium selenate tetrahydrate			2030
10039-32-4	Sodium hydrogen phosphate dodecahydrate			1500
10039-54-0	Hydroxylamine sulfate	443.15		
10039-55-1	Hydrazine hydroiodide	398.15		
10042-76-9	Strontium nitrate	843.15		2990
10042-88-3	Terbium(III) chloride	855.15		4350
10043-11-5	Boron nitride	3240.15		2180
10043-35-3	Boric acid	444.05		1500
10043-52-4	Calcium chloride	1048.15	2208.15	2150
10043-92-2	Radon	202.15	211.45	9.074
10045-86-0	Iron(III) phosphate dihydrate			2870
10045-87-1	Iron(III) sodium pyrophosphate			1500
10045-94-0	Mercury(II) nitrate	352.15		4300
10048-95-0	Sodium hydrogen arsenate heptahydrate			1870
10048-98-3	Barium hydrogen phosphate			4160
10049-01-1	Bismuth phosphate			6320
10049-03-3	Fluorine perchlorate	105.85	257.15	4.841
10049-04-4	Chlorine dioxide	214.15	284.15	2.757
10049-05-5	Chromium(II) chloride	1097.15	1393.15	2880
