CASRN	Name	Tm	Tb	rho	RI
100-00-5	1-Chloro-4-nitrobenzene	355.35	511.15	1297.99	1.53761
100-01-6	4-Nitroaniline	420.85	601.15	1424.2	
100-02-7	4-Nitrophenol	386.95		1479.2	
100-06-1	4-Acetylanisole	311.35	527.15	1081.841	1.54741
100-07-2	4-Methoxybenzoyl chloride	294.15	535.65	1261.2	1.5802
100-09-4	4-Methoxybenzoic acid	457.15	549.65		
100-10-7	4-(Dimethylamino)benzaldehyde	346.25		1025.41	
100-11-8	1-(Bromomethyl)-4-nitrobenzene	372.15			
100-12-9	1-Ethyl-4-nitrobenzene	260.85	518.65	1119.22	1.54552
100-13-0	1-Vinyl-4-nitrobenzene	302.15			
100-14-1	1-(Chloromethyl)-4-nitrobenzene	344.15			1.564762
100-15-2	N-Methyl-4-nitroaniline	425.15		1201.155	
100-16-3	(4-Nitrophenyl)hydrazine				
100-17-4	4-Nitroanisole	327.15	532.15	1219.26	1.50706
100-18-5	1,4-Diisopropylbenzene	256.15	483.45	856.82	1.48982
100-19-6	1-(4-Nitrophenyl)ethanone	353.15			
100-20-9	1,4-Benzenedicarbonyl dichloride	356.65	531.15		
100-21-0	Terephthalic acid			1519.25	
100-22-1	N,N,N',N'-Tetramethyl-1,4-benzenediamine	324.15	533.15		
100-23-2	N,N-Dimethyl-4-nitroaniline	437.15			
100-25-4	1,4-Dinitrobenzene	444.25	570.15	1625.18	
100-26-5	2,5-Pyridinedicarboxylic acid	527.15			
100-27-6	4-Nitrobenzeneethanol	336.15			
100-28-7	1-Isocyanato-4-nitrobenzene	330.15			
100-29-8	1-Ethoxy-4-nitrobenzene	333.15	556.15	1117.61	
100-32-3	Bis(4-nitrophenyl) disulfide	455.15			
100-36-7	N,N-Diethyl-1,2-ethanediamine		417.15	828.02	1.43402
100-37-8	2-Diethylaminoethanol		435.28	892.12	1.44122
100-39-0	(Bromomethyl)benzene	271.65	464.15	1438.025	1.57522
100-40-3	4-Vinylcyclohexene	164.25	403.15	829.92	1.46392
100-41-4	Ethylbenzene	178.2	409.35	862.625	1.493025
100-42-5	Styrene	242.5	418.45	901.625	1.544025
100-43-6	4-Vinylpyridine			987.92	1.54492
100-44-7	(Chloromethyl)benzene	233.75	447.15	1100.42	1.53912
100-46-9	Benzylamine		458.15	981.32	1.54012
100-47-0	Benzonitrile	260.33	464.15	1009.315	1.52892
100-48-1	4-Pyridinecarbonitrile	352.15	459.15		
100-49-2	Cyclohexanemethanol	230.15	456.15	929.72	1.46442
100-50-5	3-Cyclohexene-1-carboxaldehyde	274.15	437.15	969.22	1.47452
100-51-6	Benzyl alcohol	257.65	478.45	1041.924	1.53962
100-52-7	Benzaldehyde	216.03	451.85	1040.125	1.54632
100-53-8	Benzenemethanethiol	243.15	472.15	1058.2	1.51512
100-54-9	3-Pyridinecarbonitrile	323.15	476.15	1159.025	
100-55-0	3-Pyridinemethanol	266.65	539.15	1131.2	1.54552
100-56-1	Phenylmercuric chloride	524.15			
100-59-4	Phenylmagnesium chloride				
100-60-7	Cyclohexylmethylamine		420.15	866.023	1.45602
100-61-8	N-Methylaniline	216.15	470.15	989.12	1.56842
100-63-0	Phenylhydrazine	293.15	517.15	1098.62	1.60841
100-64-1	Cyclohexanone oxime	362.2	481.15		
100-65-2	Phenylhydroxylamine	352.15			
100-66-3	Anisole	235.85	426.75	994.02	1.51742
100-68-5	(Methylthio)benzene		467.45	1057.92	1.58682
100-69-6	2-Vinylpyridine		432.65	998.32	1.54952
100-70-9	2-Pyridinecarbonitrile	302.15	497.65	1081.025	1.524225
100-71-0	2-Ethylpyridine	210.15	422.15	950.225	1.49642
100-72-1	Tetrahydro-2H-pyran-2-methanol		462.15	1027.25	1.4582
100-74-3	N-Ethylmorpholine		418.15	899.62	1.44002
100-75-4	N-Nitrosopiperidine		484.15	1063.118	1.493318
100-76-5	1-Azabicyclo[2.2.2]octane	430.15			
100-79-8	2,2-Dimethyl-1,3-dioxolane-4-methanol			1064.2	1.43832
