CASRN	Chemical Name	MW	Tc	T s, K 	Saturation pressure, Pa	rho(l), kg/m^3	rho(g), kg/m^3	Hvap, J/mol	cp(l), J/(mol*K)	cp(g), J/(mol*K) 	mu(l) Pa*s	mu(g) Pa*s	k(l), W/(m K)	k(g) , W/(m K) 	Pr(l)	Pr(g)	Surface tension, N/m 	Beta thermal expansion coefficient, /K 
1333-74-0	Normal Hydrogen	2.01588	33.2	20.37	101330	70.85	1.332	904.525356	19.69917936	24.26313168	0.0000127	0.0000011	0.119	0.0163	1.04	0.83	0.00192	0.01668
1333-74-0	Normal Hydrogen	2.01588	33.2	21	121500	70.12	1.57	898.07454	20.43497556	24.81749868	0.000012	0.0000012	0.121	0.0169	1.01	0.85	0.00181	0.01761
1333-74-0	Normal Hydrogen	2.01588	33.2	23	204380	67.59	2.533	869.146662	23.16044532	27.15591948	0.0000105	0.0000013	0.126	0.0192	0.96	0.91	0.00147	0.02124
1333-74-0	Normal Hydrogen	2.01588	33.2	25	321000	64.7	3.894	824.898096	26.80515636	30.82078932	0.0000091	0.0000014	0.127	0.022	0.95	0.99	0.00113	0.02657
1333-74-0	Normal Hydrogen	2.01588	33.2	27	477890	61.31	5.806	760.893906	32.22787356	37.00550916	0.0000078	0.0000016	0.122	0.025	1.03	1.15	0.000796	0.03535
1333-74-0	Normal Hydrogen	2.01588	33.2	29	682050	57.12	8.56	668.6875548	41.94441516	49.27617072	0.0000068	0.0000017	0.112	0.029	1.26	1.47	0.000483	0.05282
1333-74-0	Normal Hydrogen	2.01588	33.2	30	804320	54.54	10.44	606.5379744	50.96950992	61.33113312	0.0000063	0.0000019	0.106	0.031	1.5	1.83	0.000333	0.07028
1333-74-0	Normal Hydrogen	2.01588	33.2	31	941650	51.38	12.91	526.8099204	68.05207704	84.80403984	0.0000057	0.000002	0.1	0.035	1.91	2.4	0.000207	0.1052
1333-74-0	Normal Hydrogen	2.01588	33.2	32	1095700	47.09	16.5	414.3842928	115.4796858	150.45318792	0.000005	0.0000022	0.091	0.04	3.15	4.09	0.000106	0.2083
1333-74-0	Normal Hydrogen	2.01588	33.2	33.15	1296400	31.26	31.26				0.0000034	0.0000034	0.06	0.06				
7440-37-1	Argon	39.948	150.8	83.81	68890	1416.8	4.055	6540.28656	44.581968	22.17114	0.0002902	0.00000686	0.13363	0.00536	2.42	0.71	0.01342	0.004294
7440-37-1	Argon	39.948	150.8	87.3	101330	1395.4	5.774	6437.22072	44.621916	22.610568	0.0002603	0.00000717	0.12846	0.00562	2.26	0.721	0.01253	0.004443
7440-37-1	Argon	39.948	150.8	90	133510	1378.6	7.436	6354.12888	44.781708	23.010048	0.00024	0.00000741	0.12451	0.00583	2.16	0.731	0.01185	0.004575
7440-37-1	Argon	39.948	150.8	100	323770	1313.7	16.86	6010.57608	46.099992	25.047396	0.0001813	0.00000835	0.11022	0.00669	1.9	0.782	0.00942	0.005222
7440-37-1	Argon	39.948	150.8	110	665260	1242.8	33.29	5591.52156	48.656664	28.442976	0.0001404	0.00000937	0.09641	0.00773	1.77	0.863	0.00711	0.006219
7440-37-1	Argon	39.948	150.8	120	1213000	1162.8	60.14	5064.20796	53.210736	34.475124	0.0001102	0.00001054	0.08313	0.00915	1.77	0.993	0.00496	0.007886
7440-37-1	Argon	39.948	150.8	130	2025500	1068.1	103.56	4372.70808	62.478672	46.819056	0.0000859	0.00001203	0.07043	0.01145	1.91	1.23	0.003	0.0112
7440-37-1	Argon	39.948	150.8	140	3168200	943.7	178.86	3380.79924	88.8843	84.050592	0.0000636	0.00001432	0.05806	0.01639	2.44	1.84	0.00129	0.02101
7440-37-1	Argon	39.948	150.8	145	3889600	854.3	244.44	2634.5706	135.783252	155.637408	0.0000521	0.00001627	0.05201	0.02253	3.4	2.81	0.00058	0.03975
7440-37-1	Argon	39.948	150.8	150.69	4863000	535.6	535.6											
7440-01-9	Neon	20.1797	44.49	27.11	101340	1206.95	9.579	1730.409275	37.5746014	28.5542755	0.000127	0.0000046	0.113	0.0077	2.09	0.85	0.00478	0.01456
7440-01-9	Neon	20.1797	44.49	29	172870	1172.99	15.647	1681.372604	39.3100556	26.3546882	0.000105	0.000005	0.11	0.0085	1.86	0.77	0.00415	0.016129
7440-01-9	Neon	20.1797	44.49	31	283240	1134.02	24.803	1616.192173	41.9535963	27.1820559	0.0000925	0.0000054	0.108	0.0093	1.78	0.79	0.0035	0.018499
7440-01-9	Neon	20.1797	44.49	33	437820	1091.23	37.584	1536.280561	44.798934	29.6439793	0.0000779	0.0000058	0.102	0.0102	1.7	0.84	0.00187	0.021425
7440-01-9	Neon	20.1797	44.49	35	645430	1044.24	55.106	1439.821595	48.1084048	33.6799193	0.0000659	0.0000061	0.0965	0.0111	1.63	0.92	0.00226	0.025243
7440-01-9	Neon	20.1797	44.49	37	915400	992.03	79.087	1322.779335	52.9717125	40.2383218	0.0000566	0.0000068	0.0886	0.0124	1.68	1.1	0.00169	0.030959
7440-01-9	Neon	20.1797	44.49	39	1258100	932	112.575	1176.47651	61.7297023	52.1443448	0.0000473	0.0000074	0.0789	0.0139	1.83	1.38	0.00115	0.04131
7440-01-9	Neon	20.1797	44.49	41	1685500	857.03	162.165	981.338811	82.5147933	79.0237052	0.0000386	0.0000085	0.0673	0.016	2.35	2.07	0.00065	0.06681
7440-01-9	Neon	20.1797	44.49	43	2212100	739.37	248.26	674.405574	176.7943517	184.2810204	0.0000278	0.0000119	0.0503	0.0228	4.84	4.77	0.0002	0.19549
7440-01-9	Neon	20.1797	44.49	44.49	2678600	481.91	481.91				0.0000167	0.0000167	0.033	0.033				
7782-50-5	Chlorine	70.906	417	172.18	1390	1743.2	0.07	22895.5474	73.03318	31.19864	0.001256	0.0000079	0.1968	0.0043	6.57	0.82	0.0399	
7782-50-5	Chlorine	70.906	417	195	8730	1677.6	0.38	22023.4036	66.65164	31.19864	0.0007885	0.000009	0.1869	0.005	3.97	0.79	0.035	0.00159
7782-50-5	Chlorine	70.906	417	217	34070	1620.3	1.35	21243.4376	65.94258	31.9077	0.0005521	0.00001	0.1767	0.0057	2.91	0.79	0.0306	0.00159
7782-50-5	Chlorine	70.906	417	139.17	101330	1562.5	3.7	20428.0186	66.65164	32.61676	0.0004119	0.0000111	0.1657	0.0065	2.34	0.78	0.0263	0.0017
7782-50-5	Chlorine	70.906	417	267	299850	1486.3	10.1	19272.2508	68.77882	34.74394	0.0003055	0.0000124	0.1511	0.0077	1.96	0.75	0.0212	0.00192
7782-50-5	Chlorine	70.906	417	296	733880	1400.2	23.5	17811.5872	70.906	37.58018	0.0002324	0.0000139	0.1349	0.0091	1.72	0.81	0.0163	0.00225
7782-50-5	Chlorine	70.906	417	324	1482800	1308.6	46.7	16102.7526	73.74224	42.5436	0.000181	0.0000155	0.1181	0.0107	1.59	0.87	0.0119	0.00273
7782-50-5	Chlorine	70.906	417	352	2675900	1204.8	86.3	13975.5726	79.41472	53.1795	0.0001414	0.0000174	0.1004	0.0127	1.58	1.03	0.008	0.00359
7782-50-5	Chlorine	70.906	417	380	4447600	1077.2	156.2	11132.242	96.43216	79.41472	0.000108	0.0000204	0.0817	0.0156	1.8	1.46	0.0043	0.00579
