CAS	Chemical	C
105-60-2	epsilon-caprolactam	-10.1066
502-44-3	epsilon-caprolactone	-14.7294
7351-61-3	(3-methylacryloxypropyl)trichlorosilane	3.6233
919-30-2	gamma-aminopropyltriethoxysilane	16.3655
96-48-0	gamma-butyrolactone	-12.8111
106-89-8	alpha-epichlorohydrin	-21.5817
594-61-6	alpha-hydroxyisobutyric acid	28.4113
98-85-1	alpha-methylbenzyl alcohol	-6.1293
7775-38-4	alpha-methylbenzyl alcohol formate	-8.4067
98-83-9	alpha-methylstyrene	-16.0405
99-83-2	alpha-phellandrene	-11.3253
80-56-8	alpha-pinene	-18.1967
99-85-4	gamma-terpinene	-12.7856
99-86-5	alpha-terpinene	-12.9338
98-55-5	alpha-terpineol	8.1554
59-02-9	alpha-tocopherol	19.943
108-29-2	gamma-valerolactone	-12.8728
2530-83-8	[3-(2,3-epoxyproxy)propyl]trimethoxysilane	11.2958
14814-09-6	[3-(mercapto)propyl]triethoxysilane	15.4
51526-06-8	1-(4-ethylphenyl)-2-(4-ethylphenyl)ethane	-0.3165
7439-15-8	1-(4-ethylphenyl)-2-phenylethane	-0.6586
1814-88-6	1,1,1,2,2-pentafluoropropane	-15.8641
431-63-0	1,1,1,2,3,3-hexafluoropropane	-10.3616
76-11-9	1,1,1,2-tetrachlorodifluoroethane	-19.9098
630-20-6	1,1,1,2-tetrachloroethane	-22.217
811-97-2	1,1,1,2-tetrafluoroethane	-14.3914
690-39-1	1,1,1,3,3,3-hexafluoropropane	-6.9087
460-73-1	1,1,1,3,3-pentafluoropropane	-7.3042
71-55-6	1,1,1-trichloroethane	-24.4505
2366-36-1	1,1,1-trichlorofluoroethane	-21.3334
354-58-5	1,1,1-trichlorotrifluoroethane	-21.0211
420-46-2	1,1,1-trifluoroethane	-21.3557
679-86-7	1,1,2,2,3-pentafluoropropane	-12.189
79-27-6	1,1,2,2-tetrabromoethane	-25.2716
76-12-0	1,1,2,2-tetrachlorodifluoroethane	-19.4032
79-34-5	1,1,2,2-tetrachloroethane	-18.8144
359-35-3	1,1,2,2-tetrafluoroethane	-19.5314
632-50-8	1,1,2,2-tetraphenylethane	6.7918
79-00-5	1,1,2-trichloroethane	-20.1302
76-13-1	1,1,2-trichlorotrifluoroethane	-20.9973
430-66-0	1,1,2-trifluoroethane	-13.0022
1520-42-9	1,1,2-triphenylethane	0.5103
557-91-5	1,1-dibromoethane	-26.6334
1717-00-6	1,1-dichloro-1-fluoroethane	-24.3439
75-34-3	1,1-dichloroethane	-22.7148
75-35-4	1,1-dichloroethylene	-25.2262
78-99-9	1,1-dichloropropane	-21.1873
374-07-2	1,1-dichlorotetrafluoroethane	-21.7094
78-01-3	1,1-diethylcyclohexane	-10.3885
75-37-6	1,1-difluoroethane	-20.3095
534-15-6	1,1-dimethoxyethane	-15.4031
590-66-9	1,1-dimethylcyclohexane	-22.2782
1638-26-2	1,1-dimethylcyclopentane	-20.5247
612-00-0	1,1-diphenylethane	-6.9876
119-64-2	1,2,3,4-tetrahydronaphthalene	-17.8974
488-23-3	1,2,3,4-tetramethylbenzene	-11.4915
3726-45-2	1,2,3,4-tetramethylcyclohexane	-10.6675
38842-05-6	1,2,3,5-tetraethylbenzene	1.255
527-53-7	1,2,3,5-tetramethylbenzene	-10.1525
100-50-5	1,2,3,6-tetrahydrobenzaldehyde	-12.7202
87-66-1	1,2,3-benzenetriol	19.805
4435-50-1	1,2,3-butanetriol	71.7768
87-61-6	1,2,3-trichlorobenzene	-10.1957
96-18-4	1,2,3-trichloropropane	-17.2637
42205-08-3	1,2,3-triethylbenzene	-4.9427
61827-86-9	1,2,3-trimethyl-4-ethylbenzene	-6.9915
526-73-8	1,2,3-trimethylbenzene	-13.689
4773-83-5	1,2,3-trimethylindene	-8.3543
635-11-0	1,2,4,5-tetraisopropylbenzene	3.5217
95-93-2	1,2,4,5-tetramethylbenzene	-9.7311
3068-00-6	1,2,4-butanetriol	75.2059
120-82-1	1,2,4-trichlorobenzene	-15.0097
877-44-1	1,2,4-triethylbenzene	-6.7409
61827-87-0	1,2,4-trimethyl-3-ethylbenzene	-8.6847
17851-27-3	1,2,4-trimethyl-5-ethylbenzene	-7.0527
95-63-6	1,2,4-trimethylbenzene	-13.0143
65185-88-8	1,2-benzene dicarboxylic acid, heptyl, undecyl ester	20.54
19295-81-9	1,2-benzenedicarboxylic acid, heptyl, nonyl ester	25.3446
120-80-9	1,2-benzenediol	4.1101
590-19-2	1,2-butadiene	-27.1047
584-03-2	1,2-butanediol	6.8922
55334-42-4	1,2-dibromododecane	7.2082
106-93-4	1,2-dibromoethane	-24.6152
124-73-2	1,2-dibromotetrafluoroethane	-21.7367
354-23-4	1,2-dichloro-1,1,2-trifluoroethane	-22.4968
99-54-7	1,2-dichloro-4-nitrobenzene	-2.0657
616-21-7	1,2-dichlorobutane	-18.1912
107-06-2	1,2-dichloroethane	-20.8257
356-18-3	1,2-dichlorohexafluorocyclobutane	-22.8537
78-87-5	1,2-dichloropropane	-21.5934
