CASRN	Chemical	Formula	Hfus
100-00-5	1-Chloro-4-nitrobenzene	C6H4ClNO2	14100
100-01-6	4-Nitroaniline	C6H6N2O2	21200
100-02-7	4-Nitrophenol	C6H5NO3	18800
100-41-4	Ethylbenzene	C8H10	9180
100-42-5	Styrene	C8H8	10900
100-47-0	Benzonitrile	C7H5N	9100
100-51-6	Benzyl alcohol	C7H8O	8970
100-52-7	Benzaldehyde	C7H6O	9320
100-63-0	Phenylhydrazine	C6H8N2	14050
100-66-3	Anisole	C7H8O	12900
10024-93-8	Neodymium(III) chloride	Cl3Nd	48500
10024-97-2	Nitrous oxide	N2O	6540
10025-73-7	Chromium(III) chloride	Cl3Cr	60000
10025-76-0	Europium(III) chloride	Cl3Eu	33100
10025-82-8	Indium(III) chloride	Cl3In	27000
10025-87-3	Phosphoryl chloride	Cl3OP	13100
10025-91-9	Antimony(III) chloride	Cl3Sb	12970
10026-04-7	Tetrachlorosilane	Cl4Si	7600
10026-07-0	Tellurium tetrachloride	Cl4Te	18900
10026-08-1	Thorium(IV) chloride	Cl4Th	43900
10026-10-5	Uranium(IV) chloride	Cl4U	44800
10026-11-6	Zirconium(IV) chloride	Cl4Zr	29000
10026-12-7	Niobium(V) chloride	Cl5Nb	33900
10026-17-2	Cobalt(II) fluoride	CoF2	58100
10026-23-0	Cobalt(II) selenite	CoO3Se	16300
10028-18-9	Nickel(II) fluoride	F2Ni	69000
1003-03-8	Cyclopentylamine	C5H11N	8310
10031-22-8	Lead(II) bromide	Br2Pb	16440
10031-24-0	Tin(II) bromide	Br2Sn	18000
10031-25-1	Chromium(III) bromide	Br3Cr	60000
10031-27-3	Tellurium tetrabromide	Br4Te	24700
10034-85-2	Hydrogen iodide	HI	2870
10035-10-6	Hydrogen bromide	BrH	2410
10042-76-9	Strontium nitrate	N2O6Sr	44600
10042-88-3	Terbium(III) chloride	Cl3Tb	19500
10043-11-5	Boron nitride	BN	81000
10043-35-3	Boric acid	BH3O3	22300
10043-52-4	Calcium chloride	CaCl2	28050
10049-05-5	Chromium(II) chloride	Cl2Cr	45000
10049-06-6	Titanium(II) chloride	Cl2Ti	34300
10049-10-2	Chromium(II) fluoride	CrF2	34000
10049-12-4	Vanadium(III) fluoride	F3V	57000
10049-14-6	Uranium(IV) fluoride	F4U	47000
10049-25-9	Chromium(II) bromide	Br2Cr	45000
10099-58-8	Lanthanum chloride	Cl3La	54400
101-81-5	Diphenylmethane	C13H12	18600
101-84-8	Diphenyl ether	C12H10O	17220
10101-63-0	Lead(II) iodide	I2Pb	23400
10102-24-6	Lithium metasilicate	Li2O3Si	28000
10102-43-9	Nitric oxide	NO	2300
10102-45-1	Thallium(I) nitrate	NO3Tl	9600
10102-68-8	Calcium iodide	CaI2	41800
10108-64-2	Cadmium chloride	CdCl2	48580
10124-37-5	Calcium nitrate	CaN2O6	23400
10138-41-7	Erbium chloride	Cl3Er	32600
10138-52-0	Gadolinium(III) chloride	Cl3Gd	40600
10138-62-2	Holmium chloride	Cl3Ho	30500
10139-47-6	Zinc iodide	I2Zn	17000
10241-03-9	Zirconium(III) chloride	Cl3Zr	30000
10241-05-1	Molybdenum(V) chloride	Cl5Mo	19000
10294-26-5	Silver(I) sulfate	Ag2O4S	17990
10294-34-5	Boron trichloride	BCl3	2100
10294-54-9	Cesium sulfate	Cs2O4S	35700
10294-70-9	Tin(II) iodide	I2Sn	18000
103-30-0	trans-Stilbene	C14H12	27700
103-65-1	Propylbenzene	C9H12	9270
103-82-2	Benzeneacetic acid	C8H8O2	16300
103-84-4	Acetanilide	C8H9NO	21300
103-90-2	N-(4-Hydroxyphenyl)acetamide	C8H9NO2	30500
10325-94-7	Cadmium nitrate	CdN2O6	18300
10361-37-2	Barium chloride	BaCl2	15850
10361-79-2	Praseodymium(III) chloride	Cl3Pr	50600
10361-84-9	Scandium chloride	Cl3Sc	67400
10361-91-8	Ytterbium(III) chloride	Cl3Yb	35400
10361-92-9	Yttrium chloride	Cl3Y	31500
