CASRN	Chemical	Formula	Tb	HvapTb	Hvap298
100-41-4	Ethylbenzene	C8H10	409.31	35570	42240
100-42-5	Styrene	C8H8	418.15	38700	
100-46-9	Benzylamine	C7H9N	458.15		60160
100-47-0	Benzonitrile	C7H5N	464.25	45900	
100-51-6	Benzyl alcohol	C7H8O	478.46	50480	
100-52-7	Benzaldehyde	C7H6O	451.95	42500	
100-66-3	Anisole	C7H8O	426.85	38970	46900
10022-50-1	Nitryl fluoride	FNO2	200.75	18050	
10024-97-2	Nitrous oxide	N2O	184.67	16530	
10025-78-2	Trichlorosilane	Cl3HSi	306.15		25700
10025-87-3	Phosphoryl chloride	Cl3OP	378.65	34350	38600
10025-91-9	Antimony(III) chloride	Cl3Sb	493.45	45190	
10026-04-7	Tetrachlorosilane	Cl4Si	330.8	28700	29700
10026-07-0	Tellurium tetrachloride	Cl4Te	660.15	77000	
10026-08-1	Thorium(IV) chloride	Cl4Th	1194.15	146400	
10026-12-7	Niobium(V) chloride	Cl5Nb	520.55	52700	
10031-22-8	Lead(II) bromide	Br2Pb	1165.15	133000	
10031-24-0	Tin(II) bromide	Br2Sn	912.15	102000	
10034-85-2	Hydrogen iodide	HI	237.6	19760	17360
10035-10-6	Hydrogen bromide	BrH	206.77		12690
10036-47-2	Tetrafluorohydrazine	F4N2	199.15	13270	
10038-98-9	Germanium(IV) chloride	Cl4Ge	359.7	27900	
10049-04-4	Chlorine dioxide	ClO2	284.15	30000	
10049-05-5	Chromium(II) chloride	Cl2Cr	1393.15	197000	
10049-06-6	Titanium(II) chloride	Cl2Ti	1773.15	232000	
10049-17-9	Rhenium(VI) fluoride	F6Re	306.95	28700	
101-84-8	Diphenyl ether	C12H10O	531.15	48200	
10101-63-0	Lead(II) iodide	I2Pb	1145.15	104000	
10102-43-9	Nitric oxide	NO	121.41	13830	
10108-64-2	Cadmium chloride	CdCl2	1237.15	124300	
102-76-1	Glycerol triacetate	C9H14O6	532.15		85740
102-82-9	Tributylamine	C12H27N	489.65	46900	
10241-05-1	Molybdenum(V) chloride	Cl5Mo	541.15	62800	
10294-33-4	Boron tribromide	BBr3	364.45	30500	
10294-34-5	Boron trichloride	BCl3	285.65	23770	23100
10294-70-9	Tin(II) iodide	I2Sn	987.15	105000	
103-09-3	2-Ethylhexyl acetate	C10H20O2	472.15	43500	
103-32-2	N-Benzylaniline	C13H13N	579.65		79600
103-65-1	Propylbenzene	C9H12	432.39		46220
103-69-5	N-Ethylaniline	C8H11N	476.15		58300
103-73-1	Ethoxybenzene	C8H10O	442.96		51040
104-51-8	Butylbenzene	C10H14	456.46	38870	50800
104-72-3	Decylbenzene	C16H26	566.15		78200
104-75-6	2-Ethylhexylamine	C8H19N	442.35	40000	
104-76-7	2-Ethyl-1-hexanol	C8H18O	457.75	54200	68510
105-30-6	2-Methyl-1-pentanol	C6H14O	422.15	50200	
105-34-0	Methyl cyanoacetate	C4H5NO2	473.65	48200	
105-37-3	Ethyl propanoate	C5H10O2	372.25	33880	39210
105-39-5	Ethyl chloroacetate	C4H7ClO2	417.45	40430	49470
105-53-3	Diethyl malonate	C7H12O4	473.15	54800	
105-54-4	Ethyl butanoate	C6H12O2	394.45	35470	42680
105-57-7	1,1-Diethoxyethane	C6H14O2	375.4	36280	43200
105-58-8	Diethyl carbonate	C5H10O3	399.15		43600
105-67-9	2,4-Xylenol	C8H10O	484.13		64960
10544-72-6	Nitrogen tetroxide	N2O4	294.3	38120	
106-31-0	Butanoic anhydride	C8H14O3	473.15	50000	
106-36-5	Propyl propanoate	C6H12O2	395.65	35540	43450
106-42-3	p-Xylene	C8H10	411.38	35670	42400
106-43-4	4-Chlorotoluene	C7H7Cl	435.55	38700	
106-44-5	p-Cresol	C7H8O	475.13	47450	
106-46-7	p-Dichlorobenzene	C6H4Cl2	447.15	38790	49000
106-49-0	4-Methylaniline	C7H9N	473.55	44300	
106-65-0	Dimethyl succinate	C6H10O4	469.55		61000
106-70-7	Methyl hexanoate	C7H14O2	422.65	38550	48040
106-73-0	Methyl heptanoate	C8H16O2	447.15		51620
106-79-6	Dimethyl sebacate	C12H22O4			86400
106-88-7	1,2-Epoxybutane	C4H8O	336.55	30300	
106-93-4	1,2-Dibromoethane	C2H4Br2	404.75	34770	41730
106-94-5	1-Bromopropane	C3H7Br	344.25	29840	32010
106-95-6	3-Bromopropene	C3H5Br	343.25	30240	32730
106-97-8	Butane	C4H10	272.65	22440	21020
106-98-9	1-Butene	C4H8	266.89	22070	20220
106-99-0	1,3-Butadiene	C4H6	268.74	22470	20860
1067-08-9	3-Ethyl-3-methylpentane	C8H18	391.42	32780	37990
1067-20-5	3,3-Diethylpentane	C9H20	419.45	34610	42000
1069-53-0	2,3,5-Trimethylhexane	C9H20	404.55	34430	41410
107-00-6	1-Butyne	C4H6	281.23	24520	23350
107-02-8	Acrolein	C3H4O	325.75	28300	
