ALUZCFMOHFZLKV-UHFFFAOYSA-N	0 1 0	2 3 3 1 9 8 10 4 13 1 14 1 32 1 53 2 	9 8 10 2 13 1 32 1 39 1 53 2 78 3 79 1 81 1 	2 3 3 1 9 8 10 4 13 1 14 1 32 1 53 2 
XMLSXPIVAXONDL-UHFFFAOYSA-N	1 1 1	1 2 2 3 6 1 19 1 70 1 	1 2 2 2 6 1 19 1 70 1 78 1 	1 2 2 3 6 1 19 1 70 1 
LJZPPWWHKPGCHS-UHFFFAOYSA-N	1 1 1	44 1 65 1 	44 1 65 1 	44 1 65 1 
WBZTYASEAQTKBK-UHFFFAOYSA-N	1 0 1	1 5 2 1 44 1 81 2 	1 5 2 1 44 1 	1 5 2 1 44 1 81 2 
QDXBTXHLQHMWCP-UHFFFAOYSA-N	1 1 1	1 3 2 3 3 3 14 3 32 1 35 1 	1 3 2 3 3 3 32 1 35 1 81 3 	1 3 2 3 3 3 14 3 32 1 35 1 
ZOXPZFFPPKVNEA-UHFFFAOYSA-N	1 1 1	9 1 11 1 53 4 	9 1 11 1 53 4 	9 1 11 1 53 4 
WNLWIOJSURYFIB-UHFFFAOYSA-N	1 1 1	1 3 9 3 12 3 	1 3 9 3 12 3 	1 3 9 3 12 3 
PCLQMXVMRDPVKX-UHFFFAOYSA-N	1 1 1	2 1 9 4 10 2 35 1 42 1 44 2 	2 1 9 4 10 2 35 1 42 1 44 2 	2 1 9 4 10 2 35 1 42 1 44 2 
YEELFSTYCPPLQY-UHFFFAOYSA-N	0 1 0	9 9 10 6 	9 8 10 5 38 1 	9 9 10 6 
UWRYPWSHHZVMHR-UHFFFAOYSA-N	1 1 1	1 1 2 1 4 1 5 1 9 5 12 1 14 1 	1 1 2 1 4 1 5 1 9 5 12 1 82 1 	1 1 2 1 4 1 5 1 9 5 12 1 14 1 
LIZDGCXCDJOWBS-UHFFFAOYSA-N	1 1 1	9 9 10 2 13 1 14 1 74 1 	9 9 10 2 13 1 74 1 81 1 	9 9 10 2 13 1 14 1 74 1 
JOJSCBROPYJHJX-UHFFFAOYSA-N	1 1 1	1 5 2 5 3 1 4 1 	1 5 2 5 3 1 4 1 	1 5 2 5 3 1 4 1 
HZXKDBNTDXFOIG-UHFFFAOYSA-N	1 1 1	1 2 9 4 10 2 24 1 26 1 	1 2 9 4 10 2 24 1 26 1 	1 2 9 4 10 2 24 1 26 1 
DZNVIZQPWLDQHI-UHFFFAOYSA-N	1 1 1	1 3 2 4 3 1 8 1 23 1 	1 3 2 4 3 1 8 1 23 1 	1 3 2 4 3 1 8 1 23 1 
YOCRQRLRAGTUCP-UHFFFAOYSA-N	1 1 1	2 5 4 1 9 3 10 1 42 1 53 1 71 1 	9 3 10 1 42 1 53 1 71 1 78 5 80 1 	2 5 4 1 9 3 10 1 42 1 53 1 71 1 
ZRYZBQLXDKPBDU-UHFFFAOYSA-N	1 1 1	9 4 10 2 20 1 64 1 	9 4 10 2 20 1 64 1 	9 4 10 2 20 1 64 1 
JFDMLXYWGLECEY-UHFFFAOYSA-N	0 1 1	-1 1 	9 5 12 1 107 1 	9 5 12 1 136 1 
LHBSHRHABGHGRB-UHFFFAOYSA-N	1 0 1	1 5 4 1 9 5 10 1 81 1 	1 5 4 1 9 5 10 1 	1 5 4 1 9 5 10 1 81 1 
XPDZJELKJLPXBD-UHFFFAOYSA-N	0 1 1	-1 2 	1 2 4 1 9 8 10 2 17 2 44 1 107 1 119 1 	1 2 4 1 9 8 10 2 17 2 44 1 136 1 139 1 
