CASRN	Chemical	Hsub	error
100-00-5	1-chloro-4-nitrobenzene 	74700	100
100-01-6	4-nitroaniline 	100790	
100-02-7	4-nitrophenol   	95600	
100-09-4	4-methoxybenzoic acid 	111330	
100-19-6	4'-nitroacetophenone 	97000	500
100-21-0	terephthalic acid   	146600	500
100-23-2	N,N-dimethyl-4-nitroaniline 	102000	
100-25-4	1,4-dinitrobenzene 	95250	
100-26-5	pyridine-2,5-dicarboxylic acid 	163600	2700
100-48-1	4-cyanopyridine 	73200	600
100-54-9	3-cyanopyridine 	72100	1800
100-64-1	cyclohexanone oxime 	79000	2000
100-70-9	2-cyanopyridine 	73650	
100-76-5	1-azabicyclooctane   	50800	200
100-83-4	3-hydroxybenzaldehyde 	100100	600
100-97-0	1,3,5,7-tetraazatricyclo[3.3.1.13,7]decane  	77970	
100046-00-2	2,2',4,4',6,6'-hexamethylazobenzene-N,N-dioxide 	107000	12000
10010-93-2	3(5)-trifluoromethyl-5(3)-methylpyrazole 	78200	800
1002-57-9	8-aminooctanoic acid   	170000	4000
1003-29-8	2-pyrrolecarboxaldehyde 	78600	1300
1003-67-4	4-methylpyridine N-oxide 	85300	2600
1003-73-2	3-methylpyridine N-oxide 	82200	2400
1004-36-0	2,6-dimethyl-4-pyrone 	86800	1500
1004-38-2	2,4,6-triaminopyrimidine 	125400	1800
1005-51-2	bullvalene   	71800	
10075-69-1	1,5-N,N,N’,N’-tetramethyldiaminonaphthalene 	98600	400
101-20-2	3,4,4'-trichlorocarbanilide 	182200	1700
101-81-5	diphenylmethane 	87600	800
1011-54-7	trans-2-methoxycinnamic acid 	128800	600
1012-72-2	1,4-di-tert-butylbenzene 	82800	400
101225-69-8	2,2',6,6'-tetramethylazobenzene-N,N-dioxide 	107000	12000
1016-78-0	3-chlorobenzophenone 	110400	400
102-04-5	1,3-diphenylacetone 	111600	2300
1020-31-1	3,5-di-tert-butyl-1,2-dihydroxybenzene 	102400	
10218-02-7	7-norbornanone 	47300	2200
103-01-5	N-phenylglycine   	128000	2000
103-16-2	4-benzyloxyphenol 	131000	900
103-29-7	1,2-diphenylethane 	92030	
103-30-0	trans 1,2-diphenylethylene 	101260	
103-82-2	phenylacetic acid 	96250	
103-90-2	p-hydroxyacetanilide 	125900	
103434-09-9	1-norbornylisocyanide 	60600	500
1038-67-1	1,8-diphenylnaphthalene 	126400	500
105-60-2	?-caprolactam 	87300	200
10538-51-9	trans-2,5-dimethoxycinnamic acid  	138800	1100
10541-83-0	4-(methylamino)benzoic acid 	123900	400
106-37-6	1,4-dibromobenzene 	74230	110
106-39-8	1-bromo-4-chlorobenzene 	69250	
106-40-1	4-bromoaniline 	79400	1700
106-41-2	4-bromophenol 	85200	
106-44-5	4-hydroxytoluene 	73100	600
106-46-7	1,4-dichlorobenzene 	65200	2000
106-47-8	4-chloroaniline 	80500	300
106-48-9	4-chlorophenol 	77100	200
106-49-0	p-toluidine 	77500	
106-50-3	1,4-diaminobenzene 	94500	
106-51-4	1,4-benzoquinone 	66700	1600
107-61-9	1,4-oxathiane sulfone 	92000	1000
107-95-9	?-alanine   	135950	
107-97-1	sarcosine (N-methylglycine) 	146000	1000
107133-43-7	exo-4-hydroxy-exo-endo-tetracyclo[6.2.1.1.3,6.02,7]dodecane  	76300	2000
1072-62-4	2-ethylimidazole 	89600	400
1072-72-6	tetrahydro-4H-thiopyran-4-one   	73000	
1072-82-8	3-acetylpyrrole 	94700	500
1072-83-9	2-acetylpyrrole 	81200	1000
1074-98-2	3-methyl-4-nitropyridine N-oxide 	106700	2000
1075-89-4	3,3-tetramethyleneglutarimide 	106800	2000
1076-38-6	4-hydroxycoumarin 	128500	1800
1076-47-7	2,3,4-trimethylbenzoic acid 	109300	300
1076-88-6	3,4,5-trimethylbenzoic acid 	111000	500
1078-19-9	3,4-dihyro-6-methoxy-1(2H)-naphthalenone 	104700	900
1079-71-6	1,2,3,4,5,6,7,8-octahydroanthracene (octhracene) 	82300	1200
107945-73-3	2-methyl-4-nitro-1,2,3-triazole 	74700	3100
108-30-5	succinic anhydride 	80700	1600
108-31-6	maleic anhydride 	70000	
108-43-0	3-chlorophenol 	76900	300
108-45-2	1,3-diaminobenzene 	92950	
108-46-3	1,3-dihydroxybenzene 	87500	500
108-55-4	glutaric anhydride 	86100	1600
108-68-9	3,5-dimethylphenol 	82400	
108-70-3	1,3,5-trichlorobenzene 	72700	500
108-73-6	1,3,5-trihydroxybenzene 	133600	
108-95-2	phenol 	69700	900
1081-34-1	2,2':5',2"-terthiophene 	114700	400
108929-67-5	4-amino-N-(4-ethylphenyl)benzenesulfonamide 	143600	900
109-00-2	3-hydroxypyridine   	88300	1300
109-46-6	1,3-butylthiourea 	139000	
109-77-3	malononitrile   	78200	1000
109577-03-9	1,3-oxathiane sulfone 	92100	700
110-15-6	succinic acid   	122100	
110-88-3	1,3,5-trioxane 	56100	
110-94-1	glutaric acid 	119800	1200
111-16-0	heptanedioic acid (pimelic acid) 	139900	1000
111-42-2	diethanolamine 	96700	1200
1116-01-4	tricyanophosphine 	75300	2900
1118-12-3	N-tert-butylurea 	98200	400
111888-46-1	3-methyl-N-(2-methylphenyl)-2-quinoxalinecarboxamide-1,4-dioxide 	154800	3000
112-37-8	undecanoic acid 	121300	1300
112-47-0	1,10-decanediol 	155800	900
112-53-8	1-dodecanol 	129300	
112-72-1	1-tetradecanol 	143900	
112-92-5	1-octadecanol 	191200	1300
112-95-8	eicosane 	170400	
1121-07-9	N-methylsuccinimide 	80100	300
1121-25-1	2-methyl-3-hydroxypyridine 	89300	1300
1121-78-4	2-methyl-5-hydroxypyridine 	96200	2100
1121-89-7	glutarimide 	94100	1600
1122-04-9	3,5-dimethyl-4-nitrosopyrazole 	102900	3000
1122-28-7	4,5-dicyanoimidazole 	119500	900
1122-47-0	1-methylcytosine  	149100	9000
1122-58-3	4-N,N-dimethylaminopyridine 	84300	
1124-11-4	tetramethylpyrazine 	94600	4000
1124-33-0	4-nitropyridine-N-oxide 	108900	300
1126-46-1	methyl 4-chlorobenzoate 	83400	100
1128-85-4	3-amino-1-phenyl-but-2-enone 	109400	2100
1132-21-4	3,5-dimethoxybenzoic acid 	127100	600
1134-35-6	4,4’-dimethyl-2,2’-bipyridyl 	99700	2300
1135-24-6	3-(4-hydroxy-3-methoxyphenyl)-2-propenoic acid 	131800	4000
1137-42-4	(4-hydroxyphenyl)phenylmethanone 	130300	1000
1137-98-8	N-phenylmethylene benzenamine N-oxide 	115000	800
1138-52-9	3,5-di-tert-butylphenol 	97700	3700
1139-82-8	5,7-dihydro-6H-dibenzo[a,c]cyclohepten-6-one 	95600	800
1144-74-4	4-nitrobenzophenone 	122600	
115-77-5	pentaerythritol   	163000	
1165-14-6	1,2,3-triphenylbenzene 	134100	1100
1165-53-3	1,2,4-triphenylbenzene 	147800	700
117-18-0	1,2,4,5-tetrachloro-3-nitrobenzene 	91300	2500
117-34-0	diphenylacetic acid 	131700	700
117-99-7	(2-hydroxyphenyl)phenylmethanone 	97900	1900
118-41-2	3,4,5-trimethoxybenzoic acid 	131200	800
118-48-9	isatoic anhydride 	115600	2800
118-74-1	hexachlorobenzene 	93650	
118-90-1	2-methylbenzoic acid   	95900	100
118-91-2	2-chlorobenzoic acid   	102870	
118-92-3	2-aminobenzoic acid   	108250	
118-96-7	2,4,6-trinitrotoluene 	108900	
119-39-1	1-(2H)-phthalazinone 	107400	500
119-61-9	benzophenone 	93220	
119-91-5	2,2'-biquinoline 	134700	1300
1192-53-6	4,5-dichloro-1-methylimidazole 	81400	100
1194-02-1	4-fluorobenzonitrile 	67650	
1196-00-5	(1R,2R,3R,5S)-(-)-isopinocamheol 	80500	1100
1196-57-2	2-hydroxyquinoxaline 	122150	
120-12-7	anthracene 	100660	
120-22-9	4-diethylaminonitrosobenzene 	107900	3700
