CAS	Chemical	C1	C2	C3	C4	Tmin	Hv at Tmin	Tmax	Hv  at Tmax 
75-07-0	Acetaldehyde  	38366000	0.40081	0	0	150.15	32828000	466	0
60-35-5	Acetamide  	81070000	0.42	0	0	353.15	62386000	761	0
64-19-7	Acetic acid  	40179000	2.6037	-5.0031	2.7069	289.81	23412000	591.95	0
108-24-7	Acetic anhydride  	63520000	0.3986	0	0	200.15	54139000	606	0
67-64-1	Acetone  	42150000	0.3397	0	0	178.45	36390000	508.2	0
75-05-8	Acetonitrile  	43511000	0.34765	0	0	229.32	35996000	545.5	0
74-86-2	Acetylene  	23214000	0.35938	0	0	192.4	16333000	308.3	0
107-02-8	Acrolein  	38736000	0.29335	0	0	185.45	33881000	506	0
79-10-7	Acrylic acid  	43756000	2.2571	-4.5116	2.5738	286.15	27965000	615	0
107-13-1	Acrylonitrile  	41550000	0.2733	0	0	189.63	36866000	535	0
132259-10-0	Air  	8474000	0.3822	0	0	59.15	6759000	132.45	0
7664-41-7	Ammonia  	31523000	0.3914	-0.2289	0.2309	195.41	25298000	405.65	0
100-66-3	Anisole  	58662000	0.37127	0	0	235.65	49560000	645.6	0
7440-37-1	Argon  	8730800	0.3526	0	0	83.78	6561000	150.86	0
55-21-0	Benzamide  	87809000	0.1933	0.30877	-0.14162	403	71286000	824	0
71-43-2	Benzene  	45346000	0.39053	0	0	278.68	34705000	562.05	0
108-98-5	Benzenethiol  	62250000	0.4412	0	0	258.27	50597000	689	0
65-85-0	Benzoic acid  	101900000	0.478	0	0	395.45	71277000	751	0
100-47-0	Benzonitrile  	68077000	0.63344	-0.27365	0	260.4	53147000	699.35	0
119-61-9	Benzophenone  	105230000	0.87091	-0.45568	0	321.35	74895000	830	0
100-51-6	Benzyl alcohol  	84762000	0.35251	0.43853	-0.3026	257.85	68800000	720.15	0
539-30-0	Benzyl ethyl ether  	62280000	0.3411	0	0	275.65	51829000	662	0
100-53-8	Benzyl mercaptan  	69642000	0.44354	0	0	243.95	57930000	718	0
92-52-4	Biphenyl  	76350000	0.39182	0	0	342.2	60719000	773	0
7726-95-6	Bromine  	40000000	0.351	0	0	265.85	32323000	584.15	0
108-86-1	Bromobenzene  	55520000	0.37694	0	0	242.43	46875000	670.15	0
74-96-4	Bromoethane  	39004000	0.38012	0	0	154.55	33933000	503.8	0
74-83-9	Bromomethane  	31690000	0.3015	0	0	179.47	27379000	467	0
590-19-2	1,2-Butadiene  	35220000	0.395	0	0	136.95	30540000	452	0
106-99-0	1,3-Butadiene  	32632000	0.3701	0	0	164.25	27235000	425	0
106-97-8	Butane  	36238000	0.8337	-0.82274	0.39613	134.86	28684000	425.12	0
584-03-2	1,2-Butanediol  	89754000	0.45316	0	0	220	75185000	680	0
107-88-0	1,3-Butanediol  	92247000	0.42442	0	0	196.15	79759000	676	0
71-36-3	1-Butanol  	71274000	0.0483	0.8966	-0.5116	183.85	63643000	563.1	0
78-92-2	2-Butanol  	79227000	0.58361	0.02016	-0.08654	158.45	64607000	535.9	0
106-98-9	1-Butene  	33774000	0.5107	-0.17304	0.05181	87.8	30197000	419.5	0
590-18-1	cis-2-Butene  	34358000	0.38004	0	0	134.26	29867000	435.5	0
624-64-6	trans-2-Butene  	33191000	0.36968	0	0	167.62	27630000	428.6	0
123-86-4	Butyl acetate  	58276000	0.38854	0	0	199.65	49384000	575.4	0
104-51-8	Butylbenzene  	63487000	0.38222	0	0	185.3	55979000	660.5	0
109-79-5	Butyl mercaptan  	49702000	0.41199	0	0	157.46	43505000	570.1	0
513-53-1	sec-Butyl mercaptan  	46432000	0.399	0	0	133.02	41614000	554	0
107-00-6	1-Butyne  	36972000	0.39168	0	0	147.43	31511000	440	0
123-72-8	Butyraldehyde  	46403000	0.3849	0	0	176.75	39797000	537.2	0
107-92-6	Butyric acid  	61947000	1.6524	-2.8505	1.6285	250	41619000	615.7	0
109-74-0	Butyronitrile  	52200000	0.165	0.6692	-0.539	161.25	47223000	582.25	0
124-38-9	Carbon dioxide  	21730000	0.382	-0.4339	0.42213	216.58	15202000	304.21	0
75-15-0	Carbon disulfide  	34960000	0.2986	0	0	161.11	31537000	552	0
630-08-0	Carbon monoxide  	8585000	0.4921	-0.326	0.2231	68.13	6517000	132.5	915280
56-23-5	Carbon tetrachloride  	43252000	0.37688	0	0	250.33	34528000	556.35	0
75-73-0	Carbon tetrafluoride  	19311000	0.94983	-1.0615	0.51894	89.56	14215000	227.51	0
7782-50-5	Chlorine  	30680000	0.8458	-0.9001	0.453	172.12	22878000	417.15	0
108-90-7	Chlorobenzene  	51480000	0.36614	0	0	227.95	43707000	632.35	0
75-00-3	Chloroethane  	35240000	0.3652	0	0	134.8	31052000	460.35	0
67-66-3	Chloroform  	41860000	0.3584	0	0	209.63	35047000	536.4	0
74-87-3	Chloromethane  	29745000	0.353	0	0	175.43	24520000	416.25	0
540-54-5	1-Chloropropane  	39890000	0.37956	0	0	150.35	34862000	503.15	0
75-29-6	2-Chloropropane  	38871000	0.38043	0	0	155.97	33586000	489	0
108-39-4	m-Cresol  	80082000	0.45314	0	0	285.39	63326000	705.85	0
95-48-7	o-Cresol  	71979000	0.40317	0	0	304.19	57135000	697.55	0
106-44-5	p-Cresol  	84942000	0.50234	0	0	307.93	63649000	704.65	0
98-82-8	Cumene  	57660000	0.38939	0	0	177.14	50717000	631	0
460-19-5	Cyanogen  	33840000	0.3707	0	0	245.25	23803000	400.15	0
