CASRN	Tb
100-00-5	515.15
100-01-6	609.15
100-06-1	531.15
100-07-2	535.65
100-09-4	549.65
100-10-7	588
100-12-9	518.65
100-17-4	547.15
100-18-5	483.65
100-20-9	531.15
100-21-0	832
100-22-1	533.15
100-25-4	571.5
100-29-8	556.15
100-34-5	319.15
100-35-6	478.15
100-36-7	417.15
100-37-8	436.15
100-39-0	474.15
100-40-3	401
100-41-4	409.35
100-42-5	418.31
100-44-7	452.55
100-46-9	457.65
100-47-0	464.15
100-48-1	459.15
100-49-2	456.15
100-50-5	437.15
100-51-6	477.85
100-52-7	451.9
100-53-8	468.15
100-54-9	474.15
100-55-0	539.15
100-57-2	399.65
100-60-7	422
100-61-8	469.02
100-63-0	516.65
100-64-1	481.15
100-66-3	426.73
100-68-5	466.15
100-69-6	432.65
100-70-9	497.65
100-71-0	422.55
100-72-1	458.15
100-73-2	422.65
100-74-3	411.65
100-75-4	492.15
100-80-1	444.75
100-81-2	476.65
100-82-3	361.15
100-83-4	513.15
100-84-5	448.65
100-86-7	488.15
100-99-2	359.15
1000-40-4	459.65
1000-49-3	388.15
1000-50-6	412.15
1000-70-0	437.15
1000-86-8	366.35
1000-87-9	358.55
10008-90-9	419.15
10009-70-8	476.15
1001-26-9	468.65
1001-55-4	473.15
1002-16-0	424.15
1002-17-1	477.15
1002-43-3	483.95
1002-69-3	499.02
1002-84-2	612.25
10020-96-9	443.15
10022-50-1	200.75
10024-74-5	569.65
10024-93-8	1873.15
10024-97-2	184.67
10025-67-9	410.15
10025-71-5	601.15
10025-78-2	305
10025-85-1	344.15
10025-87-3	378.65
10025-91-9	493.4
10026-01-4	723.15
10026-02-5	663.15
10026-03-6	464.55
10026-04-7	330
10026-07-0	660.15
10026-08-1	1194.15
10026-10-5	1064.15
10026-11-6	604.15
10026-12-7	527.15
10026-13-8	433
10028-15-6	161.85
10028-17-8	25.04
100295-82-7	416.15
100295-83-8	420.15
100295-85-0	442.15
100296-26-2	440.65
1003-03-8	381.62
1003-04-9	445.43
1003-09-4	423.15
1003-10-7	501.72
1003-14-1	363.5
1003-17-4	365.35
1003-19-6	361.8
1003-29-8	491.15
1003-30-1	382.15
1003-31-2	465.15
1003-38-9	365.65
1003-56-1	562.15
1003-64-1	409.15
1003-78-7	554.15
1003-98-1	494.15
10031-22-8	1165.15
10031-24-0	912.15
10031-82-0	522.15
10031-87-5	435.65
100319-48-0	443.15
10032-13-0	488.15
10032-15-2	476.65
10034-85-2	237.55
10035-10-6	206.45
10036-47-2	198.95
10038-98-9	359.7
1004-36-0	524.15
1004-40-6	519.65
1004-66-6	455.65
10042-29-2	413.15
10042-59-8	491.05
10042-76-9	918.15
10043-52-4	2208.6
10043-92-2	211.45
10049-04-4	284.05
10049-05-5	1573.15
10049-06-6	1773.15
10049-07-7	990.15
10049-14-6	1690.15
10049-17-9	306.95
1005-64-7	471.83
1005-67-0	486.65
1005-93-2	281.15
10051-06-6	272.15
10058-20-5	437.85
1006-06-0	484.15
1006-59-3	491.15
10061-01-5	377.45
10061-02-6	385.15
100651-98-7	445.15
1007-26-7	459.15
1007-32-5	501.15
100700-21-8	391.05
100700-28-5	376.25
10071-60-0	381.15
10075-38-4	403.15
100791-95-5	369.15
1008-76-0	579.15
1008-88-4	545.15
1008-89-5	544.15
100836-62-2	385.15
100836-63-3	435.25
100836-84-8	409.15
10086-64-3	329.05
1009-14-9	518.15
1009-67-2	545.15
1009-93-4	461.15
10099-59-9	399.15
10099-72-6	451.65
101-02-0	633.15
101-17-7	612.15
101-18-8	613.15
101-39-3	521.15
101-40-6	478.15
101-41-7	489.65
101-43-9	483.15
101-48-4	493.15
101-50-8	415.75
101-53-1	595.15
101-54-2	627.15
101-59-7	398.15
101-68-8	609
101-72-4	434.15
101-77-9	671.15
101-79-1	448.15
101-81-5	537.42
101-82-6	550.15
101-83-7	529
101-84-8	531.46
101-93-9	398.95
101-96-2	383.15
101-97-3	500.15
10102-03-1	306.15
10102-06-4	391.15
10102-43-9	121.38
10102-44-0	294.15
10108-61-9	407.65
10108-64-2	1233.15
10112-91-1	656.15
101144-90-5	486.15
1012-72-2	510.43
10124-73-9	386.15
101257-63-0	424.15
101257-71-0	421.15
1013-88-3	555.15
10130-91-3	460.15
10135-38-3	346.15
10137-69-6	475.15
10137-90-3	400.15
10138-10-0	435.15
10138-21-3	391.15
10138-60-0	488.65
10138-62-2	1773.15
10138-63-3	460.15
10138-79-1	495.35
10138-89-3	430.15
10139-47-6	898.15
1014-69-3	618.15
10140-94-0	347.85
10141-22-7	298.15
10143-23-4	437.15
10143-60-9	542.15
10152-76-8	365.15
1016-94-0	623.15
10160-87-9	412.15
101646-02-0	473.15
10165-13-6	345.05
10166-08-2	494.15
101670-43-3	515.15
101672-07-5	404.65
101672-14-4	467.15
101870-06-8	395.15
10192-32-2	663.15
101931-68-4	435.15
101935-28-8	413.15
101947-30-2	262.55
102-04-5	604.15
102-07-8	535.15
102-09-0	579.15
102-13-6	520.15
102-17-0	643.15
102-19-2	359.65
102-24-9	403.15
102-25-0	489.05
102-27-2	494.15
102-29-4	556.15
102-36-3	501
102-45-4	444.15
102-47-6	514.15
102-50-1	521.65
102-52-3	456.15
102-53-4	438.95
102-54-5	522.15
102-56-7	543.15
102-62-5	553.15
102-67-0	356.15
102-69-2	429.65
102-70-5	423.65
102-71-6	608.55
102-76-1	532.15
102-79-4	548.15
102-82-9	487.15
102-83-0	478.15
102-86-3	537.15
102-87-4	721.15
102-88-5	816.15
102-92-1	530.15
102-97-6	473.15
1020-84-4	498.05
10203-08-4	513.15
10203-28-8	525.15
10210-64-7	543.15
10212-74-5	467.15
10213-74-8	397.5
102191-92-4	439.15
102207-73-8	363.15
10222-95-4	494.15
10226-29-6	489.15
102272-30-0	367.65
10229-10-4	428.65
10235-09-3	414.25
10236-14-3	408.15
102370-18-3	455.15
1024-65-3	573.15
10241-05-1	541.15
10250-47-2	421.15
10256-92-5	394.9
102561-41-1	514.15
102561-42-2	462.65
102561-47-7	568.15
10259-22-0	533.65
10276-09-2	458.15
10283-15-5	461.15
102831-44-7	491.15
102871-67-0	560.15
10292-98-5	486.15
10294-33-4	364.15
10294-34-5	285.65
10294-48-1	355.15
10294-70-9	987.15
10297-38-8	391.15
103-08-2	498
103-09-3	472.92
103-11-7	489.15
103-18-4	483.15
103-23-1	690.15
103-25-3	511.65
103-28-6	501.15
103-29-7	553.65
103-30-0	579.65
103-32-2	579.65
103-33-3	566.15
103-36-6	544.15
103-37-7	512.15
103-38-8	518.15
103-45-7	505.75
103-48-0	523.15
103-50-4	561.45
103-53-7	480.15
103-54-8	536.7
103-56-0	545.15
103-58-2	544.75
103-59-3	402.15
103-61-7	457.55
103-63-9	492.15
103-64-0	384.15
103-65-1	432.39
103-67-3	453.65
103-69-5	476.15
103-70-8	544.15
103-71-9	439.43
103-72-0	494.15
103-73-1	443.15
103-75-3	405.15
103-76-4	519.15
103-79-7	489.65
103-82-2	538.65
103-83-3	454.15
103-84-4	576.95
103-89-9	580.15
103-93-5	472.25
103-94-6	305.35
103-95-7	543.15
10307-61-6	405.15
10308-84-6	533.15
10309-50-9	486.15
10309-79-2	275.65
10309-97-4	374.15
103095-51-8	587.65
10312-83-1	365.15
10315-59-0	414.15
10315-89-6	433.65
10315-98-7	454.15
10316-00-4	533.65
10318-23-7	494.65
10321-71-8	490.15
10324-58-0	471.35
10327-08-9	476.65
103302-38-1	528.15
10331-57-4	524.65
103322-56-1	487.15
1034-01-1	535.65
10342-97-9	385.15
10343-99-4	479.15
10353-53-4	393.15
10356-92-0	368.65
10359-64-5	385.15
