CASRN	Chemical	Hvap298
100-18-5	1,4-diisopropylbenzene 	56500
100-36-7	2-diethylaminoethylamine 	45800
100-37-8	N,N-diethylethanolamine 	55500
100-39-0	benzylbromide 	52500
100-41-4	ethylbenzene 	42300
100-42-5	styrene 	43500
100-44-7	benzyl chloride 	50000
100-46-9	benzylamine 	54600
100-51-6	benzyl alcohol 	64200
100-52-7	benzaldehyde 	49500
100-53-8	benzenemethanethiol 	56600
100-64-1	cyclohexanone oxime 	63100
100-66-3	anisole 	43900
100-68-5	methyl phenyl sulfide 	52500
100-71-0	2-ethylpyridine 	44700
100-74-3	N-ethylmorpholine 	42100
1000-63-1	butyl tert-butyl ether 	42400
1002-69-3	1-chlorodecane 	64000
1002-84-2	pentadecanoic acid 	116600
1003-03-8	cyclopentylamine 	40200
1003-31-2	2-thiophenecarbonitrile 	49500
1003-64-1	ethylidenecyclohexane 	42000
1008-88-4	3-phenylpyridine 	66500
10086-64-3	1-fluoro-2-methylbutane 	30700
1009-89-5	2-phenylpyridine 	68600
101-41-7	methyl phenylacetate 	57400
101-81-5	diphenylmethane 	66500
101-82-6	2-benzylpyridine 	69900
101-84-8	diphenyl ether 	66100
101-97-3	phenylacetic acid, ethyl ester 	62600
10100-95-5	isobutyl tert-amyl ether 	46300
1012-72-2	1,4-di-tert-butylbenzene 	62500
1013-88-3	benzophenone imine 	75700
1014-60-4	1,3-di-tert-butylbenzene 	59600
1014-70-6	2-methylthio-4,6-bis(ethylamino)-1,3,5-triazine 	117500
10199-67-4	1-benzylpyrazole 	73800
102-04-5	1,3-diphenylacetone 	84600
102-09-0	diphenyl carbonate 	80900
102-25-0	1,3,5-triethylbenzene 	59200
102-27-2	N-ethyl-3-toluidine 	60000
102-69-2	tripropylamine 	46200
102-71-6	triethanolamine 	105900
102-76-1	glycerol triacetate 	83500
102-82-9	tributylamine 	62700
10222-95-4	1,2,4-trimethyl-5-isopropylbenzene 	64900
10250-45-0	2,6-dimethyl-2-heptanol acetate 	56400
10250-48-3	methyl tert-butylacetate 	44200
1027080-67-6	3,3-dimethylbutanoic acid, 4-methylcyclohexyl ester 	64100
103-30-0	trans 1,2-diphenylethylene 	79700
103-45-7	acetic acid, phenethyl ester 	67400
103-65-1	propylbenzene 	45900
103-69-5	N-ethylaniline 	58300
103-71-9	phenyl isocyanate 	45800
103-73-1	ethoxybenzene 	50900
103-76-4	N-(hydroxyethyl)piperazine 	78800
103-79-7	benzyl methyl ketone 	54900
103-82-2	phenylacetic acid 	79100
103-83-3	N,N-dimethylbenzylamine 	49800
103-84-4	acetanilide 	82100
103-89-9	4-(acetylamino)toluene 	86200
103-95-7	p-isopropyl-α-methylhydrocinnamaldehyde 	72600
103346-18-5	(E) 6-hexadecenal 	88500
10339-60-3	(E) 3-decen-1-ol 	78800
10339-62-5	(E) 4-decen-1-ol 	80300
10340-22-4	(Z) 3-decen-1-ol 	78700
10378-01-5	(Z) 9-hexadecen-1-ol 	110600
104-46-1	anethole 	61900
104-51-8	butylbenzene 	50500
104-55-2	3-phenyl-2-propenal 	62400
104-61-0	gamma-nonalactone 	70300
104-63-2	N-benzylethanolamine 	74500
104-72-3	decylbenzene 	79000
104-76-7	2-ethyl-1-hexanol 	68500
104-78-9	N,N-diethyl-1,3-propanediamine 	51600
104-92-7	4-bromoanisole 	54500
10431-98-8	2-ethyl-2-oxazoline 	44200
10486-19-8	tridecanal 	73300
105-05-5	1,4-diethylbenzene 	52500
105-21-5	gamma-heptalactone 	62300
105-30-6	(dl) 2-methyl-1-pentanol 	59400
105-34-0	methyl cyanoacetate 	66200
105-37-3	ethyl propanoate 	39300
105-39-5	ethyl chloroacetate 	49500
105-53-3	diethyl malonate 	61300
105-54-4	ethyl butyrate 	42800
105-57-7	1,1-diethoxyethane 	39600
105-58-8	diethyl carbonate 	44000
105-67-9	2,4-dimethylphenol 	65300
105-68-0	isopentyl propionate 	44100
105-72-6	ethylene glycol dibutyrate 	73200
105-99-7	dibutyl adipate 	92700
10500-57-9	5,6,7,8-tetrahydroquinoline 	57600
10557-44-5	cis 2,5-dimethyl-3-hexene 	37200
10564-47-3	(trifluoromethyl)imidosulfurous dichloride 	34600
10574-36-4	cis 3-methyl-2-hexene 	35600
10574-37-5	2,3-dimethylpent-2-ene 	35000
10575-87-8	1,2-dichloroheptane 	53200
10599-70-9	3-acetyl-2,5-dimethylfuran 	57500
106-02-5	1,15-pentadecanolide 	79100
106-18-3	butyl dodecanoate 	89200
106-19-4	dipropyl adipate 	83400
106-26-3	neral 	60200
106-32-1	ethyl octanoate 	60800
106-33-2	ethyl dodecanoate 	79700
106-36-5	propyl propanoate 	43300
106-42-3	1,4-dimethylbenzene 	42500
106-43-4	4-chlorotoluene 	46000
106-46-7	1,4-dichlorobenzene 	51300
106-47-8	4-chloroaniline 	57300
106-48-9	4-chlorophenol 	64400
106-49-0	p-toluidine 	58600
106-52-5	1-methyl-4-piperidinol 	80800
106-58-1	1,4-dimethylpiperazine 	42500
106-65-0	dimethyl succinate 	61500
106-70-7	methyl hexanoate 	48100
106-73-0	methyl heptanoate 	52600
106-79-6	dimethyl sebacate 	86400
106-91-2	glycidyl methacrylate 	60900
106-93-4	1,2-dibromoethane 	41900
106-94-5	1-bromopropane 	31900
106-97-8	butane 	22400
106-98-9	1-butene 	20100
106-99-0	1,3-butadiene 	21100
10604-60-1	(1-iodoethyl)benzene 	59900
106463-48-3	(Z) 5-hexadecen-1-ol 	110900
1067-08-9	3-ethyl-3-methylpentane 	38000
1067-20-5	3,3-diethylpentane 	43100
1068-19-5	4,4-dimethylheptane 	42200
1068-87-7	2,4-dimethyl-3-ethylpentane 	42300
1069-53-0	2,3,5-trimethylhexane 	41400
107-00-6	1-butyne 	23700
107-03-9	1-propanethiol 	31900
107-05-1	3-chloro-1-propene 	29900
107-06-2	1,2-dichloroethane 	35000
107-07-3	2-chloroethanol 	48300
107-08-4	1-iodopropane 	36300
107-10-8	propylamine 	31300
107-12-0	propionitrile 	36900
107-13-1	acrylonitrile 	31600
