CASRN	Tm
100-00-5	356.7
100-01-6	421.15
100-02-7	386.15
100-03-8	372.15
100-06-1	311.15
100-07-2	295.15
100-09-4	457.65
100-10-7	347.65
100-11-8	372.15
100-12-9	260.85
100-13-0	301.15
100-14-1	344.65
100-15-2	425.15
100-17-4	325.15
100-18-5	256.15
100-19-6	353.15
100-20-9	355.4
100-21-0	573.15
100-22-1	323.65
100-23-2	437.65
100-25-4	447.15
100-26-5	527.15
100-27-6	336.15
100-28-7	330.65
100-29-8	332.15
100-32-3	455.15
100-35-6	483.65
100-37-8	203.15
100-39-0	270.15
100-40-3	168.2
100-41-4	178.2
100-42-5	242.15
100-44-7	230.15
100-46-9	273.15
100-47-0	260.15
100-48-1	351.15
100-49-2	230.15
100-50-5	275.15
100-51-6	258.15
100-52-7	216.9
100-53-8	243.55
100-54-9	323.15
100-55-0	266.4
100-60-7	265.15
100-61-8	216.15
100-63-0	292.45
100-64-1	362.65
100-65-2	356.65
100-66-3	236.15
100-68-5	258.15
100-69-6	223.15
100-70-9	301.15
100-71-0	210.1
100-74-3	210.15
100-76-5	431.15
100-79-8	246.15
100-80-1	187.15
100-83-4	378.15
100-84-5	226.15
100-86-7	297.15
100-88-9	442.65
100-91-4	386.15
1000-70-0	250.15
1000-86-8	159.15
10004-44-1	359.65
1001-53-2	320.15
1002-43-3	215.15
1002-57-9	468.15
1002-69-3	242.0
1002-84-2	325.45
1002-89-7	295.15
10022-60-3	258.15
10024-97-2	182.345
10025-78-2	146.4
10025-87-3	274.4
10026-04-7	203.15
10026-13-8	421.15
10028-15-6	80.15
1003-03-8	188.15
1003-29-8	317.9
1003-56-1	413.15
1003-67-4	457.15
1003-68-5	458.15
1003-73-2	311.65
1003-78-7	270.15
1003-90-3	381.15
10030-73-6	273.35
10031-82-0	287.15
10035-10-6	186.65
1004-36-0	406.15
1004-38-2	523.15
1004-77-9	345.65
10040-95-6	339.15
10041-02-8	479.15
10041-06-2	389.15
10043-35-3	444.05
1005-39-6	462.15
1005-67-0	216.05
1006-31-1	366.65
1006-41-3	441.15
1006-94-6	328.65
1006-99-1	342.15
10061-02-6	189.15
1007-15-4	329.15
10075-50-0	364.15
10075-85-1	528.15
100784-20-1	449.15
1008-76-0	309.65
1008-88-4	437.15
1008-89-5	268.15
10088-95-6	494.65
1009-11-6	364.15
1009-14-9	263.95
1009-61-6	385.15
1009-67-2	310.15
1009-93-4	263.15
10097-32-2	265.925
101-01-9	418.4
101-02-0	296.15
101-05-3	432.9
101-10-0	387.15
101-14-4	383.15
101-16-6	346.15
101-17-7	347.15
101-18-8	354.65
101-20-2	528.75
101-21-3	314.15
101-25-7	478.9
101-27-9	348.15
101-33-7	173.15
101-37-1	300.15
101-38-2	339.65
101-42-8	406.65
101-53-1	356.65
101-54-2	347.15
101-55-3	291.51
101-57-5	479.15
101-59-7	417.15
101-60-0	633.15
101-61-1	362.4
101-64-4	375.15
101-68-8	310.75
101-70-2	375.15
101-71-3	421.65
101-72-4	348.65
101-73-5	352.15
101-75-7	359.65
101-76-8	328.65
101-77-9	364.4
101-79-1	375.15
101-80-4	464.15
101-81-5	298.25
101-82-6	284.4
101-83-7	271.65
101-84-8	300.65
101-90-6	311.4
