CAS	Chemical	MW	Tc	A	B	C	D	E
7440-63-3	Xenon	131.29	289.73	4.69619	6.10287	-3.768319	-1.078236	0.917114
7439-90-9	Krypton	83.8	209.48	4.53207	6.22827	-3.542952	-1.700226	4.022385
7440-37-1	Argon	39.95	150.69	4.84261	5.03919	-2.218775	-2.402365	7.051085
132259-10-0	Air	28.96	132.53	0.28652	11.97235	-1.145111	-8.064787	14.645081
7727-37-9	Nitrogen	28.01	126.19	5.07184	5.47148	-2.581923	-2.026983	5.480425
7782-44-7	Oxygen	32	154.6	4.97014	5.30204	-2.421192	-2.154911	3.47227
7704-34-9	Sulfur	32.06	1312.95	0.83391	0.29462	0.000023	0	0
7782-41-4	Fluorine	38	144.41	4.47837	8.72648	-6.584538	0.389714	0.579951
7782-50-5	Chlorine	70.91	416.96	5.11396	5.49446	-1.638879	-2.194771	4.360453
10097-32-2	Bromine	159.82	584.15	7.49419	0.92568	-0.113163	-0.025698	-0.19736
7553-56-2	Iodine	253.8	819.15	6.56592	2.00206	0.000206	0	0
7664-39-3	Hydrogen fluoride	20.01	461.15	-5.18098	64.63309	-88.76946	38.475692	-19.21387
7647-01-0	Hydrogen chloride	36.46	324.65	7.67088	0.20254	0.928667	-1.253068	4.544424
10035-10-6	Hydrogen bromide	80.92	363.15	3.64108	7.03187	1.546295	-8.296772	2.449759
10034-85-2	Hydrogen iodide	127.91	423.85	6.52572	1.44631	-0.100655	-0.009376	-0.219261
74-90-8	Hydrogen cyanide	27.02	456.65	14.93438	-6.80314	-0.045868	-0.065004	-0.145955
7732-18-5	Water	18.02	647.1	6.85307	7.43804	-2.937595	-3.282093	8.397378
7783-06-4	Hydrogen sulfide	34.08	373.1	4.03399	11.42509	-8.776318	1.195807	0.952448
7664-41-7	Ammonia	17.03	405.5	5.74477	7.28288	-2.428744	-2.261942	2.909378
10102-43-9	Nitric oxide	30.01	180.15	9.22523	6.9252	-0.413269	-5.159373	97.203137
10102-44-0	Nitrogen dioxide	46.01	431.15	10.54674	37.1661	-51.619512	10.653997	68.680656
10024-97-2	Nitrous oxide	44.01	309.52	6.47229	3.13505	0.829428	-2.961623	12.969986
10544-72-6	Dinitrogentetroxide	92.01	431.1	17.10093	9.30852	-21.253959	-1.535179	102.67902
460-19-5	Cyanogen	52.04	400.15	9.34416	-2.91283	7.147434	-6.24098	9.06388
7719-12-2	Phosphorus trichloride	137.33	563.15	5.00588	9.40431	-6.091275	0.740321	0.09791
506-77-4	Cyanogen chloride	61.47	449.05	9.94103	0.20022	-0.085934	-0.000108	-0.000005
7440-21-3	Silane	32.12	269.75	12.04169	-12.66485	9.554284	-3.383685	18.437953
10026-04-7	Tetrachlorosilane	169.9	507.05	5.69074	7.26313	-0.726791	-5.904069	18.53125
630-08-0	Carbon monoxide	28.01	132.86	5.36544	4.61398	-1.500151	-2.362494	7.223824
124-38-9	Carbon dioxide	44.01	304.13	6.29356	5.58825	-1.150946	-2.168773	31.513859
504-64-3	Carbon suboxide	68.03	427.58	3.85706	12.51979	-1.466541	-12.059981	18.935744
463-58-1	Carbonyl sulfide	60.07	378.77	5.2639	6.82633	-4.049718	-0.902566	4.71917
75-44-5	Phosgene	98.92	455.05	1.27695	26.84919	-25.323901	7.711919	0.246138
75-15-0	Carbon disulfide	76.14	552.05	5.11988	10.62906	-9.288902	-0.698735	15.38654
7446-09-5	Sulfur dioxide	64.06	430.64	6.43046	6.41093	-2.662978	-0.98606	6.489831
7446-11-9	Sulfur trioxide	80.06	490.85	1.55618	23.48861	-9.147534	3.529366	-11.225329
7791-25-5	Sulfuryl chloride	134.97	545.05	4.81312	9.3757	-4.943116	1.604302	-0.564284
2551-62-4	Sulfur hexafluoride	146.05	318.88	6.26231	6.40501	-2.747029	-2.003031	-72.803197
74-93-1	Methyl mercaptan	48.11	469.95	6.55525	4.23299	-2.363875	0.468305	-0.180912
75-08-1	Ethyl mercaptan	62.13	499.15	6.80697	4.46965	-1.818387	-0.923775	2.612589
75-18-3	Dimethyl sulfide	62.13	503	6.69172	5.20665	-3.208643	0.81928	-0.480074
352-93-2	Diethyl sulfide	90.19	557.15	7.32192	5.56252	-3.142609	0.674413	-0.388006
110-02-1	Thiophene	84.14	579.35	6.2686	6.29557	-3.767889	0.917693	-0.585746
593-53-3	Fluoromethane (R41)	34.03	317.28	5.34432	8.19605	-4.716205	-0.915983	4.082077
75-10-5	Difluoromethane (R32)	52.02	351.26	6.31467	6.57339	-2.449336	-1.596805	4.969907
75-46-7	Trifluoromethane (R23)	70.01	299.75	5.33728	10.11434	-6.515737	0.912341	-0.142635
75-73-0	Tetrafluoromethane (R14)	88	227.55	6.90451	4.53442	-2.632334	-0.511569	3.574074
74-87-3	Methyl chloride	50.49	416.25	7.52784	1.79702	-0.314797	-1.088274	3.513993
75-09-2	Methylene chloride	84.93	510.05	5.48913	8.05864	-4.48277	0.992992	-0.43166
67-66-3	Chloroform	119.38	536.45	7.16193	6.32194	-5.851382	2.576553	-2.746384
56-23-5	Carbon tetrachloride	153.82	556.35	6.79262	4.7499	-2.315979	-0.172679	3.053272
