CASRN	Chemical	Formula	Hf_0K	Hf_298K	uncertainty
107-07-3	2-Chloroethanol	ClCH2CH2OH (l)		-315100	540
107-31-3	Methyl formate	HC(O)OCH3 (l)		-386150	590
108-88-3	Toluene	C6H5CH3 (l)	20120	12360	360
110-54-3	n-Hexane	C6H14 (l)	-179830	-198490	480
111-65-9	Octane	C8H18 (l)	-226610	-249730	790
121-46-0	Norbornadiene	(CHCH)CHCH2CH(CHCH) (l)		179130	1020
124-40-3	Dimethylamine	(CH3)2NH (l)		-41100	730
142-82-5	Heptane	C7H16 (l)	-201450	-223910	740
540-51-2	2-Bromoethanol	BrCH2CH2OH (l)		-275000	470
540-84-1	2,2,4-Trimethylpentane	(CH3)2CHCH2C(CH3)3 (l)	-224400	-258800	1500
56-23-5	Tetrachloromethane	CCl4 (l)	-110680	-130090	750
593-53-3	Methyl fluoride	CH3F (l)		-246850	500
593-95-3	Dibromophosgene	COBr2 (l)		-144260	960
624-76-0	2-Iodoethanol	ICH2CH2OH (l)		-207200	2400
64-17-5	Ethanol	CH3CH2OH (l)	-269270	-277030	220
64-19-7	Acetic acid	CH3C(O)OH (l)	-484000	-483580	200
67-56-1	Methanol	CH3OH (l)	-235060	-238400	180
67-66-3	Chloroform	CCl3H (l)		-133950	640
74-83-9	Methyl bromide	CH3Br (l)	-56710	-59720	200
74-87-3	Methyl chloride	CH3Cl (l)	-106480	-102510	210
74-88-4	Methyl iodide	CH3I (l)		-12190	190
74-89-5	Methylamine	CH3NH2 (l)		-44690	580
74-96-4	Ethyl bromide	CH3CH2Br (l)	-55590	-91120	290
75-03-6	Ethyl iodide	CH3CH2I (l)	-9300	-39160	380
75-09-2	Methylene chloride	CH2Cl2 (l)		-123270	610
75-10-5	Methylene fluoride	CH2F2 (l)		-467310	480
75-25-2	Bromoform	CBr3H (l)		1300	1300
75-36-5	Acetyl chloride	CH3C(O)Cl (l)		-272120	340
75-46-7	Fluoroform	CF3H (l)		-704310	570
75-50-3	Trimethylamine	(CH3)3N (l)		-45740	620
7664-39-3	Hydrogen fluoride	HF (l)		-302430	170
7732-18-5	Water	H2O (l)		-285825	27
7790-99-0	Iodine monochloride	ICl (l)		-24048	63
7803-57-8	Hydrazine monohydrate	(H2NNH2)(H2O) (l)		-242570	190
