CAS	name	Hf(g)	S0(g)
13475-82-6	2,2,4,6,6-pentamethylheptane	-315580	542.73
1081-75-0	1,3-diphenylpropane	123700	539.42
62184-76-3	1-undecylcyclopentene	-206700	
16745-94-1	3,4-dimethyl-1-hexene	-93000	445.91
616-44-4	3-methylthiophene	82600	321.32
13400-13-0	cesium fluoride	-356480	243.29
66214-10-6	dimethylnonacosylamine	-615640	1379.6
5399-02-0	heptadecanenitrile	-229330	824.3
20687-01-8	1-iodo-2-methyl-1-propene	58410	356.69
62108-55-8	1-bromotetracontane	-842600	1765.1
7783-58-6	germanium (IV) fluoride	-1190200	301.84
19550-07-3	2,5-dimethyl-3-hexanol	-376520	489.94
4926-76-5	1-methyl-trans-3-ethylcyclohexane	-208000	390.48
26718-82-1	heneicosylcyclohexane	-546290	1177.2
110-56-5	1,4-dichlorobutane	-179000	389.42
6161-67-7	4-methyl-3-ethylphenol	-181340	420.46
7440-06-4	platinum	565300	191.86
66359-40-8	ethyl heptadecyl sulfide	-393130	962.26
106-67-2	4-methyl-2-ethyl-1-pentanol	-371240	499.46
62155-14-0	1,1-diphenyltridecane	-123000	
108-88-3	toluene	50200	321.08
62155-08-2	2-eicosanethiol	-426700	994.77
7705-07-9	titanium (III) chloride	-539320	316.86
6108-61-8	cis-2,cis-4-hexadiene	47400	357.13
62183-67-9	3,6-dimethyl-3-ethyloctane	-302200	588.11
62183-96-4	2,2-dimethyl-4-ethyloctane	-303500	583.75
4810-09-7	3-methyl-1-heptene	-90300	446.79
1617-32-9	trans-3-pentenoic acid	-369100	432.47
2384-85-2	3-decyne	22570	517.27
112-37-8	undecanoic acid	-619000	643.12
66577-39-7	1,2-dimethyl-7-ethylnaphthalene	51300	509.67
62126-98-1	1,1,1-trifluorotridecane	-908730	718.6
66256-50-6	3,5,5-trimethyl-3-heptanol	-419460	518.67
4628-21-1	1-chloro-cis-2-butene	-24410	338.65
66719-32-2	4,5-dimethyl-1-octanol	-412520	577.37
62184-56-9	2,3,4-trimethylnonane	-296100	594.49
89-83-8	5-methyl-2-isopropylphenol	-207260	449.88
628-29-5	methyl butyl sulfide	-101900	411.83
629-80-1	hexadecanal	-456400	814.56
66213-85-2	1-fluoro-cis-2-pentene	-225420	375.88
66374-78-5	cis-1-chloro-1-pentadecene	-251450	767.13
77-99-6	trimethylolpropane	-640190	489.26
20710-38-7	3-methyl-trans-2-hexene	-84500	404.11
354-56-3	pentachlorofluoroethane	-325100	392.53
1638-26-2	1,1-dimethylcyclopentane	-138200	359.6
5634-30-0	dodecylcyclopentane	-333600	766.23
20291-61-6	methyl heptyl sulfide	-163000	529.63
27911-72-4	tritetradecylamine	-842680	1808.1
661-53-0	2-fluoro-2-methylbutane	-351390	343.59
4773-83-5	1,2,3-trimethylindene	51700	415.81
13595-30-7	vanadium (IV) bromide	-336800	
66213-89-6	2-fluoro-1-pentene	-227000	373.7
4074-46-8	4-methyl-2-propylphenol	-201980	459.41
