CASRN	Name	Tflash	Tautoignition	LFL	UFL
75-07-0	Acetaldehyde 	235.15	448.15	0.04	0.6
64-19-7	Acetic Acid 	312.15	699.15		0.199
108-24-7	Acetic Anhydride 	322.15	589.15	0.027	0.103
67-64-1	Acetone 	253.15	738.15	0.025	0.128
75-86-5	Acetone Cyanohydrin 	347.15	961.15	0.022	0.12
75-05-8	Acetonitrile 	279.15	797.15	0.03	0.16
74-86-2	Acetylene 		578.15	0.025	1
107-02-8	Acrolein (Inhibited) 		508.15	0.028	0.31
79-10-7	Acrylic Acid 	327.15	711.15	0.024	0.08
107-13-1	Acrylonitrile 	273.15	754.15	0.03	0.17
111-69-3	Adiponitrile 	366.15	823.15		
107-18-6	Allyl Alcohol 	295.15	651.15	0.025	0.18
107-05-1	Allyl Chloride 	241.15	758.15	0.029	0.111
106-92-3	Allyl Glycidyl Ether 		330.15		
98-83-9	Alpha-Methyl Styrene 		847.15	0.008	0.11
628-63-7	n-Amyl Acetate 	298.15	633.15	0.011	0.075
626-38-0	sec-Amyl Acetate 	296.15		0.011	0.075
7664-41-7	Ammonia 		924.15	0.15	0.28
62-53-3	Aniline 	343.15	888.15	0.012	0.083
71-43-2	Benzene 	262.15	771.15	0.012	0.078
98-87-3	Benzyl Chloride 		858.15	0.011	
106-96-7	Bromopropyne 	283.15	597.15	0.03	
106-97-8	n-Butane 		561.15	0.019	0.085
106-99-0	1,3-Butadiene 		693.15	0.02	0.115
71-36-3	1-Butanol 	309.15	616.15	0.014	0.112
78-92-2	Butyl alcohol (s) (butanol-2) 	296.95	678.15	0.017	0.098
109-73-9	Butylamine 	261.15	585.15	0.017	0.098
25167-67-3	Butylene 		658.15	0.016	0.1
123-72-8	n-Butyraldehyde 	261.15	491.15	0.019	0.125
123-86-4	n-Butyl Acetate 	295.15	694.15	0.017	0.076
105-46-4	sec-Butyl Acetate 	265.15		0.017	0.098
540-88-5	tert-Butyl Acetate 			0.017	0.098
141-32-2	n-Butyl Acrylate (Inhibited) 	322.15	566.15	0.017	0.099
109-79-5	Butyl Mercaptan 	275.15			
107-92-6	n-Butyric Acid 	345.15	716.15	0.02	0.1
75-15-0	Carbon Disulfide 	243.15	363.15	0.013	0.5
630-08-0	Carbon Monoxide 		882.15	0.125	0.74
107-20-0	Chloroacetaldehyde 	361.15			
108-90-7	Chlorobenzene 	302.15	866.15	0.013	0.096
126-99-8	Chloroprene 	253.15		0.04	0.2
1319-77-3	Cresol 	354.15	832.15	0.011	
4170-30-3	Crotonaldehyde 	286.15	505.15	0.021	0.155
98-82-8	Cumene 	309.15	697.15	0.009	0.065
110-82-7	Cyclohexane 	256.15	518.15	0.013	0.08
108-93-0	Cyclohexanol 	341.15	573.15		
108-94-1	Cyclohexanone 	317.15	693.15	0.011	0.094
110-83-8	Cyclohexene 	267.15	517.15	0.012	
75-19-4	Cyclopropane 		776.15	0.024	0.104
99-87-6	p-Cymene 	320.15	709.15	0.007	0.056
872-05-9	Decene 		508.15		
112-30-1	Decyl Alcohol 	355.15	561.15		
123-42-2	Diacetone Alcohol 	337.15	876.15	0.018	0.069
25167-70-8	Di-Isobutylene 	275.15	664.15	0.008	0.048
108-83-8	Di-Isobutyl Ketone 	333.15	669.15	0.008	0.071
95-50-1	o-Dichlorobenzene 	339.15	920.15	0.022	0.092
3583-47-9	1,4-Dichloro-2,3 Epoxybutane 			0.019	0.085
1300-21-6	1,1-Dichloroethane 		711.15	0.062	0.16
156-59-2	1,2-Dichloroethylene	370.15	733.15	0.056	0.128
594-72-9	1,1-Dichloro-1- Nitroethane 	349.15			
10061-02-6	1,3-Dichloropropene	308.15		0.053	0.145
77-73-6	Dicyclopentadiene 	305.15	776.15		
109-89-7	Diethylamine 	245.15	585.15	0.018	0.101
100-37-8	Diethylaminoethanol	333.15	593.15		
25340-17-4	Diethyl Benzene 	330.15	668.15		
60-29-7	Diethyl Ether (Ethyl Ether) 	228.15	433.15	0.019	0.36
112-34-5	Diethylene Glycol Monobutyl Ether 	351.15	501.15	0.009	0.246
111-77-3	Diethylene Glycol Monomethyl Ether 	366.15	514.15		
68-12-2	Dimethyl Formamide 	331.15	728.15	0.022	0.152
77-78-1	Dimethyl Sulfate 	356.15	461.15		
124-40-3	Dimethylamine 		673.15	0.028	0.144
75-83-2	2,2-Dimethylbutane 	225.15	678.15		
79-29-8	2,3-Dimethylbutane 		669.15		
1071-26-7	3,3-Dimethylheptane 		598.15		
584-94-1	2,3-Dimethylhexane 		711.15		
565-59-3	2,3-Dimethylpentane 		608.15		
142-84-7	Di-N-Propylamine 	290.15	572.15		
123-91-1	1,4-Dioxane 	285.15	453.15	0.02	0.22
138-86-3	Dipentene 	318.15	510.15	0.007	0.061
