CASRN	Agent [CAS No.]	Time-Weighted Average Limit (TWA)	Short-Term Exposure Limit (STEL)	Ceiling Limit (C)	Notations	MW
						
34590-94-8	(2-Methoxymethylethoxy) propanol (DPGME) [34590-94-8] 	100 ppm	150 ppm		Skin	
106-94-5	1-Bromopropane [106-94-5] 	10 ppm	 			122.99168
600-25-9	1-Chloro-1-nitropropane [600-25-9] 	2 ppm	 			123.53824
127-00-4; 78-89-7	1-Chloro-2-propanol [127-00-4] and 2-Chloro-1-propanol [78-89-7]	1 ppm	 		Skin	94.54008;94.54008
592-41-6	1-Hexene [592-41-6] 	50 ppm	 			84.15948
107-98-2	1-Methoxy-2-propanol (PGME) [107-98-2] 	100 ppm	150 ppm			90.121
90-12-0; 91-57-6	1-Methyl naphthalene [90-12-0] and 2-Methyl naphthalene [91-57-6]	0.5 ppm	 		Skin 	142.1971;142.1971
108-03-2	1-Nitropropane [108-03-2] 	25 ppm	 			89.09318
594-72-9	1,1-Dichloro-1-nitroethane [594-72-9] 	2 ppm	 			143.95672
75-34-3	1,1-Dichloroethane [75-34-3] 	100 ppm	 			98.95916
57-14-7	1,1-Dimethylhydrazine [57-14-7] 	0.01 ppm	 		Skin	60.09832
76-11-9	1,1,1,2-Tetrachloro-2,2-difluoroethane [76-11-9] 	100 ppm	 			203.830206
76-13-1	1,1,2-Trichloro-1,2,2-trifluoroethane [76-13-1] 	1000 ppm	1250 ppm			187.37561
79-00-5	1,1,2-Trichloroethane [79-00-5] 	10 ppm	 		Skin	133.40422
79-27-6	1,1,2,2-Tetrabromoethane [79-27-6]	0.1 ppm 	 			345.65328
76-12-0	1,1,2,2-Tetrachloro-1,2-difluoroethane [76-12-0] 	50 ppm	 			203.830206
79-34-5	1,1,2,2-Tetrachloroethane [79-34-5] 	1 ppm	 		Skin	167.84928
540-59-0; 156-59-2; 156-60-5	1,2-Dichloroethylene, All isomers [540-59-0; 156-59-2; 156-60-5]	200 ppm	 			96.94328;96.94328;96.94328
57-55-6	1,2-Propylene glycol [57-55-6]	50 ppm 	 			76.09442
96-18-4	1,2,3-Trichloropropane [96-18-4] 	10 ppm	 		Skin	147.4308
120-82-1	1,2,4-Trichlorobenzene [120-82-1] 	 		5 ppm		181.44702
106-99-0	1,3-Butadiene [106-99-0] 	2 ppm	 			54.09044
96-23-1	1,3-Dichloro-2-Propanol [96-23-1]	 	1 ppm		Skin	128.98514
118-52-5	1,3-Dichloro-5,5-dimethyl hydantoin [118-52-5] 	0.2 mg/m3	0.4 mg/m3			197.01934
542-75-6	1,3-Dichloropropene [542-75-6] 	1 ppm	 		Skin	110.96986
646-06-0	1,3-Dioxolane [646-06-0] 	20 ppm	 			74.07854
2451-62-9	1,3,5-Triglycidyl-s-triazinetrione [2451-62-9] 	0.05 mg/m3	 			297.264
764-41-0	1,4-Dichloro-2-butene [764-41-0] 	0.005 ppm	 		Skin	124.99644
123-91-1	1,4-Dioxane [123-91-1] 	20 ppm	 		Skin	88.10512
124-09-4	1,6-Hexanediamine [124-09-4] 	0.5 ppm	 			116.20464
	140 Degree F Flash Aliphatic Solvent, Type of Stoddard Solvent	525 mg/m3	 			
504-29-0	2-Aminopyridine [504-29-0] 	0.5 ppm	 			94.11454
111-76-2	2-Butoxyethanol (EGBE) [111-76-2]	20 ppm	 			118.17416
112-07-2	2-Butoxyethyl acetate (EGBEA) [112-07-2] 	20 ppm	 			160.21084
532-27-4	2-Chloroacetophenone [532-27-4] 	0.05 ppm	 			154.59358
598-78-7	2-Chloropropionic acid [598-78-7] 	0.1 ppm	 		Skin	108.5236
100-37-8	2-Diethylaminoethanol [100-37-8] 	2 ppm	 		Skin	117.1894
110-80-5	2-Ethoxyethanol (EGEE) [110-80-5] 	5 ppm	 		Skin	90.121
111-15-9	2-Ethoxyethyl acetate (EGEEA) [111-15-9] 	5 ppm	 		Skin	132.15768
149-57-5	2-Ethylhexanoic acid [149-57-5] 	5 mg/m3 	 			144.21144
999-61-1	2-Hydroxypropyl acrylate [999-61-1] 	0.5 ppm	 		Skin	130.1418
109-59-1	2-Isopropoxyethanol [109-59-1] 	25 ppm	 		Skin	104.14758
109-86-4	2-Methoxyethanol (EGME) [109-86-4] 	0.1 ppm	 		Skin	76.09442
110-49-6	2-Methoxyethyl acetate (EGMEA) [110-49-6] 	0.1 ppm	 		Skin	118.1311
12108-13-3	2-Methylcyclopentadienyl manganese tricarbonyl [12108-13-3], as Mn	0.2 mg/m3	 		Skin	218.088125
102-81-8	2-N-Dibutylaminoethanol [102-81-8] 	0.5 ppm	 		Skin	173.29572
79-46-9	2-Nitropropane [79-46-9] 	10 ppm	 			89.09318
122-99-6	2-Phenoxyethanol [122-99-6] 	25 ppm	 		Skin	138.1638
67-63-0	2-Propanol [67-63-0]	200 ppm	400 ppm			60.09502
75-99-0	2,2-Dichloropropionic acid [75-99-0]	5 mg/m3	 			142.96866
94-75-7	2,4-D [94-75-7]	10 mg/m3	 			221.03744
123-54-6	2,4-Pentanedione [123-54-6]	25 ppm	 		Skin	100.11582
93-76-5	2,4,5-T [93-76-5] 	10 mg/m3	 			255.4825
118-96-7	2,4,6-Trinitrotoluene (TNT) [118-96-7] 	0.01 ppm	 		Skin	227.1311
109-55-7	3-(Dimethylamino) propylamine [109-55-7]	0.5 ppm	 		Skin	102.17806
91-94-1	3,3'-Dichlorobenzidine [91-94-1]		 		Skin	253.1272
148-01-6	3,5-Dinitro-o-toluamide [148-01-6] 	1 mg/m3	 			225.15828
92-67-1	4-Aminodiphenyl [92-67-1] 		 		Skin	169.22244
150-76-5	4-Methoxyphenol [150-76-5] 	5 mg/m3	 			124.13722
92-93-3	4-Nitrodiphenyl [92-93-3] 		 		Skin	199.20536
100-40-3	4-Vinyl cyclohexene [100-40-3] 	0.1 ppm	 			108.18088
96-69-5	4,4' Thiobis (6-tert-butyl-m-cresol) [96-69-5] 	1 mg/m3 	 			358.5374
101-14-4	4,4'-Methylene bis(2-chloroaniline) (MBOCA; MOCA®) [101-14-4]	0.0005 ppm	 		Skin	267.15378
101-77-9	4,4'-Methylene dianiline [101-77-9] 	0.04 mg/m3	 		Skin 	198.26366
99-55-8	5-Nitro-o-toluidine [99-55-8]	1 mg/m3 	 			152.15062
75-07-0	Acetaldehyde [75-07-0] 	 		25 ppm		44.05256
64-19-7	Acetic acid [64-19-7] 	10 ppm	15 ppm			60.05196
108-24-7	Acetic anhydride [108-24-7] 	1 ppm	3 ppm			102.08864
67-64-1	Acetone [67-64-1] 	500 ppm	750 ppm			58.07914
75-86-5	Acetone cyanohydrin [75-86-5], as CN 	 		5 mg/m3	Skin 	85.10448
75-05-8	Acetonitrile [75-05-8] 	20 ppm	 		Skin	41.05192
98-86-2	Acetophenone [98-86-2] 	10 ppm	 			120.14852
74-86-2	Acetylene [74-86-2] 					26.03728
50-78-2	Acetylsalicylic acid (Aspirin) [50-78-2] 	5 mg/m3	 			180.15742
107-02-8	Acrolein [107-02-8] 	 		0.1 ppm	Skin	56.06326
79-06-1	Acrylamide [79-06-1] 	0.03 mg/m3 	 		Skin	71.0779
79-10-7	Acrylic acid [79-10-7] 	2 ppm	 		Skin	72.06266
107-13-1	Acrylonitrile [107-13-1]	2 ppm		10 ppm	Skin	53.06262
124-04-9	Adipic acid [124-04-9] 	5 mg/m3	 			146.1412
111-69-3	Adiponitrile [111-69-3] 	2 ppm	 		Skin	108.14112
15972-60-8	Alachlor [15972-60-8]	1 mg/m3 	 			269.7671
309-00-2	Aldrin [309-00-2]	0.05 mg/m3 	 		Skin	364.90992
106-97-8; 75-28-5	Aliphatic hydrocarbon gases Alkane [C1-C4], except Butane, All  isomers Butane, All isomers [106-97-8]; [75-28-5]	800 ppm	 			58.1222;58.1222
107-18-6	Allyl alcohol [107-18-6] 	0.5 ppm	 		Skin	58.07914
107-05-1	Allyl chloride [107-05-1] 	1 ppm	2 ppm		Skin	76.5248
106-92-3	Allyl glycidyl ether (AGE) [106-92-3] 	1 ppm	 			114.1424
2179-59-1	Allyl propyl disulfide [2179-59-1] 	0.5 ppm	 			148.28948
7429-90-5	Aluminum metal [7429-90-5] and insoluble compounds	1 mg/m3 	 			26.981539
61-82-5	Amitrole [61-82-5]	0.2 mg/m3	 			84.07996
7664-41-7	Ammonia [7664-41-7] 	25 ppm	35 ppm			17.03052
12125-02-9	Ammonium chloride fume [12125-02-9] 	10 mg/m3	20 mg/m3			53.49146
3825-26-1	Ammonium perfluorooctanoate [3825-26-1] 	0.01 mg/m3	 		Skin	431.098908
7773-06-0	Ammonium sulfamate [7773-06-0] 	10 mg/m3	 			114.12424
62-53-3	Aniline [62-53-3] 	2 ppm	 		Skin	93.12648
7440-36-0	Antimony [7440-36-0] and compounds, as Sb 	0.5 mg/m3	 			121.76
7803-52-3	Antimony hydride [7803-52-3] 	0.1 ppm	 			121.76
1309-64-4	Antimony trioxide [1309-64-4] production 		 			
86-88-4	ANTU [86-88-4] 	0.3 mg/m3	 		Skin 	202.2755
7440-37-1	Argon [7440-37-1] 					39.948
7440-38-2	Arsenic, elemental arsenic and inorganic compounds [7440-38-2], and organic compounds (only where both inorganic and organic compounds are present), as As.	0.01 mg/m3	0.05 mg/m3			74.9216
7784-42-1	Arsine [7784-42-1] 	0.005 ppm	 			74.9216
1332-21-4; 77536-66-4; 12172-73-5; 77536-67-5; 132207-32-0; 12001-28-4; 77536-68-6	Asbestos - All forms [1332-21-4] Actinolite [77536-66-4] Amosite [12172-73-5] Anthophyllite [77536-67-5] Chrysotile [132207-32-0] Crocidolite [12001-28-4] Tremolite [77536-68-6]		 			;;;;;;
8052-42-4	Asphalt (Bitumen) fume [8052-42-4], as benzene-soluble aerosol	0.5 mg/m3 	 			
1912-24-9	Atrazine [1912-24-9] 	5 mg/m3	 			215.68326
86-50-0	Azinphos-methyl [86-50-0] 	0.2 mg/m3 	 		Skin	317.324342
7440-39-3	Barium [7440-39-3] and soluble compounds, as Ba	0.5 mg/m3	 			137.327
7727-43-7	Barium sulfate [7727-43-7] 	10 mg/m3	 			233.3896
17804-35-2	Benomyl [17804-35-2] 	1 mg/m3 	 			290.31772
56-55-3	Benz[a]anthracene [56-55-3] 		 			228.28788
100-52-7	Benzaldehyde [100-52-7]	 	4 ppm			106.12194
71-43-2	Benzene [71-43-2] 	0.5 ppm	2.5 ppm		Skin	78.11184
92-87-5	Benzidine [92-87-5] 		 		Skin	184.23708
50-32-8	Benzo[a]pyrene [50-32-8] 		 			252.30928
205-99-2	Benzo[b]fluoranthene [205-99-2] 		 			252.30928
