I, J, N
0, -2, 1.4632971213167E-01
0, -1, -8.4548187169114E-01
0, 0, -3.756360367204
0, 1, 3.3855169168385E+00
0, 2, -9.5791963387872E-01
0, 3, 1.5772038513228E-01
0, 4, -1.6616417199501E-02
0, 5, 8.1214629983568E-04
1, -9, 2.8319080123804E-04
1, -7, -6.0706301565874E-04
1, -1, -1.8990068218419E-02
1, 0, -3.2529748770505E-02
1, 1, -2.1841717175414E-02
1, 3, -5.2838357969930E-05
2, -3, -4.7184321073267E-04
2, 0, -3.0001780793026E-04
2, 1, 4.7661393906987E-05
2, 3, -4.4141845330846E-06
2, 17, -7.2694996297594E-16
3, -4, -3.1679644845054E-05
3, 0, -2.8270797985312E-06
3, 6, -8.5205128120103E-10
4, -5, -2.2425281908000E-06
4, -2, -6.5171222895601E-07
4, 10, -1.4341729937924E-13
5, -8, -4.0516996860117E-07
8, -11, -1.2734301741641E-09
8, -6, -1.7424871230634E-10
21, -29, -6.8762131295531E-19
23, -31, 1.4478307828521E-20
29, -38, 2.6335781662795E-23
30, -39, -1.1947622640071E-23
31, -40, 1.8228094581404E-24
32, -41, -9.3537087292458E-26
