CASRN	Name	a	b	Tmin	Tmax
106-42-3	p-Xylene 	30.69	0.1074	286.15	411.15
108-38-3	m-Xylene 	31.23	0.1104	225.25	412.15
95-47-6	o-Xylene 	32.51	0.1101	247.95	418.15
1120-21-4	Undecane 	26.26	0.0901	247.55	469.15
102-69-2	Tripropylamine 	24.58	0.0878	179.65	431.15
603-34-9	Triphenylamine 	46.2	0.0955	398.15	621.15
540-84-1	2,2,4-Trimethylpentane 	20.55	0.0888	165.75	372.35
564-02-3	2,2,3-Trimethylpentane 	22.46	0.0895	160.85	383.15
464-06-2	2,2,3-Trimethylbutane 	20.7	0.0973	248.25	354.05
108-67-8	1,3,5-Trimethylbenzene 	29.79	0.0897	228.45	438.15
95-63-6	1,2,4-Trimethylbenzene 	31.76	0.1025	229.25	442.15
526-73-8	1,2,3-Trimethylbenzene 	30.91	0.104	247.75	449.25
75-50-3	Trimethylamine 	16.24	0.1133	156.15	276.05
76-05-1	Trifluoroacetic acid 	15.64	0.1844	257.85	346.15
122-52-1	Triethyl phosphite 	25.73	0.0878	161.15	429.15
78-40-0	Triethyl phosphate 	31.81	0.0928	217.15	488.15
112-27-6	Triethylene glycol 	47.33	0.088	266.15	558.15
121-44-8	Triethylamine 	22.7	0.0992	158.45	361.95
2437-56-1	1-Tridecene 	28.01	0.0884	260.15	505.95
629-50-5	Tridecane 	27.73	0.0872	268.15	508.15
10025-78-2	Trichlorosilane 	20.43	0.1076	146.15	305.15
88-06-2	2,4,6-Trichlorophenol 	43.13	0.0955	342.15	519.15
79-00-5	1,1,2-Trichloroethane 	37.4	0.1351	236.15	387.15
71-55-6	1,1,1-Trichloroethane 	28.28	0.1242	242.75	347.15
76-03-9	Trichloroacetic acid 	35.4	0.0895	330.65	469.65
75-87-6	Trichloroacetaldehyde 	27.66	0.1197	215.65	370.95
126-73-8	Tributyl phosphate 	28.71	0.0666	194.15	562.15
102-85-2	Tributyl phosphite 	27.57	0.0865	193.15	398.15
102-82-9	Tributylamine 	26.47	0.0831	203.15	489.15
96-11-7	1,2,3-Tribromopropane 	47.99	0.1267	289.65	493.15
620-40-6	Tribenzylamine 	42.41	0.0953	364.15	658.15
104-85-8	p-Tolunitrile 	39.79	0.11	302.65	358.15
620-22-4	m-Tolunitrile 	38.85	0.1013	250.15	483.15
106-49-0	p-Toluidine 	39.58	0.0957	316.95	473.15
108-44-1	m-Toluidine 	40.33	0.0979	242.15	476.15
95-53-4	o-Toluidine 	42.87	0.1094	256.65	473.15
98-59-9	p-Toluenesulfonyl chloride 	42.41	0.0903	340.15	407.15
108-88-3	Toluene 	30.9	0.1189	178.25	383.75
89-83-8	Thymol 	33.95	0.0821	322.15	505.15
110-02-1	Thiophene 	34	0.1328	233.75	357.15
110-01-0	Thiacyclopentane 	38.44	0.1342		
119-64-2	1,2,3,4-Tetrahydronaphthalene 	35.55	0.0954	237.35	480.75
97-99-4	Tetrahydro-2-furanmethanol 	39.96	0.1008	193.15	451.15
78-10-4	Tetraethyl silicate 	23.63	0.0979	190.65	442.15
631-36-7	Tetraethylsilane 	25.22	0.1079	191.15	427.85
78-00-2	Tetraethyl lead 	30.5	0.0969	137.15	358.15
112-72-1	1-Tetradecanol 	32.72	0.0703	312.65	562.15
544-63-8	Tetradecanoic acid 	33.9	0.0932	327.15	523.15
629-59-4	Tetradecane 	28.3	0.0869	278.65	526.75
79-34-5	1,1,2,2-Tetrachloroethane 	38.75	0.1268	202.95	403.65
76-12-0	1,1,2,2-Tetrachlorodifluoro- ethane 	26.13	0.1133	299.15	365.95
79-27-6	1,1,2,2-Tetrabromoethane 	52.37	0.1463	273.15	516.65
110-61-2	Succinonitrile 	53.26	0.1079	327.65	539.15
90-02-8	Salicylaldehyde 	45.38	0.1242	266.15	470.15
91-22-5	Quinoline 	45.25	0.1063	258.15	510.15
123-75-1	Pyrrolidine 	31.48	0.09	215.15	359.65
109-97-7	Pyrrole 	39.81	0.11	249.75	403.15
289-95-2	Pyrimidine 	32.85	0.101	295.15	397.15
110-86-1	Pyridine 	39.82	0.1306	231.55	388.35
289-80-5	Pyridazine 	50.55	0.1036	265.15	481.15
107-19-7	2-Propyn-1-ol 	38.59	0.127	221.35	387.15
74-99-7	Propyne 	14.51	0.1482	170.35	249.95
106-36-5	Propyl propanoate 	26.85	0.1059	197.15	395.65
141-06-0	Propyl pentanoate 	27.72	0.0984	197.25	395.65
627-13-4	Propyl nitrate 	29.67	0.1237	173.15	383.25
644-49-5	Propyl isobutanoate 	25.83	0.1015		408.15
110-74-7	Propyl formate 	26.77	0.1119	180.25	354.05
105-66-8	Propyl butanoate 	27.06	0.1	178.15	416.15
2315-68-6	Propyl benzoate 	36.55	0.1069	221.55	371.15
103-65-1	Propylbenzene 	31.13	0.1075	173.95	432.35
107-10-8	Propylamine 	24.86	0.1243	190.15	315.35
109-60-4	Propyl acetate 	26.6	0.112	180.15	374.75
79-05-0	Propionamide 	39.05	0.0909	352.15	495.35
67-63-0	2-Propanol 	22.9	0.0789	183.65	355.55
71-23-8	1-Propanol 	25.26	0.0777	146.15	370.35
79-09-4	Propanoic acid 	28.68	0.0993	252.65	414.25
75-33-2	2-Propanethiol 	24.26	0.1174	142.15	325.75
107-03-9	1-Propanethiol 	27.38	0.1272	160.15	341.15
107-12-0	Propanenitrile (propionitrile) 	29.63	0.1153	180.35	370.35
504-63-2	1,3-Propanediol 	47.43	0.0903	246.15	487.15
110-89-4	Piperidine 	31.79	0.1153	262.15	379.15
