CAS	Chemical	C1	C2	C3	C4	Tmin	Tmax
75-07-0	Acetaldehyde  	3.7272E-07	1.8129	0	0	273.15	994
60-35-5	Acetamide  	0.00013195	0.97	728.3	0	494.3	1000
64-19-7	Acetic acid  	1.691E-06	1.6692	658	-95400	294.7	686.88
108-24-7	Acetic anhydride  	0.00042004	0.8066	439.37	142620	412.7	1000
67-64-1	Acetone  	-26.8	0.9098	-126500000	0	329.44	1000
75-05-8	Acetonitrile  	4.901E-08	2.1091	0	0	354.75	994.75
74-86-2	Acetylene  	7.5782E-05	1.0327	-36.227	31432	189.35	1000
107-02-8	Acrolein  	0.024098	0.3285	1325.3	577830	325.84	1000
79-10-7	Acrylic acid  	0.0009265	0.7035	627.58	112460	414.15	1000
107-13-1	Acrylonitrile  	0.0013784	1.2093	50594	0	350.5	990.5
132259-10-0	Air  	0.00031417	0.7786	-0.7116	2121.7	70	2000
7664-41-7	Ammonia  	9.6608E-06	1.3799	0	0	200	900
100-66-3	Anisole  	0.00059858	0.7527	354.04	241830	426.73	1000
7440-37-1	Argon  	0.000633	0.6221	70	0	90	3273.1
55-21-0	Benzamide  	0.025389	0.28547	1018.3	1228600	563.15	1000
71-43-2	Benzene  	1.652E-05	1.3117	491	0	339.15	1000
108-98-5	Benzenethiol  	0.00047951	0.7818	463.4	189410	442.29	1000
65-85-0	Benzoic acid  	0.0001163	0.9705	740	0	522.4	1000
100-47-0	Benzonitrile  	0.00015674	0.95503	711.32	0	464.15	1000
119-61-9	Benzophenone  	0.0001235	0.9495	778.7	0	579.24	1000
100-51-6	Benzyl alcohol  	0.00023476	0.8639	187.8	193840	478.6	1000
539-30-0	Benzyl ethyl ether  	0.00096451	0.69225	519.99	278930	458.15	1000
100-53-8	Benzyl mercaptan  	0.00015525	0.9446	715.78	0	472.03	1000
92-52-4	Biphenyl  	2.8646E-06	1.4098	-391.35	156820	373.15	1000
7726-95-6	Bromine  	1.0404E-06	1.4685	0	0	300	500
108-86-1	Bromobenzene  	0.00027085	0.7932	278.33	165880	429.24	1000
74-96-4	Bromoethane  	0.00019745	0.8824	647	0	311.5	1000
74-83-9	Bromomethane  	3.8314E-05	1.0484	287.38	0	273	1000
590-19-2	1,2-Butadiene  	8.8221E-05	1.0273	75.316	99063	284	1000
106-99-0	1,3-Butadiene  	-20890	0.9593	-93820000000	0	268.74	1000
106-97-8	Butane  	0.051094	0.45253	5455.5	1979800	272.65	1000
584-03-2	1,2-Butanediol  	-295.44	-0.21463	91602	-760320000	469.57	1000
107-88-0	1,3-Butanediol  	-918.39	-0.21199	334420	-2884200000	481.38	1000
71-36-3	1-Butanol  	0.0011484	0.87647	3253.7	0	370.7	712.94
78-92-2	2-Butanol  	4.5894E-06	1.4484	0	0	372.9	1000
106-98-9	1-Butene  	9.6809E-05	1.1153	781.82	0	266.91	1000
590-18-1	cis-2-Butene  	6.7737E-05	1.0709	-65.881	129390	273.15	1273.15
624-64-6	trans-2-Butene  	7.8576E-05	1.0565	14.63	105920	274.03	1257
123-86-4	Butyl acetate  	5.86E-09	2.376	-401.32	69280	273	800
104-51-8	Butylbenzene  	0.1807	0.0082225	-129.42	1691500	456.46	1000
109-79-5	Butyl mercaptan  	0.00097826	0.78643	1531.5	67115	371.61	1000
513-53-1	sec-Butyl mercaptan 	0.9719	-0.111	1167.2	3163200	358.13	1000
107-00-6	1-Butyne  	3.7269E-05	1.1427	-43.844	79421	281.22	1000
123-72-8	Butyraldehyde  	1138.6	0.95596	7508600000	0	347.95	1000
107-92-6	Butyric acid  	0.002751	0.2734	-314.55	0	436.4	526.32
109-74-0	Butyronitrile  	5.2879E-07	1.6715	-381.9	95650	273	1000
124-38-9	Carbon dioxide  	3.69	-0.3838	964	1860000	194.67	1500
75-15-0	Carbon disulfide  	0.0003467	0.7345	479	0	273.15	1000
630-08-0	Carbon monoxide  	0.00059882	0.6863	57.13	501.92	70	1500
56-23-5	Carbon tetrachloride 	0.00016599	0.94375	1449.6	0	349.79	1000
75-73-0	Carbon tetrafluoride 	9.2004E-05	1.0164	270.83	0	145.1	1000
7782-50-5	Chlorine  	0.0009993	0.5472	458.6	0	200	1000
108-90-7	Chlorobenzene  	0.0004783	0.8994	1845.5	163000	400	1000
75-00-3	Chloroethane  	-19.283	0.20238	-715050	-271300000	273.15	1000
67-66-3	Chloroform  	0.00043073	0.83878	1874.5	0	334.33	1000
74-87-3	Chloromethane  	-22136	0.7666	-48749000000	0	213.15	750
540-54-5	1-Chloropropane  	4.861E-05	1.1407	593	0	319.67	1000
75-29-6	2-Chloropropane  	9.154E-05	1.0681	746.6	0	308.85	1000
108-39-4	m-Cresol  	0.00019307	0.9248	710	0	475.43	1000
95-48-7	o-Cresol  	0.00018648	0.9302	709.37	0	464.15	1000
106-44-5	p-Cresol  	0.00019063	0.9282	716.91	0	475.13	1000
98-82-8	Cumene  	1.6743E-07	1.8369	-449.46	112760	380	1000
460-19-5	Cyanogen  	2.6933E-05	1.137	28.119	0	252	1000
287-23-0	Cyclobutane  	-449910	0.27364	-10001000000	-9865400000000	285.66	1000
110-82-7	Cyclohexane  	8.59E-07	1.7709	243	0	325	1000
108-93-0	Cyclohexanol  	0.0032207	0.5991	608.69	509290	434	1000
108-94-1	Cyclohexanone  	-1095.5	-0.023408	498780	-7835500000	428.58	1000
110-83-8	Cyclohexene  	9.01E-05	1.0897	655	0	356.12	1000
287-92-3	Cyclopentane  	9.5461E-06	1.4641	632.62	0	273	1000
142-29-0	Cyclopentene  	0.0010949	0.71644	175.55	346040	317.38	1000
75-19-4	Cyclopropane  	-91.383	0.89718	-283310000	0	240.37	1000
1569-69-3	Cyclohexyl mercaptan  	8.13E-05	1.0674	697.6	0	431.95	1000
112-31-2	Decanal  	-4.9825	0.04928	-1107	-67349000	488.15	1000
124-18-5	Decane  	-668.4	0.9323	-4071000000	0	447.3	1000
334-48-5	Decanoic acid  	0.00017047	0.9313	757.67	0	543.15	1000
112-30-1	1-Decanol  	-0.3072	0.489	-67500	-29400000	504.07	1000
872-05-9	1-Decene  	2.7232E-05	1.257	751.7	0	443.75	1000
143-10-2	Decyl mercaptan  	0.00012058	1.0111	740	0	512.35	1000
764-93-2	1-Decyne  	1.6707E-05	1.2128	-206.08	153850	447.15	1000
7782-39-0	Deuterium  	0.00028527	0.9874	-200.51	21807	233.15	1500
557-91-5	1,1-Dibromoethane  	0.00021231	0.8052	649.51	0	381.15	1000
106-93-4	1,2-Dibromoethane  	0.00015878	0.8636	659.5	0	404.51	1000
74-95-3	Dibromomethane  	0.00021302	0.8719	1620	0	370.1	1000
142-96-1	Dibutyl ether  	0.0032694	0.58633	1259.9	300890	323.15	1000
541-73-1	m-Dichlorobenzene  	-1067.8	0.754	-3036100000	0	446.23	1000
95-50-1	o-Dichlorobenzene  	-1420	0.7614	-4504000000	0	453.57	1000
106-46-7	p-Dichlorobenzene  	-1520.8	0.754	-4332800000	0	447.21	1000
75-34-3	1,1-Dichloroethane  	0.0001315	1.0113	1023.8	0	330.45	1000
