CAS	Chemical	C1	C2	C3	C4	C5	Tmin	Tmax
75-07-0	Acetaldehyde  	0.311	-0.000436	0	0	0	150.15	294
60-35-5	Acetamide  	0.39363	-0.00037053	0	0	0	353.33	494.3
64-19-7	Acetic acid  	0.214	-0.0001834	0	0	0	289.81	391.05
108-24-7	Acetic anhydride  	0.23638	-0.00024263	0	0	0	200.15	412.7
67-64-1	Acetone  	0.2878	-0.000427	0	0	0	178.45	343.15
75-05-8	Acetonitrile  	0.33192	-0.00043243	0	0	0	229.32	349.32
74-86-2	Acetylene  	0.33363	-0.00083655	0	0	0	192.4	250
107-02-8	Acrolein  	0.2703	-0.0003764	0	0	0	185.45	325.84
79-10-7	Acrylic acid  	0.2441	-0.0002904	0	0	0	286.15	484.5
107-13-1	Acrylonitrile  	0.28941	-0.00041691	0	0	0	189.63	350.5
132259-10-0	Air  	0.28472	-0.0017393	0	0	0	75	125
7664-41-7	Ammonia  	1.169	-0.002314	0	0	0	195.41	400.05
100-66-3	Anisole  	0.23494	-0.00026477	0	0	0	235.65	512.5
7440-37-1	Argon  	0.1819	-0.0003176	-4.11E-06	0	0	83.78	150
55-21-0	Benzamide  	0.28485	-0.00025225	0	0	0	403	563.15
71-43-2	Benzene  	0.23444	-0.00030572	0	0	0	278.68	413.1
108-98-5	Benzenethiol  	0.20996	-0.0002146	0	0	0	258.27	442.29
65-85-0	Benzoic acid  	0.2391	-0.0002325	0	0	0	395.45	596
100-47-0	Benzonitrile  	0.21284	-0.00021587	0	0	0	260.4	464.15
119-61-9	Benzophenone  	0.25867	-0.00022516	0	0	0	321.35	664
100-51-6	Benzyl alcohol  	0.17847	-6.5843E-05	0	0	0	257.85	478.6
539-30-0	Benzyl ethyl ether  	0.2029	-0.0002226	0	0	0	275.65	528.6
100-53-8	Benzyl mercaptan  	0.20316	-0.00019912	0	0	0	243.95	472.03
92-52-4	Biphenyl  	0.19053	-0.00015145	0	0	0	342.2	723.15
7726-95-6	Bromine  	-0.2185	0.0042143	-1.7753E-05	3.1041E-08	-2.0108E-11	266	584
108-86-1	Bromobenzene  	0.16983	-0.0001981	0	0	0	242.43	429.24
74-96-4	Bromoethane  	0.1799	-0.000262	0	0	0	154.55	414.14
74-83-9	Bromomethane  	0.1912	-0.000299	0	0	0	179.47	370.1
590-19-2	1,2-Butadiene  	0.21966	-0.0003436	0	0	0	136.95	284
106-99-0	1,3-Butadiene  	0.22231	-0.0003664	0	0	0	164.25	268.74
106-97-8	Butane  	0.27349	-0.00071267	5.1555E-07	0	0	134.86	400
584-03-2	1,2-Butanediol  	0.064621	0.00067625	-1.0491E-06	0	0	220	469.57
107-88-0	1,3-Butanediol  	-0.0032865	0.0011463	-1.5525E-06	0	0	196.15	481.38
71-36-3	1-Butanol  	0.2136	-0.0002034	0	0	0	183.85	391.9
78-92-2	2-Butanol  	0.22787	-0.00030727	0	0	0	158.45	372.9
106-98-9	1-Butene  	0.22153	-0.00035023	0	0	0	87.8	266.91
590-18-1	cis-2-Butene  	0.21378	-0.00035445	0	0	0	134.26	276.87
624-64-6	trans-2-Butene  	0.21153	-0.00035056	0	0	0	167.62	274.03
123-86-4	Butyl acetate  	0.21721	-0.00026563	0	0	0	199.65	453.75
104-51-8	Butylbenzene  	0.18707	-0.00020037	0	0	0	185.3	473.15
109-79-5	Butyl mercaptan  	0.21143	-0.000258	0	0	0	157.46	371.61
513-53-1	sec-Butyl mercaptan 	0.2069	-0.0002568	0	0	0	133.02	358.13
107-00-6	1-Butyne  	0.22334	-0.0003515	0	0	0	147.43	281.22
123-72-8	Butyraldehyde  	0.21915	-0.00024846	0	0	0	176.75	382.15
107-92-6	Butyric acid  	0.1967	-0.000168	0	0	0	267.95	573.15
109-74-0	Butyronitrile  	0.2597	-0.00031	0	0	0	161.25	390.75
124-38-9	Carbon dioxide  	0.4406	-0.0012175	0	0	0	216.58	300
75-15-0	Carbon disulfide  	0.2333	-0.000275	0	0	0	161.11	319.37
630-08-0	Carbon monoxide  	0.2855	-0.001784	0	0	0	68.15	125
56-23-5	Carbon tetrachloride 	0.1589	-0.0001987	0	0	0	250.33	349.79
75-73-0	Carbon tetrafluoride 	0.20771	-0.00078883	0	0	0	89.56	145.1
7782-50-5	Chlorine  	0.2246	-6.4E-05	-7.88E-07	0	0	172.12	410
108-90-7	Chlorobenzene  	0.1841	-0.0001917	0	0	0	227.95	404.87
75-00-3	Chloroethane  	0.2438	-0.000419	0	0	0	134.8	373.15
67-66-3	Chloroform  	0.1778	-0.0002023	0	0	0	209.63	400
74-87-3	Chloromethane  	0.41067	-0.0008478	0	0	0	175.43	350
540-54-5	1-Chloropropane  	0.20143	-0.00028925	0	0	0	150.35	400.95
75-29-6	2-Chloropropane  	0.21232	-0.0003149	0	0	0	155.97	386.7
108-39-4	m-Cresol  	0.18241	-0.00011109	0	0	0	285.39	475.43
95-48-7	o-Cresol  	0.19186	-0.0001303	0	0	0	304.19	464.15
106-44-5	p-Cresol  	0.17971	-0.00012037	0	0	0	307.93	475.13
98-82-8	Cumene  	0.1855	-0.00020895	0	0	0	177.14	413.15
460-19-5	Cyanogen  	0.4685	-0.00086594	0	0	0	245.25	252
287-23-0	Cyclobutane  	0.22262	-0.00034082	0	0	0	182.48	285.66
