CAS	Chemical	A	B	C	D	E
7440-63-3	Xenon	-0.000006	0.00002	-0.00000000368	0	0
7439-90-9	Krypton	-0.000389	0.000039	-0.00000002119	0.00000000000878	-1.52E-015
7440-37-1	Argon	0.004303	0.000047	-0.00000000778	0	0
7440-01-9	Neon	0.002778	0.000194	-0.0000001555	0.00000000008638	-0.0000000000000177
7440-59-7	Helium	0.034	0.000457	-0.00000021489	0.00000000010071	-0.00000000000001914
132259-10-0	Air	-0.000908	0.000112	-0.000000084333	0.000000000056964	-0.000000000000015631
1333-74-0	Hydrogen	0.000651	0.000767	-0.00000068705	0.00000000050651	-0.00000000000013854
7727-37-9	Nitrogen	-0.000133	0.000101	-0.00000006065	0.00000000003361	-7.1E-015
7782-44-7	Oxygen	-0.001285	0.000107	-0.00000005263	0.00000000002568	-5.04E-015
7704-34-9	Sulfur	0.001596	0.000016	0.00000000145	0	0
7782-41-4	Fluorine	-0.000246	0.000093	-0.00000001847	0	0
7782-50-5	Chlorine	-0.001867	0.000038	-0.00000000609	0	0
10097-32-2	Bromine	0.005455	-0.000018	0.00000005423	0	0
7553-56-2	Iodine	-0.000014	0.000011	0.00000000002	0	0
7664-39-3	Hydrogen fluoride	0.002921	0.00006	0.00000000694	0	0
7647-01-0	Hydrogen chloride	0.001233	0.000045	0.00000000037	0	0
10035-10-6	Hydrogen bromide	-0.00174	0.000036	-0.00000000487	0	0
10034-85-2	Hydrogen iodide	-0.000308	0.000022	-0.00000000184	0	0
74-90-8	Hydrogen cyanide	-0.012121	0.00008	-0.0000000005	0	0
7732-18-5	Water	0.013918	-0.000047	0.000000258066	-0.000000000183149	0.000000000000055092
7783-06-4	Hydrogen sulfide	-0.037786	0.000366	-0.00000098022	0.00000000134111	-0.00000000000066284
7664-41-7	Ammonia	-0.006678	0.000092	0.00000004767	0	0
10102-43-9	Nitric oxide	0.000144	0.000093	-0.00000002601	0	0
10102-44-0	Nitrogen dioxide	0.066085	-0.000479	0.00000101124	0	0
10024-97-2	Nitrous oxide	-0.005049	0.000076	0.00000000146	0	0
10544-72-6	Dinitrogentetroxide	0.00000000146	0.00000000146	0.00000000146	0	0
460-19-5	Cyanogen	-0.002939	0.000061	0.00000000993	0	0
7719-12-2	Phosphorus trichloride	-0.001274	0.000028	0.000000008226	-0.000000000013677	5.121E-015
506-77-4	Cyanogen chloride	-0.002531	0.000042	-0.00000000529	0	0
7440-21-3	Silane	-0.001601	0.000062	0.000000074888	-0.000000000029302	3.487E-015
10026-04-7	Tetrachlorosilane	-0.002173	0.000029	0	0	0
630-08-0	Carbon monoxide	-0.000783	0.000103	-0.00000006759	0.00000000003945	-9.47E-015
124-38-9	Carbon dioxide	-0.003882	0.000053	0.00000007146	-0.00000000007031	0.00000000000001809
504-64-3	Carbon suboxide	0.001362	-0.000017	0.00000026778	-0.00000000032254	0.00000000000013329
463-58-1	Carbonyl sulfide	-0.004089	0.000062	-0.00000000427	0	0
75-44-5	Phosgene	-0.003777	0.000036	0.0000000219	0	0
75-15-0	Carbon disulfide	-0.003468	0.000041	0.00000000021	0	0
7446-09-5	Sulfur dioxide	0.000358	0.000013	0.00000006952	-0.00000000003207	-8.3E-015
7446-11-9	Sulfur trioxide	-0.007361	0.000071	-0.00000001422	0	0
7791-25-5	Sulfuryl chloride	-0.003541	0.000043	-0.00000000286	0	0
2551-62-4	Sulfur hexafluoride	-0.00951	0.000087	-0.00000003186	0	0
74-93-1	Methyl mercaptan	-0.009622	0.000074	0.00000001258	0	0
75-08-1	Ethyl mercaptan	-0.008457	0.000068	0.0000000227	0	0
75-18-3	Dimethyl sulfide	-0.008509	0.000069	0.00000002363	0	0
352-93-2	Diethyl sulfide	-0.012116	0.000073	0.00000002038	0	0
110-02-1	Thiophene	-0.008013	0.000057	0.00000002322	0	0
593-53-3	Fluoromethane (R41)	-0.00368	0.000061	-0.0000000011	0	0
75-10-5	Difluoromethane (R32)	-0.00344	0.000047	0.00000000435	0	0
75-46-7	Trifluoromethane (R23)	-0.000732	0.000018	0.00000013689	-0.00000000013588	0.00000000000004192
75-73-0	Tetrafluoromethane (R14)	-0.0022	0.000026	0.00000016724	-0.0000000001997	0.00000000000007466
74-87-3	Methyl chloride	-0.001448	0.000018	0.00000007541	0	0
75-09-2	Methylene chloride	-0.004536	0.000033	0.00000002105	0	0
67-66-3	Chloroform	-0.000216	0.000022	0.00000000104	0	0
56-23-5	Carbon tetrachloride	-0.002101	0.00003	-0.00000000053	0	0
74-83-9	Bromomethane	-0.003766	0.000035	0.0000000104	0	0
74-95-3	Dibromomethane	-0.003217	0.000021	0.00000001555	0	0
75-25-2	Tribromomethane	-0.001531	0.000012	0.00000001777	0	0
558-13-4	Tetrabromomethane	0.002432	0.000018	0.00000004119	-0.00000000003212	4E-015
75-45-6	Chlorodifluoromethane (R22)	-0.008104	0.000066	-0.00000000941	0	0
75-43-4	Dichlorofluoromethane (R21)	-0.007857	0.000057	-0.00000000666	0	0
75-72-9	Chlorotrifluoromethane (R13)	-0.001734	0.00002	0.00000013251	-0.00000000016081	0.00000000000005951
75-71-8	Dichlorodifluoromethane (R12)	-0.001873	0.000029	0.00000003409	0	0
75-69-4	Trichlorofluoromethane (R11)	-0.00243	0.000031	0.00000001294	0	0
353-36-6	Ethyl fluoride (R161)	-0.006157	0.000061	0.00000002124	0	0
75-00-3	Ethyl chloride	-0.006153	0.000046	0.00000003979	0	0
74-96-4	Ethyl bromide	-0.005547	0.000046	0.00000001289	0	0
75-34-3	1,1-Dichloroethane	-0.006137	0.000041	0.00000003639	0	0
107-06-2	1,2-Dichloroethane	0.000513	-0.000004	0.000000125349	-0.000000000085225	0.000000000000028133
106-93-4	1,2-Dibromoethane	-0.004774	0.000036	0.00000000644	0	0
420-46-2	1,1,1-Trifluoroethane (R143a)	0.000069	0.000014	0.00000011122	-0.00000000005333	-1.33E-015
71-55-6	1,1,1-Trichloroethane	-0.005829	0.000035	0.0000000364	0	0
79-34-5	1,1,2,2-Tetrachloroethane	-0.002397	0.000019	0.00000003593	0	0
76-01-7	Pentachloroethane	-0.0022	0.000016	0.00000003539	0	0
67-72-1	Hexachloroethane	-0.002033	0.000014	0.00000003349	0	0
76-12-0	1,1,2,2-Tetrachlorodifluoroethane	-0.004773	0.000028	0.00000002932	0	0
76-13-1	1,1,2-trichlorotrifluoroethane	-0.006397	0.000054	-0.00000000876	0	0
76-14-2	1,2-Dichlorotetrafluoroethane	-0.006889	0.00006	-0.00000000889	0	0
540-54-5	1-Chloropropane	-0.007089	0.000047	0.00000004146	0	0
109-69-3	1-Chlorobutane	-0.005369	0.000037	0.00000005015	0	0
543-59-9	1-Chloropentane	-0.005738	0.000035	0.00000005451	0	0
79-38-9	Chlorotrifluoroethene	0.000014	0.000009	0.00000011674	-0.00000000005152	-7E-016
75-01-4	Vinyl chloride	-0.003095	0.000036	0.00000005093	0	0
75-35-4	1,1-Dichloroethene	-0.003531	0.00003	0.00000002968	0	0
79-01-6	Trichloroethene	-0.003226	0.000037	-0.00000000065	0	0
127-18-4	Tetrachloroethene	-0.002838	0.000033	-0.00000000262	0	0
462-06-6	Fluorobenzene	-0.00505	0.000034	0.00000006516	0	0
108-90-7	Chlorobenzene	-0.008355	0.000041	0.00000004662	0	0
108-86-1	Bromobenzene	-0.010831	0.000055	0.00000000084	0	0
591-50-4	Iodobenzene	-0.009845	0.000047	0.00000000266	0	0
108-41-8	m-Chlorotoluene	-0.002219	0.000017	0.00000002871	0	0
100-44-7	Benzyl chloride	-0.011207	0.000057	0.00000000119	0	0
74-82-8	Methane	0.008154	0.000008	0.00000035153	-0.00000000033865	0.00000000000014092
74-84-0	Ethane	-0.000907	0.000009	0.00000026738	-0.00000000016556	0.00000000000004833
74-98-6	Propane	-0.006656	0.000053	0.00000010181	0	0
106-97-8	n-Butane	-0.009954	0.000061	0.00000008871	0	0
