CAS	Chemical	A	B	C	D	E
7440-63-3	Xenon	0.1372	-0.0003997	0.000000074	-0.000000000377	0.000000000000562
7439-90-9	Krypton	0.1728	-0.0006558	-0.000000193	-0.000000000094	0.000000000001428
7440-37-1	Argon	0.1821	-0.0003726	-0.000002781	-0.000000011115	0.000000000030999
132259-10-0	Air	-0.0006	0.0095952	-0.000170225	0.000001114335	-0.00000000267011
7727-37-9	Nitrogen	0.2621	-0.0015793	-0.000000737	-0.000000001546	0.000000000023198
7782-44-7	Oxygen	0.2716	-0.0012812	-0.000001371	0.000000008022	-0.000000000016812
7704-34-9	Sulfur	-0.0986	0.0006958	0.000000029	-0.000000001067	0.000000000000553
7782-41-4	Fluorine	0.2755	-0.0016169	-0.0000002	0.000000001254	-0.000000000002573
7782-50-5	Chlorine	0.2265	-0.000095	-0.000000608	-0.000000000441	0.000000000000391
10097-32-2	Bromine	-0.1426	0.0034711	-0.000015092	0.000000026902	-0.000000000017744
7553-56-2	Iodine	0.1156	0.0000461	0.000000003	-0.000000000384	0.000000000000158
7664-39-3	Hydrogen fluoride	0.7335	-0.0008293	-0.000001349	0.000000003071	-0.000000000002573
7647-01-0	Hydrogen chloride	0.669	-0.0009277	-0.00000269	-0.000000001103	0.0000000000068
10035-10-6	Hydrogen bromide	0.2371	-0.0004914	0.00000002	0.000000000372	-0.000000000000821
10034-85-2	Hydrogen iodide	0.151	-0.0006435	0.000000443	0.000000003809	-0.000000000007231
74-90-8	Hydrogen cyanide	0.4031	-0.0004529	-0.000000361	-0.000000001167	0.000000000002592
7732-18-5	Water	-2.4149	0.0245165	-0.000073121	0.000000099492	-0.00000000005373
7783-06-4	Hydrogen sulfide	0.4588	-0.000819	-0.000001903	0.000000004211	-0.000000000003272
7664-41-7	Ammonia	-0.5047	0.017496	-0.000092075	0.000000197003	-0.000000000161999
10102-43-9	Nitric oxide	0.2268	0.0001517	-0.000002647	-0.000000019936	0.000000000014484
10102-44-0	Nitrogen dioxide	0.3147	-0.0005645	-0.000000064	0.000000000262	-0.000000000000698
10544-72-6	Dinitrogentetroxide	0.1864	0.0001841	-0.000001083	-0.000000000544	0.000000000001509
460-19-5	Cyanogen	0.3376	-0.000164	0.000000048	-0.000000000449	-0.000000000010407
7719-12-2	Phosphorus trichloride	0.2008	-0.0002466	0	0	0
506-77-4	Cyanogen chloride	0.2788	-0.0003245	-0.000000008	-0.000000000364	-0.00000000000128
7440-21-3	Silane	0.2764	-0.0009858	0	0	0
10026-04-7	Tetrachlorosilane	0.1371	-0.0001265	0	0	0
630-08-0	Carbon monoxide	0.2845	-0.001744	-0.000000543	0.000000002657	-0.000000000002637
124-38-9	Carbon dioxide	0.3881	-0.0006561	-0.000001769	0.0000000007	0.000000000003031
504-64-3	Carbon suboxide	0.2203	0.0000745	-0.000002962	0.000000008522	-0.000000000010022
463-58-1	Carbonyl sulfide	0.262	-0.0005256	0.0000000567	-0.00000002701	0.000000000004524
75-44-5	Phosgene	0.2004	-0.0001457	-0.000000721	0.000000002243	-0.000000000002587
75-15-0	Carbon disulfide	0.2301	-0.0002261	-0.000000269	0.00000000063	-0.000000000000523
7446-09-5	Sulfur dioxide	0.3833	-0.0006393	0.000000065	-0.00000000013	0.000000000000096
7446-11-9	Sulfur trioxide	0.8854	-0.0026459	0.00000105	0.000000002624	-0.000000000001586
7791-25-5	Sulfuryl chloride	0.2029	-0.0002307	-0.000000003	-0.000000000468	0.000000000000811
2551-62-4	Sulfur hexafluoride	0.2444	-0.0005733	-0.000000157	-0.000000000339	0.000000000000914
74-93-1	Methyl mercaptan	0.2492	-0.0001542	-0.000001615	0.000000004983	-0.00000000000568
75-08-1	Ethyl mercaptan	0.2336	-0.0003104	-0.0000001	0.000000000389	-0.000000000000522
75-18-3	Dimethyl sulfide	0.2365	-0.0002907	-0.000000203	0.000000000431	-0.000000000000321
352-93-2	Diethyl sulfide	0.2119	-0.0002688	-0.000000039	0.00000000028	-0.000000000000416
110-02-1	Thiophene	0.2031	-0.0001367	-0.000000462	0.000000001347	-0.000000000001388
593-53-3	Fluoromethane (R41)	0.4469	-0.0010555	0.0000002	-0.000000000503	0.000000000000417
75-10-5	Difluoromethane (R32)	0.3594	-0.0006623	-0.000001007	0.000000003153	-0.000000000003617
75-46-7	Trifluoromethane (R23)	0.2216	-0.0002927	-0.000002195	0.000000007958	-0.000000000010654
75-73-0	Tetrafluoromethane (R14)	0.22	-0.0009284	-0.000000627	0.000000009634	-0.000000000017838
74-87-3	Methyl chloride	0.4125	-0.0008698	0.000000096	-0.000000000171	0.000000000000103
75-09-2	Methylene chloride	0.2449	-0.0004325	0.000000563	-0.000000001401	0.000000000001288
67-66-3	Chloroform	0.1773	-0.0001965	-0.00000002	0.00000000002	5E-015
56-23-5	Carbon tetrachloride	0.1509	-0.0001298	-0.000000156	-0.000000000071	0.000000000000398
74-83-9	Bromomethane	0.1885	-0.0002596	-0.000000217	0.000000000518	-0.000000000000456
74-95-3	Dibromomethane	0.1724	-0.0001869	-0.000000166	0.000000000309	-0.000000000000203
75-25-2	Tribromomethane	0.1476	-0.0001496	-0.000000122	0.000000000389	-0.000000000000383
558-13-4	Tetrabromomethane	0.131	-0.0001303	-0.000000001	-0.000000000003	0.000000000000041
75-45-6	Chlorodifluoromethane (R22)	0.2211	-0.0004472	-0.000000061	0.00000000021	-0.000000000000241
75-43-4	Dichlorofluoromethane (R21)	0.2104	-0.0003641	-0.000000024	0.000000000024	0.000000000000015
75-72-9	Chlorotrifluoromethane (R13)	0.195	-0.0005177	0.000000095	-0.00000000034	0.000000000000432
75-71-8	Dichlorodifluoromethane (R12)	0.2016	-0.0004522	0.00000009	-0.000000000227	0.000000000000212
