CASRN	Chemical	Formula 	Tt68	Pt	Pt_uncertainty
7440-01-9	Neon 	Ne	24.56	43356.4342105263	21.3315789473684
17778-80-2	Oxygen 	O2	54.36	146.654605263158	0
7727-37-9	Nitrogen 	N2 	63.15	12526.9697368421	7.99934210526316
630-08-0	Carbon monoxide 	CO 	68.15	15381.4016447368	9.33256578947369
7440-37-1	Argon 	Ar 	83.8	68898.3335526316	10.6657894736842
75-73-0	Carbon tetrafluoride 	CF4 	89.56	107.991118421053	1.33322368421053
74-82-8	Methane 	CH4 	90.69	11691.0384868421	7.99934210526316
74-85-1	Ethene 	C2H4 	103.99	122.656578947368	1.33322368421053
7439-90-9	Krypton 	Kr 	115.76	72999.3296052632	11.9990131578947
7647-01-0	Hydrogen chloride 	HCI 	159.05	13810.8641447368	9.33256578947369
7440-63-3	Xenon 	Xe 	161.39	81674.6161184211	10.6657894736842
10024-97-2	Nitrous oxide 	N20 	182.33	87864.7736842105	11.9990131578947
7664-41-7	Ammonia 	NH 3 	195.48	6079.5	2.66644736842105
124-38-9	Carbon dioxide 	CO2 	216.58	517957.401315789	
7439-97-6	Mercury 	Hg 	234.31	0.000266644736842105	
13765-45-2	Germane 	GeH4 	107.27		
10102-43-9	Nitric oxide 	NO 	109.49	21915.5309210526	3.99967105263158
115-10-6	Dimethyl ether 	(CH3)20 	131.66		
75-00-3	Ethyl chloride 	C2Hs CI 	134.8		
106-97-8	n-Butane 	C4H lo 	134.84		
109-66-0	n-Pentane 	C5 H 12 	143.47		
75-19-4	Cyclo propane 	C3 Ha 	145.54		
75-50-3	Trimethylamine 	(CH3)3N 	156.08		
76-16-4	Hexafluoroethane 	C2 Fe 	173.085	26380.4970394737	3.99967105263158
75-76-3	Tetramethyl silicon 	(CH3)4Si 	174.12		
74-87-3	Methyl chloride 	CH3CI 	175.44	869.261842105263	
67-56-1	Methanol 	CH3OH 	175.59		
110-54-3	n-Hexane 	C6 H14 	177.84		
7704-34-9	Hydrogen sulfide 	H2S 	187.61	23183.4266447368	
7446-09-5	Sulphur dioxide 	SO2 	197.7	1674.52894736842	1.33322368421053
115-25-3	Perfluoro- cyclobutane 	(CF2)4 	232.96	18970.4398026316	5.33289473684211
75-52-5	Nitromethane 	CH3NO2 	244.73		
463-82-1	Neopentane 	(CH3)4C 	256.75	35793.05625	17.3319078947368
7782-41-4	Fluorine 	F2	53.48	251.979276315789	
7783-54-2	Nitrogen trifluoride 	NF3	66.37		
74-98-6	Propane 	C3H8	85.46		
75-72-9	Chlorotrifluoromethane 	CCIF3	86.74		
106-98-9	1-Butene 	C4H8	87.82		
115-07-1	Propene 	C3H6	87.85		
74-84-0	Ethane 	C2H6	90.35		
594-11-6	Methylcyclopropane 	C4H8	95.64		
355-04-4	Perfluoroisohexane 	C6F14	102.45		
563-45-1	3-Methyl-1-butene 	C5Hlo	104.72		
407-09-0	1, 1-Difluoro-1-butene 	C4HeF2	108.2		
19287-45-7	Diborane 	B2H6	108.31		
430-63-7	1, 1-Difluoropropene 	C3H4F2	112.22		
78-78-4	Isopentane 	C5H12	113.38		
75-28-5	Isobutane 	C4Hlo	113.74		
79-38-9	Chlorotrifluoroethene 	C2CIF3	115		
75-45-6	Chlorodifluoromethane 	CHCIF2	115.73		
1493-15-8	Trifluoromethylmercaptan 	CF3SH	116.04		
75-46-7	Trifluoromethane 	CHF3	117.97		
107-83-5	Isohexane 	C6H14	119.55		
627-20-3	cis-2-Pentene 	C5Hlo	121.8		
7783-55-3	Phosphorus trifluoride 	PF3	121.85	1426.54934210526	
1191-96-4	Ethylcyclopropane 	C5HlO	123.55		
76-19-7	Perfluoropropane 	C3F8	125.46		
7616-94-6	Perchloryl fluoride 	CI03F	125.64		
353-85-5	Trifluoroacetonitrile 	C2F3N	128.73		
96-37-7	Methylcyclopentane 	C6H12	130.73		
646-04-8	trans-2-Pentene 	C5Hlo	132.95		
592-41-6	1-Hexene 	C6H12	133.39		
590-18-1	cis-2-Butene 	C4H8	134.26		
463-58-1	Carbonyl sulfide 	COS	134.31		
563-46-2	2-Methyl- 1-butene 	C5HlO	135.62		
463-49-0	Propadiene (Allene) 	C3H4	136.59		
2699-79-8	Sulfuryl fluoride 	SO2F2	136.63		
590-19-2	1,2-Butadiene 	C4H6	136.95		
142-29-0	Cyclopentene 	C5H8	138.13		
7723-14-0	Phosphine 	PH3	139.35	3651.69967105263	
513-35-9	2-Methyl-2-butene 	CsHlo	139.42		
116-14-3	Tetrafluoroethene 	C2F4	142	1159.90460526316	
7783-42-8	Thionyl fluoride 	SOF2	143.25		
7637-07-2	Boron trifluoride 	BF3	144.71	8343.31381578947	
355-25-9	Perfluoro-n-butane 	C4Flo	144.96		
79-29-8	2, 3-Dimethylbutane 	C6H14	145.15		
75-44-5	Carbonyl chloride 	COCI2	145.37		
108-87-2	Methylcyclohexane 	C7H14	146.58		
107-00-6	1-Butyne 	C4H6	147.43		
684-16-2	Hexafluoroacetone 	C3F60	147.7		
678-26-2	Perfluoro-n-pentane 	C5F12	148.35		
590-35-2	2, 2-Dimethylpentane 	C7H16	149.43		
74-93-1	Methyl mercaptan 	CH4S	150.16		
421-39-6	1-Chloro-1, 1-difluorobutane 	C4H7CIF2	153.76		
108-08-7	2, 4-Dimethylpentane 	C7H16	153.97		
592-76-7	1 -Heptene 	C7H14	154.3		
109-79-5	n-Butyl mercaptan 	C4HloS	154.47		
589-34-4	2-Ethylpentane 	C7H16	154.58		
40626-78-6	2-Methylhexane 	C7H16	154.9		
1679-07-8	Cyclopentyl merceptan 	CsHloS	155.39		
353-81-1	2, 2-Difluorobutane 	C4H8F2	155.62		
4110-50-3	3-Thiahexane 	CsH12S	156.1		
7784-42-1	Arsine 	AsH3	156.23	2983.75460526316	
60-29-7	Diethyl ether 	C4HloO	156.85		
865-71-4	3-Trifluoromethylper-fluoropentane 	C6F14	157.75		
460-34-4	1, 1, 1-Trifluorobutane 	C4H7F3	158.36		
107-03-9	n-Propyl mercaptan 	C2H6S	160		
3877-15-4	2-Thiapentane 	C4HloS	160.17		
75-21-8	Ethylene oxide 	C2H40	160.65		
504-64-3	Carbon suboxide 	C302	160.96	21.3315789473684	
75-56-9	Propylene oxide 	C3H60	161.22		
75-15-0	Carbon disulfide 	CS2	161.26		
420-46-2	1, 1, 1-Trifluoroethane 	C2H3F3	161.82		
1678-91-7	Ethylcyclohexane 	C8H16	161.84		
353-50-4	Carbonyl fluoride 	COF2	161.89	12520.3036184211	
75-69-4	Trichlorofluoromethane 	CCI3F	162.68		
420-96-2	2-Chloro-2-fluorobutane 	CdH8CIF	163.09		
565-75-3	2, 3, 4-Trimethylpentane 	C8H18	163.63		
106-99-0	1,3-Butadiene 	C4H6	164.24		
540-84-1	Isooctane 	C8His	165.84		
157-40-4	Spiropentane 	C5H8	166.14		
624-64-6	t rans-2-Butene 	C4He	167.61		
110-83-8	Cyclohexene 	C6Hlo	169.67		
111-47-7	4-Thiaheptane 	C6H14S	170.44		
111-66-0	1-Octene 	C8H16	171.46		
1551-21-9	3-Methyl-2-thiabutane 	C4HIoS	171.65		
7782-50-5	Chlorine 	CI2	172.22	1391.88552631579	
76-15-3	Chloropentafluoroethane 	C2CIF5	173.71		
75-83-2	2, 2-Dimethylbutane 	CsH14	174.29		
75-18-3	Dimethyl sulfide 	C2HsS	174.86		
628-29-5	2-Thiahexane 	C5H12S	175.3		
594-91-2	Perfluoroisopentane 	C5F12	175.35		
75-34-3	1, 1-Dichloroethane 	C2H4CI2	176.18		
67-64-1	Acetone 	C3H60	176.72		
110-01-0	Thiacyclopentane 	C4HeS	176.98		
100-41-4	Ethylbenzene 	CsHlo	178.16		
74-83-9	Methyl bromide 	CH3Br	179.44		
74-89-5	Methylamine 	CH5N	179.7		
287-92-3	Cyclopentane 	C5Hlo	179.7		
13701-67-2	Diboron tetrachloride 	B2CI4	180.21		
124-40-3	Dimethylamine 	C2H7N	180.97		
534-22-5	2-Methylfuran 	C5H60	181.9		
141-78-6	Ethyl acetate 	C4H802	182.55		
142-82-5	n-Heptane 	C7H16	182.56		
287-23-0	Cyclobutane 	C4H8	182.56		
2207-03-6	trans-1,3-Dimethyl- cyclohexane 	C8H16	183.06		
79-24-3	Nitroethane 	C2H5NO2	183.69		
865-52-1	Tetramethylgermane 	C4H12Ge	184.37	21.3315789473684	
67-63-0	Isopropyl alcohol 	C3H80	184.67		
583-57-3	trans-1, 2-Dimethyl- cyclohexane 	C8H16	184.99		
624-29-3	cis-1,4-Dimethyl- cyclohexane 	C8H16	185.73		
10035-10-6	Hydrogen bromide 	HBr	186.26	32550.65625	
7783-61-1	Silicon tetrafluoride 	SiF4	186.35	223888.253289474	
355-42-0	Perfluoro-n-hexane 	C6F14	187.45		
110-00-9	Furan 	04H40	187.55		
624-92-0	Dimethyl disulfide 	C2H6S2	188.44		
7664-39-3	Hydrogen fluoride 	HF	189.79		
6163-64-0	3, 3-Dimethyl-2-thiabutane 	C5H12S	190.84		
74-86-2	Acetylene 	C2H2	192.6	128189.457236842	
7790-91-2	Chlorine trifluoride 	CIF3	196.84		
638-04-0	cis-1,3-Dimethyl- cycl ohexane 	CsH16	197.59		
544-25-2	1,3, 5-Cycloheptatriyne 	C7H2	197.92		
544-40-1	5-Thianonane 	CeHlsS	198.13		
563-79-1	2, 3-Dimethyl-2-butene 	C6H12	198.92		
287-27-4	Thiacyclobutane 	C3H6S	199.91		
1741-01-1	Trimethylhydrazine 	C3HloN2	201.24		
616-44-4	3-Methylthiophene 	C5H6S	204.19		
107-46-0	Hexamethyldisiloxane 	C6H18OSi2	204.93		
7783-07-5	Hydrogen selenide 	H2Se	207.43		
67-66-3	Trichloromethane 	CHCI3	209.7		
554-14-3	2-Methylthiophene 	C5H6S	209.79		
638-02-8	2, 5-Dimethylthiophene 	C6H8S	210.58		
697-11-0	Perfluorocyclobutene 	C4F6	212.78		
57-14-7	N, N-Dimethylhydrazine 	C2HsN2	215.95		
60-34-4	Methylhydrazine 	OH6N2	220.79		
335-57-9	Perfluoro-n-heptane 	C7F16	221.87		
2551-62-4	Sulphur hexafluoride 	SF6	222.4	225048.157894737	
10034-85-2	Hydrogen iodide 	HI	222.5	6764.77697368421	
2207-01-4	cis-1,2-Dimethyl- cyclohexane 	C8H16	223.28		
108-38-3	m-Xylene 	CeHlo	225.27		
10294-33-4	Boron tribromide 	BBr3	225.31		
367-11-3	1, 2-Difluorobenzene 	C6H4F2	226.01		
108-90-7	Chlorobenzene 	C6H5CI	227.95		
75-05-8	Acetonitrile 	C2H3N	229.3		
506-80-9	Carbon diselenide 	CSe2	229.45		
462-06-6	Fluorobenzene 	CsHsF	230.94		
110-86-1	Pyridine 	C5HsN	231.49		
13478-20-1	Phosphoryl trifluoride 	POF3	233.45	103199.5125	
110-02-1	Thiophene 	C4H4S	234.95		
2207-04-7	trans-1,4-Dimethyl- cyclohexane 	C8H16	236.22		
288-47-1	Thiazole 	C3H3NS	239.53		
590-66-9	1, 1-Dimethylcyclohexane 	C8H16	239.81		
503-17-3	Dimethylacetylene 	C4H6	240.93		
100-42-5	Styrene 	C8H8	242.47		
460-19-5	Cyanogen 	C2N2	245.27	73807.2631578947	
95-47-6	o-Xylene 	C8Hlo	247.84		
3581-87-1	2-Methylthiazole 	C4HsNS	248.52		
464-06-2	2, 2, 3-Trimethylbutane 	07H16	248.57		
56-23-5	Carbon tetrachloride 	COl4	250.53		
