CASRN	Chemical	A	B	C	Tmin	Tmax
7440-37-1	argon 	8.74141	304.227	-5.83	82.59	94.26
7726-95-6	bromine 	9.0027	1119.68	-51.77	266	354.25
13536-59-9	deuterium bromide 	8.28728	505.68	-52.55	185.2	221.89
7787-71-5	bromine trifluoride 	9.85464	1673.95	-53.67	309.09	421.28
7789-30-2	bromine pentafluoride 	9.39858	1219.28	-36.75	236.8	334.31
10035-10-6	hydrogen bromide 	8.41243	540.82	-47.71	185.1	221.53
353-59-3	bromochlorodifluoromethane 	8.9585	933.04	-33.15	198	288.26
75-63-8	bromotrifluoromethane 	8.8964	731.31	-27.45	158.1	230.85
75-61-6	dibromodifluoromethane 	9.1878	1127.43	-26.35	217.8	316.42
75-72-9	chlorotrifluoromethane 	8.90353	654.656	-23.76	140.61	205.48
75-71-8	dichlorodifluoromethane 	9.01171	868.076	-26.76	178.77	260.7
75-69-4	trichlorofluoromethane 	9.00905	1043.313	-36.2	218.98	317.57
56-23-5	tetrachloromethane 	9.10445	1265.632	-41.002	259	373.76
75-73-0	tetrafluoromethane 	8.95894	510.595	-15.95	106.2	155.54
1511-62-2	bromodifluoromethane 	8.4003	640.32	-69.05	194.5	275.65
75-45-6	chlorodifluoromethane 	9.13253	835.462	-29.69	173.13	247.74
75-43-4	dichlorofluoromethane 	9.02473	959.934	-43.12	210.83	300.91
67-66-3	trichloromethane 	8.96288	1106.904	-54.598	250.1	356.89
75-46-7	trifluoromethane 	9.2214	707.396	-23.31	142.79	203.75
75-09-2	dichloromethane 	9.07622	1070.07	-49.91	235.2	333.36
75-10-5	difluoromethane 	9.29712	833.137	-27.29	166.23	235.78
74-87-3	chloromethane 	9.16533	920.86	-27.57	184.6	265.87
593-53-3	fluoromethane 	9.19421	734.222	-19.58	144.17	208.17
74-82-8	methane 	8.7687	395.744	-6.469	92.64	120.59
67-56-1	methanol 	10.20277	1580.08	-33.65	262.59	356
74-93-1	methanethiol 	9.15653	1015.547	-34.444	207.8	297.85
74-89-5	methanamine 	9.5442	1050.66	-35.32	203.61	282.93
630-08-0	carbon monoxide 	8.81912	291.743	-5.154	69.73	88.08
354-51-8	1,2-dibromo-2-chloro-1,1,2- trifluroethane 	8.84523	1166.348	-63.28	272.65	392.37
76-15-3	1-chloro-1,1,2,2,2-pentafluoroethane 	8.93652	795.212	-31.78	172.89	250.52
374-07-2	1,1-dichloro-1,2,2,2- tetrafluoroethane 	8.83243	875.938	-47.69	206.04	295.73
76-14-2	1,2-dichloro-1,1,2,2- tetrafluoroethane	8.93549	930.734	-39.74	204.93	295.83
76-13-1	1,1,2-trichloro-1,2,2-trifluoroethane 	9.00134	1107.71	-43.51	237.83	342.87
76-16-4	hexafluoroethane 	8.68388	572.733	-39.5	175.65	208.8
151-67-7	1-bromo-1-chloro-2,2,2- trifluoroethane	9.20682	1199.262	-37.86	240.92	344.91
354-06-3	1-bromo-2-chloro-1,1,2- trifluoroethane	8.48366	841.141	-83.85	246.15	348.14
354-25-6	1-chloro-1,1,2,2-tetrafluoroethane 	9.2571	1006.84	-24.55	193.6	279.06
2837-89-0	1-chloro-1,2,2,2-tetrafluoroethane 	9.0536	900.49	-38.761	222	286
306-83-2	1,1-dichloro-2,2,2-trifluoroethane 	9.21161	1132.447	-31.56	223.16	321.15
354-33-6	pentafluoroethane 	9.13392	800.869	-31.06	168.36	240.01
74-86-2	ethyne 	8.67374	528.67	-44.36	191.44	201.11
811-97-2	1,1,1,2-tetrafluoroethane 	9.11874	850.881	-40.16	186.41	263.04
359-35-3	1,1,2,2-tetrafluoroethane 	9.12013	885.597	-37.25	190.05	269.75
75-68-3	1-chloro-1,1-difluoroethane 	9.05053	928.645	-34.46	195.98	282.13
1717-00-6	1,1-dichloro-1-fluoroethane 	9.03117	1062.074	-41.351	226.71	326.09
420-46-2	1,1,1-trifluoroethane 	9.068	801.34	-28.6	167.55	241.33
430-66-0	1,1,2-trifluoroethane 	9.13152	928.177	-51.88	211.07	294.19
74-85-1	ethene 	8.91382	596.526	-16.78	123.06	181.9
75-34-3	1,1-dichloroethane 	9.1678	1201.05	-41.88	246.6	352.49
107-06-2	1,2-dichloroethane 	9.28356	1341.37	-43.1	267.4	379.91
75-37-6	1,1-difluoroethane 	8.75231	735.16	-52.88	187.74	265.89
64-19-7	ethanoic acid 	9.54456	1555.12	-48.5	297.58	414.97
107-31-3	methyl methanoate 	9.29529	1125.2	-42.59	230.3	324.29
74-96-4	bromoethane 	9.04485	1090.811	-41.44	231.35	332.8
75-00-3	chloroethane 	9.09088	1020.63	-35.58	211.86	304.89
353-36-6	fluoroethane 	9.21998	897.368	-22.49	174.1	251.47
74-84-0	ethane 	8.95405	663.72	-16.469	133.8	198.16
64-17-5	ethanol 	10.33675	1648.22	-42.232	276.5	369.54
115-10-6	dimethyl ether 	9.44136	1025.56	-17.1	184.1	264.8
75-08-1	ethanethiol 	9.07696	1084.531	-41.765	229.5	328.99
75-18-3	2-thiapropane 	9.07369	1090.755	-42.351	231.3	331.47
75-04-7	ethanamine 	9.434	1102.88	-40.7	220.53	307.55
74-99-7	1-propyne 	9.24555	935.09	-29.57	186.87	266.63
463-49-0	1,2-propadiene 	7.8386	458.06	-77.08	178	257
115-07-1	propene 	8.95606	789.624	-25.57	165.2	241.61
75-19-4	cyclopropane 	9.03084	866.15	-25.15	176.3	257.37
107-18-6	2-propen-1-ol 	13.78252	4510.213	143.647	294	370.23
67-64-1	propanone 	9.2184	1197.01	-45.09	247.38	350.65
79-09-4	propanoic acid 	9.75466	1662.582	-64.104	321.72	437.41
79-20-9	methyl ethanoate 	9.18621	1156.43	-53.46	249.9	351.11
109-94-4	ethyl methanoate 	9.07899	1101	-57.17	247.8	348.6
540-54-5	1-chloropropane 	9.07655	1125.009	-43.29	238.09	341.29
74-98-6	propane 	8.92828	803.997	-26.11	168.9	247.76
71-23-8	1-propanol 	9.99991	1512.94	-67.343	293.19	389.32
67-63-0	2-propanol 	10.24268	1580.92	-53.54	281.28	373.46
540-67-0	methyl ethyl ether 	8.00683	504.49	-112.4	232	298.85
624-89-5	2-thiabutane 	9.06339	1182.562	-48.366	253.5	362.68
107-10-8	1-propanamine 	9.3444	1186.39	-46.94	258.31	340.36
75-31-0	2-propanamine 	9.0553	1005.49	-56.64	231.38	324.47
110-02-1	thiophene 	9.08416	1246.02	-51.8	267.2	381.16
107-00-6	1-butyne 	9.16676	1014.45	-37.41	210.35	299.83
