CASRN	Chemical	A	B	C	Tc	to	n	E	F	Tmin	Tmax
353-59-3	bromochlorodifluoromethane 	8.9585	933.04	-33.15	426.9	3	2.2696	-54.789	3324.1	288.15	418.15
75-63-8	bromotrifluoromethane 	8.8964	731.31	-27.45	340.15	-53	2.397	4.095	941.51	233.15	333.15
75-72-9	chlorotrifluoromethane 	8.90353	654.656	-23.76	301.84	-76	2.46214	62.986	-2130.8	208.15	288.15
75-71-8	dichlorodifluoromethane 	9.01171	868.076	-26.76	385.1	-23	3.27101	104.141	-3216.3	263.15	383.15
75-69-4	trichlorofluoromethane 	9.00905	1043.313	-36.2	471.1	40	2.4086	75.083	-1375.6	318.15	458.15
75-73-0	tetrafluoromethane 	8.95894	510.595	-15.95	227.51	-120	2.41377	-93.74	7425.9	158.15	218.15
1511-62-2	bromodifluoromethane 	8.4003	640.32	-69.02	412	-9	0.9862	189.78	-6582.6	273.15	403.15
75-45-6	chlorodifluoromethane 	9.13253	836.462	-29.69	369.28	-30	2.76007	37.609	-369.26	248.15	368.15
75-43-4	dichlorofluoromethane 	9.02473	959.934	-43.12	451.52	12	2.55869	9.61	574.28	303.15	443.15
75-46-7	trifluoromethane 	9.2214	707.396	-23.31	298.97	-70	2.79148	70.243	2833	208.15	288.15
75-10-5	difluoromethane 	9.29712	833.137	-27.29	351.36	-40	2.48212	61.006	-747.43	238.15	338.15
593-53-3	fluoromethane 	9.19421	734.222	-19.58	317.36	-73	2.60926	57.676	-1868.2	213.15	313.15
74-89-5	methanamine 	9.213	899.03	-53.15	430	0	2.139	-151.85	7356	288.15	423.15
76-15-3	1-chloro-1,1,2,2,2-pentafluoroethane 	8.93652	795.212	-31.78	353.1	-33	2.4705	82.646	-1205.4	253.15	353.1
374-07-2	1,1-dichloro-1,2,2,2- tetrafluoroethane 	8.83243	875.938	-47.69	418.7	10	2.1284	699.96	-66758	298.15	418.15
76-14-2	1,2-dichloro-1,1,2,2- tetrafluoroethane	8.93549	930.734	-39.74	418.9	12	4.45933	849.56	-57942	298.15	418.15
