CAS	Chemical	C1	C2	C3	C4	C5	Tmin	Tmax
75-07-0	Acetaldehyde  	193.69	-8036.7	-29.502	0.043678	1	150.15	466
60-35-5	Acetamide  	125.81	-12376	-14.589	5.0824E-06	2	353.33	761
64-19-7	Acetic acid  	53.27	-6304.5	-4.2985	8.8865E-18	6	289.81	591.95
108-24-7	Acetic anhydride  	100.95	-8873.2	-11.451	6.1316E-06	2	200.15	606
67-64-1	Acetone  	69.006	-5599.6	-7.0985	6.2237E-06	2	178.45	508.2
75-05-8	Acetonitrile  	58.302	-5385.6	-5.4954	5.3634E-06	2	229.32	545.5
74-86-2	Acetylene  	39.63	-2552.2	-2.78	2.393E-16	6	192.4	308.3
107-02-8	Acrolein  	138.4	-7122.7	-19.638	0.026447	1	185.45	506
79-10-7	Acrylic acid  	46.745	-6587.1	-3.2208	5.2253E-07	2	286.15	615
107-13-1	Acrylonitrile  	87.604	-6392.7	-10.101	1.0891E-05	2	189.63	535
132259-10-0	Air  	21.662	-692.39	-0.392	0.0047574	1	59.15	132.45
7664-41-7	Ammonia  	90.483	-4669.7	-11.607	0.017194	1	195.41	405.65
100-66-3	Anisole  	128.06	-9307.7	-16.693	0.014919	1	235.65	645.6
7440-37-1	Argon  	42.127	-1093.1	-4.1425	5.7254E-05	2	83.78	150.86
55-21-0	Benzamide  	85.474	-11932	-8.3348	1.285E-18	6	403	824
71-43-2	Benzene  	83.107	-6486.2	-9.2194	6.9844E-06	2	278.68	562.05
108-98-5	Benzenethiol  	77.765	-8455.1	-7.7404	4.3089E-18	6	258.27	689
65-85-0	Benzoic acid  	88.513	-11829	-8.6826	2.3248E-19	6	395.45	751
100-47-0	Benzonitrile  	138.5	-11195	-17.085	9.5641E-06	2	260.4	699.35
119-61-9	Benzophenone  	88.404	-11769	-8.9014	1.9334E-18	6	321.35	830
100-51-6	Benzyl alcohol  	100.68	-11059	-10.709	3.0582E-18	6	257.85	720.15
539-30-0	Benzyl ethyl ether  	68.541	-7886.2	-6.5804	2.4285E-06	2	275.65	662
100-53-8	Benzyl mercaptan  	118.02	-10527	-13.91	6.4794E-06	2	243.95	718
92-52-4	Biphenyl  	77.314	-9910.4	-7.5079	2.2385E-18	6	342.2	773
7726-95-6	Bromine  	108.26	-6592	-14.16	0.016043	1	265.85	584.15
108-86-1	Bromobenzene  	63.749	-7130.2	-5.879	5.2136E-18	6	242.43	670.15
