CAS	Chemical	Tm	Tc	Pc	A	B	C	D
7440-63-3	Xenon	161.25	289.73	5842000	-6.00659	1.37325	-0.77703	-1.22529
7439-90-9	Krypton	115.75	209.48	5525000	-5.98396	1.34334	-0.66521	-1.30012
7440-37-1	Argon	83.75	150.69	4863000	-5.92801	1.21982	-0.53967	-1.52312
7440-01-9	Neon	24.55	44.49	2679000	-5.74238	1.0886	-0.05896	-1.19851
7440-59-7	Helium	1.75	5.2	227000	-4.06856	1.04379	1.11594	0.08835
132259-10-0	Air	63.05	132.53	3786000	-5.35069	-0.21537	0.93623	-3.02641
1333-74-0	Hydrogen	13.85	33.19	1315000	-4.83622	0.942	0.7665	-0.47071
7727-37-9	Nitrogen	63.05	126.19	3396000	-6.12498	1.26499	-0.76765	-1.78173
7782-44-7	Oxygen	54.35	154.6	5046000	-6.05148	1.23506	-0.62883	-1.61288
7704-34-9	Sulfur	388.45	1312.95	18208000	-15.68872	19.60608	-12.56687	1.67046
7782-41-4	Fluorine	53.45	144.41	5240000	-6.27045	1.53939	-1.25605	-1.27235
7782-50-5	Chlorine	172.15	416.96	7991000	-6.43911	1.48278	-1.21184	-2.02926
10097-32-2	Bromine	265.85	584.15	10300000	-6.76024	1.50339	-0.64097	-3.62166
7553-56-2	Iodine	386.85	819.15	11654000	-6.98158	2.33987	-1.4809	-3.73441
7664-39-3	Hydrogen fluoride	189.75	461.15	6480000	-9.73172	5.07747	-2.98832	5.51671
7647-01-0	Hydrogen chloride	158.85	324.65	8310000	-6.63222	1.06066	0.05415	-4.45907
10035-10-6	Hydrogen bromide	186.25	363.15	8552000	-5.92115	0.77533	-1.67956	1.00212
10034-85-2	Hydrogen iodide	222.25	423.85	8310000	-5.92123	0.95693	-1.04474	-1.03336
74-90-8	Hydrogen cyanide	259.85	456.65	5390000	-9.77338	5.29679	-4.36059	1.58018
7732-18-5	Water	273.15	647.1	22064000	-7.86975	1.90561	-2.30891	-2.06472
7783-06-4	Hydrogen sulfide	187.65	373.1	8999000	-6.50342	1.52011	-1.36969	-1.96704
7664-41-7	Ammonia	195.35	405.5	11359000	-7.30274	1.64638	-2.01606	-1.96884
10102-43-9	Nitric oxide	112.15	180.15	6480000	-8.38772	0.85755	-3.11447	-8.98765
10102-44-0	Nitrogen dioxide	261.85	431.15	10132000	-11.33898	2.3762	0.6782	-2.53997
10024-97-2	Nitrous oxide	182.25	309.52	7245000	-6.79599	1.59751	-1.85163	-2.29494
10544-72-6	Dinitrogentetroxide	261.85	431.1	10132000	-11.71738	3.10196	0.59704	-5.33648
460-19-5	Cyanogen	245.25	400.15	5978000	-7.51492	1.94916	-2.3675	-4.23472
7719-12-2	Phosphorus trichloride	181.15	563.15	5670000	-8.83133	5.61883	-4.80318	-1.25347
506-77-4	Cyanogen chloride	266.65	449.05	5990000	-7.49333	1.78753	-4.04253	8.50574
7440-21-3	Silane	88.45	269.75	4840000	-7.30552	2.7106	-0.09783	-4.71464
10026-04-7	Tetrachlorosilane	204.35	507.05	3590000	-6.60174	0.34409	-1.09066	-3.1505
630-08-0	Carbon monoxide	68.15	132.86	3498000	-6.19574	1.32502	-0.95226	-1.98513
124-38-9	Carbon dioxide	216.55	304.13	7377000	-7.02916	1.53937	-2.2833	-2.34853
504-64-3	Carbon suboxide	160.95	427.58	6944000	-13.34201	11.51312	-6.91741	-0.29406
463-58-1	Carbonyl sulfide	134.25	378.77	6369000	-6.51272	1.55373	-1.33074	-2.08761
