CASRN	Name	A	B	C	D	Tc	Pc	Tmin	Tmax
64-18-6	methanoic acid 	-7.24917	0.44255	-0.35558	-0.96906	588	5807000	281.45	588
74-82-8	methane 	-6.02242	1.26652	-0.5707	-1.366	190.551	4599200	90.694	190.55
67-56-1	methanol 	-8.63571	1.17982	-2.479	-1.024	512.64	8092000	175.47	512.64
74-86-2	ethyne 	-6.87886	1.30164	-1.22474	-3.59556	308.35	6139000	192.4	308.35
64-19-7	ethanoic acid 	-8.2943	0.97928	-0.21745	-5.72367	592.71	5786000	289.81	592.71
74-84-0	ethane 	-6.475	1.41071	-1.144	-1.859	305.33	4871000	90.352	305.33
64-17-5	ethanol 	-8.68587	1.17831	-4.8762	1.588	513.92	6132000	159.05	513.92
13838-16-9	2-chloro-1,1,2-trifluoroethyl difluoromethyl ether	-8.32915	2.37044	-3.75113	-4.6033	475.03	2980000		475.03
26675-46-7	1-chloro-2,2,2-trifluoroethyl difluoromethyl ether 	-8.08994	2.07729	-3.32	-4.2641	467.8	3046000		467.8
1814-88-6	1,1,1,2,2-pentafluoropropane 	-7.67509	2.38205	-3.6522	0	380.38	3148300	248	326
78-87-5	1,2-dichloropropane 	-7.70557	2.62197	-2.74104	-3.08934	578	4650000	293.67	406.5
67-64-1	propanone 	-7.55098	1.60784	-1.9944	-3.2002	508.1	4702000	178.45	508.1
79-09-4	propanoic acid 	-8.14882	0.7959	-3.1836	-3.81338	604	4530000	252.45	604
616-38-6	dimethylcarbonate 	-8.24279	3.25566	-4.2825	-2.1194	557	4800000	310.56	397.5
74-98-6	propane 	-6.76368	1.55481	-1.5872	-2.024	369.85	4247000	85.47	369.85
71-23-8	1-propanol 	-8.53706	1.96214	-7.6918	2.945	536.78	5168000	146.95	536.78
67-63-0	2-propanol 	-8.73656	2.1624	-8.70785	4.77927	508.3	4763000	185.258	508.3
108-24-7	acetic anhydride 	-8.3513	1.8905	-2.8357	-5.1156	606	4000000	200.15	606
107-92-6	butanoic acid 	-8.42953	1.34333	-5.37332	-2.74438	624	4030000	267.95	624
79-31-2	2-methylpropanoic acid 	-8.53258	1.30605	-5.2242	-2.05813	605	3700000	227.15	605
106-97-8	butane 	-7.01763	1.6777	-1.9739	-2.172	425.25	3792000	134.86	425.25
110-85-0	piperazine 	-8.10664	3.36281	-4.52962	-3.8278	661	5800000	418	460.48
71-36-3	1-butanol 	-8.40615	2.2301	-8.2486	-0.711	563.05	4424000	183.85	563.05
78-83-1	2-methyl-1-propanol 	-8.3146	2.13678	-8.4832	-0.79774	547.78	4304000	165.15	547.78
75-65-0	2-methyl-2-propanol 	-8.47927	2.47845	-9.27918	-2.53992	506.2	3973000	298.97	506.2
78-92-2	2-butanol 	-8.0982	1.64406	-7.49	-5.27355	536.01	4198000	158.45	536.01
60-29-7	diethyl ether 	-7.43301	1.78847	-2.4793	-3.2811	466.74	3650000	156.85	466.74
110-71-4	1,2-dimethoxyethane 	-8.0898	2.53555	-3.4809	-3.65036	537	3960000	305.86	392.29
26171-83-5	1,2-butandiol 	-9.98662	5.09869	-9.38593	-2.85378	680	5210000	372.55	506.4
107-88-0	1,3-Butanediol 	-9.29011	3.03108	-9.27334	-1.05346	676	4020000	364.98	512.05
120-92-3	cyclopentanone 	-7.36589	1.54092	-2.28143	-3.0514	624.5	4600000	221.85	624.5
96-41-3	cyclopentanol 	-7.40984	1.71852	-6.8471	-4.36177	619.5	4900000		619.5
109-52-4	pentanoic acid 	-8.76701	1.5499	-6.19961	-4.21927	643	3580000	239.15	643
503-74-2	3-methylbutanoic acid 	-8.67381	1.62939	-6.51756	-2.08757	629	3400000	243.85	629
109-66-0	pentane 	-7.30698	1.75845	-2.1629	-2.913	469.8	3375000	143.42	469.8
71-41-0	1-pentanol 	-8.98005	3.91624	-9.9081	-2.191	588.15	3909000	195.56	588.15
344-07-0	chloropentafluorobenzene 	-8.10119	1.95485	-2.79778	-4.194	570.81	3237000		570.81
392-56-3	hexafluorobenzene 	-8.04104	1.9351	-2.939	-4.548	516.73	3275000	278.25	516.73
363-72-4	pentafluorobenzene 	-7.86799	1.71659	-2.53582	-4.59937	530.97	3537000		530.97
327-54-8	1,2,4,5-tetrafluorobenzene 	-7.85347	1.9462	-2.8652	-3.80563	543.35	3799000		543.35
71-43-2	benzene 	-7.01433	1.55256	-1.8479	-3.713	562.16	4898000	278.68	562.16
110-83-8	Cyclohexene 	-9.08102	5.75488	-5.17505	-1.0489	560.4	4905000	285.39	356.99
